"plh0042","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Big worries","1984","(Married) couple without C. ","208","0.133449060866336","0.115124947141271","0.1517731745914"
"Big worries","1984","1-pers.-HH","98","0.148871196749117","0.120341281421582","0.177401112076651"
"Big worries","1984","Couple + C. GT 16 ","229","0.196774164003794","0.173895957853186","0.219652370154402"
"Big worries","1984","Couple + C. LE 16 ","418","0.176920602553596","0.160188118512189","0.193653086595003"
"Big worries","1984","Couple + C. LE and GT 16","243","0.18459948751023","0.160813379937211","0.208385595083249"
"Big worries","1984","Single parent ","70","0.186128913481345","0.143010710428902","0.229247116533787"
"No worries","1984","(Married) couple without C. ","724","0.576796137603468","0.550173311707524","0.603418963499413"
"No worries","1984","1-pers.-HH","337","0.587690651702682","0.548237338413627","0.627143964991736"
"No worries","1984","Couple + C. GT 16 ","530","0.469796338060028","0.441075621468725","0.498517054651331"
"No worries","1984","Couple + C. LE 16 ","939","0.50809044161947","0.486169283622242","0.530011599616698"
"No worries","1984","Couple + C. LE and GT 16","462","0.514422805554446","0.483781173680175","0.545064437428716"
"No worries","1984","Single parent ","124","0.432987979253797","0.378095862923388","0.487880095584206"
"Some worries","1984","(Married) couple without C. ","391","0.289754801530196","0.265309936548801","0.314199666511591"
"Some worries","1984","1-pers.-HH","163","0.263438151548202","0.228132726512465","0.298743576583939"
"Some worries","1984","Couple + C. GT 16 ","401","0.333429497936177","0.306299850429676","0.360559145442679"
"Some worries","1984","Couple + C. LE 16 ","641","0.314988955826934","0.294621030259658","0.33535688139421"
"Some worries","1984","Couple + C. LE and GT 16","317","0.300977706935324","0.272856411638971","0.329099002231678"
"Some worries","1984","Single parent ","119","0.380883107264858","0.327086101423655","0.434680113106061"
"Big worries","1985","(Married) couple without C. ","168","0.122454970441946","0.103822086539761","0.141087854344131"
"Big worries","1985","1-pers.-HH","60","0.0899977255114397","0.0658380712929591","0.11415737972992"
"Big worries","1985","Couple + C. GT 16 ","174","0.13026698966952","0.111174784483268","0.149359194855772"
"Big worries","1985","Couple + C. LE 16 ","255","0.121616252604687","0.106170046626734","0.137062458582639"
"Big worries","1985","Couple + C. LE and GT 16","133","0.133447807798165","0.110799162538754","0.156096453057576"
"Big worries","1985","Single parent ","44","0.0974341716678026","0.0635940297935278","0.131274313542077"
"No worries","1985","(Married) couple without C. ","689","0.603169355801222","0.575360738258496","0.630977973343948"
"No worries","1985","1-pers.-HH","333","0.650752818720272","0.610506311871752","0.690999325568792"
"No worries","1985","Couple + C. GT 16 ","656","0.567219004566081","0.53911582844774","0.595322180684423"
"No worries","1985","Couple + C. LE 16 ","930","0.591788530811831","0.568560641871412","0.61501641975225"
"No worries","1985","Couple + C. LE and GT 16","433","0.555155596011558","0.522057685928521","0.588253506094596"
"No worries","1985","Single parent ","155","0.555672664590727","0.498970698804074","0.61237463037738"
"Some worries","1985","(Married) couple without C. ","332","0.274375673756832","0.24901353450986","0.299737813003804"
"Some worries","1985","1-pers.-HH","146","0.259249455768288","0.222253979324671","0.296244932211905"
"Some worries","1985","Couple + C. GT 16 ","364","0.302514005764399","0.276459285398256","0.328568726130541"
"Some worries","1985","Couple + C. LE 16 ","535","0.286595216583482","0.2652261110035","0.307964322163464"
"Some worries","1985","Couple + C. LE and GT 16","300","0.311396596190277","0.280555439477724","0.34223775290283"
"Some worries","1985","Single parent ","96","0.34689316374147","0.292577252684193","0.401209074798748"
"Big worries","1986","(Married) couple without C. ","160","0.120169439793253","0.101960838503713","0.138378041082793"
"Big worries","1986","1-pers.-HH","56","0.106971056216699","0.0804059027805211","0.133536209652876"
"Big worries","1986","Couple + C. GT 16 ","186","0.127649698583375","0.10907624764285","0.146223149523901"
"Big worries","1986","Couple + C. LE 16 ","202","0.107368676634654","0.0919017636388208","0.122835589630487"
"Big worries","1986","Couple + C. LE and GT 16","149","0.158512162625523","0.13284880300706","0.184175522243986"
"Big worries","1986","Single parent ","48","0.124905102716623","0.0859009169548809","0.163909288478365"
"No worries","1986","(Married) couple without C. ","738","0.626380017342493","0.599289703156628","0.653470331528358"
"No worries","1986","1-pers.-HH","320","0.635515826629492","0.594149310910532","0.676882342348453"
"No worries","1986","Couple + C. GT 16 ","685","0.583219471693607","0.555778027331838","0.610660916055377"
"No worries","1986","Couple + C. LE 16 ","844","0.587176211480474","0.562578462518647","0.6117739604423"
"No worries","1986","Couple + C. LE and GT 16","375","0.553434500098027","0.518501652362567","0.588367347833488"
"No worries","1986","Single parent ","138","0.521189024038845","0.462254031997154","0.580124016080537"
"Some worries","1986","(Married) couple without C. ","327","0.253450542864254","0.229091739390285","0.277809346338224"
"Some worries","1986","1-pers.-HH","144","0.257513117153809","0.219930199711528","0.29509603459609"
"Some worries","1986","Couple + C. GT 16 ","369","0.289130829723017","0.26389722535662","0.314364434089415"
"Some worries","1986","Couple + C. LE 16 ","493","0.305455111884872","0.282443203332079","0.328467020437666"
"Some worries","1986","Couple + C. LE and GT 16","254","0.288053337276449","0.256231996285835","0.319874678267064"
"Some worries","1986","Single parent ","90","0.353905873244532","0.297492076225502","0.410319670263562"
"Big worries","1987","(Married) couple without C. ","125","0.0912404700076436","0.0749889987855477","0.107491941229739"
"Big worries","1987","1-pers.-HH","59","0.0976769009510122","0.0720863407485669","0.123267461153458"
"Big worries","1987","Couple + C. GT 16 ","161","0.110081125708289","0.0930736020917541","0.127088649324824"
"Big worries","1987","Couple + C. LE 16 ","175","0.0920759484055012","0.0776400228884448","0.106511873922558"
