"plh0042","year","e11103","sampreg","n","percent","lower_confidence","upper_confidence"
"Big worries","1984","Full Time","West Germany","1031","0.164204362302181","0.15417476706828","0.174233957536083"
"Big worries","1984","Full Time","East Germany","","","",""
"Big worries","1984","Part Time","West Germany","280","0.182367310671962","0.162103850492663","0.202630770851261"
"Big worries","1984","Part Time","East Germany","","","",""
"Big worries","1984","Not Working","West Germany","43","0.237794290302892","0.171411369418359","0.304177211187426"
"Big worries","1984","Not Working","East Germany","","","",""
"Some worries","1984","Full Time","West Germany","1668","0.308324172864651","0.295821694900358","0.320826650828944"
"Some worries","1984","Full Time","East Germany","","","",""
"Some worries","1984","Part Time","West Germany","433","0.308140247964303","0.283910760105486","0.33236973582312"
"Some worries","1984","Part Time","East Germany","","","",""
"Some worries","1984","Not Working","West Germany","46","0.281045502743945","0.2109550976615","0.351135907826391"
"Some worries","1984","Not Working","East Germany","","","",""
"No worries","1984","Full Time","West Germany","2542","0.527471464833168","0.513955267734976","0.54098766193136"
"No worries","1984","Full Time","East Germany","","","",""
"No worries","1984","Part Time","West Germany","682","0.509492441363735","0.483259154279529","0.535725728447941"
"No worries","1984","Part Time","East Germany","","","",""
"No worries","1984","Not Working","West Germany","69","0.481160206953163","0.403252389540082","0.559068024366244"
"No worries","1984","Not Working","East Germany","","","",""
"Big worries","1985","Full Time","West Germany","682","0.124445799020425","0.11490373167288","0.133987866367969"
"Big worries","1985","Full Time","East Germany","","","",""
"Big worries","1985","Part Time","West Germany","175","0.10526451521895","0.0891483815444449","0.121380648893454"
"Big worries","1985","Part Time","East Germany","","","",""
"Big worries","1985","Not Working","West Germany","28","","",""
"Big worries","1985","Not Working","East Germany","","","",""
"Some worries","1985","Full Time","West Germany","1430","0.294352176410512","0.281177545173535","0.307526807647489"
"Some worries","1985","Full Time","East Germany","","","",""
"Some worries","1985","Part Time","West Germany","413","0.28236487471137","0.258725841435191","0.306003907987549"
"Some worries","1985","Part Time","East Germany","","","",""
"Some worries","1985","Not Working","West Germany","43","0.287153842712173","0.212999721093304","0.361307964331042"
"Some worries","1985","Not Working","East Germany","","","",""
"No worries","1985","Full Time","West Germany","2485","0.581202024569064","0.566940147617155","0.595463901520972"
"No worries","1985","Full Time","East Germany","","","",""
"No worries","1985","Part Time","West Germany","805","0.61237061006968","0.586785455136986","0.637955765002374"
"No worries","1985","Part Time","East Germany","","","",""
"No worries","1985","Not Working","West Germany","72","0.57785953219017","0.496909000299411","0.658810064080928"
"No worries","1985","Not Working","East Germany","","","",""
"Big worries","1986","Full Time","West Germany","659","0.12270612534261","0.113095310426634","0.132316940258587"
"Big worries","1986","Full Time","East Germany","","","",""
"Big worries","1986","Part Time","West Germany","166","0.108451756634325","0.0914303754278007","0.125473137840849"
"Big worries","1986","Part Time","East Germany","","","",""
"Big worries","1986","Not Working","West Germany","28","","",""
"Big worries","1986","Not Working","East Germany","","","",""
"Some worries","1986","Full Time","West Germany","1353","0.28510561419312","0.271881141269541","0.298330087116699"
"Some worries","1986","Full Time","East Germany","","","",""
"Some worries","1986","Part Time","West Germany","382","0.287307665054751","0.262537509796633","0.312077820312868"
"Some worries","1986","Part Time","East Germany","","","",""
"Some worries","1986","Not Working","West Germany","38","0.326784000117483","0.241794990783204","0.411773009451762"
"Some worries","1986","Not Working","East Germany","","","",""
"No worries","1986","Full Time","West Germany","2465","0.59218826046427","0.577793173184318","0.606583347744221"
"No worries","1986","Full Time","East Germany","","","",""
"No worries","1986","Part Time","West Germany","734","0.604240578310925","0.577472040235888","0.631009116385961"
"No worries","1986","Part Time","East Germany","","","",""
"No worries","1986","Not Working","West Germany","51","0.406561821148928","0.317558502930164","0.495565139367692"
"No worries","1986","Not Working","East Germany","","","",""
"Big worries","1987","Full Time","West Germany","540","0.0968399998597897","0.0882609846529861","0.105419015066593"
"Big worries","1987","Full Time","East Germany","","","",""
"Big worries","1987","Part Time","West Germany","160","0.108192140187857","0.0912807584087043","0.125103521967011"
"Big worries","1987","Part Time","East Germany","","","",""
"Big worries","1987","Not Working","West Germany","18","","",""
"Big worries","1987","Not Working","East Germany","","","",""
"Some worries","1987","Full Time","West Germany","1522","0.314833958183959","0.30136089333976","0.328307023028157"
"Some worries","1987","Full Time","East Germany","","","",""
"Some worries","1987","Part Time","West Germany","428","0.328927513990767","0.303348699740617","0.354506328240918"
"Some worries","1987","Part Time","East Germany","","","",""
"Some worries","1987","Not Working","West Germany","31","0.325038014393879","0.232772962845048","0.41730306594271"
"Some worries","1987","Not Working","East Germany","","","",""
"No worries","1987","Full Time","West Germany","2503","0.588326041956252","0.574049815317069","0.602602268595434"
"No worries","1987","Full Time","East Germany","","","",""
"No worries","1987","Part Time","West Germany","708","0.562880345821375","0.535874747756494","0.589885943886257"
"No worries","1987","Part Time","East Germany","","","",""
"No worries","1987","Not Working","West Germany","50","0.523478957084895","0.425095710527872","0.621862203641919"
"No worries","1987","Not Working","East Germany","","","",""
"Big worries","1988","Full Time","West Germany","611","0.119170376066653","0.109450382068979","0.128890370064328"
"Big worries","1988","Full Time","East Germany","","","",""
"Big worries","1988","Part Time","West Germany","188","0.113263824517643","0.0959429254498534","0.130584723585433"
"Big worries","1988","Part Time","East Germany","","","",""
"Big worries","1988","Not Working","West Germany","21","","",""
"Big worries","1988","Not Working","East Germany","","","",""
"Some worries","1988","Full Time","West Germany","1492","0.337705550457432","0.323517244577691","0.351893856337173"
"Some worries","1988","Full Time","East Germany","","","",""
"Some worries","1988","Part Time","West Germany","414","0.321686432294292","0.296155937556773","0.347216927031811"
"Some worries","1988","Part Time","East Germany","","","",""
"Some worries","1988","Not Working","West Germany","29","","",""
"Some worries","1988","Not Working","East Germany","","","",""
"No worries","1988","Full Time","West Germany","2165","0.543124073475915","0.528179464728269","0.55806868222356"
"No worries","1988","Full Time","East Germany","","","",""
"No worries","1988","Part Time","West Germany","684","0.565049743188065","0.537954644107571","0.592144842268558"
"No worries","1988","Part Time","East Germany","","","",""
"No worries","1988","Not Working","West Germany","43","0.444154935840559","0.343171361203733","0.545138510477385"
"No worries","1988","Not Working","East Germany","","","",""
"Big worries","1989","Full Time","West Germany","382","0.0727623617410391","0.0649458735064135","0.0805788499756646"
"Big worries","1989","Full Time","East Germany","","","",""
"Big worries","1989","Part Time","West Germany","108","0.071349482019142","0.0568697570588185","0.0858292069794655"
"Big worries","1989","Part Time","East Germany","","","",""
"Big worries","1989","Not Working","West Germany","15","","",""
"Big worries","1989","Not Working","East Germany","","","",""
"Some worries","1989","Full Time","West Germany","1309","0.283251947046956","0.269692796841587","0.296811097252326"
"Some worries","1989","Full Time","East Germany","","","",""
"Some worries","1989","Part Time","West Germany","345","0.273674319029015","0.248594669069588","0.298753968988441"
"Some worries","1989","Part Time","East Germany","","","",""
"Some worries","1989","Not Working","West Germany","29","","",""
"Some worries","1989","Not Working","East Germany","","","",""
"No worries","1989","Full Time","West Germany","2551","0.643985691212005","0.62957666622416","0.658394716199849"
"No worries","1989","Full Time","East Germany","","","",""
"No worries","1989","Part Time","West Germany","761","0.654976198951843","0.628235298047284","0.681717099856403"
"No worries","1989","Part Time","East Germany","","","",""
"No worries","1989","Not Working","West Germany","64","0.584822019835604","0.491890031906026","0.677754007765183"
"No worries","1989","Not Working","East Germany","","","",""
"Big worries","1990","Full Time","West Germany","406","0.0810256480561313","0.0726933953133023","0.0893579007989603"
"Big worries","1990","Full Time","East Germany","","","",""
"Big worries","1990","Part Time","West Germany","119","0.080897810284208","0.065578010640638","0.0962176099277779"
"Big worries","1990","Part Time","East Germany","","","",""
"Big worries","1990","Not Working","West Germany","14","","",""
"Big worries","1990","Not Working","East Germany","","","",""
"Some worries","1990","Full Time","West Germany","1283","0.286390838391709","0.272586701673857","0.300194975109562"
"Some worries","1990","Full Time","East Germany","","","",""
"Some worries","1990","Part Time","West Germany","337","0.254985657756874","0.230498239726655","0.279473075787092"
"Some worries","1990","Part Time","East Germany","","","",""
"Some worries","1990","Not Working","West Germany","32","0.348703380108252","0.252364486381506","0.445042273834997"
"Some worries","1990","Not Working","East Germany","","","",""
"No worries","1990","Full Time","West Germany","2431","0.632583513552159","0.617862499155221","0.647304527949098"
"No worries","1990","Full Time","East Germany","","","",""
"No worries","1990","Part Time","West Germany","761","0.664116531958919","0.637581521575143","0.690651542342694"
"No worries","1990","Part Time","East Germany","","","",""
"No worries","1990","Not Working","West Germany","48","0.538677240356805","0.437902678606413","0.639451802107196"
"No worries","1990","Not Working","East Germany","","","",""
"Big worries","1991","Full Time","West Germany","286","0.0541017290158603","0.0472659246803596","0.060937533351361"
"Big worries","1991","Full Time","East Germany","","","",""
"Big worries","1991","Part Time","West Germany","90","0.0614682684604633","0.0483101716865111","0.0746263652344154"
"Big worries","1991","Part Time","East Germany","","","",""
"Big worries","1991","Not Working","West Germany","17","","",""
"Big worries","1991","Not Working","East Germany","","","",""
"Some worries","1991","Full Time","West Germany","1130","0.243132195493892","0.230169566631815","0.25609482435597"
"Some worries","1991","Full Time","East Germany","","","",""
"Some worries","1991","Part Time","West Germany","296","0.225499189389745","0.20260493326782","0.24839344551167"
"Some worries","1991","Part Time","East Germany","","","",""
"Some worries","1991","Not Working","West Germany","35","0.291261553451739","0.210639704737106","0.371883402166373"
"Some worries","1991","Not Working","East Germany","","","",""
"No worries","1991","Full Time","West Germany","2791","0.702766075490247","0.688955352412236","0.716576798568259"
"No worries","1991","Full Time","East Germany","","","",""
"No worries","1991","Part Time","West Germany","894","0.713032542149792","0.688251811513754","0.73781327278583"
"No worries","1991","Part Time","East Germany","","","",""
"No worries","1991","Not Working","West Germany","70","0.546651471370591","0.458315102837002","0.63498783990418"
"No worries","1991","Not Working","East Germany","","","",""
"Big worries","1992","Full Time","West Germany","456","0.0870024081014947","0.0784635300224995","0.09554128618049"
"Big worries","1992","Full Time","East Germany","655","0.35579295568059","0.334122958123869","0.377462953237311"
"Big worries","1992","Part Time","West Germany","112","0.0831751346008058","0.067692230068672","0.0986580391329397"
"Big worries","1992","Part Time","East Germany","163","0.393916785164809","0.347462904734371","0.440370665595248"
"Big worries","1992","Not Working","West Germany","18","","",""
"Big worries","1992","Not Working","East Germany","15","","",""
"Some worries","1992","Full Time","West Germany","1335","0.304672570929825","0.290727789249644","0.318617352610006"
"Some worries","1992","Full Time","East Germany","777","0.408690265195205","0.386439132892032","0.430941397498377"
"Some worries","1992","Part Time","West Germany","353","0.270823924504614","0.24590827533411","0.295739573675118"
"Some worries","1992","Part Time","East Germany","173","0.387522053886036","0.341204345370581","0.433839762401491"
"Some worries","1992","Not Working","West Germany","34","0.266582003887726","0.182006491673969","0.351157516101483"
"Some worries","1992","Not Working","East Germany","10","","",""
"No worries","1992","Full Time","West Germany","2394","0.60832502096868","0.593536282996214","0.623113758941146"
"No worries","1992","Full Time","East Germany","443","0.235516779124205","0.216310538721364","0.254723019527047"
"No worries","1992","Part Time","West Germany","757","0.64600094089458","0.619188884931636","0.672812996857524"
"No worries","1992","Part Time","East Germany","89","0.218561160949154","0.179270655408968","0.25785166648934"
"No worries","1992","Not Working","West Germany","53","0.58029414557828","0.485898915439926","0.674689375716634"
"No worries","1992","Not Working","East Germany","3","","",""
"Big worries","1993","Full Time","West Germany","416","0.0861577164790754","0.0775561933411702","0.0947592396169806"
"Big worries","1993","Full Time","East Germany","395","0.225633958531828","0.206160780294982","0.245107136768674"
"Big worries","1993","Part Time","West Germany","86","0.0594660022340583","0.0463765659456594","0.0725554385224572"
