"plh0042","year","e11102","migback","n","percent","lower_confidence","upper_confidence"
"Big worries","1984","Not Employed","no migration background","23","","",""
"Big worries","1984","Not Employed","direct migration background","19","","",""
"Big worries","1984","Not Employed","indirect migration background","1","","",""
"Big worries","1984","Employed","no migration background","675","0.155450593846413","0.144772386625521","0.166128801067305"
"Big worries","1984","Employed","direct migration background","625","0.270211554241282","0.251467041215926","0.288956067266637"
"Big worries","1984","Employed","indirect migration background","11","","",""
"Some worries","1984","Not Employed","no migration background","25","","",""
"Some worries","1984","Not Employed","direct migration background","17","","",""
"Some worries","1984","Not Employed","indirect migration background","4","","",""
"Some worries","1984","Employed","no migration background","1357","0.303987215235665","0.290431392243498","0.317543038227832"
"Some worries","1984","Employed","direct migration background","723","0.336001841004058","0.316064006863094","0.355939675145022"
"Some worries","1984","Employed","indirect migration background","21","","",""
"No worries","1984","Not Employed","no migration background","50","0.504048088447146","0.405058202594451","0.603037974299842"
"No worries","1984","Not Employed","direct migration background","16","","",""
"No worries","1984","Not Employed","indirect migration background","3","","",""
"No worries","1984","Employed","no migration background","2391","0.540562190917922","0.525875436919966","0.555248944915877"
"No worries","1984","Employed","direct migration background","808","0.39378660475466","0.373162887477006","0.414410322032314"
"No worries","1984","Employed","indirect migration background","25","","",""
"Big worries","1985","Not Employed","no migration background","12","","",""
"Big worries","1985","Not Employed","direct migration background","16","","",""
"Big worries","1985","Not Employed","indirect migration background","","","",""
"Big worries","1985","Employed","no migration background","447","0.10914767452077","0.0996005581431089","0.118694790898432"
"Big worries","1985","Employed","direct migration background","401","0.205133188960677","0.186637561616374","0.22362881630498"
"Big worries","1985","Employed","indirect migration background","9","","",""
"Some worries","1985","Not Employed","no migration background","22","","",""
"Some worries","1985","Not Employed","direct migration background","21","","",""
"Some worries","1985","Not Employed","indirect migration background","","","",""
"Some worries","1985","Employed","no migration background","1155","0.283373732817318","0.269576618239761","0.297170847394875"
"Some worries","1985","Employed","direct migration background","671","0.359489064734683","0.337509958137899","0.381468171331467"
"Some worries","1985","Employed","indirect migration background","17","","",""
"No worries","1985","Not Employed","no migration background","55","0.625904247957369","0.525373613001438","0.7264348829133"
"No worries","1985","Not Employed","direct migration background","14","","",""
"No worries","1985","Not Employed","indirect migration background","3","","",""
"No worries","1985","Employed","no migration background","2496","0.607478592661912","0.592527970130153","0.622429215193671"
"No worries","1985","Employed","direct migration background","759","0.43537774630464","0.412667804154211","0.458087688455069"
"No worries","1985","Employed","indirect migration background","35","0.660333259189337","0.541485425063533","0.779181093315141"
"Big worries","1986","Not Employed","no migration background","18","","",""
"Big worries","1986","Not Employed","direct migration background","10","","",""
"Big worries","1986","Not Employed","indirect migration background","","","",""
"Big worries","1986","Employed","no migration background","433","0.109632002529292","0.0998239988975556","0.119440006161028"
"Big worries","1986","Employed","direct migration background","377","0.19200515739309","0.173712496953314","0.210297817832865"
"Big worries","1986","Employed","indirect migration background","15","","",""
"Some worries","1986","Not Employed","no migration background","23","","",""
"Some worries","1986","Not Employed","direct migration background","14","","",""
"Some worries","1986","Not Employed","indirect migration background","1","","",""
"Some worries","1986","Employed","no migration background","1071","0.278074324907024","0.264008867393445","0.292139782420603"
"Some worries","1986","Employed","direct migration background","644","0.340722802871854","0.318711246134841","0.362734359608866"
"Some worries","1986","Employed","indirect migration background","20","","",""
"No worries","1986","Not Employed","no migration background","34","0.411964393049284","0.300573647206737","0.523355138891831"
"No worries","1986","Not Employed","direct migration background","15","","",""
"No worries","1986","Not Employed","indirect migration background","2","","",""
"No worries","1986","Employed","no migration background","2394","0.612293672563684","0.596998354807212","0.627588990320156"
"No worries","1986","Employed","direct migration background","760","0.467272039735056","0.444100559702453","0.49044351976766"
"No worries","1986","Employed","indirect migration background","45","0.535744565183265","0.42645958375019","0.64502954661634"
"Big worries","1987","Not Employed","no migration background","8","","",""
"Big worries","1987","Not Employed","direct migration background","9","","",""
"Big worries","1987","Not Employed","indirect migration background","1","","",""
"Big worries","1987","Employed","no migration background","382","0.0914412329524408","0.0825088847660682","0.100373581138813"
"Big worries","1987","Employed","direct migration background","304","0.159279403391991","0.142246080586869","0.176312726197113"
"Big worries","1987","Employed","indirect migration background","14","","",""
"Some worries","1987","Not Employed","no migration background","20","","",""
"Some worries","1987","Not Employed","direct migration background","11","","",""
"Some worries","1987","Not Employed","indirect migration background","","","",""
"Some worries","1987","Employed","no migration background","1224","0.309990491066913","0.295658061399436","0.324322920734389"
"Some worries","1987","Employed","direct migration background","689","0.370188014157847","0.34771246248523","0.392663565830463"
"Some worries","1987","Employed","indirect migration background","37","0.471813004377923","0.367512703655059","0.576113305100788"
"No worries","1987","Not Employed","no migration background","37","0.543624845405009","0.422536580036459","0.66471311077356"
"No worries","1987","Not Employed","direct migration background","13","","",""
"No worries","1987","Not Employed","indirect migration background","","","",""
"No worries","1987","Employed","no migration background","2394","0.598568275980647","0.583377470995496","0.613759080965798"
"No worries","1987","Employed","direct migration background","780","0.470532582450162","0.44729942722867","0.493765737671655"
"No worries","1987","Employed","indirect migration background","37","0.425323515144155","0.322028784971448","0.528618245316862"
"Big worries","1988","Not Employed","no migration background","9","","",""
"Big worries","1988","Not Employed","direct migration background","10","","",""
"Big worries","1988","Not Employed","indirect migration background","2","","",""
"Big worries","1988","Employed","no migration background","413","0.108161697198146","0.0982566988936401","0.118066695502651"
"Big worries","1988","Employed","direct migration background","366","0.193806341569377","0.17482555205711","0.212787131081644"
"Big worries","1988","Employed","indirect migration background","20","","",""
"Some worries","1988","Not Employed","no migration background","21","","",""
"Some worries","1988","Not Employed","direct migration background","8","","",""
"Some worries","1988","Not Employed","indirect migration background","","","",""
"Some worries","1988","Employed","no migration background","1232","0.327755385806194","0.312785682847106","0.342725088765282"
"Some worries","1988","Employed","direct migration background","634","0.380375928655668","0.35706383679126","0.403688020520076"
"Some worries","1988","Employed","indirect migration background","40","0.360937540668681","0.271591711786129","0.450283369551233"
"No worries","1988","Not Employed","no migration background","35","0.473787092798037","0.352402441923322","0.595171743672753"
"No worries","1988","Not Employed","direct migration background","5","","",""
"No worries","1988","Not Employed","indirect migration background","3","","",""
"No worries","1988","Employed","no migration background","2132","0.564082916995661","0.548268688236766","0.579897145754555"
"No worries","1988","Employed","direct migration background","666","0.425817729774955","0.402074086891864","0.449561372658046"
"No worries","1988","Employed","indirect migration background","51","0.538558989622152","0.445820218621187","0.631297760623117"
"Big worries","1989","Not Employed","no migration background","9","","",""
"Big worries","1989","Not Employed","direct migration background","6","","",""
"Big worries","1989","Not Employed","indirect migration background","","","",""
"Big worries","1989","Employed","no migration background","233","0.0625700650096773","0.0548278604794195","0.0703122695399351"
"Big worries","1989","Employed","direct migration background","240","0.148206892671798","0.130654069057889","0.165759716285707"
"Big worries","1989","Employed","indirect migration background","17","","",""
"Some worries","1989","Not Employed","no migration background","17","","",""
"Some worries","1989","Not Employed","direct migration background","12","","",""
"Some worries","1989","Not Employed","indirect migration background","","","",""
"Some worries","1989","Employed","no migration background","1036","0.272767461684471","0.25852959702473","0.287005326344211"
"Some worries","1989","Employed","direct migration background","576","0.347306074599893","0.323785024762612","0.370827124437174"
"Some worries","1989","Employed","indirect migration background","42","0.277330106468446","0.19821416041277","0.356446052524122"
