"plh0042","year","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Big worries","1984","(0) in school","","","",""
"Big worries","1984","(1a) inadequately completed","196","0.319207215501362","0.283091025759165","0.355323405243559"
"Big worries","1984","(1b) general elementary school","378","0.247034694778598","0.224113086012673","0.269956303544523"
"Big worries","1984","(1c) basic vocational qualification","511","0.181672763695336","0.166919959099081","0.19642556829159"
"Big worries","1984","(2b) intermediate general qualification","41","0.192378473257762","0.139812659076319","0.244944287439206"
"Big worries","1984","(2a) intermediate vocational","87","0.100811274999377","0.0812172152729499","0.120405334725804"
"Big worries","1984","(2c_gen) general maturity certificate","37","0.255675617256784","0.180972586346003","0.330378648167566"
"Big worries","1984","(2c_voc) vocational maturity certificate","38","0.0922414638004987","0.0589373903290734","0.125545537271924"
"Big worries","1984","(3a) lower tertiary education","14","","",""
"Big worries","1984","(3b) higher tertiary education","39","0.0848207808787706","0.0572398280360022","0.112401733721539"
"Some worries","1984","(0) in school","1","","",""
"Some worries","1984","(1a) inadequately completed","212","0.342176542152982","0.305419724925164","0.378933359380799"
"Some worries","1984","(1b) general elementary school","454","0.3192121173857","0.294436514584518","0.343987720186882"
"Some worries","1984","(1c) basic vocational qualification","874","0.332627936618018","0.314600683859618","0.350655189376417"
"Some worries","1984","(2b) intermediate general qualification","69","0.318713652836072","0.256571486041565","0.380855819630579"
"Some worries","1984","(2a) intermediate vocational","270","0.297202597181174","0.267459525237909","0.326945669124438"
"Some worries","1984","(2c_gen) general maturity certificate","42","0.289193454717221","0.211554016902564","0.366832892531879"
"Some worries","1984","(2c_voc) vocational maturity certificate","81","0.247258444740365","0.197605203356528","0.296911686124203"
"Some worries","1984","(3a) lower tertiary education","48","0.254833172357548","0.191697140436015","0.317969204279081"
"Some worries","1984","(3b) higher tertiary education","75","0.184226126228522","0.145849608560838","0.222602643896206"
"No worries","1984","(0) in school","","","",""
"No worries","1984","(1a) inadequately completed","232","0.338616242345656","0.301952333908252","0.37528015078306"
"No worries","1984","(1b) general elementary school","528","0.433753187835702","0.407413970753197","0.460092404918207"
"No worries","1984","(1c) basic vocational qualification","1239","0.485699299686647","0.466576191933962","0.504822407439331"
"No worries","1984","(2b) intermediate general qualification","106","0.488907873906166","0.422244954904426","0.555570792907905"
"No worries","1984","(2a) intermediate vocational","550","0.601986127819449","0.570130454152631","0.633841801486267"
"No worries","1984","(2c_gen) general maturity certificate","52","0.455130928025994","0.36985495255029","0.540406903501698"
"No worries","1984","(2c_voc) vocational maturity certificate","171","0.660500091459136","0.605998979391751","0.715001203526521"
"No worries","1984","(3a) lower tertiary education","121","0.66708802959703","0.598810338634424","0.735365720559636"
"No worries","1984","(3b) higher tertiary education","278","0.730953092892707","0.687053164333966","0.774853021451449"
"Big worries","1985","(0) in school","1","","",""
"Big worries","1985","(1a) inadequately completed","91","0.200587219658271","0.16548777365825","0.235686665658292"
"Big worries","1985","(1b) general elementary school","255","0.16986177461713","0.148721052594306","0.191002496639953"
"Big worries","1985","(1c) basic vocational qualification","337","0.130327767910083","0.11664608514541","0.144009450674757"
"Big worries","1985","(2b) intermediate general qualification","33","0.14977430068832","0.101738401488724","0.197810199887917"
"Big worries","1985","(2a) intermediate vocational","57","0.0701926779891899","0.0531580126202467","0.087227343358133"
"Big worries","1985","(2c_gen) general maturity certificate","26","","",""
"Big worries","1985","(2c_voc) vocational maturity certificate","27","","",""
"Big worries","1985","(3a) lower tertiary education","15","","",""
"Big worries","1985","(3b) higher tertiary education","30","0.0706244399530423","0.0448314541983463","0.0964174257077384"
"Some worries","1985","(0) in school","","","",""
"Some worries","1985","(1a) inadequately completed","193","0.388429262700558","0.345708164569731","0.431150360831385"
"Some worries","1985","(1b) general elementary school","402","0.314740890973808","0.288595160814113","0.340886621133504"
"Some worries","1985","(1c) basic vocational qualification","751","0.316501805164642","0.297600142093158","0.335403468236127"
"Some worries","1985","(2b) intermediate general qualification","65","0.302789459902683","0.24094048453856","0.364638435266805"
"Some worries","1985","(2a) intermediate vocational","235","0.274438436067068","0.244684061780992","0.304192810353144"
"Some worries","1985","(2c_gen) general maturity certificate","48","0.323276533623165","0.244083240922548","0.402469826323781"
"Some worries","1985","(2c_voc) vocational maturity certificate","67","0.238663849848674","0.186750416092036","0.290577283605311"
"Some worries","1985","(3a) lower tertiary education","39","0.215501612902596","0.153693580237962","0.27730964556723"
"Some worries","1985","(3b) higher tertiary education","61","0.155503476285945","0.119019894377029","0.191987058194861"
"No worries","1985","(0) in school","2","","",""
"No worries","1985","(1a) inadequately completed","216","0.410983517641171","0.367857533860872","0.454109501421471"
"No worries","1985","(1b) general elementary school","555","0.515397334409062","0.487261437471181","0.543533231346943"
"No worries","1985","(1c) basic vocational qualification","1238","0.553170426925275","0.53296613348858","0.573374720361969"
"No worries","1985","(2b) intermediate general qualification","114","0.547436239408997","0.480434385492367","0.614438093325627"
"No worries","1985","(2a) intermediate vocational","572","0.655368885943742","0.623679678950812","0.687058092936672"
"No worries","1985","(2c_gen) general maturity certificate","60","0.54550864727149","0.461202484277626","0.629814810265355"
"No worries","1985","(2c_voc) vocational maturity certificate","165","0.701256685124197","0.645514265793304","0.75699910445509"
"No worries","1985","(3a) lower tertiary education","116","0.696537917204739","0.627426749810942","0.765649084598536"
"No worries","1985","(3b) higher tertiary education","288","0.773872083761013","0.731756757773954","0.815987409748072"
"Big worries","1986","(0) in school","2","","",""
"Big worries","1986","(1a) inadequately completed","104","0.256666968170881","0.217177992500114","0.296155943841649"
"Big worries","1986","(1b) general elementary school","204","0.141169447637128","0.120894616924548","0.161444278349708"
"Big worries","1986","(1c) basic vocational qualification","322","0.137924625234807","0.123482883979972","0.152366366489642"
"Big worries","1986","(2b) intermediate general qualification","32","0.123747457278098","0.0791040086664163","0.168390905889779"
"Big worries","1986","(2a) intermediate vocational","65","0.0820540838607467","0.0633718212201218","0.100736346501372"
"Big worries","1986","(2c_gen) general maturity certificate","34","0.171640717903119","0.11005409678333","0.233227339022908"
"Big worries","1986","(2c_voc) vocational maturity certificate","28","","",""
"Big worries","1986","(3a) lower tertiary education","12","","",""
