"plh0042","year","e11102","e11103","n","percent","lower_confidence","upper_confidence"
"Big worries","1984","Not Employed","Full Time","","","",""
"Big worries","1984","Not Employed","Part Time","","","",""
"Big worries","1984","Not Employed","Not Working","43","0.237794290302892","0.171411369418359","0.304177211187426"
"Big worries","1984","Employed","Full Time","1031","0.164204362302181","0.15417476706828","0.174233957536083"
"Big worries","1984","Employed","Part Time","280","0.182367310671962","0.162103850492663","0.202630770851261"
"Big worries","1984","Employed","Not Working","","","",""
"Some worries","1984","Not Employed","Full Time","","","",""
"Some worries","1984","Not Employed","Part Time","","","",""
"Some worries","1984","Not Employed","Not Working","46","0.281045502743945","0.2109550976615","0.351135907826391"
"Some worries","1984","Employed","Full Time","1668","0.308324172864651","0.295821694900358","0.320826650828944"
"Some worries","1984","Employed","Part Time","433","0.308140247964303","0.283910760105486","0.33236973582312"
"Some worries","1984","Employed","Not Working","","","",""
"No worries","1984","Not Employed","Full Time","","","",""
"No worries","1984","Not Employed","Part Time","","","",""
"No worries","1984","Not Employed","Not Working","69","0.481160206953163","0.403252389540082","0.559068024366244"
"No worries","1984","Employed","Full Time","2542","0.527471464833168","0.513955267734976","0.54098766193136"
"No worries","1984","Employed","Part Time","682","0.509492441363735","0.483259154279529","0.535725728447941"
"No worries","1984","Employed","Not Working","","","",""
"Big worries","1985","Not Employed","Full Time","","","",""
"Big worries","1985","Not Employed","Part Time","","","",""
"Big worries","1985","Not Employed","Not Working","28","","",""
"Big worries","1985","Employed","Full Time","682","0.124445799020425","0.11490373167288","0.133987866367969"
"Big worries","1985","Employed","Part Time","175","0.10526451521895","0.0891483815444449","0.121380648893454"
"Big worries","1985","Employed","Not Working","","","",""
"Some worries","1985","Not Employed","Full Time","","","",""
"Some worries","1985","Not Employed","Part Time","","","",""
"Some worries","1985","Not Employed","Not Working","43","0.287153842712173","0.212999721093304","0.361307964331042"
"Some worries","1985","Employed","Full Time","1430","0.294352176410512","0.281177545173535","0.307526807647489"
