"plh0042","year","regtyp","sex","n","percent","lower_confidence","upper_confidence","value"
"Big worries","1985","Rural Area","Female","60","0.113495836068406","0.0845090857739091","0.142482586362902","1"
"Big worries","1985","Rural Area","Male","121","0.131622125009509","0.107214070135739","0.156030179883279","1"
"Big worries","1985","Urban Area","Female","222","0.0975453837959364","0.0841443291755819","0.110946438416291","1"
"Big worries","1985","Urban Area","Male","482","0.132727057826559","0.120692162394046","0.144761953259073","1"
"No worries","1985","Rural Area","Female","243","0.553973321851736","0.508548417825057","0.599398225878415","3"
"No worries","1985","Rural Area","Male","378","0.553181299095579","0.517287968188426","0.589074630002732","3"
"No worries","1985","Urban Area","Female","1115","0.628176766088991","0.606347852201565","0.650005679976416","3"
"No worries","1985","Urban Area","Male","1626","0.579235146593359","0.561723302995244","0.596746990191473","3"
"Some worries","1985","Rural Area","Female","157","0.332530842079858","0.289478107409217","0.3755835767505","2"
"Some worries","1985","Rural Area","Male","238","0.315196575894912","0.281654645439392","0.348738506350432","2"
"Some worries","1985","Urban Area","Female","546","0.274277850115073","0.254126530627209","0.294429169602937","2"
"Some worries","1985","Urban Area","Male","945","0.288037795580082","0.271974379910097","0.304101211250067","2"
"Big worries","1986","Rural Area","Female","59","0.117940556000894","0.0881069717666713","0.147774140235117","1"
"Big worries","1986","Rural Area","Male","107","0.140750523871446","0.115043306103766","0.166457741639125","1"
"Big worries","1986","Urban Area","Female","238","0.111148851025842","0.0966525824753332","0.12564511957635","1"
"Big worries","1986","Urban Area","Male","449","0.125188553515459","0.113181263886355","0.137195843144562","1"
"No worries","1986","Rural Area","Female","246","0.563944790971666","0.518076352575004","0.609813229368327","3"
"No worries","1986","Rural Area","Male","365","0.541690078958775","0.504858062284809","0.578522095632741","3"
"No worries","1986","Urban Area","Female","1076","0.638430170004823","0.616271585628707","0.660588754380939","3"
"No worries","1986","Urban Area","Male","1563","0.57983179651787","0.56192293192651","0.59774066110923","3"
"Some worries","1986","Rural Area","Female","144","0.31811465302744","0.275034976211572","0.361194329843308","2"
"Some worries","1986","Urban Area","Female","492","0.250420978969335","0.230439239869916","0.270402718068755","2"
"Some worries","1986","Rural Area","Male","231","0.31755939716978","0.283146967097329","0.35197182724223","2"
"Some worries","1986","Urban Area","Male","906","0.294979649966671","0.278433296345529","0.311526003587813","2"
"Big worries","1987","Rural Area","Female","51","0.0941089352069183","0.0681502092165858","0.120067661197251","1"
"Big worries","1987","Rural Area","Male","70","0.0868139494180525","0.0663328072568534","0.107295091579252","1"
"Big worries","1987","Urban Area","Female","218","0.0955305721312772","0.0820445213122108","0.109016622950344","1"
"Big worries","1987","Urban Area","Male","379","0.108529986004993","0.0972538079056146","0.119806164104371","1"
"No worries","1987","Rural Area","Female","260","0.548889362924663","0.504649487277304","0.593129238572022","3"
"No worries","1987","Rural Area","Male","396","0.560077826475994","0.523970785693628","0.59618486725836","3"
"No worries","1987","Urban Area","Female","1041","0.607657258195097","0.585255669822013","0.630058846568182","3"
"No worries","1987","Urban Area","Male","1564","0.576990400322516","0.559080503299076","0.594900297345955","3"
"Some worries","1987","Rural Area","Female","175","0.357001701868419","0.314405584860257","0.39959781887658","2"
"Some worries","1987","Urban Area","Female","566","0.296812169673625","0.275852077824203","0.317772261523048","2"
"Some worries","1987","Rural Area","Male","260","0.353108224105953","0.318342641484285","0.387873806727622","2"
"Some worries","1987","Urban Area","Male","980","0.314479613672492","0.297647443264301","0.331311784080683","2"
"Big worries","1988","Rural Area","Female","56","0.103622671904822","0.075210150150228","0.132035193659416","1"
"Big worries","1988","Rural Area","Male","94","0.106795573985433","0.083339083368747","0.13025206460212","1"
"Big worries","1988","Urban Area","Female","226","0.105760408212376","0.0913970193202112","0.120123797104541","1"
"Big worries","1988","Urban Area","Male","444","0.134593759527495","0.12190250822672","0.14728501082827","1"
"No worries","1988","Rural Area","Female","228","0.529697333437674","0.483166635129308","0.576228031746039","3"
"No worries","1988","Rural Area","Male","319","0.489125615968188","0.451161067068767","0.527090164867609","3"
"No worries","1988","Urban Area","Female","968","0.592826132495968","0.569879337727966","0.61577292726397","3"
"No worries","1988","Urban Area","Male","1377","0.534875905411457","0.51632808396421","0.553423726858703","3"
"Some worries","1988","Rural Area","Female","158","0.366679994657504","0.321754572386273","0.411605416928736","2"
"Some worries","1988","Rural Area","Male","253","0.404078810046378","0.366810609060062","0.441347011032695","2"
"Some worries","1988","Urban Area","Female","567","0.301413459291656","0.279981600421992","0.322845318161319","2"
"Some worries","1988","Urban Area","Male","957","0.330530335061049","0.313037786680165","0.348022883441932","2"
"Big worries","1989","Rural Area","Female","35","0.0722366954499933","0.0477108641155504","0.0967625267844363","1"
"Big worries","1989","Rural Area","Male","52","0.0662288447751095","0.04700738259195","0.0854503069582691","1"
"Big worries","1989","Urban Area","Female","159","0.0758883253328836","0.063568668082434","0.0882079825833332","1"
"Big worries","1989","Urban Area","Male","259","0.0751298108009264","0.0652198964029632","0.0850397251988895","1"
"No worries","1989","Rural Area","Female","264","0.643151010779552","0.597764696066487","0.688537325492617","3"
"No worries","1989","Rural Area","Male","384","0.626342035579871","0.588949449160508","0.663734621999234","3"
"No worries","1989","Urban Area","Female","1103","0.664675144838251","0.642712405633562","0.68663788404294","3"
"No worries","1989","Urban Area","Male","1625","0.637596183499801","0.619524750141546","0.655667616858056","3"
"Some worries","1989","Rural Area","Female","129","0.284612293770454","0.241863509286938","0.327361078253971","2"
"Some worries","1989","Rural Area","Male","207","0.30742911964502","0.271763709806095","0.343094529483944","2"
"Some worries","1989","Urban Area","Female","513","0.259436529828865","0.239045196753291","0.27982786290444","2"
"Some worries","1989","Urban Area","Male","834","0.287274005699273","0.270262888794709","0.304285122603836","2"
"Big worries","1990","Rural Area","Female","475","0.261763736417755","0.239058853175029","0.284468619660481","1"
