"plh0042","year","e11102","education","n","percent","lower_confidence","upper_confidence"
"Big worries","1984","Not Employed","lower secondary degree","17","","",""
"Big worries","1984","Not Employed","secondary school degree","4","","",""
"Big worries","1984","Not Employed","college entrance qualification","8","","",""
"Big worries","1984","Not Employed","Other degree","9","","",""
"Big worries","1984","Not Employed","no degree/no degree yet","5","","",""
"Big worries","1984","Employed","lower secondary degree","608","0.193032895385079","0.179039761346081","0.207026029424076"
"Big worries","1984","Employed","secondary school degree","127","0.113876328594997","0.0955007490742786","0.132251908115715"
"Big worries","1984","Employed","college entrance qualification","56","0.0842076621590972","0.0636943367516091","0.104720987566585"
"Big worries","1984","Employed","Other degree","316","0.30008656219751","0.272339763097191","0.32783336129783"
"Big worries","1984","Employed","no degree/no degree yet","191","0.312625518219068","0.276484659541357","0.34876637689678"
"Some worries","1984","Not Employed","lower secondary degree","21","","",""
"Some worries","1984","Not Employed","secondary school degree","11","","",""
"Some worries","1984","Not Employed","college entrance qualification","5","","",""
"Some worries","1984","Not Employed","Other degree","4","","",""
"Some worries","1984","Not Employed","no degree/no degree yet","3","","",""
"Some worries","1984","Employed","lower secondary degree","1023","0.32928456904403","0.312622602628097","0.345946535459963"
"Some worries","1984","Employed","secondary school degree","342","0.297342193472818","0.270901225188158","0.323783161757478"
"Some worries","1984","Employed","college entrance qualification","161","0.216810009846887","0.186370686774061","0.247249332919713"
"Some worries","1984","Employed","Other degree","346","0.343095777594768","0.314353170179316","0.371838385010221"
"Some worries","1984","Employed","no degree/no degree yet","210","0.345107553068044","0.308043596789291","0.382171509346797"
"No worries","1984","Not Employed","lower secondary degree","39","0.509823171375794","0.398165413619423","0.621480929132166"
"No worries","1984","Not Employed","secondary school degree","11","","",""
"No worries","1984","Not Employed","college entrance qualification","15","","",""
"No worries","1984","Not Employed","Other degree","3","","",""
"No worries","1984","Not Employed","no degree/no degree yet","1","","",""
"No worries","1984","Employed","lower secondary degree","1425","0.477682535570892","0.459972951090888","0.495392120050896"
"No worries","1984","Employed","secondary school degree","679","0.588781477932185","0.56031783054743","0.61724512531694"
"No worries","1984","Employed","college entrance qualification","487","0.698982327994016","0.665098625825198","0.732866030162834"
"No worries","1984","Employed","Other degree","386","0.356817660207721","0.327813674940963","0.385821645474479"
"No worries","1984","Employed","no degree/no degree yet","231","0.342266928712887","0.30527586157161","0.379257995854164"
"Big worries","1985","Not Employed","lower secondary degree","11","","",""
"Big worries","1985","Not Employed","secondary school degree","2","","",""
"Big worries","1985","Not Employed","college entrance qualification","4","","",""
"Big worries","1985","Not Employed","Other degree","6","","",""
"Big worries","1985","Not Employed","no degree/no degree yet","4","","",""
"Big worries","1985","Employed","lower secondary degree","401","0.135748134631161","0.122948726312964","0.148547542949358"
"Big worries","1985","Employed","secondary school degree","89","0.0830712443368477","0.066664346519306","0.0994781421543894"
"Big worries","1985","Employed","college entrance qualification","52","0.0666065223157108","0.0482531559622451","0.0849598886691765"
"Big worries","1985","Employed","Other degree","215","0.252451415454945","0.223700153529661","0.281202677380229"
"Big worries","1985","Employed","no degree/no degree yet","88","0.195723085203307","0.160806554892905","0.23063961551371"
"Some worries","1985","Not Employed","lower secondary degree","23","","",""
"Some worries","1985","Not Employed","secondary school degree","9","","",""
"Some worries","1985","Not Employed","college entrance qualification","4","","",""
"Some worries","1985","Not Employed","Other degree","5","","",""
"Some worries","1985","Not Employed","no degree/no degree yet","1","","",""
"Some worries","1985","Employed","lower secondary degree","874","0.314208979953237","0.29686263457507","0.331555325331405"
"Some worries","1985","Employed","secondary school degree","303","0.278885533164639","0.252226253145632","0.305544813183646"
