"plh0042","year","age_gr","education","n","percent","lower_confidence","upper_confidence"
"Big worries","1984","16-34 y.","lower secondary degree","279","0.205337778746544","0.183077605422459","0.227597952070629"
"Big worries","1984","16-34 y.","secondary school degree","86","0.130570763613092","0.105153060851781","0.155988466374403"
"Big worries","1984","16-34 y.","college entrance qualification","37","0.125530169141893","0.0896745156963721","0.161385822587413"
"Big worries","1984","16-34 y.","Other degree","120","0.3476963305005","0.297443155244538","0.397949505756462"
"Big worries","1984","16-34 y.","no degree/no degree yet","46","0.284079310705897","0.215475805438837","0.352682815972957"
"Big worries","1984","35-65 y.","lower secondary degree","345","0.189036622479753","0.171199759450599","0.206873485508906"
"Big worries","1984","35-65 y.","secondary school degree","44","0.093797872848244","0.068036169611501","0.119559576084987"
"Big worries","1984","35-65 y.","college entrance qualification","27","","",""
"Big worries","1984","35-65 y.","Other degree","205","0.278409820722979","0.245624951836023","0.311194689609936"
"Big worries","1984","35-65 y.","no degree/no degree yet","150","0.338102347337171","0.295560063616462","0.380644631057881"
"Big worries","1984","66 and older","lower secondary degree","1","","",""
"Big worries","1984","66 and older","secondary school degree","1","","",""
"Big worries","1984","66 and older","college entrance qualification","","","",""
"Big worries","1984","66 and older","Other degree","","","",""
"Big worries","1984","66 and older","no degree/no degree yet","","","",""
"Some worries","1984","16-34 y.","lower secondary degree","449","0.355375887528133","0.329000425250907","0.381751349805359"
"Some worries","1984","16-34 y.","secondary school degree","209","0.314640114916077","0.279608303753038","0.349671926079115"
"Some worries","1984","16-34 y.","college entrance qualification","83","0.23416089521925","0.188332238993883","0.279989551444617"
"Some worries","1984","16-34 y.","Other degree","115","0.365161904583736","0.314356166464541","0.415967642702932"
"Some worries","1984","16-34 y.","no degree/no degree yet","65","0.426131103013347","0.350904403566091","0.501357802460604"
"Some worries","1984","35-65 y.","lower secondary degree","595","0.317315205352416","0.296112052783528","0.338518357921304"
"Some worries","1984","35-65 y.","secondary school degree","144","0.286753187794717","0.246791889768033","0.326714485821402"
"Some worries","1984","35-65 y.","college entrance qualification","83","0.203492318864431","0.163939672210263","0.243044965518599"
"Some worries","1984","35-65 y.","Other degree","235","0.327728720017679","0.293395431831411","0.362062008203948"
"Some worries","1984","35-65 y.","no degree/no degree yet","148","0.296819321938889","0.255734554319984","0.337904089557793"
"Some worries","1984","66 and older","lower secondary degree","","","",""
"Some worries","1984","66 and older","secondary school degree","","","",""
"Some worries","1984","66 and older","college entrance qualification","","","",""
"Some worries","1984","66 and older","Other degree","","","",""
"Some worries","1984","66 and older","no degree/no degree yet","","","",""
"No worries","1984","16-34 y.","lower secondary degree","537","0.439286333725323","0.411936968860181","0.466635698590465"
"No worries","1984","16-34 y.","secondary school degree","380","0.554789121470832","0.517296737447314","0.592281505494349"
"No worries","1984","16-34 y.","college entrance qualification","208","0.640308935638857","0.588372663365657","0.692245207912057"
"No worries","1984","16-34 y.","Other degree","110","0.287141764915763","0.239401116675894","0.334882413155633"
"No worries","1984","16-34 y.","no degree/no degree yet","55","0.289789586280756","0.220776896818261","0.358802275743251"
"No worries","1984","35-65 y.","lower secondary degree","911","0.493648172167831","0.470872047080484","0.516424297255179"
"No worries","1984","35-65 y.","secondary school degree","304","0.619448939357039","0.5765472133591","0.662350665354978"
"No worries","1984","35-65 y.","college entrance qualification","288","0.730235904565477","0.686631514150784","0.773840294980171"
"No worries","1984","35-65 y.","Other degree","278","0.393861459259341","0.358122363408983","0.429600555109699"
"No worries","1984","35-65 y.","no degree/no degree yet","177","0.36507833072394","0.321781671347665","0.408374990100215"
"No worries","1984","66 and older","lower secondary degree","16","","",""
"No worries","1984","66 and older","secondary school degree","6","","",""
"No worries","1984","66 and older","college entrance qualification","6","","",""
"No worries","1984","66 and older","Other degree","1","","",""
"No worries","1984","66 and older","no degree/no degree yet","","","",""
"Big worries","1985","16-34 y.","lower secondary degree","194","0.15057372354224","0.129610183126031","0.171537263958448"
"Big worries","1985","16-34 y.","secondary school degree","56","0.0888452042354877","0.0668536622335755","0.1108367462374"
"Big worries","1985","16-34 y.","college entrance qualification","37","0.0994794345093903","0.0675711678728479","0.131387701145933"
"Big worries","1985","16-34 y.","Other degree","64","0.260115919318176","0.207196942902085","0.313034895734266"
"Big worries","1985","16-34 y.","no degree/no degree yet","23","","",""
"Big worries","1985","35-65 y.","lower secondary degree","218","0.129198031789286","0.113139762605934","0.145256300972639"
"Big worries","1985","35-65 y.","secondary school degree","35","0.0753753436502482","0.0515337640816435","0.0992169232188529"
"Big worries","1985","35-65 y.","college entrance qualification","19","","",""
"Big worries","1985","35-65 y.","Other degree","157","0.252338055750422","0.218393761583786","0.286282349917059"
"Big worries","1985","35-65 y.","no degree/no degree yet","69","0.174879396002782","0.137130754343683","0.212628037661881"
"Big worries","1985","66 and older","lower secondary degree","","","",""
"Big worries","1985","66 and older","secondary school degree","","","",""
"Big worries","1985","66 and older","college entrance qualification","","","",""
"Big worries","1985","66 and older","Other degree","","","",""
