"ple0179","year","sex","n","percent","lower_confidence","upper_confidence"
"Daily","2016","Male","1642","0.136892704205213","0.130492397942381","0.143293010468045"
"Daily","2016","Female","919","0.0581241247020153","0.054118794191697","0.0621294552123336"
"Four to six days a week","2016","Male","3096","0.270950126022107","0.26267448756518","0.279225764479034"
"Four to six days a week","2016","Female","2509","0.185653228318039","0.178997137306907","0.192309319329172"
"Two to three days a week","2016","Male","5009","0.465270028336175","0.455982545740711","0.474557510931639"
"Two to three days a week","2016","Female","6446","0.489995205156357","0.481437716068764","0.49855269424395"
"Two to four days a month","2016","Male","993","0.0940425381922032","0.0886076040602242","0.0994774723241823"
"Two to four days a month","2016","Female","2149","0.172262806601109","0.165798747720856","0.178726865481362"
"Once a month or less","2016","Male","185","0.0168639351067328","0.0144664027010533","0.0192614675124123"
"Once a month or less","2016","Female","553","0.0516013687275669","0.047814420399886","0.0553883170552477"
"Never","2016","Male","155","0.0159806681375692","0.0136457186354593","0.0183156176396792"
"Never","2016","Female","533","0.0423632664949127","0.0389153365957721","0.0458111963940534"
"Daily","2017","Male","","","",""
"Daily","2017","Female","","","",""
"Four to six days a week","2017","Male","","","",""
"Four to six days a week","2017","Female","","","",""
"Two to three days a week","2017","Male","","","",""
"Two to three days a week","2017","Female","","","",""
"Two to four days a month","2017","Male","","","",""
"Two to four days a month","2017","Female","","","",""
"Once a month or less","2017","Male","","","",""
"Once a month or less","2017","Female","","","",""
"Never","2017","Male","","","",""
"Never","2017","Female","","","",""
"Daily","2018","Male","1910","0.153403984448455","0.146906140458777","0.159901828438132"
"Daily","2018","Female","930","0.05769132699937","0.0538040460677427","0.0615786079309974"
"Four to six days a week","2018","Male","3333","0.278371271333166","0.270289957669289","0.286452584997043"
"Four to six days a week","2018","Female","2520","0.173305784239676","0.166995149440996","0.179616419038355"
"Two to three days a week","2018","Male","5057","0.429334995335404","0.420410131168902","0.438259859501906"
"Two to three days a week","2018","Female","6700","0.4832736327987","0.474942176292662","0.491605089304738"
"Two to four days a month","2018","Male","1125","0.105943338435688","0.100394115167449","0.111492561703926"
"Two to four days a month","2018","Female","2365","0.183360371432631","0.176908851625824","0.189811891239439"
"Once a month or less","2018","Male","216","0.0174867433062199","0.0151233471396576","0.0198501394727821"
"Once a month or less","2018","Female","652","0.0548353078587103","0.0510397295385481","0.0586308861788724"
"Never","2018","Male","175","0.0154596671410682","0.0132351811479942","0.0176841531341421"
"Never","2018","Female","653","0.0475335766709127","0.0439861032200614","0.051081050121764"
