"ple0179","year","migback","sampreg","n","percent","lower_confidence","upper_confidence"
"Daily","2016","no migration background","West Germany","1156","0.086380326176447","0.0815998821673412","0.0911607701855527"
"Daily","2016","no migration background","East Germany","563","0.112738298613936","0.103583684828452","0.12189291239942"
"Daily","2016","direct migration background","West Germany","607","0.116130234164423","0.106709674066181","0.125550794262666"
"Daily","2016","direct migration background","East Germany","57","0.0899622451466469","0.0599862288148581","0.119938261478436"
"Daily","2016","indirect migration background","West Germany","165","0.120033549899596","0.103235725756498","0.136831374042694"
"Daily","2016","indirect migration background","East Germany","13","","",""
"Four to six days a week","2016","no migration background","West Germany","3218","0.235236988807515","0.228019363416722","0.242454614198308"
"Four to six days a week","2016","no migration background","East Germany","971","0.222923411855147","0.210876154884821","0.234970668825473"
"Four to six days a week","2016","direct migration background","West Germany","954","0.199706893259881","0.187951666793795","0.211462119725966"
"Four to six days a week","2016","direct migration background","East Germany","90","0.218525906670656","0.175232393735669","0.261819419605643"
"Four to six days a week","2016","indirect migration background","West Germany","343","0.224844649117548","0.203266991336258","0.246422306898837"
"Four to six days a week","2016","indirect migration background","East Germany","29","","",""
"Two to three days a week","2016","no migration background","West Germany","6359","0.479755101181116","0.471253674564185","0.488256527798047"
"Two to three days a week","2016","no migration background","East Germany","2226","0.489814516383274","0.475344857407403","0.504284175359146"
"Two to three days a week","2016","direct migration background","West Germany","2090","0.487990855076858","0.473292977182428","0.502688732971287"
"Two to three days a week","2016","direct migration background","East Germany","119","0.38450478664392","0.33353916989777","0.43547040339007"
"Two to three days a week","2016","indirect migration background","West Germany","615","0.409839411478073","0.384420285741686","0.435258537214461"
"Two to three days a week","2016","indirect migration background","East Germany","46","0.306665778089515","0.219296212227318","0.394035343951712"
"Two to four days a month","2016","no migration background","West Germany","1718","0.131591786704887","0.125839315577916","0.137344257831858"
"Two to four days a month","2016","no migration background","East Germany","619","0.129172667080694","0.119464667244386","0.138880666917001"
"Two to four days a month","2016","direct migration background","West Germany","534","0.139058380717091","0.128884295527437","0.149232465906745"
"Two to four days a month","2016","direct migration background","East Germany","54","0.138826682223664","0.102602730708151","0.175050633739177"
"Two to four days a month","2016","indirect migration background","West Germany","203","0.15434323912713","0.135670436107926","0.173016042146333"
"Two to four days a month","2016","indirect migration background","East Germany","14","","",""
"Once a month or less","2016","no migration background","West Germany","411","0.0362621950028197","0.033081041786657","0.0394433482189825"
"Once a month or less","2016","no migration background","East Germany","119","0.0257325346449918","0.0211494402302428","0.0303156290597407"
"Once a month or less","2016","direct migration background","West Germany","136","0.0322686966331845","0.0270725901646922","0.0374648031016769"
"Once a month or less","2016","direct migration background","East Germany","10","","",""
"Once a month or less","2016","indirect migration background","West Germany","60","0.0510068058311686","0.0396353973399586","0.0623782143223786"
"Once a month or less","2016","indirect migration background","East Germany","2","","",""
"Never","2016","no migration background","West Germany","404","0.0307736021272148","0.0278347354890354","0.0337124687653941"
"Never","2016","no migration background","East Germany","87","0.0196185714219576","0.015604273053933","0.0236328697899822"
"Never","2016","direct migration background","West Germany","122","0.0248449401485629","0.0202680999298619","0.0294217803672639"
"Never","2016","direct migration background","East Germany","20","","",""
"Never","2016","indirect migration background","West Germany","52","0.0399323445464846","0.0298123105338418","0.0500523785591275"
"Never","2016","indirect migration background","East Germany","3","","",""
"Daily","2017","no migration background","West Germany","","","",""
"Daily","2017","no migration background","East Germany","","","",""
"Daily","2017","direct migration background","West Germany","","","",""
"Daily","2017","direct migration background","East Germany","","","",""
"Daily","2017","indirect migration background","West Germany","","","",""
"Daily","2017","indirect migration background","East Germany","","","",""
"Four to six days a week","2017","no migration background","West Germany","","","",""
"Four to six days a week","2017","no migration background","East Germany","","","",""
"Four to six days a week","2017","direct migration background","West Germany","","","",""
"Four to six days a week","2017","direct migration background","East Germany","","","",""
"Four to six days a week","2017","indirect migration background","West Germany","","","",""
"Four to six days a week","2017","indirect migration background","East Germany","","","",""
"Two to three days a week","2017","no migration background","West Germany","","","",""
"Two to three days a week","2017","no migration background","East Germany","","","",""
"Two to three days a week","2017","direct migration background","West Germany","","","",""
"Two to three days a week","2017","direct migration background","East Germany","","","",""
"Two to three days a week","2017","indirect migration background","West Germany","","","",""
"Two to three days a week","2017","indirect migration background","East Germany","","","",""
"Two to four days a month","2017","no migration background","West Germany","","","",""
"Two to four days a month","2017","no migration background","East Germany","","","",""
"Two to four days a month","2017","direct migration background","West Germany","","","",""
"Two to four days a month","2017","direct migration background","East Germany","","","",""
"Two to four days a month","2017","indirect migration background","West Germany","","","",""
"Two to four days a month","2017","indirect migration background","East Germany","","","",""
"Once a month or less","2017","no migration background","West Germany","","","",""
"Once a month or less","2017","no migration background","East Germany","","","",""
"Once a month or less","2017","direct migration background","West Germany","","","",""
"Once a month or less","2017","direct migration background","East Germany","","","",""
"Once a month or less","2017","indirect migration background","West Germany","","","",""
"Once a month or less","2017","indirect migration background","East Germany","","","",""
"Never","2017","no migration background","West Germany","","","",""
"Never","2017","no migration background","East Germany","","","",""
"Never","2017","direct migration background","West Germany","","","",""
"Never","2017","direct migration background","East Germany","","","",""
"Never","2017","indirect migration background","West Germany","","","",""
"Never","2017","indirect migration background","East Germany","","","",""
"Daily","2018","no migration background","West Germany","1426","0.098744580557986","0.0938861119050151","0.103603049210957"
"Daily","2018","no migration background","East Germany","610","0.115962568572342","0.107106372550907","0.124818764593778"
"Daily","2018","direct migration background","West Germany","494","0.100035979753281","0.090831435726534","0.109240523780029"
"Daily","2018","direct migration background","East Germany","73","0.218886012042384","0.175317146324701","0.262454877760068"
"Daily","2018","indirect migration background","West Germany","215","0.13086573969154","0.114252128189872","0.147479351193209"
"Daily","2018","indirect migration background","East Germany","22","","",""
"Four to six days a week","2018","no migration background","West Germany","3491","0.230105268073869","0.223250420842491","0.236960115305247"
"Four to six days a week","2018","no migration background","East Germany","996","0.205071572090385","0.193903718162557","0.216239426018212"
"Four to six days a week","2018","direct migration background","West Germany","898","0.219693423758261","0.206991989844644","0.232394857671877"
"Four to six days a week","2018","direct migration background","East Germany","61","0.21256122730642","0.169452970269207","0.255669484343634"
"Four to six days a week","2018","indirect migration background","West Germany","377","0.238954694279944","0.217947373231776","0.259962015328113"
"Four to six days a week","2018","indirect migration background","East Germany","30","0.220514854904021","0.146643127797755","0.294386582010287"
"Two to three days a week","2018","no migration background","West Germany","6590","0.456390834189451","0.448278783272012","0.464502885106889"
"Two to three days a week","2018","no migration background","East Germany","2445","0.478795265340773","0.464977682403795","0.492612848277751"
"Two to three days a week","2018","direct migration background","West Germany","1883","0.462803490578322","0.447507539187501","0.478099441969144"
"Two to three days a week","2018","direct migration background","East Germany","134","0.295753669358716","0.247665592530265","0.343841746187168"
"Two to three days a week","2018","indirect migration background","West Germany","659","0.408731957359758","0.384515024686613","0.432948890032904"
"Two to three days a week","2018","indirect migration background","East Germany","46","0.380054973799945","0.293567102885762","0.466542844714128"
"Two to four days a month","2018","no migration background","West Germany","1996","0.145505520091956","0.139762858941099","0.151248181242814"
"Two to four days a month","2018","no migration background","East Germany","717","0.151726412995111","0.141803217488893","0.161649608501328"
