"ple0179","year","education","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Daily","2016","lower secondary degree","1-pers.-HH","82","0.069940693736745","0.0549971590162052","0.0848842284572849"
"Daily","2016","lower secondary degree","(Married) couple without C. ","158","0.0680993069391113","0.0577475622096972","0.0784510516685254"
"Daily","2016","lower secondary degree","Single parent ","42","0.0730872099418375","0.0494046181210429","0.096769801762632"
"Daily","2016","lower secondary degree","Couple + C. LE 16 ","156","0.188468523083128","0.16286108185923","0.214075964307026"
"Daily","2016","lower secondary degree","Couple + C. GT 16 ","57","0.0936549795775593","0.0700052582919617","0.117304700863157"
"Daily","2016","lower secondary degree","Couple + C. LE and GT 16","59","0.169521755420656","0.129039195110279","0.210004315731033"
"Daily","2016","secondary school degree","1-pers.-HH","82","0.0987724878236431","0.0788667669429076","0.118678208704379"
"Daily","2016","secondary school degree","(Married) couple without C. ","184","0.096956083823086","0.0843065738008454","0.109605593845327"
"Daily","2016","secondary school degree","Single parent ","64","0.0871909594782676","0.0656842951865346","0.108697623770001"
"Daily","2016","secondary school degree","Couple + C. LE 16 ","208","0.125988061759108","0.109393115020491","0.142583008497725"
"Daily","2016","secondary school degree","Couple + C. GT 16 ","83","0.131976228395159","0.107881215995496","0.156071240794821"
"Daily","2016","secondary school degree","Couple + C. LE and GT 16","68","0.103680216518952","0.0780867402380923","0.129273692799812"
"Daily","2016","college entrance qualification","1-pers.-HH","73","0.0784705484195392","0.0614687700356248","0.0954723268034535"
"Daily","2016","college entrance qualification","(Married) couple without C. ","157","0.0881215415122967","0.075523651591069","0.100719431433524"
"Daily","2016","college entrance qualification","Single parent ","29","","",""
"Daily","2016","college entrance qualification","Couple + C. LE 16 ","157","0.0768754282214972","0.0649128571614397","0.0888379992815547"
"Daily","2016","college entrance qualification","Couple + C. GT 16 ","79","0.126906814198159","0.103441243857443","0.150372384538875"
"Daily","2016","college entrance qualification","Couple + C. LE and GT 16","46","0.0619871502588532","0.0415544186997178","0.0824198818179885"
"Daily","2016","Other degree","1-pers.-HH","37","0.120878045164512","0.0866283471902775","0.155127743138746"
"Daily","2016","Other degree","(Married) couple without C. ","113","0.104480128929837","0.0834799134928502","0.125480344366824"
"Daily","2016","Other degree","Single parent ","17","","",""
"Daily","2016","Other degree","Couple + C. LE 16 ","175","0.124266363742495","0.105290795429305","0.143241932055686"
"Daily","2016","Other degree","Couple + C. GT 16 ","39","0.0619867563497364","0.0344236369468764","0.0895498757525964"
"Daily","2016","Other degree","Couple + C. LE and GT 16","48","0.160591707588174","0.119387045494599","0.201796369681749"
"Daily","2016","no degree/no degree yet","1-pers.-HH","5","","",""
"Daily","2016","no degree/no degree yet","(Married) couple without C. ","8","","",""
"Daily","2016","no degree/no degree yet","Single parent ","23","","",""
"Daily","2016","no degree/no degree yet","Couple + C. LE 16 ","41","0.205203555638","0.141211984349335","0.269195126926665"
"Daily","2016","no degree/no degree yet","Couple + C. GT 16 ","28","","",""
"Daily","2016","no degree/no degree yet","Couple + C. LE and GT 16","36","0.277008123521608","0.21574711785317","0.338269129190046"
"Four to six days a week","2016","lower secondary degree","1-pers.-HH","177","0.16242397231514","0.140813202825047","0.184034741805234"
"Four to six days a week","2016","lower secondary degree","(Married) couple without C. ","514","0.214296981837984","0.197435543119125","0.231158420556843"
"Four to six days a week","2016","lower secondary degree","Single parent ","97","0.257046363564197","0.217283679797805","0.29680904733059"
"Four to six days a week","2016","lower secondary degree","Couple + C. LE 16 ","261","0.245179476810576","0.217011348320225","0.273347605300927"
"Four to six days a week","2016","lower secondary degree","Couple + C. GT 16 ","164","0.30085353275697","0.263625039866035","0.338082025647906"
"Four to six days a week","2016","lower secondary degree","Couple + C. LE and GT 16","92","0.26586121314979","0.218195324177019","0.313527102122561"
"Four to six days a week","2016","secondary school degree","1-pers.-HH","133","0.166469460900229","0.141616923396805","0.191321998403652"
"Four to six days a week","2016","secondary school degree","(Married) couple without C. ","473","0.238697229986538","0.220473631854437","0.256920828118639"
"Four to six days a week","2016","secondary school degree","Single parent ","104","0.188015391064635","0.158228994919938","0.217801787209331"
"Four to six days a week","2016","secondary school degree","Couple + C. LE 16 ","419","0.313374688530717","0.290177019636929","0.336572357424504"
"Four to six days a week","2016","secondary school degree","Couple + C. GT 16 ","206","0.263977215538015","0.232597981428699","0.29535644964733"
"Four to six days a week","2016","secondary school degree","Couple + C. LE and GT 16","150","0.292553593958639","0.254359225706454","0.330747962210823"
"Four to six days a week","2016","college entrance qualification","1-pers.-HH","158","0.171649205901689","0.147808756215727","0.19548965558765"
"Four to six days a week","2016","college entrance qualification","(Married) couple without C. ","461","0.244670007338818","0.225565008277012","0.263775006400625"
"Four to six days a week","2016","college entrance qualification","Single parent ","92","0.176016491758354","0.144332671596426","0.207700311920281"
"Four to six days a week","2016","college entrance qualification","Couple + C. LE 16 ","544","0.313733541370059","0.292896912159153","0.334570170580965"
"Four to six days a week","2016","college entrance qualification","Couple + C. GT 16 ","202","0.283828885887829","0.252045874724161","0.315611897051496"
"Four to six days a week","2016","college entrance qualification","Couple + C. LE and GT 16","153","0.337369606945865","0.297305095287355","0.377434118604375"
"Four to six days a week","2016","Other degree","1-pers.-HH","55","0.12936084016004","0.0941011102444111","0.16462057007567"
"Four to six days a week","2016","Other degree","(Married) couple without C. ","151","0.173436339182012","0.147442077318307","0.199430601045717"
"Four to six days a week","2016","Other degree","Single parent ","22","","",""
"Four to six days a week","2016","Other degree","Couple + C. LE 16 ","290","0.240342159542808","0.215763625690015","0.2649206933956"
"Four to six days a week","2016","Other degree","Couple + C. GT 16 ","73","0.203531729352135","0.157508750320606","0.249554708383665"
"Four to six days a week","2016","Other degree","Couple + C. LE and GT 16","67","0.199513655626605","0.154663758810097","0.244363552443114"
"Four to six days a week","2016","no degree/no degree yet","1-pers.-HH","10","","",""
"Four to six days a week","2016","no degree/no degree yet","(Married) couple without C. ","15","","",""
"Four to six days a week","2016","no degree/no degree yet","Single parent ","32","0.337268808705623","0.257811210805178","0.416726406606069"
"Four to six days a week","2016","no degree/no degree yet","Couple + C. LE 16 ","36","0.244986924969166","0.176839246572878","0.313134603365453"
"Four to six days a week","2016","no degree/no degree yet","Couple + C. GT 16 ","38","0.328429168949904","0.252766090630799","0.404092247269009"
"Four to six days a week","2016","no degree/no degree yet","Couple + C. LE and GT 16","56","0.258106331101091","0.198204331249543","0.31800833095264"
"Two to three days a week","2016","lower secondary degree","1-pers.-HH","558","0.492004313094976","0.462712414956655","0.521296211233298"
"Two to three days a week","2016","lower secondary degree","(Married) couple without C. ","1299","0.576090267152622","0.555783567120672","0.596396967184573"
"Two to three days a week","2016","lower secondary degree","Single parent ","231","0.471530235113794","0.426109522244379","0.516950947983209"
"Two to three days a week","2016","lower secondary degree","Couple + C. LE 16 ","383","0.440188612561611","0.407684796466164","0.472692428657058"
"Two to three days a week","2016","lower secondary degree","Couple + C. GT 16 ","299","0.517697367247765","0.477136091311862","0.558258643183667"
"Two to three days a week","2016","lower secondary degree","Couple + C. LE and GT 16","152","0.499413786264061","0.445467590142665","0.553359982385457"
"Two to three days a week","2016","secondary school degree","1-pers.-HH","371","0.440433298508056","0.407311897599499","0.473554699416613"
"Two to three days a week","2016","secondary school degree","(Married) couple without C. ","1093","0.499132644471522","0.477757892396436","0.520507396546608"
"Two to three days a week","2016","secondary school degree","Single parent ","324","0.495601261899993","0.457485855149648","0.533716668650339"
"Two to three days a week","2016","secondary school degree","Couple + C. LE 16 ","709","0.432109492634374","0.407336316450014","0.456882668818734"
"Two to three days a week","2016","secondary school degree","Couple + C. GT 16 ","355","0.462300423787743","0.426807197243888","0.497793650331598"
"Two to three days a week","2016","secondary school degree","Couple + C. LE and GT 16","238","0.449674123963804","0.407909482708839","0.491438765218769"
"Two to three days a week","2016","college entrance qualification","1-pers.-HH","435","0.442917883932859","0.411512246422933","0.474323521442784"
"Two to three days a week","2016","college entrance qualification","(Married) couple without C. ","951","0.470223363465466","0.44804207392466","0.492404653006273"
"Two to three days a week","2016","college entrance qualification","Single parent ","242","0.474671978208661","0.43312746445098","0.516216491966342"
"Two to three days a week","2016","college entrance qualification","Couple + C. LE 16 ","859","0.442888812718178","0.420582956630122","0.465194668806233"
