"ple0179","year","age_gr","e11102","n","percent","lower_confidence","upper_confidence"
"Daily","2016","16-34 y.","Not Employed","251","0.159917941796595","0.141546053386606","0.178289830206583"
"Daily","2016","16-34 y.","Employed","646","0.141799465232143","0.131061106559997","0.152537823904289"
"Daily","2016","35-65 y.","Not Employed","243","0.086706381596934","0.0752407718252906","0.0981719913685774"
"Daily","2016","35-65 y.","Employed","1133","0.0953902826094346","0.0900312025121771","0.100749362706692"
"Daily","2016","66 and older","Not Employed","256","0.0555725113721663","0.048684100448365","0.0624609222959677"
"Daily","2016","66 and older","Employed","32","0.0535338583924559","0.0338234309671828","0.0732442858177291"
"Four to six days a week","2016","16-34 y.","Not Employed","359","0.223298800356249","0.202424374883354","0.244173225829144"
"Four to six days a week","2016","16-34 y.","Employed","1065","0.268631451393942","0.25498710337375","0.282275799414134"
"Four to six days a week","2016","35-65 y.","Not Employed","455","0.207198736510496","0.190685122396074","0.223712350624919"
"Four to six days a week","2016","35-65 y.","Employed","2822","0.244060858539181","0.236224757270357","0.251896959808005"
"Four to six days a week","2016","66 and older","Not Employed","807","0.173301607478026","0.161920629903451","0.1846825850526"
"Four to six days a week","2016","66 and older","Employed","97","0.195648474419585","0.160911626608617","0.230385322230552"
"Two to three days a week","2016","16-34 y.","Not Employed","605","0.418268918859692","0.393544090846143","0.442993746873241"
"Two to three days a week","2016","16-34 y.","Employed","1538","0.384539457061326","0.36956411397001","0.399514800152641"
"Two to three days a week","2016","35-65 y.","Not Employed","1150","0.494856773913102","0.47448572271663","0.515227825109575"
"Two to three days a week","2016","35-65 y.","Employed","5479","0.47625193732008","0.467140494617092","0.485363380023067"
"Two to three days a week","2016","66 and older","Not Employed","2406","0.56060305646312","0.545679890395751","0.575526222530488"
"Two to three days a week","2016","66 and older","Employed","277","0.524826311169302","0.481097948092019","0.568554674246584"
"Two to four days a month","2016","16-34 y.","Not Employed","182","0.120311168187975","0.104004626715353","0.136617709660598"
"Two to four days a month","2016","16-34 y.","Employed","466","0.113459767385329","0.103696922527789","0.123222612242869"
"Two to four days a month","2016","35-65 y.","Not Employed","340","0.155627221371078","0.140857363799356","0.170397078942799"
"Two to four days a month","2016","35-65 y.","Employed","1480","0.126861773424091","0.120790015527657","0.132933531320524"
"Two to four days a month","2016","66 and older","Not Employed","596","0.15476766310693","0.143892572350562","0.165642753863298"
"Two to four days a month","2016","66 and older","Employed","78","0.176875575946506","0.143464081161819","0.210287070731193"
"Once a month or less","2016","16-34 y.","Not Employed","56","0.0278349731759961","0.0195896107738393","0.0360803355781529"
"Once a month or less","2016","16-34 y.","Employed","149","0.0404119080189546","0.0343500840344296","0.0464737320034797"
"Once a month or less","2016","35-65 y.","Not Employed","65","0.0310207891842449","0.023956799365996","0.0380847790024939"
"Once a month or less","2016","35-65 y.","Employed","332","0.032500489561321","0.0292654627494555","0.0357355163731866"
"Once a month or less","2016","66 and older","Not Employed","125","0.0371230421783308","0.03143828522129","0.0428077991353716"
"Once a month or less","2016","66 and older","Employed","11","","",""
"Never","2016","16-34 y.","Not Employed","76","0.0503681976234929","0.0394059355962121","0.0613304596507736"
"Never","2016","16-34 y.","Employed","190","0.0511579509083056","0.0443759202196917","0.0579399815969195"
"Never","2016","35-65 y.","Not Employed","61","0.0245900974241448","0.0182799410966047","0.0309002537516849"
"Never","2016","35-65 y.","Employed","296","0.0249346585458931","0.0220900263009411","0.0277792907908451"
"Never","2016","66 and older","Not Employed","59","0.0186321194014278","0.0145662654473009","0.0226979733555548"
"Never","2016","66 and older","Employed","6","","",""
"Daily","2017","16-34 y.","Not Employed","","","",""
"Daily","2017","16-34 y.","Employed","","","",""
"Daily","2017","35-65 y.","Not Employed","","","",""
"Daily","2017","35-65 y.","Employed","","","",""
"Daily","2017","66 and older","Not Employed","","","",""
"Daily","2017","66 and older","Employed","","","",""
"Four to six days a week","2017","16-34 y.","Not Employed","","","",""
"Four to six days a week","2017","16-34 y.","Employed","","","",""
"Four to six days a week","2017","35-65 y.","Not Employed","","","",""
"Four to six days a week","2017","35-65 y.","Employed","","","",""
"Four to six days a week","2017","66 and older","Not Employed","","","",""
"Four to six days a week","2017","66 and older","Employed","","","",""
"Two to three days a week","2017","16-34 y.","Not Employed","","","",""
"Two to three days a week","2017","16-34 y.","Employed","","","",""
"Two to three days a week","2017","35-65 y.","Not Employed","","","",""
"Two to three days a week","2017","35-65 y.","Employed","","","",""
"Two to three days a week","2017","66 and older","Not Employed","","","",""
"Two to three days a week","2017","66 and older","Employed","","","",""
"Two to four days a month","2017","16-34 y.","Not Employed","","","",""
"Two to four days a month","2017","16-34 y.","Employed","","","",""
"Two to four days a month","2017","35-65 y.","Not Employed","","","",""
"Two to four days a month","2017","35-65 y.","Employed","","","",""
"Two to four days a month","2017","66 and older","Not Employed","","","",""
"Two to four days a month","2017","66 and older","Employed","","","",""
"Once a month or less","2017","16-34 y.","Not Employed","","","",""
"Once a month or less","2017","16-34 y.","Employed","","","",""
"Once a month or less","2017","35-65 y.","Not Employed","","","",""
"Once a month or less","2017","35-65 y.","Employed","","","",""
"Once a month or less","2017","66 and older","Not Employed","","","",""
"Once a month or less","2017","66 and older","Employed","","","",""
"Never","2017","16-34 y.","Not Employed","","","",""
"Never","2017","16-34 y.","Employed","","","",""
"Never","2017","35-65 y.","Not Employed","","","",""
"Never","2017","35-65 y.","Employed","","","",""
"Never","2017","66 and older","Not Employed","","","",""
"Never","2017","66 and older","Employed","","","",""
"Daily","2018","16-34 y.","Not Employed","231","0.153553793631008","0.135754615841488","0.171352971420528"
"Daily","2018","16-34 y.","Employed","746","0.161931980667801","0.151099800308708","0.172764161026894"
"Daily","2018","35-65 y.","Not Employed","192","0.0768684748537943","0.0658787141782001","0.0878582355293885"
"Daily","2018","35-65 y.","Employed","1386","0.114376191983027","0.108762809257645","0.11998957470841"
"Daily","2018","66 and older","Not Employed","251","0.046166922959116","0.0399657654254158","0.0523680804928162"
"Daily","2018","66 and older","Employed","34","0.0360402310500396","0.0212731173871132","0.0508073447129659"
"Four to six days a week","2018","16-34 y.","Not Employed","395","0.255754745886496","0.234215034883047","0.277294456889945"
"Four to six days a week","2018","16-34 y.","Employed","1149","0.259841491538745","0.246946336958129","0.272736646119361"
"Four to six days a week","2018","35-65 y.","Not Employed","443","0.194852264590545","0.178511482892661","0.211193046288428"
"Four to six days a week","2018","35-65 y.","Employed","2946","0.240382329546903","0.232845633598712","0.247919025495094"
"Four to six days a week","2018","66 and older","Not Employed","801","0.180280476364122","0.168920482468301","0.191640470259944"
"Four to six days a week","2018","66 and older","Employed","119","0.139924420503295","0.112439945429486","0.167408895577103"
"Two to three days a week","2018","16-34 y.","Not Employed","585","0.375956201894118","0.352042536571498","0.399869867216739"
"Two to three days a week","2018","16-34 y.","Employed","1631","0.362235871986488","0.348102828136231","0.376368915836744"
"Two to three days a week","2018","35-65 y.","Not Employed","1118","0.493582490187155","0.472956417659644","0.514208562714666"
"Two to three days a week","2018","35-65 y.","Employed","5659","0.452858901413589","0.444079532087467","0.461638270739711"
"Two to three days a week","2018","66 and older","Not Employed","2432","0.537067414368386","0.522332609550307","0.551802219186465"
"Two to three days a week","2018","66 and older","Employed","332","0.537157399703956","0.497653513298276","0.576661286109635"
"Two to four days a month","2018","16-34 y.","Not Employed","212","0.123332986086401","0.107098933791445","0.139567038381357"
"Two to four days a month","2018","16-34 y.","Employed","506","0.116123348695488","0.106703031185663","0.125543666205312"
"Two to four days a month","2018","35-65 y.","Not Employed","346","0.159193609008371","0.144099998881825","0.174287219134917"
"Two to four days a month","2018","35-65 y.","Employed","1597","0.131014655105298","0.125063539857111","0.136965770353485"
"Two to four days a month","2018","66 and older","Not Employed","729","0.18839136312219","0.17683623050265","0.19994649574173"
"Two to four days a month","2018","66 and older","Employed","100","0.217302964699617","0.18462898385486","0.249976945544374"
"Once a month or less","2018","16-34 y.","Not Employed","57","0.0385393171529146","0.0290357257320831","0.0480429085737461"
"Once a month or less","2018","16-34 y.","Employed","169","0.0412462578420309","0.0353989528549176","0.0470935628291441"
"Once a month or less","2018","35-65 y.","Not Employed","99","0.0494838321602739","0.0405364965406631","0.0584311677798848"
"Once a month or less","2018","35-65 y.","Employed","402","0.0334033987169467","0.0302341950020266","0.0365726024318668"
"Once a month or less","2018","66 and older","Not Employed","127","0.0331581150546074","0.0278670420320724","0.0384491880771425"
"Once a month or less","2018","66 and older","Employed","14","","",""
"Never","2018","16-34 y.","Not Employed","96","0.0528629553490619","0.0418157579190879","0.0639101527790359"
"Never","2018","16-34 y.","Employed","242","0.0586210492694478","0.0517135798664095","0.0655285186724861"
"Never","2018","35-65 y.","Not Employed","59","0.0260193291998612","0.0194517468279403","0.0325869115717821"
"Never","2018","35-65 y.","Employed","359","0.0279645232342365","0.0250566400008717","0.0308724064676014"
"Never","2018","66 and older","Not Employed","59","0.0149357081315785","0.0113513094631374","0.0185201068000196"
"Never","2018","66 and older","Employed","13","","",""
