"ple0179","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence"
"Daily","2016","in school","West Germany","56","0.200078225967919","0.154113437079663","0.246043014856174"
"Daily","2016","in school","East Germany","6","","",""
"Daily","2016","inadequately","West Germany","61","0.143109860790467","0.106733399859055","0.179486321721879"
"Daily","2016","inadequately","East Germany","14","","",""
"Daily","2016","general elemantary","West Germany","284","0.0970247914551487","0.0847836339091206","0.109265949001177"
"Daily","2016","general elemantary","East Germany","61","0.122349421598053","0.0862765893724183","0.158422253823688"
"Daily","2016","middle vocational","West Germany","823","0.093110246574907","0.0869067570962992","0.0993137360535148"
"Daily","2016","middle vocational","East Germany","329","0.118114711347739","0.105605187700211","0.130624234995268"
"Daily","2016","vocational + Abi","West Germany","191","0.0976596163765412","0.0837234891770413","0.111595743576041"
"Daily","2016","vocational + Abi","East Germany","39","0.132225362945577","0.092117116961595","0.17233360892956"
"Daily","2016","higher vocational","West Germany","94","0.105331833308763","0.0866388323878759","0.12402483422965"
"Daily","2016","higher vocational","East Germany","49","0.107375469244576","0.0756582945243926","0.139092643964759"
"Daily","2016","higher education","West Germany","338","0.0730470792485182","0.0654795380763862","0.0806146204206501"
"Daily","2016","higher education","East Germany","119","0.0843193341437973","0.0694694674445092","0.0991692008430855"
"Four to six days a week","2016","in school","West Germany","71","0.297833162590466","0.245290959317299","0.350375365863633"
"Four to six days a week","2016","in school","East Germany","10","","",""
"Four to six days a week","2016","inadequately","West Germany","84","0.248016953178562","0.203156071903358","0.292877834453766"
"Four to six days a week","2016","inadequately","East Germany","10","","",""
"Four to six days a week","2016","general elemantary","West Germany","532","0.221392611315532","0.204222068026191","0.238563154604873"
"Four to six days a week","2016","general elemantary","East Germany","62","0.195211510558806","0.151578814476245","0.238844206641367"
"Four to six days a week","2016","middle vocational","West Germany","2013","0.223699750529515","0.214803486231085","0.232596014827944"
"Four to six days a week","2016","middle vocational","East Germany","527","0.222346452626525","0.206229203896858","0.238463701356192"
"Four to six days a week","2016","vocational + Abi","West Germany","384","0.229902674980328","0.21014916768551","0.249656182275147"
"Four to six days a week","2016","vocational + Abi","East Germany","73","0.280885306555751","0.227670020428674","0.334100592682828"
"Four to six days a week","2016","higher vocational","West Germany","271","0.259327597184955","0.232640234179566","0.286014960190344"
"Four to six days a week","2016","higher vocational","East Germany","81","0.250046933076526","0.2056824569933","0.294411409159752"
"Four to six days a week","2016","higher education","West Germany","1041","0.228495022050414","0.21628455534105","0.240705488759779"
"Four to six days a week","2016","higher education","East Germany","301","0.20194423489421","0.180489690408457","0.223398779379962"
"Two to three days a week","2016","in school","West Germany","106","0.334434191355027","0.280227558130984","0.38864082457907"
"Two to three days a week","2016","in school","East Germany","12","","",""
"Two to three days a week","2016","inadequately","West Germany","166","0.45472236794066","0.402996820906973","0.506447914974348"
"Two to three days a week","2016","inadequately","East Germany","14","","",""
"Two to three days a week","2016","general elemantary","West Germany","1065","0.497893565834752","0.477215526107336","0.518571605562168"
"Two to three days a week","2016","general elemantary","East Germany","138","0.537863454731927","0.482980228207762","0.592746681256093"
"Two to three days a week","2016","middle vocational","West Germany","4069","0.488764693676613","0.478093318299958","0.499436069053268"
"Two to three days a week","2016","middle vocational","East Germany","1252","0.480813920738684","0.461448240205105","0.500179601272263"
"Two to three days a week","2016","vocational + Abi","West Germany","822","0.480332089014468","0.456877212642684","0.503786965386253"
"Two to three days a week","2016","vocational + Abi","East Germany","109","0.372828249021998","0.31557232082789","0.430084177216107"
"Two to three days a week","2016","higher vocational","West Germany","506","0.450366420720735","0.420070242760493","0.480662598680977"
"Two to three days a week","2016","higher vocational","East Germany","182","0.486283164393843","0.435077964632518","0.537488364155168"
"Two to three days a week","2016","higher education","West Germany","2125","0.459987914220479","0.44549353977965","0.474482288661307"
"Two to three days a week","2016","higher education","East Germany","654","0.508401875542888","0.481684387141898","0.535119363943876"
"Two to four days a month","2016","in school","West Germany","32","0.109288758767797","0.0734413465454689","0.145136170990125"
"Two to four days a month","2016","in school","East Germany","10","","",""
"Two to four days a month","2016","inadequately","West Germany","36","0.132929460918177","0.0976630771731409","0.168195844663214"
"Two to four days a month","2016","inadequately","East Germany","6","","",""
"Two to four days a month","2016","general elemantary","West Germany","253","0.122579567163484","0.109016555703999","0.136142578622969"
"Two to four days a month","2016","general elemantary","East Germany","41","0.102289925707711","0.0689317001450638","0.135648151270358"
"Two to four days a month","2016","middle vocational","West Germany","1054","0.132783402919404","0.125539114182096","0.140027691656712"
"Two to four days a month","2016","middle vocational","East Germany","345","0.139094030655413","0.125681373219155","0.152506688091671"
"Two to four days a month","2016","vocational + Abi","West Germany","235","0.128228865340377","0.112532700911965","0.143925029768789"
"Two to four days a month","2016","vocational + Abi","East Germany","31","0.109366902365106","0.0724125853106428","0.14632121941957"
"Two to four days a month","2016","higher vocational","West Germany","111","0.127948336926434","0.107608070215445","0.148288603637423"
"Two to four days a month","2016","higher vocational","East Germany","43","0.118517528740519","0.0854039833443643","0.151631074136673"
"Two to four days a month","2016","higher education","West Germany","673","0.150436207978194","0.140039431376129","0.160832984580259"
"Two to four days a month","2016","higher education","East Germany","196","0.137312641743111","0.118918949018095","0.155706334468127"
"Once a month or less","2016","in school","West Germany","10","","",""
"Once a month or less","2016","in school","East Germany","2","","",""
"Once a month or less","2016","inadequately","West Germany","6","","",""
"Once a month or less","2016","inadequately","East Germany","","","",""
"Once a month or less","2016","general elemantary","West Germany","67","0.0351539251918177","0.0275373603385265","0.042770490045109"
"Once a month or less","2016","general elemantary","East Germany","7","","",""
"Once a month or less","2016","middle vocational","West Germany","253","0.0344366484757321","0.0305438592500096","0.0383294377014546"
"Once a month or less","2016","middle vocational","East Germany","63","0.0218379031464444","0.0161729853806276","0.0275028209122613"
"Once a month or less","2016","vocational + Abi","West Germany","53","0.0321737825152837","0.0238896097085687","0.0404579553219987"
"Once a month or less","2016","vocational + Abi","East Germany","10","","",""
"Once a month or less","2016","higher vocational","West Germany","25","","",""
"Once a month or less","2016","higher vocational","East Germany","6","","",""
"Once a month or less","2016","higher education","West Germany","179","0.0452649610302291","0.0392192549125553","0.051310667147903"
"Once a month or less","2016","higher education","East Germany","36","0.0298173585493579","0.0207276850709693","0.0389070320277464"
"Never","2016","in school","West Germany","16","","",""
"Never","2016","in school","East Germany","3","","",""
"Never","2016","inadequately","West Germany","3","","",""
"Never","2016","inadequately","East Germany","1","","",""
"Never","2016","general elemantary","West Germany","45","0.0259555390392653","0.0193797536350933","0.0325313244434374"
"Never","2016","general elemantary","East Germany","8","","",""
"Never","2016","middle vocational","West Germany","217","0.0272052578238291","0.0237323193101684","0.0306781963374898"
"Never","2016","middle vocational","East Germany","41","0.0177929814851944","0.0126689875505642","0.0229169754198245"
"Never","2016","vocational + Abi","West Germany","58","0.0317029717730015","0.0234776350852884","0.0399283084607147"
"Never","2016","vocational + Abi","East Germany","12","","",""
"Never","2016","higher vocational","West Germany","29","","",""
