"ple0179","year","bula_h","n","percent","lower_confidence","upper_confidence"
"Daily","2016","Schleswig-Holstein","95","0.0846896022268027","0.0655865722967036","0.103792632156902"
"Daily","2016","Hamburg","40","0.0813249873337207","0.0553385597465248","0.107311414920917"
"Daily","2016","Lower Saxony","332","0.138052165991683","0.124152549275651","0.151951782707714"
"Daily","2016","Bremen","23","","",""
"Daily","2016","North Rhine-Westphalia","499","0.0937030729984013","0.0856529288686375","0.101753217128165"
"Daily","2016","Hesse","172","0.0974383386705701","0.0829481698556964","0.111928507485444"
"Daily","2016","Rhineland-Palatinate,Saarland","131","0.090868418114195","0.0762399997726947","0.105496836455695"
"Daily","2016","Baden-Württemberg","208","0.0697842689674702","0.0604187840738819","0.0791497538610586"
"Daily","2016","Bavaria","372","0.0816772565411171","0.0730619930101817","0.0902925200720525"
"Daily","2016","Berlin","106","0.097691530159613","0.0782946086072663","0.11708845171196"
"Daily","2016","Brandenburg","97","0.0782294891139278","0.061099434563767","0.0953595436640885"
"Daily","2016","Mecklenburg-Western Pomerania","95","0.214972968491268","0.179732061927657","0.250213875054879"
"Daily","2016","Saxony","147","0.0944735724100843","0.0794603104374726","0.109486834382696"
"Daily","2016","Saxony-Anhalt","121","0.123900656826333","0.10145943987413","0.146341873778537"
"Daily","2016","Thuringia","123","0.124041605695669","0.102542042078385","0.145541169312954"
"Four to six days a week","2016","Schleswig-Holstein","198","0.264128554065587","0.233879509326942","0.294377598804232"
"Four to six days a week","2016","Hamburg","99","0.220207166086238","0.180810545509812","0.259603786662664"
"Four to six days a week","2016","Lower Saxony","573","0.232806155317366","0.21577710200486","0.249835208629872"
"Four to six days a week","2016","Bremen","34","0.164694092642514","0.109897501212468","0.219490684072561"
"Four to six days a week","2016","North Rhine-Westphalia","1225","0.231775308603738","0.220118780898742","0.243431836308733"
"Four to six days a week","2016","Hesse","365","0.23996160875523","0.219094671199531","0.260828546310929"
"Four to six days a week","2016","Rhineland-Palatinate,Saarland","342","0.204150441615066","0.183635600055057","0.224665283175075"
"Four to six days a week","2016","Baden-Württemberg","656","0.212693545528748","0.197651436835351","0.227735654222145"
"Four to six days a week","2016","Bavaria","929","0.243666908022358","0.230162512384219","0.257171303660497"
"Four to six days a week","2016","Berlin","167","0.186683326360119","0.161226196409656","0.212140456310582"
"Four to six days a week","2016","Brandenburg","201","0.214771100247728","0.188574305801191","0.240967894694265"
"Four to six days a week","2016","Mecklenburg-Western Pomerania","109","0.223347285495555","0.187618635145245","0.259075935845865"
"Four to six days a week","2016","Saxony","320","0.218366109189096","0.197159870865963","0.239572347512229"
"Four to six days a week","2016","Saxony-Anhalt","164","0.211362690906439","0.183553666912552","0.239171714900326"
"Four to six days a week","2016","Thuringia","223","0.26765815911837","0.238781204995422","0.296535113241318"
"Two to three days a week","2016","Schleswig-Holstein","373","0.437470392693225","0.403433489666885","0.471507295719565"
"Two to three days a week","2016","Hamburg","200","0.477814978948515","0.43032568518127","0.525304272715759"
"Two to three days a week","2016","Lower Saxony","1075","0.466034910120696","0.445934432450414","0.486135387790978"
"Two to three days a week","2016","Bremen","80","0.472956785534977","0.399195988553219","0.546717582516736"
"Two to three days a week","2016","North Rhine-Westphalia","2326","0.475038167308119","0.461243234089603","0.488833100526635"
"Two to three days a week","2016","Hesse","763","0.469024999538698","0.444640990996418","0.493409008080979"
"Two to three days a week","2016","Rhineland-Palatinate,Saarland","772","0.517913070880625","0.492481766864497","0.543344374896753"
