"ple0179","year","bula_h","e11102","n","percent","lower_confidence","upper_confidence"
"Daily","2016","Schleswig-Holstein","Not Employed","25","","",""
"Daily","2016","Schleswig-Holstein","Employed","70","0.0947747913721257","0.0700473917944624","0.119502190949789"
"Daily","2016","Hamburg","Not Employed","8","","",""
"Daily","2016","Hamburg","Employed","32","0.116195289116711","0.0788593319389654","0.153531246294456"
"Daily","2016","Lower Saxony","Not Employed","108","0.111231336541433","0.0898667559025563","0.132595917180309"
"Daily","2016","Lower Saxony","Employed","224","0.15410412574536","0.136036503676479","0.172171747814242"
"Daily","2016","Bremen","Not Employed","9","","",""
"Daily","2016","Bremen","Employed","14","","",""
"Daily","2016","North Rhine-Westphalia","Not Employed","162","0.0930485404841207","0.0793674425454686","0.106729638422773"
"Daily","2016","North Rhine-Westphalia","Employed","337","0.0940871453835355","0.0841292418732832","0.104045048893788"
"Daily","2016","Hesse","Not Employed","42","0.066246382625101","0.04451129819907","0.0879814670511319"
"Daily","2016","Hesse","Employed","130","0.114229138164502","0.0954826607715737","0.13297561555743"
"Daily","2016","Rhineland-Palatinate,Saarland","Not Employed","32","0.0648823740055843","0.043649963264101","0.0861147847470677"
"Daily","2016","Rhineland-Palatinate,Saarland","Employed","99","0.106624586050344","0.0871617911956166","0.126087380905071"
"Daily","2016","Baden-Württemberg","Not Employed","40","0.0463439670902677","0.031812396683373","0.0608755374971623"
"Daily","2016","Baden-Württemberg","Employed","168","0.0817152404106849","0.0698252994595324","0.0936051813618375"
"Daily","2016","Bavaria","Not Employed","81","0.0522011036087446","0.039191736935555","0.0652104702819342"
"Daily","2016","Bavaria","Employed","291","0.0953654743017305","0.0844056294399512","0.10632531916351"
"Daily","2016","Berlin","Not Employed","43","0.108319672728853","0.0746863765841672","0.141952968873538"
"Daily","2016","Berlin","Employed","63","0.0912510264219215","0.0676521719327731","0.11484988091107"
"Daily","2016","Brandenburg","Not Employed","40","0.0659254020878105","0.0415459618705296","0.0903048423050914"
"Daily","2016","Brandenburg","Employed","57","0.0863234200787804","0.0627668348414316","0.109880005316129"
"Daily","2016","Mecklenburg-Western Pomerania","Not Employed","39","0.196215362913266","0.141176500654465","0.251254225172067"
"Daily","2016","Mecklenburg-Western Pomerania","Employed","56","0.22458486545864","0.179004528130698","0.270165202786582"
"Daily","2016","Saxony","Not Employed","41","0.050331050938333","0.0314855824604608","0.0691765194162052"
"Daily","2016","Saxony","Employed","106","0.117358551731882","0.0967947783627505","0.137922325101013"
"Daily","2016","Saxony-Anhalt","Not Employed","45","0.101174498533742","0.0682367902930366","0.134112206774447"
"Daily","2016","Saxony-Anhalt","Employed","76","0.13988965237711","0.109666294455142","0.170113010299079"
"Daily","2016","Thuringia","Not Employed","35","0.113233079422638","0.0785684169380839","0.147897741907192"
"Daily","2016","Thuringia","Employed","88","0.130012410735334","0.102688960848877","0.157335860621791"
"Four to six days a week","2016","Schleswig-Holstein","Not Employed","54","0.229652765884088","0.18012060094248","0.279184930825697"
"Four to six days a week","2016","Schleswig-Holstein","Employed","144","0.28566067143003","0.247525015960743","0.323796326899316"
"Four to six days a week","2016","Hamburg","Not Employed","42","0.248076777012706","0.177039922404694","0.319113631620717"
"Four to six days a week","2016","Hamburg","Employed","57","0.199978018769477","0.153376833391242","0.246579204147712"
"Four to six days a week","2016","Lower Saxony","Not Employed","168","0.173988782651168","0.148229128660346","0.19974843664199"
"Four to six days a week","2016","Lower Saxony","Employed","405","0.268007680333814","0.245842958092042","0.290172402575587"
"Four to six days a week","2016","Bremen","Not Employed","14","","",""
"Four to six days a week","2016","Bremen","Employed","20","","",""
"Four to six days a week","2016","North Rhine-Westphalia","Not Employed","405","0.209458781964751","0.190294802654788","0.228622761274715"
"Four to six days a week","2016","North Rhine-Westphalia","Employed","820","0.244870397735509","0.2302034937926","0.259537301678417"
"Four to six days a week","2016","Hesse","Not Employed","98","0.187829849034093","0.15369720627722","0.221962491790966"
"Four to six days a week","2016","Hesse","Employed","267","0.268024418393312","0.241920481829534","0.294128354957091"
"Four to six days a week","2016","Rhineland-Palatinate,Saarland","Not Employed","97","0.177574752869142","0.144633383715663","0.21051612202262"
"Four to six days a week","2016","Rhineland-Palatinate,Saarland","Employed","245","0.220264129914427","0.194130172835407","0.246398086993447"
"Four to six days a week","2016","Baden-Württemberg","Not Employed","137","0.136182995334079","0.112475133787441","0.159890856880716"
"Four to six days a week","2016","Baden-Württemberg","Employed","519","0.251636951388425","0.232801204172164","0.270472698604685"
"Four to six days a week","2016","Bavaria","Not Employed","223","0.193768264967326","0.170651370912754","0.216885159021898"
"Four to six days a week","2016","Bavaria","Employed","706","0.266838978463961","0.250334699363112","0.283343257564809"
"Four to six days a week","2016","Berlin","Not Employed","57","0.169145725585206","0.128575809249367","0.209715641921045"
"Four to six days a week","2016","Berlin","Employed","110","0.197310863825403","0.164697224189445","0.229924503461361"
"Four to six days a week","2016","Brandenburg","Not Employed","68","0.152466278224904","0.117150242455353","0.187782313994454"
"Four to six days a week","2016","Brandenburg","Employed","133","0.255756744055328","0.219161658160584","0.292351829950072"
"Four to six days a week","2016","Mecklenburg-Western Pomerania","Not Employed","44","0.284057886334306","0.221558540236687","0.346557232431925"
"Four to six days a week","2016","Mecklenburg-Western Pomerania","Employed","65","0.192237555756186","0.149196679756843","0.235278431755529"
"Four to six days a week","2016","Saxony","Not Employed","99","0.215476855987567","0.180035852135178","0.250917859839957"
"Four to six days a week","2016","Saxony","Employed","221","0.219863995978702","0.193402432643654","0.24632555931375"
"Four to six days a week","2016","Saxony-Anhalt","Not Employed","54","0.172134531521398","0.130902565807672","0.213366497235123"
"Four to six days a week","2016","Saxony-Anhalt","Employed","110","0.238961674324462","0.201804710210631","0.276118638438292"
"Four to six days a week","2016","Thuringia","Not Employed","61","0.192362535375388","0.149243995146506","0.235481075604271"
"Four to six days a week","2016","Thuringia","Employed","162","0.309252681660357","0.271703287040156","0.346802076280559"
"Two to three days a week","2016","Schleswig-Holstein","Not Employed","141","0.459534821642912","0.400846555583939","0.518223087701885"
"Two to three days a week","2016","Schleswig-Holstein","Employed","232","0.423689884725635","0.381973575560651","0.46540619389062"
"Two to three days a week","2016","Hamburg","Not Employed","63","0.468906683542561","0.386827590607793","0.55098577647733"
"Two to three days a week","2016","Hamburg","Employed","137","0.484281062044677","0.426055973700797","0.542506150388558"
"Two to three days a week","2016","Lower Saxony","Not Employed","415","0.555758243477304","0.521995395496539","0.589521091458068"
"Two to three days a week","2016","Lower Saxony","Employed","660","0.412336521013172","0.387703047033928","0.436969994992416"
"Two to three days a week","2016","Bremen","Not Employed","35","0.464908173744052","0.352773727099099","0.577042620389004"
"Two to three days a week","2016","Bremen","Employed","45","0.482742847074086","0.384803034795982","0.58068265935219"
"Two to three days a week","2016","North Rhine-Westphalia","Not Employed","840","0.49488956010272","0.471343325556937","0.518435794648503"
"Two to three days a week","2016","North Rhine-Westphalia","Employed","1486","0.463389591244272","0.44638123906068","0.480397943427864"
"Two to three days a week","2016","Hesse","Not Employed","266","0.526981419873969","0.48334984890409","0.570612990843848"
"Two to three days a week","2016","Hesse","Employed","497","0.437826743430072","0.408588130819027","0.467065356041117"
"Two to three days a week","2016","Rhineland-Palatinate,Saarland","Not Employed","301","0.587032440518387","0.544590831623102","0.629474049413671"
"Two to three days a week","2016","Rhineland-Palatinate,Saarland","Employed","471","0.476003790995564","0.444509719716443","0.507497862274684"
"Two to three days a week","2016","Baden-Württemberg","Not Employed","455","0.572273620214154","0.538075286329853","0.606471954098456"
"Two to three days a week","2016","Baden-Württemberg","Employed","941","0.467659215626454","0.446002175725774","0.489316255527133"
"Two to three days a week","2016","Bavaria","Not Employed","604","0.531554167140226","0.502369034834126","0.560739299446327"
"Two to three days a week","2016","Bavaria","Employed","1272","0.441161669004827","0.422634280015261","0.459689057994392"
"Two to three days a week","2016","Berlin","Not Employed","134","0.428250628728601","0.374700191435115","0.481801066022087"
"Two to three days a week","2016","Berlin","Employed","238","0.447322145846648","0.406575083128107","0.488069208565188"
"Two to three days a week","2016","Brandenburg","Not Employed","212","0.592422371911477","0.54414679759887","0.640697946224083"
"Two to three days a week","2016","Brandenburg","Employed","256","0.491209552940879","0.449276677308107","0.533142428573652"
"Two to three days a week","2016","Mecklenburg-Western Pomerania","Not Employed","87","0.368973780972984","0.302100204754461","0.435847357191508"
"Two to three days a week","2016","Mecklenburg-Western Pomerania","Employed","150","0.431514750579773","0.377417202899985","0.48561229825956"
"Two to three days a week","2016","Saxony","Not Employed","297","0.57930846431946","0.536754537385978","0.621862391252942"
"Two to three days a week","2016","Saxony","Employed","442","0.488730479469093","0.456792095114547","0.520668863823638"
"Two to three days a week","2016","Saxony-Anhalt","Not Employed","168","0.55185811571696","0.497540382215439","0.60617584921848"
"Two to three days a week","2016","Saxony-Anhalt","Employed","247","0.458713455666029","0.415296717938828","0.50213019339323"
"Two to three days a week","2016","Thuringia","Not Employed","143","0.420642221735971","0.366638284091012","0.47464615938093"
"Two to three days a week","2016","Thuringia","Employed","220","0.378063300915156","0.338668224085197","0.417458377745116"
"Two to four days a month","2016","Schleswig-Holstein","Not Employed","37","0.168585366489847","0.124496698736932","0.212674034242762"
"Two to four days a month","2016","Schleswig-Holstein","Employed","58","0.136265164343588","0.107302644228243","0.165227684458932"
"Two to four days a month","2016","Hamburg","Not Employed","24","","",""
"Two to four days a month","2016","Hamburg","Employed","39","0.12439259541565","0.0859416652127916","0.162843525618509"
"Two to four days a month","2016","Lower Saxony","Not Employed","95","0.103250809324674","0.082574707759794","0.123926910889555"
"Two to four days a month","2016","Lower Saxony","Employed","163","0.103982199245161","0.0887074802512961","0.119256918239026"
"Two to four days a month","2016","Bremen","Not Employed","16","","",""
"Two to four days a month","2016","Bremen","Employed","13","","",""
"Two to four days a month","2016","North Rhine-Westphalia","Not Employed","232","0.145236302096445","0.128642925374723","0.161829678818167"
"Two to four days a month","2016","North Rhine-Westphalia","Employed","429","0.123778444690615","0.112545618638009","0.135011270743221"
"Two to four days a month","2016","Hesse","Not Employed","64","0.15768325577661","0.125834343491834","0.189532168061386"
"Two to four days a month","2016","Hesse","Employed","143","0.13075585999554","0.11088704371397","0.15062467627711"
"Two to four days a month","2016","Rhineland-Palatinate,Saarland","Not Employed","63","0.125865003868454","0.0972730015724457","0.154457006164463"
"Two to four days a month","2016","Rhineland-Palatinate,Saarland","Employed","110","0.119040940878045","0.0986195383345938","0.139462343421496"
"Two to four days a month","2016","Baden-Württemberg","Not Employed","111","0.162809305304639","0.137289822142073","0.188328788467205"
"Two to four days a month","2016","Baden-Württemberg","Employed","282","0.141578428424257","0.126446707148881","0.156710149699632"
"Two to four days a month","2016","Bavaria","Not Employed","148","0.142222513527934","0.121794331950145","0.162650695105723"
"Two to four days a month","2016","Bavaria","Employed","339","0.134008297200502","0.121296851381498","0.146719743019506"
"Two to four days a month","2016","Berlin","Not Employed","60","0.194233301048049","0.151420102776422","0.237046499319676"
"Two to four days a month","2016","Berlin","Employed","88","0.107046687546459","0.0817099280231739","0.132383447069744"
"Two to four days a month","2016","Brandenburg","Not Employed","64","0.148256173952463","0.113344759393596","0.18316758851133"
"Two to four days a month","2016","Brandenburg","Employed","71","0.119626762453943","0.0924060579988994","0.146847466908987"
"Two to four days a month","2016","Mecklenburg-Western Pomerania","Not Employed","25","","",""
"Two to four days a month","2016","Mecklenburg-Western Pomerania","Employed","38","0.112695588896676","0.0781565750003261","0.147234602793027"
"Two to four days a month","2016","Saxony","Not Employed","64","0.130739969539166","0.101680889271923","0.159799049806409"
"Two to four days a month","2016","Saxony","Employed","124","0.118495373594195","0.0978455533945137","0.139145193793876"
"Two to four days a month","2016","Saxony-Anhalt","Not Employed","43","0.163572543480476","0.123171786838302","0.203973300122649"
"Two to four days a month","2016","Saxony-Anhalt","Employed","48","0.108333411696986","0.0812529983163046","0.135413825077667"
"Two to four days a month","2016","Thuringia","Not Employed","72","0.229058203364662","0.183087696144865","0.275028710584459"
