"ple0179","year","e11103","sex","n","percent","lower_confidence","upper_confidence"
"Daily","2016","Full Time","Male","944","0.147427902622467","0.138405140034323","0.156450665210611"
"Daily","2016","Full Time","Female","236","0.0682607312166427","0.0595446204883741","0.0769768419449113"
"Daily","2016","Part Time","Male","295","0.148189125077027","0.131911077882529","0.164467172271525"
"Daily","2016","Part Time","Female","336","0.0569807843373206","0.050631312617785","0.0633302560568562"
"Daily","2016","Not Working","Male","403","0.113533376308401","0.102740494136929","0.124326258479872"
"Daily","2016","Not Working","Female","347","0.0525159233510948","0.04618767030689","0.0588441763952996"
"Four to six days a week","2016","Full Time","Male","1838","0.309443792901674","0.297679264203472","0.321208321599877"
"Four to six days a week","2016","Full Time","Female","617","0.18977825015701","0.17622588051355","0.20333061980047"
"Four to six days a week","2016","Part Time","Male","492","0.266123985598543","0.245876276039318","0.286371695157768"
"Four to six days a week","2016","Part Time","Female","1037","0.196931690844339","0.186038699477919","0.20782468221076"
"Four to six days a week","2016","Not Working","Male","766","0.209282213469152","0.195442682278261","0.223121744660044"
"Four to six days a week","2016","Not Working","Female","855","0.173635404986683","0.162889144416014","0.184381665557353"
"Two to three days a week","2016","Full Time","Male","2524","0.439289789629903","0.426659046127484","0.451920533132321"
"Two to three days a week","2016","Full Time","Female","1461","0.456592351776894","0.439376946126249","0.47380775742754"
"Two to three days a week","2016","Part Time","Male","795","0.430315880883883","0.407631167852537","0.45300059391523"
"Two to three days a week","2016","Part Time","Female","2514","0.478230340406368","0.464547663113946","0.491913017698789"
"Two to three days a week","2016","Not Working","Male","1690","0.526520770423897","0.509534318080962","0.543507222766833"
"Two to three days a week","2016","Not Working","Female","2471","0.521352229157609","0.507180396628292","0.535524061686926"
"Two to four days a month","2016","Full Time","Male","483","0.0792653033813775","0.0723899829023841","0.0861406238603708"
"Two to four days a month","2016","Full Time","Female","594","0.183431634652383","0.170055720751871","0.196807548552896"
"Two to four days a month","2016","Part Time","Male","161","0.0996698814271527","0.0859451009645949","0.11339466188971"
"Two to four days a month","2016","Part Time","Female","786","0.159882283079544","0.14984344723024","0.169921118928848"
"Two to four days a month","2016","Not Working","Male","349","0.115776990180089","0.104891788036983","0.126662192323195"
"Two to four days a month","2016","Not Working","Female","769","0.175302666648793","0.16451583426685","0.186089499030736"
"Once a month or less","2016","Full Time","Male","75","0.0130222128934558","0.0101369843908661","0.0159074413960456"
"Once a month or less","2016","Full Time","Female","167","0.0565359865668248","0.0485539221501229","0.0645180509835268"
"Once a month or less","2016","Part Time","Male","40","0.0234691567497658","0.0165330739106265","0.030405239588905"
"Once a month or less","2016","Part Time","Female","210","0.0556499622413412","0.0493706504413","0.0619292740413824"
"Once a month or less","2016","Not Working","Male","70","0.0198727268913259","0.0151246861818798","0.0246207676007721"
"Once a month or less","2016","Not Working","Female","176","0.0450535145677088","0.0391690598000748","0.0509379693353427"
"Never","2016","Full Time","Male","67","0.0115509985711224","0.00883161150541847","0.0142703856368263"
"Never","2016","Full Time","Female","141","0.0454010456302445","0.0382060012722232","0.0525960899882658"
"Never","2016","Part Time","Male","47","0.0322319702636288","0.0241400497412295","0.0403238907860281"
"Never","2016","Part Time","Female","237","0.0523249390910871","0.0462253974269176","0.0584244807552566"
"Never","2016","Not Working","Male","41","0.0150139227271346","0.0108767219376419","0.0191511235166273"
"Never","2016","Not Working","Female","155","0.0321402612881119","0.027136653180596","0.0371438693956278"
"Daily","2017","Full Time","Male","","","",""
"Daily","2017","Full Time","Female","","","",""
"Daily","2017","Part Time","Male","","","",""
"Daily","2017","Part Time","Female","","","",""
"Daily","2017","Not Working","Male","","","",""
"Daily","2017","Not Working","Female","","","",""
"Four to six days a week","2017","Full Time","Male","","","",""
"Four to six days a week","2017","Full Time","Female","","","",""
"Four to six days a week","2017","Part Time","Male","","","",""
"Four to six days a week","2017","Part Time","Female","","","",""
"Four to six days a week","2017","Not Working","Male","","","",""
"Four to six days a week","2017","Not Working","Female","","","",""
"Two to three days a week","2017","Full Time","Male","","","",""
"Two to three days a week","2017","Full Time","Female","","","",""
"Two to three days a week","2017","Part Time","Male","","","",""
"Two to three days a week","2017","Part Time","Female","","","",""
"Two to three days a week","2017","Not Working","Male","","","",""
"Two to three days a week","2017","Not Working","Female","","","",""
"Two to four days a month","2017","Full Time","Male","","","",""
"Two to four days a month","2017","Full Time","Female","","","",""
"Two to four days a month","2017","Part Time","Male","","","",""
"Two to four days a month","2017","Part Time","Female","","","",""
"Two to four days a month","2017","Not Working","Male","","","",""
"Two to four days a month","2017","Not Working","Female","","","",""
"Once a month or less","2017","Full Time","Male","","","",""
"Once a month or less","2017","Full Time","Female","","","",""
"Once a month or less","2017","Part Time","Male","","","",""
"Once a month or less","2017","Part Time","Female","","","",""
"Once a month or less","2017","Not Working","Male","","","",""
"Once a month or less","2017","Not Working","Female","","","",""
"Never","2017","Full Time","Male","","","",""
"Never","2017","Full Time","Female","","","",""
"Never","2017","Part Time","Male","","","",""
"Never","2017","Part Time","Female","","","",""
"Never","2017","Not Working","Male","","","",""
