"ple0179","year","age_gr","sampreg","n","percent","lower_confidence","upper_confidence"
"Daily","2016","16-34 y.","West Germany","716","0.144263329011058","0.134124112191698","0.154402545830418"
"Daily","2016","16-34 y.","East Germany","181","0.154411243244608","0.13167172373902","0.177150762750195"
"Daily","2016","35-65 y.","West Germany","1018","0.0902235382963537","0.0848617255142559","0.0955853510784514"
"Daily","2016","35-65 y.","East Germany","358","0.110519201827823","0.0990841890295799","0.121954214626065"
"Daily","2016","66 and older","West Germany","194","0.0514478878605369","0.0441973237951743","0.0586984519258994"
"Daily","2016","66 and older","East Germany","94","0.0740148454183935","0.0591029218128078","0.0889267690239791"
"Four to six days a week","2016","16-34 y.","West Germany","1189","0.262933687361648","0.250229913308085","0.27563746141521"
"Four to six days a week","2016","16-34 y.","East Germany","235","0.234746998113529","0.208074433952729","0.261419562274328"
"Four to six days a week","2016","35-65 y.","West Germany","2643","0.239261199511741","0.231276872945218","0.247245526078264"
"Four to six days a week","2016","35-65 y.","East Germany","634","0.232195150690077","0.216795832432413","0.247594468947741"
"Four to six days a week","2016","66 and older","West Germany","683","0.172379836450106","0.159982848323673","0.184776824576539"
"Four to six days a week","2016","66 and older","East Germany","221","0.190457883468189","0.168091722783693","0.212824044152686"
"Two to three days a week","2016","16-34 y.","West Germany","1779","0.39384234987361","0.379742633842544","0.407942065904677"
"Two to three days a week","2016","16-34 y.","East Germany","364","0.384483715790077","0.353869652703835","0.415097778876319"
"Two to three days a week","2016","35-65 y.","West Germany","5281","0.478291877026816","0.468943318052416","0.487640436001217"
"Two to three days a week","2016","35-65 y.","East Germany","1348","0.483939494882472","0.465713328036957","0.502165661727987"
"Two to three days a week","2016","66 and older","West Germany","2004","0.554476599768509","0.538163582623927","0.570789616913091"
"Two to three days a week","2016","66 and older","East Germany","679","0.569275725055973","0.54107026117876","0.597481188933187"
"Two to four days a month","2016","16-34 y.","West Germany","529","0.109695715017144","0.100677503293417","0.118713926740871"
"Two to four days a month","2016","16-34 y.","East Germany","119","0.141660939871904","0.119716893039882","0.163604986703926"
"Two to four days a month","2016","35-65 y.","West Germany","1420","0.133185115294265","0.126826311923522","0.139543918665009"
"Two to four days a month","2016","35-65 y.","East Germany","400","0.124672608202447","0.11262446061975","0.136720755785143"
"Two to four days a month","2016","66 and older","West Germany","506","0.160366755435701","0.148323069945775","0.172410440925627"
"Two to four days a month","2016","66 and older","East Germany","168","0.140788348396925","0.120977381339226","0.160599315454625"
"Once a month or less","2016","16-34 y.","West Germany","180","0.0402007474784058","0.0345323064666368","0.0458691884901749"
"Once a month or less","2016","16-34 y.","East Germany","25","","",""
"Once a month or less","2016","35-65 y.","West Germany","307","0.0329782743802778","0.0296361973983148","0.0363203513622408"
"Once a month or less","2016","35-65 y.","East Germany","90","0.0290466934589203","0.0229218214200588","0.0351715654977819"
"Once a month or less","2016","66 and older","West Germany","120","0.0402329870233712","0.0337834064929303","0.0466825675538122"
"Once a month or less","2016","66 and older","East Germany","16","","",""
"Never","2016","16-34 y.","West Germany","220","0.0490641712581338","0.0428309261783185","0.055297416337949"
"Never","2016","16-34 y.","East Germany","46","0.0605204139998432","0.0455146938472795","0.0755261341524069"
"Never","2016","35-65 y.","West Germany","299","0.0260599954905456","0.0230784760829126","0.0290415148981785"
"Never","2016","35-65 y.","East Germany","58","0.0196268509382608","0.0145677829875096","0.0246859188890121"
"Never","2016","66 and older","West Germany","59","0.0210959334617748","0.016379357194251","0.0258125097292986"
"Never","2016","66 and older","East Germany","6","","",""
"Daily","2017","16-34 y.","West Germany","","","",""
"Daily","2017","16-34 y.","East Germany","","","",""
"Daily","2017","35-65 y.","West Germany","","","",""
"Daily","2017","35-65 y.","East Germany","","","",""
"Daily","2017","66 and older","West Germany","","","",""
"Daily","2017","66 and older","East Germany","","","",""
"Four to six days a week","2017","16-34 y.","West Germany","","","",""
"Four to six days a week","2017","16-34 y.","East Germany","","","",""
"Four to six days a week","2017","35-65 y.","West Germany","","","",""
"Four to six days a week","2017","35-65 y.","East Germany","","","",""
"Four to six days a week","2017","66 and older","West Germany","","","",""
"Four to six days a week","2017","66 and older","East Germany","","","",""
"Two to three days a week","2017","16-34 y.","West Germany","","","",""
"Two to three days a week","2017","16-34 y.","East Germany","","","",""
"Two to three days a week","2017","35-65 y.","West Germany","","","",""
"Two to three days a week","2017","35-65 y.","East Germany","","","",""
"Two to three days a week","2017","66 and older","West Germany","","","",""
"Two to three days a week","2017","66 and older","East Germany","","","",""
"Two to four days a month","2017","16-34 y.","West Germany","","","",""
"Two to four days a month","2017","16-34 y.","East Germany","","","",""
"Two to four days a month","2017","35-65 y.","West Germany","","","",""
"Two to four days a month","2017","35-65 y.","East Germany","","","",""
"Two to four days a month","2017","66 and older","West Germany","","","",""
"Two to four days a month","2017","66 and older","East Germany","","","",""
"Once a month or less","2017","16-34 y.","West Germany","","","",""
"Once a month or less","2017","16-34 y.","East Germany","","","",""
"Once a month or less","2017","35-65 y.","West Germany","","","",""
"Once a month or less","2017","35-65 y.","East Germany","","","",""
"Once a month or less","2017","66 and older","West Germany","","","",""
"Once a month or less","2017","66 and older","East Germany","","","",""
"Never","2017","16-34 y.","West Germany","","","",""
"Never","2017","16-34 y.","East Germany","","","",""
"Never","2017","35-65 y.","West Germany","","","",""
"Never","2017","35-65 y.","East Germany","","","",""
"Never","2017","66 and older","West Germany","","","",""
"Never","2017","66 and older","East Germany","","","",""
"Daily","2018","16-34 y.","West Germany","761","0.156280636626858","0.146148521579527","0.166412751674189"
"Daily","2018","16-34 y.","East Germany","216","0.180851023731394","0.157948931776406","0.203753115686383"
"Daily","2018","35-65 y.","West Germany","1173","0.104402756576312","0.0988028361149572","0.110002677037667"
"Daily","2018","35-65 y.","East Germany","405","0.128785362332672","0.117091692688607","0.140479031976736"
"Daily","2018","66 and older","West Germany","201","0.0427638073743676","0.0362968215908502","0.0492307931578849"
"Daily","2018","66 and older","East Germany","84","0.0556356761760668","0.0429338575357069","0.0683374948164266"
"Four to six days a week","2018","16-34 y.","West Germany","1306","0.264652434127816","0.25234315005554","0.276961718200093"
"Four to six days a week","2018","16-34 y.","East Germany","238","0.229039255422167","0.204035553307951","0.254042957536383"
"Four to six days a week","2018","35-65 y.","West Germany","2771","0.240908807981553","0.233077346484318","0.248740269478788"
"Four to six days a week","2018","35-65 y.","East Germany","618","0.199727828420027","0.185770794492122","0.213684862347932"
"Four to six days a week","2018","66 and older","West Germany","689","0.170741601826363","0.158714284110596","0.182768919542129"
"Four to six days a week","2018","66 and older","East Germany","231","0.198457028051836","0.176355816424694","0.220558239678977"
"Two to three days a week","2018","16-34 y.","West Germany","1817","0.363313908573408","0.349893917967494","0.376733899179322"
"Two to three days a week","2018","16-34 y.","East Germany","399","0.374506568198866","0.34570777308014","0.403305363317591"
"Two to three days a week","2018","35-65 y.","West Germany","5275","0.457602196408131","0.448478464554127","0.466725928262135"
"Two to three days a week","2018","35-65 y.","East Germany","1502","0.465222548178894","0.447809616010369","0.482635480347418"
"Two to three days a week","2018","66 and older","West Germany","2040","0.532938849467458","0.516991822414839","0.548885876520077"
"Two to three days a week","2018","66 and older","East Germany","724","0.557201321702363","0.529676237064304","0.584726406340423"
"Two to four days a month","2018","16-34 y.","West Germany","580","0.116057709122596","0.107120591545229","0.124994826699963"
"Two to four days a month","2018","16-34 y.","East Germany","138","0.125914988661984","0.106174914778184","0.145655062545783"
"Two to four days a month","2018","35-65 y.","West Germany","1483","0.130656807136842","0.124484732756974","0.136828881516711"
"Two to four days a month","2018","35-65 y.","East Germany","460","0.156323391709215","0.143645268288976","0.169001515129454"
"Two to four days a month","2018","66 and older","West Germany","650","0.197325256714567","0.184604430905491","0.210046082523643"
"Two to four days a month","2018","66 and older","East Germany","179","0.165159703074826","0.144583123464361","0.185736282685291"
"Once a month or less","2018","16-34 y.","West Germany","183","0.0425823592604116","0.0369483949579272","0.0482163235628959"
"Once a month or less","2018","16-34 y.","East Germany","43","0.030632590581271","0.0203791577124695","0.0408860234500725"
"Once a month or less","2018","35-65 y.","West Germany","394","0.037215849366323","0.0337492956408243","0.0406824030918217"
"Once a month or less","2018","35-65 y.","East Germany","107","0.0293586875211585","0.0234654670224848","0.0352519080198322"
"Once a month or less","2018","66 and older","West Germany","118","0.0375613022369519","0.0314839973125768","0.043638607161327"
"Once a month or less","2018","66 and older","East Germany","23","","",""
"Never","2018","16-34 y.","West Germany","287","0.0571129522889099","0.0506378645350231","0.0635880400427967"
"Never","2018","16-34 y.","East Germany","51","0.059055573404318","0.0450291916662283","0.0730819551424077"
"Never","2018","35-65 y.","West Germany","358","0.0292135825308391","0.0261295158690035","0.0322976491926748"
"Never","2018","35-65 y.","East Germany","60","0.0205821818380343","0.0156255724817139","0.0255387911943547"
