"ple0179","year","e11102","migback","n","percent","lower_confidence","upper_confidence"
"Daily","2016","Not Employed","no migration background","523","0.0740686881282732","0.0675844402671395","0.0805529359894068"
"Daily","2016","Not Employed","direct migration background","177","0.0969798585638871","0.0816418292283897","0.112317887899384"
"Daily","2016","Not Employed","indirect migration background","50","0.114086804200628","0.0827745891680932","0.145399019233164"
"Daily","2016","Employed","no migration background","1196","0.102524478713361","0.0970008412963867","0.108048116130336"
"Daily","2016","Employed","direct migration background","487","0.123552807547382","0.112431039233431","0.134674575861333"
"Daily","2016","Employed","indirect migration background","128","0.120226452429875","0.101421443553389","0.139031461306361"
"Four to six days a week","2016","Not Employed","no migration background","1250","0.187828102002909","0.178157418727801","0.197498785278018"
"Four to six days a week","2016","Not Employed","direct migration background","279","0.19352763085329","0.173051574857576","0.214003686849004"
"Four to six days a week","2016","Not Employed","indirect migration background","92","0.195895484984585","0.156805188750111","0.234985781219059"
"Four to six days a week","2016","Employed","no migration background","2939","0.259382286171504","0.251401103032253","0.267363469310756"
"Four to six days a week","2016","Employed","direct migration background","765","0.204183136741191","0.190559245694896","0.217807027787487"
"Four to six days a week","2016","Employed","indirect migration background","280","0.234215144888782","0.209727391085232","0.258702898692331"
"Two to three days a week","2016","Not Employed","no migration background","3315","0.531533734472257","0.519178315598681","0.543889153345833"
"Two to three days a week","2016","Not Employed","direct migration background","684","0.509064010922853","0.48315333724198","0.534974684603726"
"Two to three days a week","2016","Not Employed","indirect migration background","162","0.39536677034033","0.347211193844076","0.443522346836584"
"Two to three days a week","2016","Employed","no migration background","5270","0.452252071961652","0.443188889439269","0.461315254484034"
"Two to three days a week","2016","Employed","direct migration background","1525","0.469724820347485","0.452857073994064","0.486592566700905"
"Two to three days a week","2016","Employed","indirect migration background","499","0.407300668422788","0.37889121640534","0.435710120440237"
"Two to four days a month","2016","Not Employed","no migration background","857","0.147922974031243","0.139132543652939","0.156713404409547"
"Two to four days a month","2016","Not Employed","direct migration background","206","0.14947313772106","0.13099298035093","0.16795329509119"
"Two to four days a month","2016","Not Employed","indirect migration background","55","0.194698877769223","0.155699168064932","0.233698587473514"
"Two to four days a month","2016","Employed","no migration background","1480","0.121049102185583","0.115109420581134","0.126988783790033"
