"ple0179","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence"
"Daily","2016","16-34 y.","in school","62","0.206236274567721","0.16284493986057","0.249627609274871"
"Daily","2016","16-34 y.","inadequately","39","0.351153855175852","0.265029363423023","0.437278346928681"
"Daily","2016","16-34 y.","general elemantary","206","0.198407270633788","0.172899589989143","0.223914951278434"
"Daily","2016","16-34 y.","middle vocational","322","0.146563172935616","0.131665540338194","0.161460805533038"
"Daily","2016","16-34 y.","vocational + Abi","79","0.14843070666157","0.116558948845244","0.180302464477895"
"Daily","2016","16-34 y.","higher vocational","14","","",""
"Daily","2016","16-34 y.","higher education","92","0.0802473496114368","0.0628799404112604","0.0976147588116133"
"Daily","2016","35-65 y.","in school","","","",""
"Daily","2016","35-65 y.","inadequately","36","0.110762099204355","0.0713837279378243","0.150140470470886"
"Daily","2016","35-65 y.","general elemantary","115","0.0841063954263729","0.0669384526047246","0.101274338248021"
"Daily","2016","35-65 y.","middle vocational","683","0.100819085548259","0.0934431163489651","0.108195054747553"
"Daily","2016","35-65 y.","vocational + Abi","145","0.0874955196839244","0.0727417498247937","0.102249289543055"
"Daily","2016","35-65 y.","higher vocational","106","0.11811038126709","0.0977371120106465","0.138483650523533"
"Daily","2016","35-65 y.","higher education","279","0.0758370963332606","0.0673695372752028","0.0843046553913184"
"Daily","2016","66 and older","in school","","","",""
"Daily","2016","66 and older","inadequately","","","",""
"Daily","2016","66 and older","general elemantary","24","","",""
"Daily","2016","66 and older","middle vocational","147","0.0570799529010279","0.0478368104616755","0.0663230953403803"
"Daily","2016","66 and older","vocational + Abi","6","","",""
"Daily","2016","66 and older","higher vocational","23","","",""
"Daily","2016","66 and older","higher education","86","0.0685759524931648","0.0542286712803742","0.0829232337059554"
"Four to six days a week","2016","16-34 y.","in school","81","0.284669263509405","0.236274475739483","0.333064051279327"
"Four to six days a week","2016","16-34 y.","inadequately","27","","",""
"Four to six days a week","2016","16-34 y.","general elemantary","249","0.275992519722716","0.247401116049284","0.304583923396147"
"Four to six days a week","2016","16-34 y.","middle vocational","554","0.242723691942519","0.224664329662976","0.260783054222062"
"Four to six days a week","2016","16-34 y.","vocational + Abi","118","0.258233281935629","0.218998258010977","0.297468305860281"
"Four to six days a week","2016","16-34 y.","higher vocational","35","0.337685414150086","0.250100886820075","0.425269941480097"
"Four to six days a week","2016","16-34 y.","higher education","235","0.26385841334898","0.235684296337337","0.292032530360624"
"Four to six days a week","2016","35-65 y.","in school","","","",""
"Four to six days a week","2016","35-65 y.","inadequately","58","0.260629189860116","0.205548945875918","0.315709433844314"
"Four to six days a week","2016","35-65 y.","general elemantary","219","0.200728831282078","0.175952717528893","0.225504945035263"
"Four to six days a week","2016","35-65 y.","middle vocational","1527","0.237080196042561","0.226661550558401","0.247498841526721"
