"ple0179","year","e11103","sampreg","n","percent","lower_confidence","upper_confidence"
"Daily","2016","Full Time","West Germany","887","0.115236458073095","0.107863024045232","0.122609892100958"
"Daily","2016","Full Time","East Germany","293","0.143137336313989","0.127565358867425","0.158709313760552"
"Daily","2016","Part Time","West Germany","507","0.0843041504252355","0.0771182898940731","0.0914900109563978"
"Daily","2016","Part Time","East Germany","124","0.0940651005447404","0.0775964803739661","0.110533720715515"
"Daily","2016","Not Working","West Germany","534","0.0767939888727069","0.0701662533258279","0.083421724419586"
"Daily","2016","Not Working","East Germany","216","0.0870691002172305","0.0743651580916695","0.0997730423427916"
"Four to six days a week","2016","Full Time","West Germany","1968","0.274256613611774","0.263954381343905","0.284558845879644"
"Four to six days a week","2016","Full Time","East Germany","487","0.243633900640153","0.224546509305646","0.26272129197466"
"Four to six days a week","2016","Part Time","West Germany","1277","0.217222171770713","0.206557438044491","0.227886905496935"
"Four to six days a week","2016","Part Time","East Germany","252","0.22732615473495","0.203682355403226","0.250969954066674"
"Four to six days a week","2016","Not Working","West Germany","1270","0.18720061323406","0.177491097642942","0.196910128825178"
"Four to six days a week","2016","Not Working","East Germany","351","0.196643581252774","0.178734160217878","0.214553002287671"
"Two to three days a week","2016","Full Time","West Germany","3142","0.441968661303832","0.430500698607922","0.453436623999741"
"Two to three days a week","2016","Full Time","East Germany","843","0.459412924636527","0.437254130420814","0.481571718852239"
"Two to three days a week","2016","Part Time","West Germany","2727","0.464005320841065","0.451107379351375","0.476903262330754"
"Two to three days a week","2016","Part Time","East Germany","582","0.458083259507252","0.429975065011268","0.486191454003236"
"Two to three days a week","2016","Not Working","West Germany","3195","0.523639441325027","0.511207575344386","0.536071307305668"
"Two to three days a week","2016","Not Working","East Germany","966","0.52322591477552","0.500720424998301","0.545731404552739"
"Two to four days a month","2016","Full Time","West Germany","847","0.116171359466241","0.108771988346639","0.123570730585844"
"Two to four days a month","2016","Full Time","East Germany","230","0.108913167473633","0.0950611861243119","0.122765148822955"
"Two to four days a month","2016","Part Time","West Germany","784","0.143077111145771","0.134021148220297","0.152133074071245"
