"ple0179","year","migback","n","percent","lower_confidence","upper_confidence"
"Daily","2016","no migration background","1719","0.0918973599566372","0.0876596053690465","0.0961351145442279"
"Daily","2016","direct migration background","664","0.114791255170445","0.105766786810091","0.1238157235308"
"Daily","2016","indirect migration background","178","0.118728694842556","0.10259935803857","0.134858031646542"
"Four to six days a week","2016","no migration background","4189","0.232659612259972","0.226461330068799","0.238857894451144"
"Four to six days a week","2016","direct migration background","1044","0.200669835564209","0.189331520388575","0.212008150739843"
"Four to six days a week","2016","indirect migration background","372","0.224867123760861","0.204049320003729","0.245684927517993"
"Two to three days a week","2016","no migration background","8585","0.481860655150068","0.474530708136709","0.489190602163426"
"Two to three days a week","2016","direct migration background","2209","0.482695619294431","0.468548952210824","0.496842286378039"
"Two to three days a week","2016","indirect migration background","661","0.404389412642017","0.379917667447468","0.428861157836566"
"Two to four days a month","2016","no migration background","2337","0.131085436502243","0.126134554490395","0.136036318514092"
"Two to four days a month","2016","direct migration background","588","0.139046525032826","0.129251302927491","0.148841747138162"
"Two to four days a month","2016","indirect migration background","217","0.162020469340543","0.143647239951854","0.180393698729231"
"Once a month or less","2016","no migration background","530","0.0340582131895053","0.031397468384303","0.0367189579947077"
"Once a month or less","2016","direct migration background","146","0.0322665043855928","0.0272638762381129","0.0372691325330727"
"Once a month or less","2016","indirect migration background","62","0.0487731647838358","0.0380328659673178","0.0595134636003539"
"Never","2016","no migration background","491","0.0284387229415748","0.026000311656084","0.0308771342270657"
"Never","2016","direct migration background","142","0.030530260552495","0.0256597245185958","0.0354007965863942"
"Never","2016","indirect migration background","55","0.0412211346301875","0.0313081816521069","0.0511340876082681"
"Daily","2017","no migration background","","","",""
"Daily","2017","direct migration background","","","",""
"Daily","2017","indirect migration background","","","",""
"Four to six days a week","2017","no migration background","","","",""
"Four to six days a week","2017","direct migration background","","","",""
"Four to six days a week","2017","indirect migration background","","","",""
"Two to three days a week","2017","no migration background","","","",""
"Two to three days a week","2017","direct migration background","","","",""
"Two to three days a week","2017","indirect migration background","","","",""
"Two to four days a month","2017","no migration background","","","",""
"Two to four days a month","2017","direct migration background","","","",""
"Two to four days a month","2017","indirect migration background","","","",""
"Once a month or less","2017","no migration background","","","",""
"Once a month or less","2017","direct migration background","","","",""
"Once a month or less","2017","indirect migration background","","","",""
"Never","2017","no migration background","","","",""
"Never","2017","direct migration background","","","",""
"Never","2017","indirect migration background","","","",""
"Daily","2018","no migration background","2036","0.102266528253126","0.0980142006822701","0.106518855823981"
"Daily","2018","direct migration background","567","0.106036662942375","0.0969682316942488","0.1151050941905"
"Daily","2018","indirect migration background","237","0.133309711380208","0.117170728718755","0.149448694041662"
"Four to six days a week","2018","no migration background","4487","0.224984613570198","0.219124340970937","0.23084488616946"
"Four to six days a week","2018","direct migration background","959","0.219333322456431","0.20714540751563","0.231521237397232"
"Four to six days a week","2018","indirect migration background","407","0.23795171075316","0.217733209569934","0.258170211936387"
"Two to three days a week","2018","no migration background","9035","0.460973671312378","0.453978001600111","0.467969341024645"
"Two to three days a week","2018","direct migration background","2017","0.454369222327598","0.439703678648004","0.469034766007193"
"Two to three days a week","2018","indirect migration background","705","0.407172152986088","0.383844737330814","0.430499568641362"
"Two to four days a month","2018","no migration background","2713","0.146778006714883","0.141811537355059","0.151744476074707"
"Two to four days a month","2018","direct migration background","561","0.145301031419755","0.134921321334883","0.155680741504626"
"Two to four days a month","2018","indirect migration background","216","0.126532837571334","0.110748069292935","0.142317605849733"
"Once a month or less","2018","no migration background","613","0.0333534844706735","0.0308335415848457","0.0358734273565013"
"Once a month or less","2018","direct migration background","189","0.0471104108560272","0.0408698442638369","0.0533509774482175"
"Once a month or less","2018","indirect migration background","66","0.050898144774041","0.0404624664585715","0.0613338230895104"
"Never","2018","no migration background","620","0.0316436956787414","0.0291870221929706","0.0341003691645123"
"Never","2018","direct migration background","135","0.0278493499978145","0.0230029572961547","0.0326957426994743"
"Never","2018","indirect migration background","73","0.0441354425351684","0.0343831837335085","0.0538877013368283"
