"ple0179","year","age_gr","sex","n","percent","lower_confidence","upper_confidence"
"Daily","2016","16-34 y.","Male","582","0.206527419704236","0.190852210356807","0.222202629051665"
"Daily","2016","16-34 y.","Female","315","0.0811921494830213","0.0714525276052426","0.0909317713608"
"Daily","2016","35-65 y.","Male","876","0.127970932511422","0.119653706731132","0.136288158291712"
"Daily","2016","35-65 y.","Female","500","0.0597755914255341","0.0544662609582588","0.0650849218928094"
"Daily","2016","66 and older","Male","184","0.0801406136754862","0.0690948035182695","0.0911864238327028"
"Daily","2016","66 and older","Female","104","0.0357926146310766","0.028404795190004","0.0431804340721492"
"Four to six days a week","2016","16-34 y.","Male","766","0.296482611329967","0.278797998346026","0.314167224313908"
"Four to six days a week","2016","16-34 y.","Female","658","0.217323948737089","0.202617170466446","0.232030727007733"
"Four to six days a week","2016","35-65 y.","Male","1810","0.286940330659124","0.275678316296058","0.29820234502219"
"Four to six days a week","2016","35-65 y.","Female","1467","0.188753253791077","0.179989588875841","0.197516918706313"
"Four to six days a week","2016","66 and older","Male","520","0.203502052384494","0.187123057468083","0.219881047300904"
"Four to six days a week","2016","66 and older","Female","384","0.153407667886526","0.139076056189103","0.167739279583949"
"Two to three days a week","2016","16-34 y.","Male","914","0.378545898801675","0.359764742361692","0.397327055241658"
"Two to three days a week","2016","16-34 y.","Female","1229","0.406965365375124","0.389447084608907","0.42448364614134"
"Two to three days a week","2016","35-65 y.","Male","2786","0.464068181324114","0.451651572187718","0.47648479046051"
"Two to three days a week","2016","35-65 y.","Female","3843","0.494663644537157","0.483466498959478","0.505860790114836"
"Two to three days a week","2016","66 and older","Male","1309","0.565764636280333","0.545599971144284","0.585929301416382"
"Two to three days a week","2016","66 and older","Female","1374","0.550160017528455","0.53037630134642","0.569943733710489"
"Two to four days a month","2016","16-34 y.","Male","191","0.0779430259681318","0.0675623403628963","0.0883237115733673"
"Two to four days a month","2016","16-34 y.","Female","457","0.154690096229138","0.141795374873565","0.167584817584711"
"Two to four days a month","2016","35-65 y.","Male","560","0.091909913779821","0.0847170308888195","0.0991027966708225"
"Two to four days a month","2016","35-65 y.","Female","1260","0.171519003124556","0.163076728920874","0.179961277328237"
"Two to four days a month","2016","66 and older","Male","242","0.117322044350579","0.104230180745953","0.130413907955204"
"Two to four days a month","2016","66 and older","Female","432","0.18829496202277","0.172747739858944","0.203842184186596"
"Once a month or less","2016","16-34 y.","Male","47","0.016245697770854","0.0113504910618167","0.0211409044798913"
"Once a month or less","2016","16-34 y.","Female","158","0.0602795272241853","0.0517924727175217","0.0687665817308489"
"Once a month or less","2016","35-65 y.","Male","93","0.0162789594737582","0.0131282624392354","0.019429656508281"
"Once a month or less","2016","35-65 y.","Female","304","0.0483079425241909","0.0435059713451556","0.0531099137032263"
"Once a month or less","2016","66 and older","Male","45","0.018976035409269","0.0134252674839355","0.0245268033346025"
"Once a month or less","2016","66 and older","Female","91","0.0506566832261323","0.0419357219584819","0.0593776444937827"
"Never","2016","16-34 y.","Male","62","0.024255346425136","0.0182983085775183","0.0302123842727538"
"Never","2016","16-34 y.","Female","204","0.0795489129514425","0.069899737338906","0.089198088563979"
"Never","2016","35-65 y.","Male","72","0.0128316822517603","0.0100295105327637","0.0156338539707569"
"Never","2016","35-65 y.","Female","285","0.0369805645974857","0.0327542059245966","0.0412069232703748"
"Never","2016","66 and older","Male","21","","",""
"Never","2016","66 and older","Female","44","0.0216880547050411","0.0158953243668226","0.0274807850432596"
"Daily","2017","16-34 y.","Male","","","",""
"Daily","2017","16-34 y.","Female","","","",""
"Daily","2017","35-65 y.","Male","","","",""
"Daily","2017","35-65 y.","Female","","","",""
"Daily","2017","66 and older","Male","","","",""
"Daily","2017","66 and older","Female","","","",""
"Four to six days a week","2017","16-34 y.","Male","","","",""
"Four to six days a week","2017","16-34 y.","Female","","","",""
"Four to six days a week","2017","35-65 y.","Male","","","",""
"Four to six days a week","2017","35-65 y.","Female","","","",""
"Four to six days a week","2017","66 and older","Male","","","",""
"Four to six days a week","2017","66 and older","Female","","","",""
"Two to three days a week","2017","16-34 y.","Male","","","",""
"Two to three days a week","2017","16-34 y.","Female","","","",""
"Two to three days a week","2017","35-65 y.","Male","","","",""
"Two to three days a week","2017","35-65 y.","Female","","","",""
"Two to three days a week","2017","66 and older","Male","","","",""
"Two to three days a week","2017","66 and older","Female","","","",""
"Two to four days a month","2017","16-34 y.","Male","","","",""
"Two to four days a month","2017","16-34 y.","Female","","","",""
"Two to four days a month","2017","35-65 y.","Male","","","",""
"Two to four days a month","2017","35-65 y.","Female","","","",""
"Two to four days a month","2017","66 and older","Male","","","",""
"Two to four days a month","2017","66 and older","Female","","","",""
"Once a month or less","2017","16-34 y.","Male","","","",""
"Once a month or less","2017","16-34 y.","Female","","","",""
"Once a month or less","2017","35-65 y.","Male","","","",""
"Once a month or less","2017","35-65 y.","Female","","","",""
"Once a month or less","2017","66 and older","Male","","","",""
"Once a month or less","2017","66 and older","Female","","","",""
