"ple0179","year","sampreg","sex","n","percent","lower_confidence","upper_confidence"
"Daily","2016","West Germany","Male","1224","0.130849548093435","0.123799578446419","0.137899517740451"
"Daily","2016","West Germany","Female","704","0.0575953266324404","0.0531084571022969","0.0620821961625839"
"Daily","2016","East Germany","Male","418","0.165150799478419","0.149942708291977","0.180358890664861"
"Daily","2016","East Germany","Female","215","0.0605567737900926","0.0516454851520787","0.0694680624281064"
"Four to six days a week","2016","West Germany","Male","2516","0.275924908407116","0.266580734536016","0.285269082278215"
"Four to six days a week","2016","West Germany","Female","1999","0.182724159329362","0.175281752274279","0.190166566384444"
"Four to six days a week","2016","East Germany","Male","580","0.247687798854178","0.23000782129777","0.265367776410586"
"Four to six days a week","2016","East Germany","Female","510","0.199127931449898","0.184207838076549","0.214048024823247"
"Two to three days a week","2016","West Germany","Male","3976","0.464078051141435","0.453652477990236","0.474503624292634"
"Two to three days a week","2016","West Germany","Female","5088","0.48926917746827","0.479641953714825","0.498896401221716"
"Two to three days a week","2016","East Germany","Male","1033","0.470843772338386","0.450400014829233","0.491287529847539"
"Two to three days a week","2016","East Germany","Female","1358","0.493335176867606","0.474656104935962","0.51201424879925"
"Two to four days a month","2016","West Germany","Male","791","0.0950063042415837","0.0888764147871625","0.101136193696005"
"Two to four days a month","2016","West Germany","Female","1664","0.172136190777173","0.164865985965361","0.179406395588984"
"Two to four days a month","2016","East Germany","Male","202","0.0895359207325952","0.0778419928838518","0.101229848581339"
"Two to four days a month","2016","East Germany","Female","485","0.17284528200402","0.158718409793486","0.186972154214555"
"Once a month or less","2016","West Germany","Male","157","0.0179319982807439","0.0151577918239734","0.0207062047375144"
"Once a month or less","2016","West Germany","Female","450","0.0543605881302842","0.0499940630561397","0.0587271132044286"
"Once a month or less","2016","East Germany","Male","28","","",""
"Once a month or less","2016","East Germany","Female","103","0.038908030854338","0.0316832284100949","0.046132833298581"
"Never","2016","West Germany","Male","126","0.0162091898356866","0.01356930070142","0.0188490789699533"
"Never","2016","West Germany","Female","452","0.0439145576624707","0.0399683156853251","0.0478607996396163"
"Never","2016","East Germany","Male","29","","",""
"Never","2016","East Germany","Female","81","0.0352268050340455","0.0283391225483072","0.0421144875197838"
"Daily","2017","West Germany","Male","","","",""
"Daily","2017","West Germany","Female","","","",""
"Daily","2017","East Germany","Male","","","",""
"Daily","2017","East Germany","Female","","","",""
"Four to six days a week","2017","West Germany","Male","","","",""
"Four to six days a week","2017","West Germany","Female","","","",""
"Four to six days a week","2017","East Germany","Male","","","",""
"Four to six days a week","2017","East Germany","Female","","","",""
"Two to three days a week","2017","West Germany","Male","","","",""
"Two to three days a week","2017","West Germany","Female","","","",""
"Two to three days a week","2017","East Germany","Male","","","",""
"Two to three days a week","2017","East Germany","Female","","","",""
"Two to four days a month","2017","West Germany","Male","","","",""
"Two to four days a month","2017","West Germany","Female","","","",""
"Two to four days a month","2017","East Germany","Male","","","",""
"Two to four days a month","2017","East Germany","Female","","","",""
"Once a month or less","2017","West Germany","Male","","","",""
"Once a month or less","2017","West Germany","Female","","","",""
"Once a month or less","2017","East Germany","Male","","","",""
"Once a month or less","2017","East Germany","Female","","","",""
"Never","2017","West Germany","Male","","","",""
"Never","2017","West Germany","Female","","","",""
"Never","2017","East Germany","Male","","","",""
"Never","2017","East Germany","Female","","","",""
"Daily","2018","West Germany","Male","1442","0.148434319457878","0.141205849831934","0.155662789083823"
"Daily","2018","West Germany","Female","693","0.0554217856839624","0.0511175861431153","0.0597259852248094"
"Daily","2018","East Germany","Male","468","0.17748525366832","0.16257646186484","0.192394045471799"
"Daily","2018","East Germany","Female","237","0.0685504380245194","0.0594550646779166","0.0776458113711221"
"Four to six days a week","2018","West Germany","Male","2718","0.283667819640426","0.274502821343304","0.292832817937548"
"Four to six days a week","2018","West Germany","Female","2048","0.175907712851319","0.168745230862824","0.183070194839815"
"Four to six days a week","2018","East Germany","Male","615","0.25270603917667","0.235749273745701","0.269662804607638"
"Four to six days a week","2018","East Germany","Female","472","0.16085629434428","0.147631986738817","0.174080601949742"
"Two to three days a week","2018","West Germany","Male","3932","0.428365272223148","0.418304378705811","0.438426165740485"
"Two to three days a week","2018","West Germany","Female","5200","0.479417955025326","0.470019966353253","0.488815943697398"
"Two to three days a week","2018","East Germany","Male","1125","0.434033936487222","0.41469438023216","0.453373492742284"
