"ple0179","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Daily","2016","1-pers.-HH","293","0.0844492589872254","0.0751908661877459","0.0937076517867049"
"Daily","2016","(Married) couple without C. ","638","0.0855396771495246","0.0791382989673727","0.0919410553316765"
"Daily","2016","Single parent ","200","0.0907173476477165","0.0785488817556585","0.102885813539775"
"Daily","2016","Couple + C. LE 16 ","755","0.118023745040565","0.109707597428929","0.1263398926522"
"Daily","2016","Couple + C. GT 16 ","309","0.114078236195384","0.102163936781856","0.125992535608912"
"Daily","2016","Couple + C. LE and GT 16","281","0.129470941327461","0.115060647026665","0.143881235628258"
"Four to six days a week","2016","1-pers.-HH","556","0.165048192895479","0.152687791828318","0.17740859396264"
"Four to six days a week","2016","(Married) couple without C. ","1639","0.223456978716923","0.213922719170571","0.232991238263274"
"Four to six days a week","2016","Single parent ","382","0.20657923062206","0.189426379642853","0.223732081601267"
"Four to six days a week","2016","Couple + C. LE 16 ","1581","0.287575612837294","0.275908740033263","0.299242485641326"
"Four to six days a week","2016","Couple + C. GT 16 ","738","0.284370046565336","0.267463472738577","0.301276620392095"
"Four to six days a week","2016","Couple + C. LE and GT 16","561","0.282850614310498","0.263518540710864","0.302182687910132"
"Two to three days a week","2016","1-pers.-HH","1590","0.459226247054267","0.442633525514989","0.475818968593545"
"Two to three days a week","2016","(Married) couple without C. ","3830","0.5195902516141","0.508155054597906","0.531025448630295"
"Two to three days a week","2016","Single parent ","991","0.471514887454595","0.450365135029021","0.49266463988017"
"Two to three days a week","2016","Couple + C. LE 16 ","2588","0.447377311529365","0.434561078931498","0.460193544127233"
"Two to three days a week","2016","Couple + C. GT 16 ","1261","0.461409834562499","0.442727030520821","0.480092638604178"
"Two to three days a week","2016","Couple + C. LE and GT 16","921","0.454734417780044","0.433360801061805","0.476108034498284"
"Two to four days a month","2016","1-pers.-HH","694","0.192523727543208","0.179395578846199","0.205651876240217"
"Two to four days a month","2016","(Married) couple without C. ","896","0.121744449711111","0.114260303117066","0.129228596305155"
"Two to four days a month","2016","Single parent ","367","0.144837558795759","0.129926581405932","0.159748536185586"
"Two to four days a month","2016","Couple + C. LE 16 ","589","0.0980233715904156","0.0903590890269728","0.105687654153859"
"Two to four days a month","2016","Couple + C. GT 16 ","296","0.094510143273191","0.0835466127179524","0.10547367382843"
"Two to four days a month","2016","Couple + C. LE and GT 16","205","0.0845035799302435","0.0725647726839964","0.0964423871764906"
"Once a month or less","2016","1-pers.-HH","173","0.0535165661066577","0.0460228523564709","0.0610102798568445"
"Once a month or less","2016","(Married) couple without C. ","190","0.0294313883623056","0.0255630385131161","0.0332997382114951"
"Once a month or less","2016","Single parent ","117","0.0470807231697015","0.038106624854198","0.056054821485205"
"Once a month or less","2016","Couple + C. LE 16 ","127","0.0252784271733986","0.0212324413129386","0.0293244130338586"
"Once a month or less","2016","Couple + C. GT 16 ","57","0.0169914746063719","0.012147926659074","0.0218350225536698"
"Once a month or less","2016","Couple + C. LE and GT 16","51","0.0282726382664404","0.0211580389624355","0.0353872375704452"
"Never","2016","1-pers.-HH","159","0.0452360074131622","0.038316317697485","0.0521556971288394"
"Never","2016","(Married) couple without C. ","140","0.0202372544460365","0.0170143791201957","0.0234601297718773"
"Never","2016","Single parent ","83","0.0392702523101672","0.0310407481469742","0.0474997564733602"
"Never","2016","Couple + C. LE 16 ","142","0.0237215318289615","0.0197989928489261","0.0276440708089968"
"Never","2016","Couple + C. GT 16 ","74","0.0286402647972177","0.0223892865335868","0.0348912430608486"
"Never","2016","Couple + C. LE and GT 16","66","0.0201678083853127","0.0141338784009038","0.0262017383697216"
"Daily","2017","1-pers.-HH","","","",""
"Daily","2017","(Married) couple without C. ","","","",""
"Daily","2017","Single parent ","","","",""
"Daily","2017","Couple + C. LE 16 ","","","",""
"Daily","2017","Couple + C. GT 16 ","","","",""
"Daily","2017","Couple + C. LE and GT 16","","","",""
"Four to six days a week","2017","1-pers.-HH","","","",""
"Four to six days a week","2017","(Married) couple without C. ","","","",""
"Four to six days a week","2017","Single parent ","","","",""
"Four to six days a week","2017","Couple + C. LE 16 ","","","",""
"Four to six days a week","2017","Couple + C. GT 16 ","","","",""
"Four to six days a week","2017","Couple + C. LE and GT 16","","","",""
"Two to three days a week","2017","1-pers.-HH","","","",""
"Two to three days a week","2017","(Married) couple without C. ","","","",""
"Two to three days a week","2017","Single parent ","","","",""
"Two to three days a week","2017","Couple + C. LE 16 ","","","",""
"Two to three days a week","2017","Couple + C. GT 16 ","","","",""
"Two to three days a week","2017","Couple + C. LE and GT 16","","","",""
"Two to four days a month","2017","1-pers.-HH","","","",""
"Two to four days a month","2017","(Married) couple without C. ","","","",""
"Two to four days a month","2017","Single parent ","","","",""
"Two to four days a month","2017","Couple + C. LE 16 ","","","",""
"Two to four days a month","2017","Couple + C. GT 16 ","","","",""
"Two to four days a month","2017","Couple + C. LE and GT 16","","","",""
"Once a month or less","2017","1-pers.-HH","","","",""
"Once a month or less","2017","(Married) couple without C. ","","","",""
"Once a month or less","2017","Single parent ","","","",""
"Once a month or less","2017","Couple + C. LE 16 ","","","",""
"Once a month or less","2017","Couple + C. GT 16 ","","","",""
"Once a month or less","2017","Couple + C. LE and GT 16","","","",""
"Never","2017","1-pers.-HH","","","",""
"Never","2017","(Married) couple without C. ","","","",""
"Never","2017","Single parent ","","","",""
"Never","2017","Couple + C. LE 16 ","","","",""
"Never","2017","Couple + C. GT 16 ","","","",""
"Never","2017","Couple + C. LE and GT 16","","","",""
"Daily","2018","1-pers.-HH","334","0.0825776934247124","0.0741639284918908","0.090991458357534"
"Daily","2018","(Married) couple without C. ","696","0.0833206238729225","0.0772482514568959","0.0893929962889491"
"Daily","2018","Single parent ","200","0.104388423783042","0.091628991358672","0.117147856207412"
"Daily","2018","Couple + C. LE 16 ","782","0.146595034293104","0.137205431678729","0.155984636907479"
"Daily","2018","Couple + C. GT 16 ","403","0.136343302262785","0.124063964638654","0.148622639886916"
"Daily","2018","Couple + C. LE and GT 16","318","0.148554440907743","0.133659208098603","0.163449673716883"
"Four to six days a week","2018","1-pers.-HH","690","0.166618468966041","0.155227573714753","0.178009364217329"
"Four to six days a week","2018","(Married) couple without C. ","1799","0.232671858926307","0.223387842402695","0.241955875449918"
"Four to six days a week","2018","Single parent ","442","0.194618318800604","0.178097252698783","0.211139384902426"
"Four to six days a week","2018","Couple + C. LE 16 ","1441","0.272989494220635","0.261163073894376","0.284815914546893"
"Four to six days a week","2018","Couple + C. GT 16 ","766","0.262907003829573","0.247154496735597","0.278659510923549"
"Four to six days a week","2018","Couple + C. LE and GT 16","562","0.27356865527944","0.254898132045021","0.29223917851386"
"Two to three days a week","2018","1-pers.-HH","1806","0.441823950863029","0.426643503204058","0.457004398522"
"Two to three days a week","2018","(Married) couple without C. ","4046","0.496862336869608","0.48587645651304","0.507848217226176"
"Two to three days a week","2018","Single parent ","980","0.454613806419472","0.433835089942264","0.475392522896681"
"Two to three days a week","2018","Couple + C. LE 16 ","2348","0.420242312676879","0.407138938377809","0.433345686975949"
"Two to three days a week","2018","Couple + C. GT 16 ","1325","0.433595308562753","0.415861861130568","0.451328755994938"
"Two to three days a week","2018","Couple + C. LE and GT 16","935","0.440288997423328","0.419497925915995","0.46108006893066"
"Two to four days a month","2018","1-pers.-HH","847","0.204886331486407","0.192548311895471","0.217224351077343"
"Two to four days a month","2018","(Married) couple without C. ","1038","0.139964995796506","0.132341727696251","0.14758826389676"
"Two to four days a month","2018","Single parent ","372","0.159504653929594","0.144225487093452","0.174783820765736"
"Two to four days a month","2018","Couple + C. LE 16 ","574","0.104980857275438","0.0968435405624904","0.113118173988386"
"Two to four days a month","2018","Couple + C. GT 16 ","327","0.100415182441676","0.0896602369639338","0.111170127919418"
"Two to four days a month","2018","Couple + C. LE and GT 16","231","0.0890343947925972","0.0771067161707924","0.100962073414402"
"Once a month or less","2018","1-pers.-HH","238","0.0576861804464194","0.0505591596695901","0.0648132012232487"
"Once a month or less","2018","(Married) couple without C. ","204","0.0255258417616704","0.0220604797384786","0.0289912037848622"
"Once a month or less","2018","Single parent ","101","0.040444711151993","0.0322239655692212","0.0486654567347649"
"Once a month or less","2018","Couple + C. LE 16 ","145","0.0264426315384851","0.022183283673362","0.0307019794036082"
"Once a month or less","2018","Couple + C. GT 16 ","82","0.0354827352783812","0.0288628416328205","0.0421026289239418"
"Once a month or less","2018","Couple + C. LE and GT 16","71","0.0267664732165487","0.0200067309092604","0.0335262155238369"
"Never","2018","1-pers.-HH","196","0.0464073748133914","0.0399768074004843","0.0528379422262985"
"Never","2018","(Married) couple without C. ","174","0.0216543427729867","0.0184562425011216","0.0248524430448517"
"Never","2018","Single parent ","111","0.0464300859152945","0.0376495433866667","0.0552106284439223"
"Never","2018","Couple + C. LE 16 ","161","0.0287496699954592","0.0243136650496473","0.033185674941271"
"Never","2018","Couple + C. GT 16 ","97","0.0312564676248321","0.025029712031662","0.0374832232180022"
"Never","2018","Couple + C. LE and GT 16","73","0.0217870383803433","0.0156728074267022","0.0279012693339844"
