"ple0179","year","sampreg","n","percent","lower_confidence","upper_confidence"
"Daily","2016","West Germany","1928","0.0935606497168777","0.0894357469824094","0.0976855524513461"
"Daily","2016","East Germany","633","0.111482232249708","0.102794977506566","0.120169486992851"
"Four to six days a week","2016","West Germany","4515","0.228482546838508","0.222535558108826","0.234429535568191"
"Four to six days a week","2016","East Germany","1090","0.222771093609752","0.211285576292713","0.234256610926792"
"Two to three days a week","2016","West Germany","9064","0.476901194038292","0.469826563056949","0.483975825019635"
"Two to three days a week","2016","East Germany","2391","0.482384407170068","0.468591780657572","0.496177033682565"
"Two to four days a month","2016","West Germany","2455","0.134268048390382","0.129438841809827","0.139097254970937"
"Two to four days a month","2016","East Germany","687","0.132283047318004","0.122931406734569","0.14163468790144"
"Once a month or less","2016","West Germany","607","0.0364753935664898","0.0338199986424806","0.0391307884904989"
"Once a month or less","2016","East Germany","131","0.0257433830418113","0.0213720271906659","0.0301147388929566"
"Never","2016","West Germany","578","0.0303121674494502","0.0278837564509069","0.0327405784479936"
"Never","2016","East Germany","110","0.0253358366106552","0.020998313575096","0.0296733596462145"
"Daily","2017","West Germany","","","",""
"Daily","2017","East Germany","","","",""
"Four to six days a week","2017","West Germany","","","",""
"Four to six days a week","2017","East Germany","","","",""
"Two to three days a week","2017","West Germany","","","",""
"Two to three days a week","2017","East Germany","","","",""
"Two to four days a month","2017","West Germany","","","",""
"Two to four days a month","2017","East Germany","","","",""
"Once a month or less","2017","West Germany","","","",""
"Once a month or less","2017","East Germany","","","",""
"Never","2017","West Germany","","","",""
"Never","2017","East Germany","","","",""
"Daily","2018","West Germany","2135","0.10112441954426","0.0969613857927119","0.105287453295809"
"Daily","2018","East Germany","705","0.121732140976535","0.113081323187268","0.130382958765802"
"Four to six days a week","2018","West Germany","4766","0.228856713437628","0.223055998957462","0.234657427917794"
"Four to six days a week","2018","East Germany","1087","0.20569710870676","0.195002911092701","0.216391306320818"
"Two to three days a week","2018","West Germany","9132","0.454332711402512","0.44745754707322","0.461207875731804"
"Two to three days a week","2018","East Germany","2625","0.468676835451428","0.455474305560504","0.481879365342353"
"Two to four days a month","2018","West Germany","2713","0.14398361378574","0.13913598122608","0.148831246345401"
"Two to four days a month","2018","East Germany","777","0.152003127989996","0.142504422392264","0.161501833587728"
"Once a month or less","2018","West Germany","695","0.0385671795847232","0.0359082885984624","0.0412260705709839"
"Once a month or less","2018","East Germany","173","0.0265710847295614","0.0223161019858843","0.0308260674732385"
"Never","2018","West Germany","707","0.0331353622451358","0.0306638610796002","0.0356068634106715"
"Never","2018","East Germany","121","0.0253197021457193","0.0211634543763198","0.0294759499151189"
