"ple0179","year","age_gr","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Daily","2016","16-34 y.","1-pers.-HH","93","0.128874326658295","0.10372771268902","0.15402094062757"
"Daily","2016","16-34 y.","(Married) couple without C. ","141","0.15581636494441","0.132278033682662","0.179354696206157"
"Daily","2016","16-34 y.","Single parent ","102","0.128895377686693","0.104719973657154","0.153070781716231"
"Daily","2016","16-34 y.","Couple + C. LE 16 ","234","0.112229321881465","0.0957828237938987","0.128675819969032"
"Daily","2016","16-34 y.","Couple + C. GT 16 ","156","0.185741850291079","0.160206302444643","0.211277398137515"
"Daily","2016","16-34 y.","Couple + C. LE and GT 16","128","0.16174992157932","0.133951061761457","0.189548781397184"
"Daily","2016","35-65 y.","1-pers.-HH","136","0.0970675623318451","0.0818400320403007","0.112295092623389"
"Daily","2016","35-65 y.","(Married) couple without C. ","303","0.0865187491351317","0.0770243609430858","0.0960131373271776"
"Daily","2016","35-65 y.","Single parent ","90","0.0624505956250634","0.0494511618214092","0.0754500294287176"
"Daily","2016","35-65 y.","Couple + C. LE 16 ","521","0.120246638452064","0.110592316311953","0.129900960592176"
"Daily","2016","35-65 y.","Couple + C. GT 16 ","140","0.0696769163053344","0.0573697365492358","0.081984096061433"
"Daily","2016","35-65 y.","Couple + C. LE and GT 16","152","0.113253575465687","0.096706613129843","0.129800537801531"
"Daily","2016","66 and older","1-pers.-HH","64","0.0479290488069403","0.0364529804721251","0.0594051171417555"
"Daily","2016","66 and older","(Married) couple without C. ","194","0.057273559522619","0.0490311418051967","0.0655159772400413"
"Daily","2016","66 and older","Single parent ","8","","",""
"Daily","2016","66 and older","Couple + C. LE 16 ","","","",""
"Daily","2016","66 and older","Couple + C. GT 16 ","13","","",""
"Daily","2016","66 and older","Couple + C. LE and GT 16","1","","",""
"Four to six days a week","2016","16-34 y.","1-pers.-HH","134","0.175210809511115","0.146680411384919","0.203741207637311"
"Four to six days a week","2016","16-34 y.","(Married) couple without C. ","243","0.276260860822314","0.247240595282272","0.305281126362355"
"Four to six days a week","2016","16-34 y.","Single parent ","184","0.234361371704891","0.203799859193177","0.264922884216604"
"Four to six days a week","2016","16-34 y.","Couple + C. LE 16 ","376","0.309952863757495","0.285856191174033","0.334049536340957"
"Four to six days a week","2016","16-34 y.","Couple + C. GT 16 ","241","0.293929796351521","0.264017139552963","0.323842453150079"
"Four to six days a week","2016","16-34 y.","Couple + C. LE and GT 16","190","0.296072702395337","0.26160746850069","0.330537936289983"
"Four to six days a week","2016","35-65 y.","1-pers.-HH","227","0.182682563201659","0.162807491080486","0.202557635322831"
