"ple0179","year","bula_h","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Four to six days a week","2016","Rhineland-Palatinate,Saarland","Couple + C. LE and GT 16","38","0.309307092055123","0.234333365059127","0.384280819051118"
"Four to six days a week","2016","Baden-Württemberg","1-pers.-HH","58","0.170172999937127","0.131462131538853","0.208883868335401"
"Four to six days a week","2016","Baden-Württemberg","(Married) couple without C. ","157","0.202228936283872","0.17357822529077","0.230879647276974"
"Four to six days a week","2016","Baden-Württemberg","Single parent ","39","0.20902847896595","0.155052193019634","0.263004764912265"
"Four to six days a week","2016","Baden-Württemberg","Couple + C. LE 16 ","202","0.268324375717659","0.237289031456109","0.299359719979209"
"Four to six days a week","2016","Baden-Württemberg","Couple + C. GT 16 ","98","0.243458844480185","0.198172465055244","0.288745223905125"
"Four to six days a week","2016","Baden-Württemberg","Couple + C. LE and GT 16","87","0.243261887658904","0.195031457082281","0.291492318235527"
"Four to six days a week","2016","Bavaria","1-pers.-HH","91","0.184218479001503","0.151245790606953","0.217191167396053"
"Four to six days a week","2016","Bavaria","(Married) couple without C. ","270","0.235944210780848","0.211133510176822","0.260754911384874"
"Four to six days a week","2016","Bavaria","Single parent ","67","0.313227538590908","0.263782109980039","0.362672967201777"
"Four to six days a week","2016","Bavaria","Couple + C. LE 16 ","254","0.262140608802096","0.23439218040396","0.289889037200232"
"Four to six days a week","2016","Bavaria","Couple + C. GT 16 ","135","0.301235214792074","0.26044571950511","0.342024710079038"
"Four to six days a week","2016","Bavaria","Couple + C. LE and GT 16","97","0.290335449611934","0.243704529177024","0.336966370046843"
"Four to six days a week","2016","Berlin","1-pers.-HH","37","0.142007955560379","0.0965998764464901","0.187416034674268"
"Four to six days a week","2016","Berlin","(Married) couple without C. ","47","0.172574188629205","0.129306197381281","0.215842179877128"
"Four to six days a week","2016","Berlin","Single parent ","20","","",""
"Four to six days a week","2016","Berlin","Couple + C. LE 16 ","41","0.225388150723674","0.165177983275641","0.285598318171707"
"Four to six days a week","2016","Berlin","Couple + C. GT 16 ","9","","",""
"Four to six days a week","2016","Berlin","Couple + C. LE and GT 16","6","","",""
"Four to six days a week","2016","Brandenburg","1-pers.-HH","16","","",""
"Four to six days a week","2016","Brandenburg","(Married) couple without C. ","79","0.197378929232184","0.157927259839386","0.236830598624983"
"Four to six days a week","2016","Brandenburg","Single parent ","8","","",""
"Four to six days a week","2016","Brandenburg","Couple + C. LE 16 ","51","0.452413718974508","0.380884121452219","0.523943316496797"
"Four to six days a week","2016","Brandenburg","Couple + C. GT 16 ","25","","",""
"Four to six days a week","2016","Brandenburg","Couple + C. LE and GT 16","12","","",""
"Four to six days a week","2016","Mecklenburg-Western Pomerania","1-pers.-HH","17","","",""
"Four to six days a week","2016","Mecklenburg-Western Pomerania","(Married) couple without C. ","43","0.278069260337841","0.215661333766308","0.340477186909374"
"Four to six days a week","2016","Mecklenburg-Western Pomerania","Single parent ","3","","",""
"Four to six days a week","2016","Mecklenburg-Western Pomerania","Couple + C. LE 16 ","26","","",""
"Four to six days a week","2016","Mecklenburg-Western Pomerania","Couple + C. GT 16 ","6","","",""
"Four to six days a week","2016","Mecklenburg-Western Pomerania","Couple + C. LE and GT 16","10","","",""
"Four to six days a week","2016","Saxony","1-pers.-HH","44","0.209795264378492","0.15806707622863","0.261523452528353"
"Four to six days a week","2016","Saxony","(Married) couple without C. ","110","0.193851148611825","0.160416038541708","0.227286258681942"
"Four to six days a week","2016","Saxony","Single parent ","24","","",""
"Four to six days a week","2016","Saxony","Couple + C. LE 16 ","79","0.286911413390907","0.234762552693468","0.339060274088347"
"Four to six days a week","2016","Saxony","Couple + C. GT 16 ","39","0.252896323295484","0.184466733515128","0.321325913075841"
"Four to six days a week","2016","Saxony","Couple + C. LE and GT 16","22","","",""
"Four to six days a week","2016","Saxony-Anhalt","1-pers.-HH","21","","",""
"Four to six days a week","2016","Saxony-Anhalt","(Married) couple without C. ","68","0.255002586179678","0.204663941059849","0.305341231299506"
"Four to six days a week","2016","Saxony-Anhalt","Single parent ","14","","",""
"Four to six days a week","2016","Saxony-Anhalt","Couple + C. LE 16 ","29","","",""
"Four to six days a week","2016","Saxony-Anhalt","Couple + C. GT 16 ","12","","",""
"Four to six days a week","2016","Saxony-Anhalt","Couple + C. LE and GT 16","17","","",""
"Four to six days a week","2016","Thuringia","1-pers.-HH","32","0.25938171601862","0.18970411472119","0.329059317316049"
"Four to six days a week","2016","Thuringia","(Married) couple without C. ","85","0.219561279134973","0.17581751511143","0.263305043158516"
"Four to six days a week","2016","Thuringia","Single parent ","10","","",""
"Four to six days a week","2016","Thuringia","Couple + C. LE 16 ","54","0.328574278471914","0.258984599121836","0.398163957821992"
"Four to six days a week","2016","Thuringia","Couple + C. GT 16 ","22","","",""
"Four to six days a week","2016","Thuringia","Couple + C. LE and GT 16","17","","",""
"Two to three days a week","2016","Schleswig-Holstein","1-pers.-HH","59","0.511982101716858","0.425047734944994","0.598916468488722"
"Two to three days a week","2016","Schleswig-Holstein","(Married) couple without C. ","112","0.421516983510638","0.357560703501182","0.485473263520094"
"Two to three days a week","2016","Schleswig-Holstein","Single parent ","36","0.528386236389628","0.410600546665067","0.646171926114189"
"Two to three days a week","2016","Schleswig-Holstein","Couple + C. LE 16 ","96","0.408607118658747","0.345622983140816","0.471591254176679"
"Two to three days a week","2016","Schleswig-Holstein","Couple + C. GT 16 ","42","0.3610272752524","0.265445874504835","0.456608675999965"
"Two to three days a week","2016","Schleswig-Holstein","Couple + C. LE and GT 16","18","","",""
"Two to three days a week","2016","Hamburg","1-pers.-HH","37","0.56343326866254","0.447249453608273","0.679617083716806"
"Two to three days a week","2016","Hamburg","(Married) couple without C. ","56","0.423810291801658","0.337181634657411","0.510438948945904"
"Two to three days a week","2016","Hamburg","Single parent ","25","","",""
"Two to three days a week","2016","Hamburg","Couple + C. LE 16 ","46","0.40557522066777","0.308363369711803","0.502787071623737"
"Two to three days a week","2016","Hamburg","Couple + C. GT 16 ","16","","",""
"Two to three days a week","2016","Hamburg","Couple + C. LE and GT 16","17","","",""
"Two to three days a week","2016","Lower Saxony","1-pers.-HH","134","0.466162125164018","0.409042221697255","0.523282028630781"
"Two to three days a week","2016","Lower Saxony","(Married) couple without C. ","335","0.483693974818582","0.447038578410272","0.520349371226892"
"Two to three days a week","2016","Lower Saxony","Single parent ","107","0.505508758464341","0.440469016948572","0.57054849998011"
"Two to three days a week","2016","Lower Saxony","Couple + C. LE 16 ","248","0.452737980981214","0.41094811687076","0.494527845091668"
"Two to three days a week","2016","Lower Saxony","Couple + C. GT 16 ","132","0.416405446019413","0.359766467511312","0.473044424527514"
"Two to three days a week","2016","Lower Saxony","Couple + C. LE and GT 16","88","0.448659210426135","0.382332330035315","0.514986090816955"
"Two to three days a week","2016","Bremen","1-pers.-HH","11","","",""
"Two to three days a week","2016","Bremen","(Married) couple without C. ","26","","",""
"Two to three days a week","2016","Bremen","Single parent ","11","","",""
"Two to three days a week","2016","Bremen","Couple + C. LE 16 ","14","","",""
"Two to three days a week","2016","Bremen","Couple + C. GT 16 ","8","","",""
"Two to three days a week","2016","Bremen","Couple + C. LE and GT 16","10","","",""
"Two to three days a week","2016","North Rhine-Westphalia","1-pers.-HH","271","0.429328518583196","0.390397994990388","0.468259042176005"
"Two to three days a week","2016","North Rhine-Westphalia","(Married) couple without C. ","725","0.510514810031","0.484263771850164","0.536765848211835"
"Two to three days a week","2016","North Rhine-Westphalia","Single parent ","193","0.505635057580211","0.459025028073453","0.55224508708697"
"Two to three days a week","2016","North Rhine-Westphalia","Couple + C. LE 16 ","553","0.464285688430243","0.436759262828877","0.491812114031609"
"Two to three days a week","2016","North Rhine-Westphalia","Couple + C. GT 16 ","313","0.470477390600627","0.433017410991109","0.507937370210144"
"Two to three days a week","2016","North Rhine-Westphalia","Couple + C. LE and GT 16","221","0.511055645877852","0.466885447199974","0.555225844555729"
"Two to three days a week","2016","Hesse","1-pers.-HH","103","0.457286080560966","0.391307114611598","0.523265046510334"
"Two to three days a week","2016","Hesse","(Married) couple without C. ","244","0.503163102441791","0.458480663911852","0.547845540971729"
"Two to three days a week","2016","Hesse","Single parent ","81","0.550984848972991","0.471912138991183","0.6300575589548"
"Two to three days a week","2016","Hesse","Couple + C. LE 16 ","181","0.398800954115396","0.350328803027646","0.447273105203146"
"Two to three days a week","2016","Hesse","Couple + C. GT 16 ","76","0.477769260169764","0.403550484701509","0.551988035638018"
"Two to three days a week","2016","Hesse","Couple + C. LE and GT 16","51","0.377230394251771","0.294230127855051","0.46023066064849"
"Two to three days a week","2016","Rhineland-Palatinate,Saarland","1-pers.-HH","100","0.477631476455185","0.409586214877252","0.545676738033119"
"Two to three days a week","2016","Rhineland-Palatinate,Saarland","(Married) couple without C. ","249","0.60427148021552","0.557560200331612","0.650982760099427"
"Two to three days a week","2016","Rhineland-Palatinate,Saarland","Single parent ","70","0.497983588637205","0.413951509410363","0.582015667864046"
"Two to three days a week","2016","Rhineland-Palatinate,Saarland","Couple + C. LE 16 ","155","0.407072919269177","0.355967063673135","0.458178774865219"
"Two to three days a week","2016","Rhineland-Palatinate,Saarland","Couple + C. GT 16 ","81","0.555254313955059","0.476512717006647","0.633995910903471"
"Two to three days a week","2016","Rhineland-Palatinate,Saarland","Couple + C. LE and GT 16","82","0.487837830041012","0.406757940349222","0.568917719732802"
"Two to three days a week","2016","Baden-Württemberg","1-pers.-HH","170","0.457315264173045","0.405996586475157","0.508633941870933"
"Two to three days a week","2016","Baden-Württemberg","(Married) couple without C. ","432","0.567368241316695","0.532028259243167","0.602708223390224"
"Two to three days a week","2016","Baden-Württemberg","Single parent ","96","0.443933456234149","0.377979300510065","0.509887611958232"
"Two to three days a week","2016","Baden-Württemberg","Couple + C. LE 16 ","374","0.47165676709494","0.436691381692843","0.506622152497038"
"Two to three days a week","2016","Baden-Württemberg","Couple + C. GT 16 ","160","0.523060722193871","0.470356410865395","0.575765033522347"
"Two to three days a week","2016","Baden-Württemberg","Couple + C. LE and GT 16","130","0.420066579053162","0.364583643275474","0.47554951483085"
"Two to three days a week","2016","Bavaria","1-pers.-HH","267","0.500702307212928","0.458174753047031","0.543229861378825"
"Two to three days a week","2016","Bavaria","(Married) couple without C. ","561","0.488897435682461","0.459687221634465","0.518107649730458"
"Two to three days a week","2016","Bavaria","Single parent ","174","0.42881092898532","0.376049978801728","0.481571879168911"
"Two to three days a week","2016","Bavaria","Couple + C. LE 16 ","452","0.473679785740217","0.442176787767181","0.505182783713253"
"Two to three days a week","2016","Bavaria","Couple + C. GT 16 ","219","0.425857336473193","0.381895894118701","0.469818778827686"
"Two to three days a week","2016","Bavaria","Couple + C. LE and GT 16","168","0.398407406777414","0.348113851015897","0.44870096253893"
"Two to three days a week","2016","Berlin","1-pers.-HH","83","0.419155907516172","0.354968069719519","0.483343745312826"
"Two to three days a week","2016","Berlin","(Married) couple without C. ","155","0.549657401607422","0.492689288408081","0.606625514806764"
"Two to three days a week","2016","Berlin","Single parent ","27","","",""
"Two to three days a week","2016","Berlin","Couple + C. LE 16 ","66","0.438195409089579","0.366698250872677","0.509692567306482"
"Two to three days a week","2016","Berlin","Couple + C. GT 16 ","23","","",""
"Two to three days a week","2016","Berlin","Couple + C. LE and GT 16","8","","",""
"Two to three days a week","2016","Brandenburg","1-pers.-HH","70","0.522904784652596","0.43987105813141","0.605938511173782"
"Two to three days a week","2016","Brandenburg","(Married) couple without C. ","213","0.5921704980917","0.543460017404605","0.640880978778795"
"Two to three days a week","2016","Brandenburg","Single parent ","32","0.569643496483537","0.452817551515239","0.686469441451834"
"Two to three days a week","2016","Brandenburg","Couple + C. LE 16 ","81","0.326865374232398","0.259454952693027","0.394275795771769"
"Two to three days a week","2016","Brandenburg","Couple + C. GT 16 ","34","0.557132163116833","0.439070248860166","0.6751940773735"
"Two to three days a week","2016","Brandenburg","Couple + C. LE and GT 16","30","0.657693957249216","0.538623949396574","0.776763965101858"
"Two to three days a week","2016","Mecklenburg-Western Pomerania","1-pers.-HH","39","0.335810400154191","0.244604573228316","0.427016227080065"
"Two to three days a week","2016","Mecklenburg-Western Pomerania","(Married) couple without C. ","100","0.478911016965789","0.409328704878156","0.548493329053422"
"Two to three days a week","2016","Mecklenburg-Western Pomerania","Single parent ","24","","",""
"Two to three days a week","2016","Mecklenburg-Western Pomerania","Couple + C. LE 16 ","46","0.463278773196101","0.367900593810952","0.55865695258125"
"Two to three days a week","2016","Mecklenburg-Western Pomerania","Couple + C. GT 16 ","15","","",""
"Two to three days a week","2016","Mecklenburg-Western Pomerania","Couple + C. LE and GT 16","11","","",""
"Two to three days a week","2016","Saxony","1-pers.-HH","120","0.505247135851384","0.441727836181893","0.568766435520875"
"Two to three days a week","2016","Saxony","(Married) couple without C. ","297","0.572090789351161","0.53024331581898","0.613938262883343"
"Two to three days a week","2016","Saxony","Single parent ","57","0.501091574777164","0.412002515058929","0.590180634495399"
"Two to three days a week","2016","Saxony","Couple + C. LE 16 ","129","0.475046104285508","0.417471941472348","0.532620267098668"
"Two to three days a week","2016","Saxony","Couple + C. GT 16 ","77","0.448503329609511","0.370207879513006","0.526798779706016"
"Two to three days a week","2016","Saxony","Couple + C. LE and GT 16","45","0.645905848326064","0.55024010290036","0.741571593751767"
"Two to three days a week","2016","Saxony-Anhalt","1-pers.-HH","67","0.423728451445789","0.344649689101409","0.502807213790169"
"Two to three days a week","2016","Saxony-Anhalt","(Married) couple without C. ","165","0.57872875196503","0.521703096427701","0.635754407502358"
"Two to three days a week","2016","Saxony-Anhalt","Single parent ","37","0.41631228383438","0.314470329251506","0.518154238417253"
"Two to three days a week","2016","Saxony-Anhalt","Couple + C. LE 16 ","85","0.583492123878412","0.508271795130704","0.658712452626121"
"Two to three days a week","2016","Saxony-Anhalt","Couple + C. GT 16 ","29","","",""
"Two to three days a week","2016","Saxony-Anhalt","Couple + C. LE and GT 16","24","","",""
"Two to three days a week","2016","Thuringia","1-pers.-HH","59","0.395840026125041","0.318096877612208","0.473583174637874"
"Two to three days a week","2016","Thuringia","(Married) couple without C. ","160","0.444347437157912","0.39183866410523","0.496856210210594"
"Two to three days a week","2016","Thuringia","Single parent ","21","","",""
"Two to three days a week","2016","Thuringia","Couple + C. LE 16 ","62","0.357844811064179","0.286822233975503","0.428867388152855"
"Two to three days a week","2016","Thuringia","Couple + C. GT 16 ","36","0.334070725796511","0.233205442712673","0.434936008880348"
"Two to three days a week","2016","Thuringia","Couple + C. LE and GT 16","18","","",""
"Two to four days a month","2016","Schleswig-Holstein","1-pers.-HH","22","","",""
"Two to four days a month","2016","Schleswig-Holstein","(Married) couple without C. ","30","0.166640350949489","0.118374866485743","0.214905835413235"
"Two to four days a month","2016","Schleswig-Holstein","Single parent ","8","","",""
"Two to four days a month","2016","Schleswig-Holstein","Couple + C. LE 16 ","25","","",""
"Two to four days a month","2016","Schleswig-Holstein","Couple + C. GT 16 ","4","","",""
"Two to four days a month","2016","Schleswig-Holstein","Couple + C. LE and GT 16","3","","",""
"Two to four days a month","2016","Hamburg","1-pers.-HH","14","","",""
"Two to four days a month","2016","Hamburg","(Married) couple without C. ","22","","",""
"Two to four days a month","2016","Hamburg","Single parent ","6","","",""
"Two to four days a month","2016","Hamburg","Couple + C. LE 16 ","8","","",""
"Two to four days a month","2016","Hamburg","Couple + C. GT 16 ","7","","",""
"Two to four days a month","2016","Hamburg","Couple + C. LE and GT 16","4","","",""
"Two to four days a month","2016","Lower Saxony","1-pers.-HH","44","0.126624928230934","0.0885469147813784","0.164702941680489"
"Two to four days a month","2016","Lower Saxony","(Married) couple without C. ","88","0.110927944600324","0.087892958838658","0.133962930361991"
"Two to four days a month","2016","Lower Saxony","Single parent ","37","0.155712084196371","0.108544719973462","0.20287944841928"
"Two to four days a month","2016","Lower Saxony","Couple + C. LE 16 ","42","0.0772320432688103","0.0548193083391601","0.0996447781984605"
"Two to four days a month","2016","Lower Saxony","Couple + C. GT 16 ","28","","",""
