"ple0179","year","e11103","pgisced97","n","percent","lower_confidence","upper_confidence"
"Daily","2016","Full Time","in school","","","",""
"Daily","2016","Full Time","inadequately","15","","",""
"Daily","2016","Full Time","general elemantary","118","0.138915003439139","0.111993392098194","0.165836614780084"
"Daily","2016","Full Time","middle vocational","558","0.135361723385551","0.124690242637386","0.146033204133716"
"Daily","2016","Full Time","vocational + Abi","139","0.131895104446541","0.11013601713918","0.153654191753903"
"Daily","2016","Full Time","higher vocational","90","0.136353388228205","0.111075984440836","0.161630792015574"
"Daily","2016","Full Time","higher education","230","0.0759294386410789","0.065958386341024","0.0859004909411339"
"Daily","2016","Part Time","in school","12","","",""
"Daily","2016","Part Time","inadequately","29","","",""
"Daily","2016","Part Time","general elemantary","97","0.105882883944084","0.0829581064586571","0.128807661429511"
"Daily","2016","Part Time","middle vocational","267","0.080424371153058","0.0709842732591326","0.0898644690469835"
"Daily","2016","Part Time","vocational + Abi","63","0.069992347120925","0.0512783083466433","0.0887063858952066"
"Daily","2016","Part Time","higher vocational","24","","",""
"Daily","2016","Part Time","higher education","105","0.0643658049298446","0.0526449931266287","0.0760866167330604"
"Daily","2016","Not Working","in school","50","0.214013886959799","0.16444620259125","0.263581571328347"
"Daily","2016","Not Working","inadequately","31","0.0857143291282617","0.0483816732356176","0.123046985020906"
"Daily","2016","Not Working","general elemantary","130","0.0794533652383694","0.0643823577104632","0.0945243727662756"
"Daily","2016","Not Working","middle vocational","327","0.0736066825270568","0.0653582000662242","0.0818551649878895"
"Daily","2016","Not Working","vocational + Abi","28","","",""
"Daily","2016","Not Working","higher vocational","29","","",""
"Daily","2016","Not Working","higher education","122","0.0842462873485397","0.0701524774601207","0.0983400972369587"
"Four to six days a week","2016","Full Time","in school","","","",""
"Four to six days a week","2016","Full Time","inadequately","22","","",""
"Four to six days a week","2016","Full Time","general elemantary","176","0.274603289288391","0.239862144868985","0.309344433707796"
"Four to six days a week","2016","Full Time","middle vocational","1052","0.258230622071932","0.2445785730194","0.271882671124463"
"Four to six days a week","2016","Full Time","vocational + Abi","235","0.267350686191672","0.238891075222004","0.295810297161339"
"Four to six days a week","2016","Full Time","higher vocational","215","0.317966792137938","0.28366434487827","0.352269239397607"
"Four to six days a week","2016","Full Time","higher education","710","0.26872846185962","0.252041414417228","0.285415509302011"
"Four to six days a week","2016","Part Time","in school","18","","",""
"Four to six days a week","2016","Part Time","inadequately","29","","",""
"Four to six days a week","2016","Part Time","general elemantary","168","0.240010075985214","0.208189085169915","0.271831066800512"
"Four to six days a week","2016","Part Time","middle vocational","701","0.2157238457062","0.201445676745266","0.230002014667135"
"Four to six days a week","2016","Part Time","vocational + Abi","152","0.218481575748531","0.188172268843263","0.2487908826538"
"Four to six days a week","2016","Part Time","higher vocational","60","0.230202422753937","0.181414953630768","0.278989891877105"
"Four to six days a week","2016","Part Time","higher education","351","0.201572302480675","0.182411650936314","0.220732954025035"
"Four to six days a week","2016","Not Working","in school","63","0.288076118525852","0.233344205774839","0.342808031276865"
"Four to six days a week","2016","Not Working","inadequately","43","0.234339452828698","0.177850690956619","0.290828214700778"
"Four to six days a week","2016","Not Working","general elemantary","250","0.184298643039487","0.162691870381909","0.205905415697065"
"Four to six days a week","2016","Not Working","middle vocational","787","0.19480160993779","0.182291375563759","0.207311844311821"
"Four to six days a week","2016","Not Working","vocational + Abi","70","0.180993975657421","0.141973918795868","0.220014032518973"
"Four to six days a week","2016","Not Working","higher vocational","77","0.167601922039407","0.131359013655364","0.203844830423449"
"Four to six days a week","2016","Not Working","higher education","281","0.163795075159647","0.145016161733435","0.182573988585859"
"Two to three days a week","2016","Full Time","in school","1","","",""
"Two to three days a week","2016","Full Time","inadequately","23","","",""
"Two to three days a week","2016","Full Time","general elemantary","259","0.443883509155235","0.405209352304051","0.482557666006419"
"Two to three days a week","2016","Full Time","middle vocational","1746","0.458760592551058","0.443217147705223","0.474304037396893"
"Two to three days a week","2016","Full Time","vocational + Abi","398","0.441866595282274","0.409932484514477","0.473800706050072"
"Two to three days a week","2016","Full Time","higher vocational","311","0.400964771294367","0.364864476147928","0.437065066440806"
"Two to three days a week","2016","Full Time","higher education","1194","0.439918887391989","0.421233801435472","0.458603973348507"
"Two to three days a week","2016","Part Time","in school","22","","",""
"Two to three days a week","2016","Part Time","inadequately","45","0.354754541412118","0.266148050019488","0.443361032804748"
"Two to three days a week","2016","Part Time","general elemantary","324","0.490182269490687","0.4529361261266","0.527428412854775"
"Two to three days a week","2016","Part Time","middle vocational","1575","0.477552889986657","0.460214018046316","0.494891761926999"
"Two to three days a week","2016","Part Time","vocational + Abi","335","0.451190867153636","0.414691124684683","0.487690609622589"
"Two to three days a week","2016","Part Time","higher vocational","139","0.417286964391786","0.360137804534837","0.474436124248736"
"Two to three days a week","2016","Part Time","higher education","796","0.464210055782922","0.440390612945523","0.488029498620321"
"Two to three days a week","2016","Not Working","in school","95","0.33309600833122","0.276133829966737","0.390058186695702"
"Two to three days a week","2016","Not Working","inadequately","112","0.503113098635088","0.436435062239188","0.569791135030988"
"Two to three days a week","2016","Not Working","general elemantary","620","0.533130449787727","0.505328339613356","0.560932559962098"
"Two to three days a week","2016","Not Working","middle vocational","2000","0.521415714729672","0.505636368653194","0.53719506080615"
"Two to three days a week","2016","Not Working","vocational + Abi","198","0.556664746646063","0.506317551290932","0.607011942001194"
"Two to three days a week","2016","Not Working","higher vocational","238","0.577114942666807","0.529179103022152","0.625050782311461"
"Two to three days a week","2016","Not Working","higher education","789","0.526093989099749","0.500757790306236","0.551430187893262"
"Two to four days a month","2016","Full Time","in school","","","",""
"Two to four days a month","2016","Full Time","inadequately","8","","",""
"Two to four days a month","2016","Full Time","general elemantary","55","0.103046192873405","0.0793813036208584","0.126711082125952"
"Two to four days a month","2016","Full Time","middle vocational","432","0.106331439657624","0.0967157905717766","0.115947088743472"
"Two to four days a month","2016","Full Time","vocational + Abi","109","0.10027317757996","0.0809584780369111","0.119587877123008"
"Two to four days a month","2016","Full Time","higher vocational","69","0.107150371482428","0.084367027675462","0.129933715289395"
"Two to four days a month","2016","Full Time","higher education","395","0.142658618545353","0.129493971115302","0.155823265975405"
"Two to four days a month","2016","Part Time","in school","7","","",""
"Two to four days a month","2016","Part Time","inadequately","7","","",""
"Two to four days a month","2016","Part Time","general elemantary","66","0.0991665773544993","0.0768976165241592","0.121435538184839"
"Two to four days a month","2016","Part Time","middle vocational","432","0.143383075423545","0.131217540615337","0.155548610231752"
"Two to four days a month","2016","Part Time","vocational + Abi","98","0.152203495662895","0.12585492205805","0.178552069267741"
"Two to four days a month","2016","Part Time","higher vocational","40","0.163353399450161","0.120508395400311","0.20619840350001"
"Two to four days a month","2016","Part Time","higher education","270","0.15727407367436","0.139886107247921","0.174662040100798"
"Two to four days a month","2016","Not Working","in school","35","0.127317847463745","0.0870328901676428","0.167602804759848"
"Two to four days a month","2016","Not Working","inadequately","27","","",""
"Two to four days a month","2016","Not Working","general elemantary","173","0.137802825477622","0.118594230469294","0.157011420485949"
"Two to four days a month","2016","Not Working","middle vocational","535","0.154623212340581","0.143202840842758","0.166043583838404"
"Two to four days a month","2016","Not Working","vocational + Abi","59","0.153946243619517","0.117370276601606","0.190522210637429"
"Two to four days a month","2016","Not Working","higher vocational","45","0.138578206433227","0.105052849908725","0.172103562957728"
"Two to four days a month","2016","Not Working","higher education","204","0.148391590518102","0.130353594154765","0.166429586881439"
"Once a month or less","2016","Full Time","in school","","","",""
"Once a month or less","2016","Full Time","inadequately","3","","",""
"Once a month or less","2016","Full Time","general elemantary","16","","",""
"Once a month or less","2016","Full Time","middle vocational","98","0.0254862976422975","0.0205703542943058","0.0304022409902891"
"Once a month or less","2016","Full Time","vocational + Abi","20","","",""
"Once a month or less","2016","Full Time","higher vocational","12","","",""
"Once a month or less","2016","Full Time","higher education","89","0.0377126577985907","0.0305416649563586","0.0448836506408228"
"Once a month or less","2016","Part Time","in school","2","","",""
"Once a month or less","2016","Part Time","inadequately","1","","",""
"Once a month or less","2016","Part Time","general elemantary","21","","",""
"Once a month or less","2016","Part Time","middle vocational","103","0.0371040704290164","0.030542778094911","0.0436653627631217"
"Once a month or less","2016","Part Time","vocational + Abi","32","0.0674460587726329","0.0490504461997347","0.0858416713455311"
"Once a month or less","2016","Part Time","higher vocational","10","","",""
"Once a month or less","2016","Part Time","higher education","75","0.0530874847182903","0.0423789992849918","0.0637959701515889"
"Once a month or less","2016","Not Working","in school","10","","",""
"Once a month or less","2016","Not Working","inadequately","2","","",""
"Once a month or less","2016","Not Working","general elemantary","37","0.0325744308477796","0.0226818310499127","0.0424670306456464"
"Once a month or less","2016","Not Working","middle vocational","115","0.0347820057161158","0.0289942826553813","0.0405697287768504"
"Once a month or less","2016","Not Working","vocational + Abi","11","","",""
"Once a month or less","2016","Not Working","higher vocational","9","","",""
"Once a month or less","2016","Not Working","higher education","51","0.0402239227285164","0.0302540216166907","0.0501938238403422"
"Never","2016","Full Time","in school","","","",""
"Never","2016","Full Time","inadequately","2","","",""
"Never","2016","Full Time","general elemantary","10","","",""
"Never","2016","Full Time","middle vocational","62","0.0158293246915377","0.0119359524964509","0.0197226968866244"
"Never","2016","Full Time","vocational + Abi","28","","",""
"Never","2016","Full Time","higher vocational","11","","",""
"Never","2016","Full Time","higher education","93","0.0350519357633679","0.028128984003299","0.0419748875234368"
"Never","2016","Part Time","in school","9","","",""
"Never","2016","Part Time","inadequately","1","","",""
"Never","2016","Part Time","general elemantary","16","","",""
"Never","2016","Part Time","middle vocational","110","0.0458117473015233","0.038554124455249","0.0530693701477975"
"Never","2016","Part Time","vocational + Abi","34","0.0406856555413792","0.0261945969208517","0.0551767141619066"
"Never","2016","Part Time","higher vocational","13","","",""
"Never","2016","Part Time","higher education","87","0.0594902784139087","0.0481927955139493","0.070787761313868"
"Never","2016","Not Working","in school","10","","",""
"Never","2016","Not Working","inadequately","1","","",""
"Never","2016","Not Working","general elemantary","27","","",""
"Never","2016","Not Working","middle vocational","86","0.0207707747487842","0.016265863311332","0.0252756861862363"
"Never","2016","Not Working","vocational + Abi","8","","",""
"Never","2016","Not Working","higher vocational","10","","",""
"Never","2016","Not Working","higher education","45","0.0372491351454462","0.0276401231614808","0.0468581471294117"
"Daily","2017","Full Time","in school","","","",""
"Daily","2017","Full Time","inadequately","","","",""
"Daily","2017","Full Time","general elemantary","","","",""
"Daily","2017","Full Time","middle vocational","","","",""
"Daily","2017","Full Time","vocational + Abi","","","",""
"Daily","2017","Full Time","higher vocational","","","",""
"Daily","2017","Full Time","higher education","","","",""
"Daily","2017","Part Time","in school","","","",""
"Daily","2017","Part Time","inadequately","","","",""
"Daily","2017","Part Time","general elemantary","","","",""
"Daily","2017","Part Time","middle vocational","","","",""
"Daily","2017","Part Time","vocational + Abi","","","",""
"Daily","2017","Part Time","higher vocational","","","",""
"Daily","2017","Part Time","higher education","","","",""
