"ple0179","year","hgtyp1hh","sex","n","percent","lower_confidence","upper_confidence"
"Daily","2016","1-pers.-HH","Male","221","0.136299187995586","0.118836712338194","0.153761663652979"
"Daily","2016","1-pers.-HH","Female","72","0.0410194245438411","0.0322877819068788","0.0497510671808034"
"Daily","2016","(Married) couple without C. ","Male","404","0.107406091362039","0.0973460798249103","0.117466102899168"
"Daily","2016","(Married) couple without C. ","Female","234","0.0626953974024829","0.0548780781225064","0.0705127166824593"
"Daily","2016","Single parent ","Male","83","0.150714102363307","0.11922856174017","0.182199642986444"
"Daily","2016","Single parent ","Female","117","0.0640728236100066","0.0522354557224585","0.0759101914975548"
"Daily","2016","Couple + C. LE 16 ","Male","476","0.170305774976808","0.15621024321257","0.184401306741047"
"Daily","2016","Couple + C. LE 16 ","Female","279","0.0657727997115954","0.0569755364313348","0.074570062991856"
"Daily","2016","Couple + C. GT 16 ","Male","209","0.160185869749484","0.140862461181497","0.179509278317471"
"Daily","2016","Couple + C. GT 16 ","Female","100","0.0568773750024004","0.0445271670418071","0.0692275829629937"
"Daily","2016","Couple + C. LE and GT 16","Male","188","0.16042100693806","0.138169914054421","0.1826720998217"
"Daily","2016","Couple + C. LE and GT 16","Female","93","0.094321597400829","0.0765582830802187","0.112084911721439"
"Four to six days a week","2016","1-pers.-HH","Male","327","0.226448420464837","0.205147086468228","0.247749754461447"
"Four to six days a week","2016","1-pers.-HH","Female","229","0.113618966874874","0.0996478247342808","0.127590109015467"
"Four to six days a week","2016","(Married) couple without C. ","Male","937","0.253156333861203","0.239028801422532","0.267283866299874"
"Four to six days a week","2016","(Married) couple without C. ","Female","702","0.192429469102","0.17971712419018","0.20514181401382"
"Four to six days a week","2016","Single parent ","Male","149","0.304814265881927","0.264303045813504","0.345325485950351"
"Four to six days a week","2016","Single parent ","Female","233","0.162953108330372","0.145100429054092","0.180805787606651"
"Four to six days a week","2016","Couple + C. LE 16 ","Male","864","0.331454793061685","0.313803143976953","0.349106442146417"
"Four to six days a week","2016","Couple + C. LE 16 ","Female","717","0.243722521253426","0.228485973179775","0.258959069327077"
"Four to six days a week","2016","Couple + C. GT 16 ","Male","432","0.307631767421547","0.283317331264278","0.331946203578816"
"Four to six days a week","2016","Couple + C. GT 16 ","Female","306","0.25551169138116","0.23225463498867","0.27876874777365"
"Four to six days a week","2016","Couple + C. LE and GT 16","Male","315","0.3017809159532","0.273949731511587","0.329612100394814"
"Four to six days a week","2016","Couple + C. LE and GT 16","Female","246","0.261351865601985","0.234648682955686","0.288055048248285"
"Two to three days a week","2016","1-pers.-HH","Male","677","0.464004954129355","0.438623341478746","0.489386566779964"
"Two to three days a week","2016","1-pers.-HH","Female","913","0.455223571233997","0.433299672324325","0.477147470143669"
"Two to three days a week","2016","(Married) couple without C. ","Male","1837","0.508447785452687","0.492204829305741","0.524690741599633"
"Two to three days a week","2016","(Married) couple without C. ","Female","1993","0.531231008602852","0.515138609602595","0.547323407603108"
"Two to three days a week","2016","Single parent ","Male","205","0.453675144061164","0.409861918681567","0.497488369440761"
"Two to three days a week","2016","Single parent ","Female","786","0.47943750716838","0.455288480871186","0.503586533465575"
"Two to three days a week","2016","Couple + C. LE 16 ","Male","1131","0.410701961977929","0.392254414791974","0.429149509163885"
"Two to three days a week","2016","Couple + C. LE 16 ","Female","1457","0.484030855522776","0.466295227944874","0.501766483100677"
"Two to three days a week","2016","Couple + C. GT 16 ","Male","599","0.438097461764156","0.41195804390174","0.464236879626572"
"Two to three days a week","2016","Couple + C. GT 16 ","Female","662","0.490331028250579","0.463674155297662","0.516987901203497"
"Two to three days a week","2016","Couple + C. LE and GT 16","Male","444","0.447938807260325","0.417788419624909","0.478089194895741"
"Two to three days a week","2016","Couple + C. LE and GT 16","Female","477","0.46245205089767","0.432149905278549","0.492754196516791"
