"ple0179","year","e11102","e11103","n","percent","lower_confidence","upper_confidence"
"Daily","2016","Not Employed","Full Time","","","",""
"Daily","2016","Not Employed","Part Time","","","",""
"Daily","2016","Not Employed","Not Working","750","0.0786404313570753","0.0727755710438719","0.0845052916702787"
"Daily","2016","Employed","Full Time","1180","0.120399892845186","0.113730835704588","0.127068949985783"
"Daily","2016","Employed","Part Time","631","0.0858863495359251","0.079298891556082","0.0924738075157683"
"Daily","2016","Employed","Not Working","","","",""
"Four to six days a week","2016","Not Employed","Full Time","","","",""
"Four to six days a week","2016","Not Employed","Part Time","","","",""
"Four to six days a week","2016","Not Employed","Not Working","1621","0.188897519159812","0.180369048769816","0.197425989549808"
"Four to six days a week","2016","Employed","Full Time","2455","0.268589466520266","0.259506371759166","0.277672561281365"
"Four to six days a week","2016","Employed","Part Time","1529","0.218859974716606","0.209139145642299","0.228580803790912"
"Four to six days a week","2016","Employed","Not Working","","","",""
"Two to three days a week","2016","Not Employed","Full Time","","","",""
"Two to three days a week","2016","Not Employed","Part Time","","","",""
"Two to three days a week","2016","Not Employed","Not Working","4161","0.523565130403829","0.512683166499566","0.534447094308092"
"Two to three days a week","2016","Employed","Full Time","3985","0.445196958101082","0.435012116890689","0.455381799311475"
"Two to three days a week","2016","Employed","Part Time","3309","0.463045385582602","0.451322453240167","0.474768317925036"
"Two to three days a week","2016","Employed","Not Working","","","",""
"Two to four days a month","2016","Not Employed","Full Time","","","",""
"Two to four days a month","2016","Not Employed","Part Time","","","",""
"Two to four days a month","2016","Not Employed","Not Working","1118","0.149816859947616","0.142040851150224","0.157592868745008"
"Two to four days a month","2016","Employed","Full Time","1077","0.114828132898476","0.108294620728678","0.121361645068275"
"Two to four days a month","2016","Employed","Part Time","947","0.140799888995709","0.132622700533927","0.148977077457492"
"Two to four days a month","2016","Employed","Not Working","","","",""
"Once a month or less","2016","Not Employed","Full Time","","","",""
"Once a month or less","2016","Not Employed","Part Time","","","",""
"Once a month or less","2016","Not Employed","Not Working","246","0.0342724075669159","0.0303085341159763","0.0382362810178556"
"Once a month or less","2016","Employed","Full Time","242","0.0278780007080967","0.0245043512910941","0.0312516501250993"
"Once a month or less","2016","Employed","Part Time","250","0.0454512856319838","0.0405543113484431","0.0503482599155244"
"Once a month or less","2016","Employed","Not Working","","","",""
"Never","2016","Not Employed","Full Time","","","",""
"Never","2016","Not Employed","Part Time","","","",""
"Never","2016","Not Employed","Not Working","196","0.0248076515647522","0.0214187564856373","0.0281965466438672"
"Never","2016","Employed","Full Time","208","0.0231075489268937","0.0200285533223945","0.026186544531393"
"Never","2016","Employed","Part Time","284","0.0459571155371741","0.0410342721624007","0.0508799589119475"
"Never","2016","Employed","Not Working","","","",""
"Daily","2017","Not Employed","Full Time","","","",""
"Daily","2017","Not Employed","Part Time","","","",""
"Daily","2017","Not Employed","Not Working","","","",""
"Daily","2017","Employed","Full Time","","","",""
"Daily","2017","Employed","Part Time","","","",""
"Daily","2017","Employed","Not Working","","","",""
"Four to six days a week","2017","Not Employed","Full Time","","","",""
"Four to six days a week","2017","Not Employed","Part Time","","","",""
"Four to six days a week","2017","Not Employed","Not Working","","","",""
"Four to six days a week","2017","Employed","Full Time","","","",""
"Four to six days a week","2017","Employed","Part Time","","","",""
"Four to six days a week","2017","Employed","Not Working","","","",""
"Two to three days a week","2017","Not Employed","Full Time","","","",""
"Two to three days a week","2017","Not Employed","Part Time","","","",""
"Two to three days a week","2017","Not Employed","Not Working","","","",""
"Two to three days a week","2017","Employed","Full Time","","","",""
"Two to three days a week","2017","Employed","Part Time","","","",""
"Two to three days a week","2017","Employed","Not Working","","","",""
"Two to four days a month","2017","Not Employed","Full Time","","","",""
"Two to four days a month","2017","Not Employed","Part Time","","","",""
"Two to four days a month","2017","Not Employed","Not Working","","","",""
"Two to four days a month","2017","Employed","Full Time","","","",""
"Two to four days a month","2017","Employed","Part Time","","","",""
"Two to four days a month","2017","Employed","Not Working","","","",""
"Once a month or less","2017","Not Employed","Full Time","","","",""
"Once a month or less","2017","Not Employed","Part Time","","","",""
"Once a month or less","2017","Not Employed","Not Working","","","",""
"Once a month or less","2017","Employed","Full Time","","","",""
"Once a month or less","2017","Employed","Part Time","","","",""
"Once a month or less","2017","Employed","Not Working","","","",""
"Never","2017","Not Employed","Full Time","","","",""
"Never","2017","Not Employed","Part Time","","","",""
"Never","2017","Not Employed","Not Working","","","",""
"Never","2017","Employed","Full Time","","","",""
"Never","2017","Employed","Part Time","","","",""
"Never","2017","Employed","Not Working","","","",""
"Daily","2018","Not Employed","Full Time","","","",""
"Daily","2018","Not Employed","Part Time","","","",""
"Daily","2018","Not Employed","Not Working","674","0.0679777315297501","0.0625403239474799","0.0734151391120203"
"Daily","2018","Employed","Full Time","1446","0.144885891621788","0.137947084125579","0.151824699117996"
"Daily","2018","Employed","Part Time","720","0.0927345545807205","0.0861782966786394","0.0992908124828015"
"Daily","2018","Employed","Not Working","","","",""
"Four to six days a week","2018","Not Employed","Full Time","","","",""
"Four to six days a week","2018","Not Employed","Part Time","","","",""
"Four to six days a week","2018","Not Employed","Not Working","1639","0.194045098686911","0.185502261700465","0.202587935673356"
"Four to six days a week","2018","Employed","Full Time","2626","0.264593101885246","0.255897235408204","0.273288968362288"
"Four to six days a week","2018","Employed","Part Time","1588","0.205857564945512","0.196718523100437","0.214996606790588"
"Four to six days a week","2018","Employed","Not Working","","","",""
"Two to three days a week","2018","Not Employed","Full Time","","","",""
"Two to three days a week","2018","Not Employed","Part Time","","","",""
"Two to three days a week","2018","Not Employed","Not Working","4135","0.504920244749884","0.49411973170084","0.515720757798928"
"Two to three days a week","2018","Employed","Full Time","4137","0.412452517172722","0.402748127691759","0.422156906653686"
"Two to three days a week","2018","Employed","Part Time","3485","0.459717037337942","0.448452224393042","0.470981850282842"
"Two to three days a week","2018","Employed","Not Working","","","",""
"Two to four days a month","2018","Not Employed","Full Time","","","",""
"Two to four days a month","2018","Not Employed","Part Time","","","",""
"Two to four days a month","2018","Not Employed","Not Working","1287","0.17281100861637","0.164643615013021","0.18097840221972"
"Two to four days a month","2018","Employed","Full Time","1126","0.117139050204857","0.110799524644011","0.123478575765702"
"Two to four days a month","2018","Employed","Part Time","1077","0.151466668829004","0.143363385224209","0.1595699524338"
"Two to four days a month","2018","Employed","Not Working","","","",""
"Once a month or less","2018","Not Employed","Full Time","","","",""
"Once a month or less","2018","Not Employed","Part Time","","","",""
"Once a month or less","2018","Not Employed","Not Working","283","0.0375533217455827","0.033446480375688","0.0416601631154773"
"Once a month or less","2018","Employed","Full Time","288","0.0312441469075626","0.0278144853976446","0.0346738084174807"
"Once a month or less","2018","Employed","Part Time","297","0.0430769752499541","0.0384878580288513","0.0476660924710568"
"Once a month or less","2018","Employed","Not Working","","","",""
"Never","2018","Not Employed","Full Time","","","",""
"Never","2018","Not Employed","Part Time","","","",""
"Never","2018","Not Employed","Not Working","214","0.0226925946715019","0.0194755796936952","0.0259096096493087"
"Never","2018","Employed","Full Time","262","0.0296852922078253","0.0263395942942597","0.033030990121391"
"Never","2018","Employed","Part Time","352","0.0471471990568664","0.0423563895289128","0.05193800858482"
"Never","2018","Employed","Not Working","","","",""
