"year","bula_h","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1986","Baden-W?rttemberg","general elemantary","14.43","10","89","3","5","20","30","80","11.26","17.6","1","80","10","16"
"1986","Baden-W?rttemberg","higher education","18.26","15","48","3","8","20","42","90","13.18","23.34","1","90","10","20"
"1986","Baden-W?rttemberg","higher vocational","18.34","15.35","33","3","8","29","40","60","13.61","23.07","2","60","8","20"
"1986","Baden-W?rttemberg","in school","","","","","","","","","","","","","",""
"1986","Baden-W?rttemberg","inadequately","","","","","","","","","","","","","",""
"1986","Baden-W?rttemberg","middle vocational","17.26","15","192","4","8","20","40","76","15.04","19.48","1","98","12","18"
"1986","Baden-W?rttemberg","vocational + Abi","","","","","","","","","","","","","",""
"1986","Bavaria","general elemantary","14.49","8.67","58","3","5","20","28","60","11.13","17.85","1","60","8","15"
"1986","Bavaria","higher education","23.51","16.51","42","3","10","30","50","90","16.56","30.46","1","90","12","24"
"1986","Bavaria","higher vocational","","","","","","","","","","","","","",""
"1986","Bavaria","in school","","","","","","","","","","","","","",""
"1986","Bavaria","inadequately","","","","","","","","","","","","","",""
"1986","Bavaria","middle vocational","15.03","10","177","2","6","20","35","90","12.77","17.29","1","99","10","12"
"1986","Bavaria","vocational + Abi","","","","","","","","","","","","","",""
"1986","Berlin","general elemantary","","","","","","","","","","","","","",""
"1986","Berlin","higher education","","","","","","","","","","","","","",""
"1986","Berlin","higher vocational","","","","","","","","","","","","","",""
"1986","Berlin","in school","","","","","","","","","","","","","",""
"1986","Berlin","inadequately","","","","","","","","","","","","","",""
"1986","Berlin","middle vocational","16.78","10","40","5","6","20","44","80","10.77","22.79","0","80","9","20"
"1986","Berlin","vocational + Abi","","","","","","","","","","","","","",""
"1986","Brandenburg","general elemantary","","","","","","","","","","","","","",""
"1986","Brandenburg","higher education","","","","","","","","","","","","","",""
"1986","Brandenburg","higher vocational","","","","","","","","","","","","","",""
"1986","Brandenburg","in school","","","","","","","","","","","","","",""
"1986","Brandenburg","inadequately","","","","","","","","","","","","","",""
"1986","Brandenburg","middle vocational","","","","","","","","","","","","","",""
"1986","Brandenburg","vocational + Abi","","","","","","","","","","","","","",""
"1986","Bremen","general elemantary","","","","","","","","","","","","","",""
"1986","Bremen","higher education","","","","","","","","","","","","","",""
"1986","Bremen","higher vocational","","","","","","","","","","","","","",""
"1986","Bremen","in school","","","","","","","","","","","","","",""
"1986","Bremen","inadequately","","","","","","","","","","","","","",""
"1986","Bremen","middle vocational","","","","","","","","","","","","","",""
"1986","Bremen","vocational + Abi","","","","","","","","","","","","","",""
