"year","e11102","education","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1986","Employed","college entrance qualification","20.6","16","311","4","9","25","42","90","18.46","22.74","0","99","15","18"
"1986","Employed","lower secondary degree","18.69","12","821","4","8","20","40","80","17.52","19.86","0","99","12","15"
"1986","Employed","no degree/no degree yet","19.93","12.71","90","4","8","30","48","88","15.49","24.37","2","99","12","18"
"1986","Employed","Other degree","19.95","16","208","6","10","25","40","60","17.93","21.97","1","75","12","20"
"1986","Employed","secondary school degree","18.1","12","397","3","6","23","40","80","16.47","19.73","0","99","10","15"
"1986","Not Employed","college entrance qualification","","","","","","","","","","","","","",""
"1986","Not Employed","lower secondary degree","","","","","","","","","","","","","",""
"1986","Not Employed","no degree/no degree yet","","","","","","","","","","","","","",""
"1986","Not Employed","Other degree","","","","","","","","","","","","","",""
"1986","Not Employed","secondary school degree","","","","","","","","","","","","","",""
"1987","Employed","college entrance qualification","","","","","","","","","","","","","",""
"1987","Employed","lower secondary degree","","","","","","","","","","","","","",""
"1987","Employed","no degree/no degree yet","","","","","","","","","","","","","",""
"1987","Employed","Other degree","","","","","","","","","","","","","",""
"1987","Employed","secondary school degree","","","","","","","","","","","","","",""
"1987","Not Employed","college entrance qualification","","","","","","","","","","","","","",""
"1987","Not Employed","lower secondary degree","","","","","","","","","","","","","",""
"1987","Not Employed","no degree/no degree yet","","","","","","","","","","","","","",""
"1987","Not Employed","Other degree","","","","","","","","","","","","","",""
"1987","Not Employed","secondary school degree","","","","","","","","","","","","","",""
"1988","Employed","college entrance qualification","20.96","16","327","4","8","25","40","80","18.93","22.99","1","99","15","20"
"1988","Employed","lower secondary degree","18.95","12","818","4","8","22","40","99","17.73","20.17","1","99","11","15"
"1988","Employed","no degree/no degree yet","16.9","10","83","5","8","20","39","60","13.53","20.27","1","90","10","15"
"1988","Employed","Other degree","20.64","16","179","6","10","30","45","60","18.29","22.99","2","80","12","20"
"1988","Employed","secondary school degree","18.17","12","391","4","8","24","40","80","16.49","19.85","1","99","10","15"
"1988","Not Employed","college entrance qualification","","","","","","","","","","","","","",""
"1988","Not Employed","lower secondary degree","","","","","","","","","","","","","",""
"1988","Not Employed","no degree/no degree yet","","","","","","","","","","","","","",""
"1988","Not Employed","Other degree","","","","","","","","","","","","","",""
"1988","Not Employed","secondary school degree","","","","","","","","","","","","","",""
"1989","Employed","college entrance qualification","22.27","16","340","4","10","30","50","90","20.26","24.28","0","99","15","20"
"1989","Employed","lower secondary degree","20.12","15","815","4","8","24","40","95","18.86","21.38","0","99","13","16"
"1989","Employed","no degree/no degree yet","14.09","9.72","88","4","8","20","30","76","11.18","17","0","80","10","15"
"1989","Employed","Other degree","22.82","16","189","5","9","30","43","99","20.27","25.37","2","99","12","20"
"1989","Employed","secondary school degree","17.07","10","430","3","6","20","38","99","15.52","18.62","1","99","10","12"
"1989","Not Employed","college entrance qualification","","","","","","","","","","","","","",""
"1989","Not Employed","lower secondary degree","","","","","","","","","","","","","",""
"1989","Not Employed","no degree/no degree yet","","","","","","","","","","","","","",""
"1989","Not Employed","Other degree","","","","","","","","","","","","","",""
"1989","Not Employed","secondary school degree","","","","","","","","","","","","","",""
"1990","Employed","college entrance qualification","19.6","15","366","4","6","25","43","80","17.79","21.41","0","99","12","16"
"1990","Employed","lower secondary degree","19.55","15","846","4","8","24","40","85","18.41","20.69","0","99","12","15"
"1990","Employed","no degree/no degree yet","15.65","10","76","4","8","20","28","60","12.07","19.23","2","78","10","17"
"1990","Employed","Other degree","19.8","15","193","4","10","24","40","99","17.47","22.13","1","99","14","20"
"1990","Employed","secondary school degree","16.7","12","443","4","6","20","35","80","15.23","18.17","0","99","10","12"
"1990","Not Employed","college entrance qualification","","","","","","","","","","","","","",""
"1990","Not Employed","lower secondary degree","","","","","","","","","","","","","",""
"1990","Not Employed","no degree/no degree yet","","","","","","","","","","","","","",""
"1990","Not Employed","Other degree","","","","","","","","","","","","","",""
"1990","Not Employed","secondary school degree","","","","","","","","","","","","","",""
"1991","Employed","college entrance qualification","22.04","15.53","381","4","9","28","50","99","20.1","23.98","1","99","12","17"
"1991","Employed","lower secondary degree","20.61","15","878","4","8","25","46","99","19.38","21.84","0","99","12","15"
"1991","Employed","no degree/no degree yet","18.04","15","83","4","8","23","40","60","14.23","21.85","0","90","10","20"
"1991","Employed","Other degree","18.53","14.63","186","4","10","24","40","63","16.29","20.77","0","99","10","16"
"1991","Employed","secondary school degree","17.17","12","497","4","8","20","38","85","15.81","18.53","0","99","10","14"
"1991","Not Employed","college entrance qualification","","","","","","","","","","","","","",""
"1991","Not Employed","lower secondary degree","","","","","","","","","","","","","",""
"1991","Not Employed","no degree/no degree yet","","","","","","","","","","","","","",""
"1991","Not Employed","Other degree","","","","","","","","","","","","","",""
"1991","Not Employed","secondary school degree","","","","","","","","","","","","","",""
"1992","Employed","college entrance qualification","20.05","15","574","4","8","27","40","80","18.52","21.58","0","99","12","16"
"1992","Employed","lower secondary degree","19.93","15","1020","4","8","25","42","96","18.81","21.05","0","99","12","15"
"1992","Employed","no degree/no degree yet","17.07","14.82","79","3","7","20","40","85","13.79","20.35","0","85","10","16"
"1992","Employed","Other degree","18.85","15","162","5","10","20","40","80","16.41","21.29","3","99","12","18"
"1992","Employed","secondary school degree","18.29","12","1085","4","8","22","40","99","17.26","19.32","0","99","11","13"
"1992","Not Employed","college entrance qualification","","","","","","","","","","","","","",""
"1992","Not Employed","lower secondary degree","","","","","","","","","","","","","",""
"1992","Not Employed","no degree/no degree yet","","","","","","","","","","","","","",""
"1992","Not Employed","Other degree","","","","","","","","","","","","","",""
"1992","Not Employed","secondary school degree","","","","","","","","","","","","","",""
"1993","Employed","college entrance qualification","21","15.15","552","4","9","28","45","90","19.38","22.62","0","99","15","18"
"1993","Employed","lower secondary degree","18.42","12","924","4","8","20","40","99","17.23","19.61","0","99","12","15"
"1993","Employed","no degree/no degree yet","21.23","18.7","58","3","8","25","50","99","16.79","25.67","1","99","10","20"
"1993","Employed","Other degree","17.22","15","133","3","8","24","32","64","14.5","19.94","1","99","12","17"
"1993","Employed","secondary school degree","18.31","12","1088","4","6","20","40","95","17.23","19.39","0","99","10","12"
"1993","Not Employed","college entrance qualification","","","","","","","","","","","","","",""
"1993","Not Employed","lower secondary degree","","","","","","","","","","","","","",""
"1993","Not Employed","no degree/no degree yet","","","","","","","","","","","","","",""
"1993","Not Employed","Other degree","","","","","","","","","","","","","",""
"1993","Not Employed","secondary school degree","","","","","","","","","","","","","",""
"1994","Employed","college entrance qualification","21.13","16","598","5","8","30","40","90","19.61","22.65","1","99","15","18"
"1994","Employed","lower secondary degree","18.43","12","928","4","8","20","40","99","17.25","19.61","0","99","11","15"
"1994","Employed","no degree/no degree yet","18.39","13.2","48","3","8","30","50","52","14.14","22.64","0","52","8","22"
"1994","Employed","Other degree","20.64","14","135","4","8","30","50","70","17.76","23.52","2","80","10","18"
"1994","Employed","secondary school degree","18.12","12","1106","4","8","20","40","88","17.11","19.13","0","99","10","14"
"1994","Not Employed","college entrance qualification","","","","","","","","","","","","","",""
"1994","Not Employed","lower secondary degree","","","","","","","","","","","","","",""
"1994","Not Employed","no degree/no degree yet","","","","","","","","","","","","","",""
"1994","Not Employed","Other degree","","","","","","","","","","","","","",""
"1994","Not Employed","secondary school degree","","","","","","","","","","","","","",""
"1995","Employed","college entrance qualification","22.27","16","655","4","10","30","49","86","20.78","23.76","1","99","15","18"
"1995","Employed","lower secondary degree","19.56","14","982","4","8","25","40","86","18.46","20.66","0","99","12","15"
"1995","Employed","no degree/no degree yet","17.62","14.81","61","2","8","25","40","60","14.08","21.16","2","66","10","20"
"1995","Employed","Other degree","19.54","15","195","6","9","26","40","80","17.33","21.75","2","99","12","16"
"1995","Employed","secondary school degree","17.62","12","1188","4","7","20","40","90","16.64","18.6","0","99","10","12"
"1995","Not Employed","college entrance qualification","","","","","","","","","","","","","",""
"1995","Not Employed","lower secondary degree","","","","","","","","","","","","","",""
"1995","Not Employed","no degree/no degree yet","","","","","","","","","","","","","",""
"1995","Not Employed","Other degree","","","","","","","","","","","","","",""
"1995","Not Employed","secondary school degree","","","","","","","","","","","","","",""
"1996","Employed","college entrance qualification","21.42","15","668","5","10","30","45","85","19.98","22.86","1","99","15","18"
"1996","Employed","lower secondary degree","17.68","14","944","4","8","20","36","80","16.67","18.69","1","99","12","15"
"1996","Employed","no degree/no degree yet","16.83","12","55","5","10","20","40","50","13.11","20.55","1","72","10","18"
"1996","Employed","Other degree","18.74","14","170","5","8","24","40","99","16.32","21.16","1","99","10","16"
"1996","Employed","secondary school degree","17.31","12","1168","4","7","20","40","80","16.38","18.24","1","99","10","12"
"1996","Not Employed","college entrance qualification","","","","","","","","","","","","","",""
"1996","Not Employed","lower secondary degree","","","","","","","","","","","","","",""
"1996","Not Employed","no degree/no degree yet","","","","","","","","","","","","","",""
"1996","Not Employed","Other degree","","","","","","","","","","","","","",""
"1996","Not Employed","secondary school degree","","","","","","","","","","","","","",""
"1997","Employed","college entrance qualification","21.5","15","716","4","8","30","50","80","20.06","22.94","1","99","14","16"
"1997","Employed","lower secondary degree","18.17","13.64","920","4","8","24","40","80","17.14","19.2","1","93","12","15"
"1997","Employed","no degree/no degree yet","18.71","15","45","5","8","30","40","60","14.23","23.19","3","80","8","20"
"1997","Employed","Other degree","19.13","15","163","4","8","24","40","72","16.6","21.66","1","99","10","18"
"1997","Employed","secondary school degree","18","12","1189","4","8","20","40","80","17.09","18.91","1","99","12","15"
"1997","Not Employed","college entrance qualification","","","","","","","","","","","","","",""
"1997","Not Employed","lower secondary degree","","","","","","","","","","","","","",""
"1997","Not Employed","no degree/no degree yet","","","","","","","","","","","","","",""
"1997","Not Employed","Other degree","","","","","","","","","","","","","",""
"1997","Not Employed","secondary school degree","","","","","","","","","","","","","",""
"1998","Employed","college entrance qualification","20.74","15","817","5","8","25","40","90","19.47","22.01","1","99","15","17"
"1998","Employed","lower secondary degree","19.02","15","978","5","8","24","40","80","18","20.04","1","99","15","16"
"1998","Employed","no degree/no degree yet","21.71","19.87","44","5","10","35","40","60","16.32","27.1","1","80","10","20"
"1998","Employed","Other degree","19.21","15","160","5","10","20","37","80","16.76","21.66","2","97","14","18"
"1998","Employed","secondary school degree","19.37","14","1315","5","8","25","40","81","18.47","20.27","1","99","12","14"
"1998","Not Employed","college entrance qualification","","","","","","","","","","","","","",""
"1998","Not Employed","lower secondary degree","","","","","","","","","","","","","",""
"1998","Not Employed","no degree/no degree yet","","","","","","","","","","","","","",""
"1998","Not Employed","Other degree","","","","","","","","","","","","","",""
"1998","Not Employed","secondary school degree","","","","","","","","","","","","","",""
"1999","Employed","college entrance qualification","20.73","15","875","5","9","28","42","80","19.55","21.91","1","99","14","15"
"1999","Employed","lower secondary degree","19.62","15","987","4","8","25","40","80","18.57","20.67","1","99","15","15"
"1999","Employed","no degree/no degree yet","29.97","20","49","5","10","60","60","99","23.96","35.98","2","99","10","20"
"1999","Employed","Other degree","18.5","15","162","4","10","20","35","80","16.11","20.89","1","80","12","18"
"1999","Employed","secondary school degree","18.71","14","1307","4","8","22","40","80","17.8","19.62","1","99","12","15"
"1999","Not Employed","college entrance qualification","","","","","","","","","","","","","",""
"1999","Not Employed","lower secondary degree","","","","","","","","","","","","","",""
"1999","Not Employed","no degree/no degree yet","","","","","","","","","","","","","",""
"1999","Not Employed","Other degree","","","","","","","","","","","","","",""
"1999","Not Employed","secondary school degree","","","","","","","","","","","","","",""
"2000","Employed","college entrance qualification","21.81","15","1581","5","10","30","45","99","20.87","22.75","1","99","15","15"
"2000","Employed","lower secondary degree","19.02","14.79","1621","5","8","23","40","90","18.2","19.84","1","99","14","15"
"2000","Employed","no degree/no degree yet","24.04","15.92","47","5","10","30","60","99","18.05","30.03","2","99","10","20"
"2000","Employed","Other degree","17.8","13","219","5","8","20","40","80","15.74","19.86","1","99","12","15"
"2000","Employed","secondary school degree","17.43","12","2116","5","8","20","37","80","16.75","18.11","1","99","12","14"
"2000","Not Employed","college entrance qualification","","","","","","","","","","","","","",""
"2000","Not Employed","lower secondary degree","","","","","","","","","","","","","",""
"2000","Not Employed","no degree/no degree yet","","","","","","","","","","","","","",""
"2000","Not Employed","Other degree","","","","","","","","","","","","","",""
"2000","Not Employed","secondary school degree","","","","","","","","","","","","","",""
"2001","Employed","college entrance qualification","20.76","15","1523","4","10","25","44","80","19.83","21.69","1","99","15","15"
"2001","Employed","lower secondary degree","19.05","15","1427","5","8","24","40","90","18.2","19.9","1","99","15","15"
"2001","Employed","no degree/no degree yet","19.09","10.98","39","4","7","20","40","99","11.81","26.37","1","99","8","20"
"2001","Employed","Other degree","17.23","11.12","216","5","8","20","35","70","15.09","19.37","1","90","10","16"
"2001","Employed","secondary school degree","17.03","12","2055","5","8","20","38","72","16.39","17.67","1","99","11","12"
"2001","Not Employed","college entrance qualification","","","","","","","","","","","","","",""
"2001","Not Employed","lower secondary degree","","","","","","","","","","","","","",""
"2001","Not Employed","no degree/no degree yet","","","","","","","","","","","","","",""
"2001","Not Employed","Other degree","","","","","","","","","","","","","",""
"2001","Not Employed","secondary school degree","","","","","","","","","","","","","",""
"2002","Employed","college entrance qualification","20.35","15","1938","4","8","27","40","90","19.48","21.22","1","99","15","16"
"2002","Employed","lower secondary degree","18.84","15","1232","5","9","22","40","99","17.95","19.73","1","99","13","15"
"2002","Employed","no degree/no degree yet","16.6","10","37","2","3","20","40","70","9.71","23.49","2","88","4","15"
"2002","Employed","Other degree","18.12","10","188","4","8","20","40","99","15.34","20.9","2","99","10","15"
"2002","Employed","secondary school degree","18.43","12","2071","4","7","21","40","99","17.69","19.17","1","99","11","12"
"2002","Not Employed","college entrance qualification","","","","","","","","","","","","","",""
"2002","Not Employed","lower secondary degree","","","","","","","","","","","","","",""
"2002","Not Employed","no degree/no degree yet","","","","","","","","","","","","","",""
"2002","Not Employed","Other degree","","","","","","","","","","","","","",""
"2002","Not Employed","secondary school degree","","","","","","","","","","","","","",""
"2003","Employed","college entrance qualification","19.47","15","1843","4","8","25","40","95","18.61","20.33","1","99","15","15"
"2003","Employed","lower secondary degree","18.46","12","1161","4","8","20","40","90","17.53","19.39","1","99","12","15"
"2003","Employed","no degree/no degree yet","","","","","","","","","","","","","",""
"2003","Employed","Other degree","16.87","12","160","3","10","20","30","99","14.2","19.54","1","99","10","16"
"2003","Employed","secondary school degree","16.58","12","1975","4","7","20","35","80","15.91","17.25","1","99","10","12"
"2003","Not Employed","college entrance qualification","","","","","","","","","","","","","",""
"2003","Not Employed","lower secondary degree","","","","","","","","","","","","","",""
"2003","Not Employed","no degree/no degree yet","","","","","","","","","","","","","",""
"2003","Not Employed","Other degree","","","","","","","","","","","","","",""
"2003","Not Employed","secondary school degree","","","","","","","","","","","","","",""
"2004","Employed","college entrance qualification","19.65","15","1737","5","8","25","40","99","18.78","20.52","1","99","15","15"
"2004","Employed","lower secondary degree","18.22","14","1121","4","8","20","40","80","17.22","19.22","1","99","12","15"
"2004","Employed","no degree/no degree yet","","","","","","","","","","","","","",""
"2004","Employed","Other degree","14.54","12","165","6","8","18","29","50","12.64","16.44","1","80","10","14"
"2004","Employed","secondary school degree","17.19","12","1973","4","7","20","40","99","16.49","17.89","1","99","10","12"
"2004","Not Employed","college entrance qualification","","","","","","","","","","","","","",""
"2004","Not Employed","lower secondary degree","","","","","","","","","","","","","",""
"2004","Not Employed","no degree/no degree yet","","","","","","","","","","","","","",""
"2004","Not Employed","Other degree","","","","","","","","","","","","","",""
"2004","Not Employed","secondary school degree","","","","","","","","","","","","","",""
"2005","Employed","college entrance qualification","19.57","15","1653","4","8","25","40","96","18.68","20.46","1","99","13","15"
"2005","Employed","lower secondary degree","18.61","12","1039","4","8","25","40","90","17.62","19.6","1","99","12","15"
"2005","Employed","no degree/no degree yet","","","","","","","","","","","","","",""
"2005","Employed","Other degree","18.19","12.45","161","4","7","22","40","99","15.6","20.78","1","99","10","16"
"2005","Employed","secondary school degree","17.64","11","1801","4","8","20","40","90","16.86","18.42","1","99","10","12"
"2005","Not Employed","college entrance qualification","","","","","","","","","","","","","",""
"2005","Not Employed","lower secondary degree","","","","","","","","","","","","","",""
"2005","Not Employed","no degree/no degree yet","","","","","","","","","","","","","",""
"2005","Not Employed","Other degree","","","","","","","","","","","","","",""
"2005","Not Employed","secondary school degree","","","","","","","","","","","","","",""
"2006","Employed","college entrance qualification","20.83","15","1880","5","8","30","40","90","19.97","21.69","1","99","15","15"
"2006","Employed","lower secondary degree","18.13","14","1149","5","8","20","40","80","17.22","19.04","1","99","12","15"
"2006","Employed","no degree/no degree yet","","","","","","","","","","","","","",""
"2006","Employed","Other degree","18.16","12","184","5","8","20","40","80","15.7","20.62","1","99","12","18"
