"year","age_gr","regtyp","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1986","16-34 y.","Rural Area","17.91","10","167","3","6","20","48","80","15.19","20.63","1","90","10","14"
"1986","16-34 y.","Urban Area","16.87","12","651","4","8","20","35","80","15.71","18.03","0","99","12","15"
"1986","35-65 y.","Rural Area","22.85","18","206","4","10","30","50","90","20.09","25.61","1","99","15","20"
"1986","35-65 y.","Urban Area","19.97","15","837","5","8","25","45","90","18.74","21.2","1","99","13","16"
"1986","66 and older","Rural Area","","","","","","","","","","","","","",""
"1986","66 and older","Urban Area","","","","","","","","","","","","","",""
"1987","16-34 y.","Rural Area","","","","","","","","","","","","","",""
"1987","16-34 y.","Urban Area","","","","","","","","","","","","","",""
"1987","35-65 y.","Rural Area","","","","","","","","","","","","","",""
"1987","35-65 y.","Urban Area","","","","","","","","","","","","","",""
"1987","66 and older","Rural Area","","","","","","","","","","","","","",""
"1987","66 and older","Urban Area","","","","","","","","","","","","","",""
"1988","16-34 y.","Rural Area","17.79","10","189","4","6","20","40","99","15.01","20.57","1","99","10","12"
"1988","16-34 y.","Urban Area","17.15","12","643","4","8","20","37","80","15.93","18.37","1","99","10","14"
"1988","35-65 y.","Rural Area","24.03","18.04","167","5","10","30","53","90","20.89","27.17","2","99","15","20"
"1988","35-65 y.","Urban Area","19.61","15","839","4","8","25","40","80","18.45","20.77","1","99","12","16"
"1988","66 and older","Rural Area","","","","","","","","","","","","","",""
"1988","66 and older","Urban Area","","","","","","","","","","","","","",""
"1989","16-34 y.","Rural Area","18.24","12","179","3","6","20","40","99","15.33","21.15","1","99","10","15"
"1989","16-34 y.","Urban Area","17.77","12","707","4","7","20","40","99","16.5","19.04","0","99","10","14"
"1989","35-65 y.","Rural Area","22.28","15","192","4","8","30","45","90","19.41","25.15","1","95","12","20"
"1989","35-65 y.","Urban Area","20.79","15","838","5","9","30","45","80","19.64","21.94","0","99","15","16"
"1989","66 and older","Rural Area","","","","","","","","","","","","","",""
"1989","66 and older","Urban Area","","","","","","","","","","","","","",""
"1990","16-34 y.","Rural Area","18.22","12","456","4","6","24","40","80","16.64","19.8","0","99","10","15"
"1990","16-34 y.","Urban Area","17.64","12","859","4","6","20","40","99","16.5","18.78","0","99","10","12"
"1990","35-65 y.","Rural Area","20.57","16","572","5","10","25","43","80","19.3","21.84","1","90","15","17"
"1990","35-65 y.","Urban Area","19.46","15","1128","4","8","25","40","80","18.53","20.39","0","99","14","16"
"1990","66 and older","Rural Area","","","","","","","","","","","","","",""
"1990","66 and older","Urban Area","","","","","","","","","","","","","",""
"1991","16-34 y.","Rural Area","17.86","12","416","4","7","20","37","80","16.15","19.57","0","99","10","12"
"1991","16-34 y.","Urban Area","18.43","12","858","4","7","24","40","99","17.32","19.54","0","99","10","14"
"1991","35-65 y.","Rural Area","22.12","15","493","5","10","30","50","90","20.42","23.82","0","99","15","18"
"1991","35-65 y.","Urban Area","21.37","15","1127","5","10","26","45","99","20.27","22.47","0","99","15","16"
"1991","66 and older","Rural Area","","","","","","","","","","","","","",""
"1991","66 and older","Urban Area","","","","","","","","","","","","","",""
"1992","16-34 y.","Rural Area","16.71","10","445","3","6","20","40","99","15.12","18.3","0","99","10","12"
"1992","16-34 y.","Urban Area","18.15","12","893","4","7","22","40","90","17.03","19.27","0","99","10","12"
"1992","35-65 y.","Rural Area","20.47","15","525","4","8","28","45","90","18.86","22.08","0","99","12","15"
"1992","35-65 y.","Urban Area","20.41","15","1102","5","9","26","40","86","19.37","21.45","0","99","15","16"
"1992","66 and older","Rural Area","","","","","","","","","","","","","",""
"1992","66 and older","Urban Area","","","","","","","","","","","","","",""
"1993","16-34 y.","Rural Area","16.34","10","428","3","5","20","39","90","14.63","18.05","0","99","10","12"
"1993","16-34 y.","Urban Area","17.07","12","820","4","6","20","39","90","15.93","18.21","1","99","10","12"
"1993","35-65 y.","Rural Area","19.27","15","537","5","9","25","40","80","17.83","20.71","0","99","12","16"
"1993","35-65 y.","Urban Area","20.8","15","1053","5","8","25","41","99","19.59","22.01","0","99","15","16"
"1993","66 and older","Rural Area","","","","","","","","","","","","","",""
"1993","66 and older","Urban Area","","","","","","","","","","","","","",""
