"year","regtyp","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1986","Rural Area","East Germany","","","","","","","","","","","","","",""
"1986","Rural Area","West Germany","20.65","15","373","3","7","25","48","90","18.68","22.62","1","99","12","16"
"1986","Urban Area","East Germany","","","","","","","","","","","","","",""
"1986","Urban Area","West Germany","18.6","14","1488","4","8","21","40","80","17.74","19.46","0","99","12","15"
"1987","Rural Area","East Germany","","","","","","","","","","","","","",""
"1987","Rural Area","West Germany","","","","","","","","","","","","","",""
"1987","Urban Area","East Germany","","","","","","","","","","","","","",""
"1987","Urban Area","West Germany","","","","","","","","","","","","","",""
"1988","Rural Area","East Germany","","","","","","","","","","","","","",""
"1988","Rural Area","West Germany","20.83","13.02","357","4","8","24","50","99","18.74","22.92","1","99","10","15"
"1988","Urban Area","East Germany","","","","","","","","","","","","","",""
"1988","Urban Area","West Germany","18.65","13","1484","4","8","24","40","80","17.8","19.5","1","99","12","15"
"1989","Rural Area","East Germany","","","","","","","","","","","","","",""
"1989","Rural Area","West Germany","20.37","14.44","371","4","8","25","40","99","18.33","22.41","1","99","12","15"
"1989","Urban Area","East Germany","","","","","","","","","","","","","",""
"1989","Urban Area","West Germany","19.51","15","1546","4","8","24","40","90","18.65","20.37","0","99","12","15"
"1990","Rural Area","East Germany","19.85","15","650","5","8","25","40","80","18.63","21.07","0","99","15","16"
"1990","Rural Area","West Germany","19.29","15","381","4","8","25","45","80","17.57","21.01","1","90","12","16"
"1990","Urban Area","East Germany","19.07","15","404","5","8","25","40","80","17.54","20.6","0","85","12","16"
"1990","Urban Area","West Germany","18.65","13","1583","4","8","21","40","85","17.83","19.47","0","99","12","15"
"1991","Rural Area","East Germany","21.84","15","474","5","10","30","45","90","20.07","23.61","0","99","12","16"
"1991","Rural Area","West Germany","19.35","12","435","4","8","24","47","90","17.7","21","0","99","10","15"
"1991","Urban Area","East Germany","21.64","15","318","5","10","28","45","99","19.55","23.73","2","99","15","20"
"1991","Urban Area","West Germany","19.99","15","1668","4","8","25","40","99","19.14","20.84","0","99","12","15"
"1992","Rural Area","East Germany","20.2","13.87","556","5","8","25","42","99","18.62","21.78","0","99","12","15"
"1992","Rural Area","West Germany","17.89","10.14","414","3","7","21","40","80","16.28","19.5","0","99","10","12"
"1992","Urban Area","East Germany","22.29","15","384","5","10","30","42","99","20.31","24.27","0","99","13","16"
"1992","Urban Area","West Germany","19.02","15","1611","4","8","24","40","80","18.2","19.84","0","99","12","15"
"1993","Rural Area","East Germany","18.74","14","579","4","7","22","40","82","17.26","20.22","0","99","12","15"
"1993","Rural Area","West Germany","17.48","11","386","3","7","20","40","81","15.83","19.13","0","99","10","14"
"1993","Urban Area","East Germany","20.19","15","394","5","8","25","40","99","18.21","22.17","0","99","10","15"
"1993","Urban Area","West Germany","19.1","14","1479","4","8","22","40","95","18.16","20.04","0","99","12","15"
"1994","Rural Area","East Germany","19.35","14","604","5","8","26","40","80","17.96","20.74","0","99","12","15"
"1994","Rural Area","West Germany","17.02","10","383","3","6","20","30","99","15.12","18.92","0","99","10","14"
"1994","Urban Area","East Germany","21.17","15","415","4","8","30","45","99","19.28","23.06","0","99","14","16"
