"year","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1986","East Germany","","","","","","","","","","","","","",""
"1986","West Germany","19.03","14","1861","4","8","22","40","88","18.24","19.82","0","99","13","15"
"1987","East Germany","","","","","","","","","","","","","",""
"1987","West Germany","","","","","","","","","","","","","",""
"1988","East Germany","","","","","","","","","","","","","",""
"1988","West Germany","19.08","13","1841","4","8","24","40","80","18.29","19.87","1","99","12","15"
"1989","East Germany","","","","","","","","","","","","","",""
"1989","West Germany","19.68","15","1917","4","8","25","40","95","18.88","20.48","0","99","12","15"
"1990","East Germany","19.47","15","1081","5","8","25","40","80","18.53","20.41","0","99","15","15"
"1990","West Germany","18.78","14","1964","4","8","22","40","80","18.04","19.52","0","99","12","15"
"1991","East Germany","21.79","15","812","5","10","30","45","99","20.46","23.12","0","99","15","17"
"1991","West Germany","19.85","15","2106","4","8","25","40","99","19.1","20.6","0","99","12","15"
"1992","East Germany","21.02","15","964","5","8","26","42","99","19.8","22.24","0","99","13","15"
"1992","West Germany","18.8","14","2031","4","8","24","40","80","18.07","19.53","0","99","12","14"
"1993","East Germany","19.37","14.55","973","4","8","24","40","99","18.18","20.56","0","99","12","15"
"1993","West Germany","18.75","14","1865","4","8","22","40","90","17.93","19.57","0","99","12","14"
"1994","East Germany","20.15","15","1019","4","8","27","40","90","19.02","21.28","0","99","12","15"
"1994","West Germany","18.49","12","1880","4","8","22","40","99","17.69","19.29","0","99","11","12"
"1995","East Germany","19.96","12","1009","4","8","25","41","90","18.8","21.12","0","99","12","15"
"1995","West Germany","19.37","15","2190","4","8","25","40","86","18.65","20.09","1","99","12","15"
"1996","East Germany","20","14","959","4","8","25","44","80","18.86","21.14","1","99","12","15"
"1996","West Germany","18.18","12","2168","4","8","22","40","80","17.5","18.86","1","99","12","14"
"1997","East Germany","20.32","15","971","5","8","26","48","80","19.19","21.45","1","99","12","15"
"1997","West Germany","18.82","14","2171","4","8","24","40","80","18.12","19.52","1","99","12","15"
"1998","East Germany","19.74","15","1038","4","8","25","40","80","18.67","20.81","1","99","12","15"
"1998","West Germany","19.67","15","2472","5","8","25","40","84","19.01","20.33","1","99","15","15"
"1999","East Germany","20.28","15","1033","5","9","25","45","90","19.17","21.39","1","99","12","15"
"1999","West Germany","19.44","15","2470","4","8","25","40","80","18.79","20.09","1","99","14","15"
"2000","East Germany","18.97","14.67","1392","5","8","20","40","99","18.03","19.91","1","99","12","15"
"2000","West Germany","19.35","15","4237","5","8","25","40","90","18.84","19.86","1","99","14","15"
"2001","East Germany","17.85","13","1348","4","8","22","40","80","16.99","18.71","1","99","11","14"
"2001","West Germany","18.93","15","3960","5","8","24","40","80","18.41","19.45","1","99","14","15"
"2002","East Germany","19.12","12","1308","4","8","23","40","99","18.1","20.14","1","99","11","14"
"2002","West Germany","19","15","4207","4","8","24","40","90","18.47","19.53","1","99","14","15"
"2003","East Germany","17.2","12","1265","4","8","20","40","80","16.29","18.11","1","99","10","12"
"2003","West Germany","18.2","12","3970","4","8","20","40","90","17.67","18.73","1","99","12","15"
"2004","East Germany","17.72","12.42","1233","4","8","20","40","90","16.78","18.66","1","99","10","14"
"2004","West Germany","18.19","14","3857","4","8","20","40","90","17.65","18.73","1","99","12","15"
"2005","East Germany","17.44","10","1139","4","8","20","40","90","16.43","18.45","1","99","10","12"
"2005","West Germany","18.78","12","3613","4","8","24","40","90","18.21","19.35","1","99","12","15"
"2006","East Germany","18.95","14","1265","5","8","24","40","90","17.99","19.91","1","99","12","15"
"2006","West Germany","18.83","14","4122","4","8","24","40","85","18.31","19.35","1","99","13","15"
"2007","East Germany","18.41","12","1230","4","8","21","40","98","17.46","19.36","1","99","10","12"
"2007","West Germany","19.68","15","3872","4","8","25","40","90","19.12","20.24","1","99","14","15"
"2008","East Germany","17.39","12","1201","5","8","20","35","90","16.45","18.33","1","99","11","13"
"2008","West Germany","18.81","14","3717","4","8","21","40","90","18.26","19.36","1","99","13","15"
"2009","East Germany","18.69","13.56","1081","5","8","20","40","80","17.67","19.71","1","99","12","15"
"2009","West Germany","18.65","14","3174","4","8","23","40","90","18.05","19.25","1","99","12","15"
"2010","East Germany","17.82","12","1298","4","7","20","36","90","16.89","18.75","1","99","10","12"
"2010","West Germany","18.66","12","4434","4","8","20","40","99","18.15","19.17","1","99","12","15"
"2011","East Germany","16.87","12","1591","5","8","20","38","80","16.1","17.64","1","99","12","15"
"2011","West Germany","19.14","15","5868","4","8","24","40","80","18.7","19.58","1","99","13","15"
"2012","East Germany","16.46","12","1562","4","8","20","35","80","15.69","17.23","1","99","10","12"
"2012","West Germany","17.72","12","5823","4","7","20","40","85","17.29","18.15","1","99","12","12"
"2013","East Germany","15.57","10","1525","4","7","20","30","70","14.82","16.32","1","99","10","12"
"2013","West Germany","16.71","12","6428","4","7","20","37","80","16.32","17.1","1","99","12","12"
"2014","East Germany","16.03","10","1417","4","6","20","36","80","15.21","16.85","1","99","10","11"
