"year","e11102","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1986","Employed","18.97","14","1842","4","8","22","40","80","18.18","19.76","0","99","13","15"
"1986","Not Employed","","","","","","","","","","","","","",""
"1987","Employed","","","","","","","","","","","","","",""
"1987","Not Employed","","","","","","","","","","","","","",""
"1988","Employed","19.11","13","1823","4","8","24","40","80","18.31","19.91","1","99","12","15"
"1988","Not Employed","","","","","","","","","","","","","",""
"1989","Employed","19.76","15","1894","4","8","25","40","95","18.96","20.56","0","99","12","15"
"1989","Not Employed","","","","","","","","","","","","","",""
"1990","Employed","18.81","14","1953","4","8","22","40","80","18.07","19.55","0","99","12","15"
"1990","Not Employed","","","","","","","","","","","","","",""
"1991","Employed","19.83","15","2067","4","8","25","40","99","19.07","20.59","0","99","12","15"
"1991","Not Employed","","","","","","","","","","","","","",""
"1992","Employed","19.31","14","2973","4","8","25","40","90","18.67","19.95","0","99","12","15"
"1992","Not Employed","","","","","","","","","","","","","",""
"1993","Employed","18.94","14","2806","4","8","22","40","90","18.26","19.62","0","99","12","14"
"1993","Not Employed","14.4","10","32","5","6","20","27","60","9.8","19","2","60","8","20"
"1994","Employed","18.94","12","2876","4","8","24","40","98","18.28","19.6","0","99","12","14"
"1994","Not Employed","","","","","","","","","","","","","",""
"1995","Employed","19.49","15","3166","4","8","25","40","86","18.87","20.11","0","99","12","15"
"1995","Not Employed","19.15","10","33","2","5","22","90","90","11.22","27.08","2","99","5","10"
"1996","Employed","18.56","13","3097","4","8","24","40","80","17.97","19.15","1","99","12","14"
"1996","Not Employed","15.3","13","30","5","10","20","28","43","11.43","19.17","2","43","10","20"
"1997","Employed","19.13","14","3126","4","8","25","40","80","18.53","19.73","1","99","12","15"
"1997","Not Employed","","","","","","","","","","","","","",""
"1998","Employed","19.72","15","3484","5","8","25","40","81","19.16","20.28","1","99","15","15"
"1998","Not Employed","","","","","","","","","","","","","",""
"1999","Employed","19.65","15","3484","4","8","25","40","80","19.09","20.21","1","99","14","15"
"1999","Not Employed","","","","","","","","","","","","","",""
"2000","Employed","19.27","15","5589","5","8","24","40","90","18.82","19.72","1","99","14","15"
"2000","Not Employed","21.45","12","40","3","8","30","45","85","15.35","27.55","1","85","10","20"
"2001","Employed","18.73","15","5274","5","8","24","40","80","18.28","19.18","1","99","14","15"
"2001","Not Employed","18.07","12.28","34","2","6","20","60","60","13.88","22.26","2","60","7","20"
"2002","Employed","19.05","14","5491","4","8","24","40","98","18.58","19.52","1","99","13","15"
"2002","Not Employed","","","","","","","","","","","","","",""
"2003","Employed","18.04","12","5205","4","8","20","40","90","17.58","18.5","1","99","12","15"
"2003","Not Employed","13.72","9.26","30","2","5","12","30","50","9.33","18.11","2","50","5","12"
"2004","Employed","18.12","14","5069","4","8","20","40","90","17.65","18.59","1","99","12","15"
"2004","Not Employed","","","","","","","","","","","","","",""
"2005","Employed","18.53","12","4728","4","8","22","40","90","18.03","19.03","1","99","12","13"
"2005","Not Employed","","","","","","","","","","","","","",""
"2006","Employed","18.89","14","5347","4","8","24","40","86","18.43","19.35","1","99","13","15"
"2006","Not Employed","14.75","10","40","2","3","20","40","60","10.2","19.3","2","60","5","18"
"2007","Employed","19.5","14","5058","4","8","25","40","90","19.01","19.99","1","99","12","15"
"2007","Not Employed","15.54","14.5","44","4","5","16","30","72","10.82","20.26","2","72","5","20"
"2008","Employed","18.57","14","4879","5","8","20","40","90","18.1","19.04","1","99","12","15"
"2008","Not Employed","17.85","12","39","2","4","28","32","80","11.07","24.63","1","80","10","20"
"2009","Employed","18.67","14","4241","5","8","22","40","85","18.15","19.19","1","99","12","15"
"2009","Not Employed","","","","","","","","","","","","","",""
"2010","Employed","18.53","12","5662","4","8","20","40","99","18.08","18.98","1","99","12","14"
"2010","Not Employed","16.26","9.89","70","3","5","28","30","99","11.72","20.8","2","99","8","12"
"2011","Employed","18.79","15","7370","4","8","22","40","80","18.4","19.18","1","99","12","15"
"2011","Not Employed","14.15","10","89","4","8","20","30","52","11.46","16.84","1","60","8","14"
"2012","Employed","17.54","12","7258","4","8","20","40","85","17.16","17.92","1","99","12","12"
"2012","Not Employed","15.47","10","127","2","4","20","40","89","12.32","18.62","1","90","8","15"
"2013","Employed","16.38","10","6694","4","7","20","35","80","16.01","16.75","1","99","11","12"
"2013","Not Employed","17.86","14","1259","4","8","23","36","80","16.98","18.74","1","99","12","15"
"2014","Employed","16.27","10","7021","4","6","20","35","80","15.91","16.63","1","99","10","11"
"2014","Not Employed","14.27","11","146","4","6","20","30","50","12.01","16.53","1","99","8","15"
"2015","Employed","16.32","11","6758","4","7","20","35","80","15.96","16.68","1","99","10","12"
"2015","Not Employed","20.76","16.54","434","4","10","25","40","85","19.21","22.31","1","99","15","20"
"2016","Employed","15.63","10","6707","4","6","20","32","80","15.27","15.99","1","200","10","10"
"2016","Not Employed","13.45","10","93","3","4","20","32","40","10.56","16.34","1","99","9","15"
"2017","Employed","16.09","10","7172","4","6","20","35","80","15.75","16.43","1","146","10","12"
"2017","Not Employed","14.91","10","130","4","5","16","30","85","12.14","17.68","1","100","10","14"
"2018","Employed","15.74","10","7189","4","6","20","32","80","15.4","16.08","1","150","10","10"
"2018","Not Employed","15.17","10","192","4","5","20","40","45","13.3","17.04","1","100","8","12"
"2019","Employed","15.55","10","6732","4","6","20","30","80","15.19","15.91","1","99","10","10"
"2019","Not Employed","13.3","10","158","3","5","16","24","99","10.79","15.81","1","99","10","15"
