"year","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1986","19.03","14","1861","4","8","22","40","88","18.24","19.82","0","99","13","15"
"1987","","","","","","","","","","","","","",""
"1988","19.08","13","1841","4","8","24","40","80","18.29","19.87","1","99","12","15"
"1989","19.68","15","1917","4","8","25","40","95","18.88","20.48","0","99","12","15"
"1990","18.92","15","3045","4","8","24","40","80","18.34","19.5","0","99","13","15"
"1991","20.16","15","2918","4","8","25","40","99","19.5","20.82","0","99","12","15"
"1992","19.25","14","2995","4","8","24","40","90","18.61","19.89","0","99","12","15"
"1993","18.89","14","2838","4","8","22","40","90","18.22","19.56","0","99","12","14"
"1994","18.87","12","2899","4","8","24","40","98","18.22","19.52","0","99","12","14"
"1995","19.49","15","3199","4","8","25","40","90","18.88","20.1","0","99","12","15"
"1996","18.53","13","3127","4","8","24","40","80","17.94","19.12","1","99","12","14"
"1997","19.11","14","3142","4","8","25","40","80","18.51","19.71","1","99","12","15"
"1998","19.68","15","3510","5","8","25","40","81","19.12","20.24","1","99","14","15"
"1999","19.6","15","3503","4","8","25","40","80","19.04","20.16","1","99","14","15"
"2000","19.29","15","5629","5","8","24","40","90","18.84","19.74","1","99","14","15"
"2001","18.73","15","5308","5","8","24","40","80","18.28","19.18","1","99","14","15"
"2002","19.02","14","5515","4","8","24","40","98","18.55","19.49","1","99","13","15"
"2003","18.02","12","5235","4","8","20","40","90","17.56","18.48","1","99","12","14"
"2004","18.11","14","5090","4","8","20","40","90","17.64","18.58","1","99","12","15"
"2005","18.55","12","4752","4","8","23","40","90","18.06","19.04","1","99","12","13"
"2006","18.85","14","5387","4","8","24","40","86","18.39","19.31","1","99","13","15"
"2007","19.46","14","5102","4","8","25","40","90","18.97","19.95","1","99","12","15"
"2008","18.57","14","4918","5","8","20","40","90","18.1","19.04","1","99","12","15"
"2009","18.66","14","4255","5","8","21","40","85","18.14","19.18","1","99","12","15"
"2010","18.51","12","5732","4","8","20","40","99","18.06","18.96","1","99","12","14"
"2011","18.75","15","7459","4","8","21","40","80","18.37","19.13","1","99","12","15"
"2012","17.52","12","7385","4","7","20","40","85","17.14","17.9","1","99","12","12"
"2013","16.51","11","7953","4","7","20","35","80","16.17","16.85","1","99","12","12"
"2014","16.25","10","7167","4","6","20","35","80","15.9","16.6","1","99","10","11"
"2015","16.45","12","7192","4","7","20","35","80","16.1","16.8","1","99","10","12"
"2016","15.6","10","6800","4","6","20","32","80","15.24","15.96","1","200","10","10"
"2017","16.07","10","7302","4","6","20","35","80","15.73","16.41","1","146","10","11"
"2018","15.73","10","7381","4","6","20","32","80","15.39","16.07","1","150","10","10"
"2019","15.52","10","6890","4","6","20","30","80","15.16","15.88","1","99","10","10"
