"plh0180","year","sampreg","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","2006","West Germany","88","0.00900890389738634","0.00756724069945589","0.0104505670953168","0"
"0 Completely dissatisfied","2006","East Germany","40","0.0119350221519755","0.00898318394327228","0.0148868603606786","0"
"1 on Scale 1 to 10","2006","West Germany","89","0.00762607986488331","0.00629874254716147","0.00895341718260516","1"
"1 on Scale 1 to 10","2006","East Germany","27","","","","1"
"10 Completely satisfied","2006","East Germany","771","0.153102776947596","0.143314751930766","0.162890801964426","10"
"10 Completely satisfied","2006","West Germany","3207","0.186768973367617","0.180822598360212","0.192715348375021","10"
"2 on Scale 1 to 10","2006","West Germany","200","0.0158054238622576","0.0139024338187608","0.0177084139057543","2"
"2 on Scale 1 to 10","2006","East Germany","73","0.0148910717342741","0.0115988180846576","0.0181833253838907","2"
"3 on Scale 1 to 10","2006","West Germany","311","0.0249382280271391","0.0225589684853999","0.0273174875688782","3"
"3 on Scale 1 to 10","2006","East Germany","96","0.0251105852754847","0.0208575960996089","0.0293635744513605","3"
"4 on Scale 1 to 10","2006","West Germany","372","0.0270821268631964","0.0246054323967748","0.0295588213296181","4"
"4 on Scale 1 to 10","2006","East Germany","151","0.0368668870201542","0.0317447690877704","0.0419890049525381","4"
"5 on Scale 1 to 10","2006","West Germany","1232","0.0842141460316308","0.0799769120283605","0.088451380034901","5"
"5 on Scale 1 to 10","2006","East Germany","447","0.0940032690547215","0.0860705335154874","0.101936004593956","5"
"6 on Scale 1 to 10","2006","West Germany","1081","0.0672087764243874","0.0633884701746559","0.0710290826741189","6"
"6 on Scale 1 to 10","2006","East Germany","413","0.0844592309334397","0.0769004703851831","0.0920179914816964","6"
"7 on Scale 1 to 10","2006","West Germany","2200","0.135776520690524","0.130549931966051","0.141003109414998","7"
"7 on Scale 1 to 10","2006","East Germany","754","0.140606873888681","0.131157840220005","0.150055907557357","7"
"8 on Scale 1 to 10","2006","West Germany","4417","0.255912492946475","0.249254386884356","0.262570599008594","8"
"8 on Scale 1 to 10","2006","East Germany","1375","0.242779406904223","0.231124593801189","0.254434220007257","8"
"9 on Scale 1 to 10","2006","West Germany","3304","0.185658328024503","0.179725612749039","0.191591043299967","9"
"9 on Scale 1 to 10","2006","East Germany","1052","0.189476920447637","0.178824481985622","0.200129358909652","9"
"0 Completely dissatisfied","2007","East Germany","35","0.00943705872344478","0.00674254498740346","0.0121315724594861","0"
"0 Completely dissatisfied","2007","West Germany","103","0.00944005301261061","0.00790875231194537","0.0109713537132759","0"
"1 on Scale 1 to 10","2007","West Germany","83","0.00763669181405183","0.00625814707769277","0.00901523655041088","1"
"1 on Scale 1 to 10","2007","East Germany","24","","","","1"
"10 Completely satisfied","2007","West Germany","2749","0.178760743793967","0.17269332727065","0.184828160317284","10"
"10 Completely satisfied","2007","East Germany","729","0.148690233295518","0.138774928603455","0.158605537987581","10"
"2 on Scale 1 to 10","2007","West Germany","172","0.0154999171734395","0.0135437523266359","0.017456082020243","2"
"2 on Scale 1 to 10","2007","East Germany","72","0.0173566952604268","0.0137171049183256","0.020996285602528","2"
"3 on Scale 1 to 10","2007","West Germany","275","0.0226971270891885","0.0203386431921552","0.0250556109862219","3"
"3 on Scale 1 to 10","2007","East Germany","120","0.0287362251176994","0.0240803160553885","0.0333921341800102","3"
"4 on Scale 1 to 10","2007","West Germany","336","0.0257306844472043","0.0232234319952828","0.0282379368991257","4"
"4 on Scale 1 to 10","2007","East Germany","141","0.0392192731830941","0.0338094515431687","0.0446290948230196","4"
"5 on Scale 1 to 10","2007","West Germany","1130","0.0810021149087758","0.076681572046134","0.0853226577714175","5"
"5 on Scale 1 to 10","2007","East Germany","394","0.0905587867898912","0.0825609295375439","0.0985566440422384","5"
"6 on Scale 1 to 10","2007","West Germany","1001","0.0698458354035286","0.0658095617001655","0.0738821091068916","6"
"6 on Scale 1 to 10","2007","East Germany","381","0.0798134135870048","0.0722608058867177","0.0873660212872919","6"
"7 on Scale 1 to 10","2007","West Germany","2159","0.144252588102841","0.138688839643939","0.149816336561744","7"
"7 on Scale 1 to 10","2007","East Germany","718","0.136017778298075","0.126464085408896","0.145571471187254","7"
"8 on Scale 1 to 10","2007","West Germany","4226","0.264520908574898","0.25753620384979","0.271505613300005","8"
"8 on Scale 1 to 10","2007","East Germany","1415","0.27785325860231","0.265369610723979","0.290336906480642","8"
"9 on Scale 1 to 10","2007","West Germany","3085","0.180613335679495","0.174521443117437","0.186705228241552","9"
"9 on Scale 1 to 10","2007","East Germany","917","0.166159742968668","0.155786241561753","0.176533244375583","9"
"0 Completely dissatisfied","2008","West Germany","111","0.010558360317031","0.00889593111394606","0.0122207895201159","0"
"0 Completely dissatisfied","2008","East Germany","31","0.00503081664856564","0.00301946389912219","0.00704216939800909","0"
"1 on Scale 1 to 10","2008","West Germany","87","0.00793195348971844","0.00648913852328037","0.00937476845615651","1"
"1 on Scale 1 to 10","2008","East Germany","29","","","","1"
"10 Completely satisfied","2008","East Germany","788","0.164245117427702","0.15371217090762","0.174778063947784","10"
"10 Completely satisfied","2008","West Germany","3032","0.204609492285794","0.198047995520732","0.211170989050855","10"
"2 on Scale 1 to 10","2008","West Germany","163","0.0135493805670682","0.0116689936373381","0.0154297674967983","2"
"2 on Scale 1 to 10","2008","East Germany","63","0.0185152832715972","0.0146828805936104","0.0223476859495839","2"
"3 on Scale 1 to 10","2008","West Germany","262","0.0232751102672194","0.0208227637881867","0.0257274567462521","3"
"3 on Scale 1 to 10","2008","East Germany","103","0.0265574941372791","0.0219864766368456","0.0311285116377125","3"
"4 on Scale 1 to 10","2008","West Germany","310","0.0263466513174792","0.0237416093683417","0.0289516932666168","4"
"4 on Scale 1 to 10","2008","East Germany","115","0.0279163128914267","0.0232330877117448","0.0325995380711086","4"
"5 on Scale 1 to 10","2008","West Germany","958","0.0782822937581598","0.0739133086465743","0.0826512788697452","5"
"5 on Scale 1 to 10","2008","East Germany","346","0.0859929859368186","0.0780227631205295","0.0939632087531076","5"
"6 on Scale 1 to 10","2008","East Germany","317","0.0658736840974069","0.0588215109974057","0.0729258571974082","6"
"6 on Scale 1 to 10","2008","West Germany","825","0.0614933106108455","0.0575859593770732","0.0654006618446178","6"
"7 on Scale 1 to 10","2008","West Germany","1949","0.136407451990291","0.130825021557355","0.141989882423227","7"
"7 on Scale 1 to 10","2008","East Germany","697","0.151055502859668","0.140874932537261","0.161236073182075","7"
"8 on Scale 1 to 10","2008","West Germany","3716","0.245115166476366","0.238118756178958","0.252111576773774","8"
"8 on Scale 1 to 10","2008","East Germany","1248","0.246149110765512","0.233902778310305","0.258395443220719","8"
"9 on Scale 1 to 10","2008","West Germany","3108","0.192430828920028","0.186019072440828","0.198842585399228","9"
"9 on Scale 1 to 10","2008","East Germany","1016","0.201635837776778","0.190229438686753","0.213042236866802","9"
"0 Completely dissatisfied","2009","East Germany","28","","","","0"
"0 Completely dissatisfied","2009","West Germany","90","0.00950632738757829","0.00786812482402724","0.0111445299511293","0"
"1 on Scale 1 to 10","2009","West Germany","76","0.00717459955120592","0.0057497446591472","0.00859945444326464","1"
"1 on Scale 1 to 10","2009","East Germany","23","","","","1"
"10 Completely satisfied","2009","East Germany","733","0.159801443811053","0.149114526741598","0.170488360880508","10"
"10 Completely satisfied","2009","West Germany","2740","0.200384580253376","0.193626737301524","0.207142423205228","10"
"2 on Scale 1 to 10","2009","West Germany","142","0.0139211662881072","0.0119431539604868","0.0158991786157275","2"
"2 on Scale 1 to 10","2009","East Germany","67","0.0184317506413302","0.0145087835181465","0.0223547177645138","2"
"3 on Scale 1 to 10","2009","West Germany","252","0.0222473736696114","0.0197574316445141","0.0247373156947086","3"
"3 on Scale 1 to 10","2009","East Germany","104","0.0219707134888938","0.0176953884867812","0.0262460384910065","3"
"4 on Scale 1 to 10","2009","West Germany","294","0.0279749814266026","0.0251910470740813","0.030758915779124","4"
"4 on Scale 1 to 10","2009","East Germany","123","0.0388486732817104","0.033212879348855","0.0444844672145657","4"
"5 on Scale 1 to 10","2009","West Germany","930","0.0795625653460611","0.0749939258439042","0.0841312048482181","5"
"5 on Scale 1 to 10","2009","East Germany","345","0.0835013686134707","0.075433035291278","0.0915697019356635","5"
"6 on Scale 1 to 10","2009","West Germany","808","0.0648535665300857","0.0606959722322936","0.0690111608278778","6"
"6 on Scale 1 to 10","2009","East Germany","298","0.0686761541773806","0.0613000936932458","0.0760522146615153","6"
"7 on Scale 1 to 10","2009","East Germany","571","0.127501021231236","0.117773315606791","0.137228726855681","7"
"7 on Scale 1 to 10","2009","West Germany","1763","0.136660589557027","0.130861660533764","0.142459518580289","7"
"8 on Scale 1 to 10","2009","East Germany","1180","0.238900917173534","0.226464346785169","0.2513374875619","8"
"8 on Scale 1 to 10","2009","West Germany","3461","0.239620187266881","0.232413886971152","0.246826487562611","8"
"9 on Scale 1 to 10","2009","West Germany","2922","0.198094062723464","0.191365337262062","0.204822788184866","9"
"9 on Scale 1 to 10","2009","East Germany","1044","0.226061646922061","0.213862267116299","0.238261026727823","9"
"0 Completely dissatisfied","2010","West Germany","78","0.00681320702135011","0.00562665108417916","0.00799976295852105","0"
"0 Completely dissatisfied","2010","East Germany","33","0.00735850098489022","0.00508863528365125","0.0096283666861292","0"
"1 on Scale 1 to 10","2010","East Germany","42","0.00986247336315644","0.00723795295280387","0.012486993773509","1"
"1 on Scale 1 to 10","2010","West Germany","84","0.00703824033049249","0.00583238484287519","0.00824409581810978","1"
"10 Completely satisfied","2010","West Germany","4706","0.21451361507649","0.208592633388263","0.220434596764718","10"
"10 Completely satisfied","2010","East Germany","1124","0.171716951329087","0.161700699296387","0.181733203361787","10"
"2 on Scale 1 to 10","2010","East Germany","81","0.021165637552916","0.0173428553675291","0.024988419738303","2"
