"plh0180","year","e11102","migback","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","2006","Not Employed","no migration background","49","0.00968576308486744","0.00741596215086326","0.0119555640188716","0"
"0 Completely dissatisfied","2006","Not Employed","direct migration background","12","","","","0"
"0 Completely dissatisfied","2006","Not Employed","indirect migration background","3","","","","0"
"0 Completely dissatisfied","2006","Employed","no migration background","52","0.00705032608290928","0.00551219488254089","0.00858845728327767","0"
"0 Completely dissatisfied","2006","Employed","direct migration background","7","","","","0"
"0 Completely dissatisfied","2006","Employed","indirect migration background","5","","","","0"
"1 on Scale 1 to 10","2006","Not Employed","direct migration background","7","","","","1"
"1 on Scale 1 to 10","2006","Employed","direct migration background","5","","","","1"
"1 on Scale 1 to 10","2006","Not Employed","indirect migration background","1","","","","1"
"1 on Scale 1 to 10","2006","Employed","no migration background","64","0.00817537510316646","0.00651999988829174","0.00983075031804118","1"
"1 on Scale 1 to 10","2006","Not Employed","no migration background","36","0.00780360856256933","0.00576430960132615","0.00984290752381251","1"
"1 on Scale 1 to 10","2006","Employed","indirect migration background","3","","","","1"
"10 Completely satisfied","2006","Not Employed","indirect migration background","44","0.145199432435674","0.101702094272936","0.188696770598411","10"
"10 Completely satisfied","2006","Not Employed","direct migration background","185","0.196726116019109","0.172306600991429","0.22114563104679","10"
"10 Completely satisfied","2006","Employed","direct migration background","250","0.178778309389675","0.158376623239472","0.199179995539878","10"
"10 Completely satisfied","2006","Employed","indirect migration background","106","0.164795928765328","0.133958352558498","0.195633504972159","10"
"10 Completely satisfied","2006","Not Employed","no migration background","1542","0.212386201493416","0.202907384357109","0.221865018629724","10"
"10 Completely satisfied","2006","Employed","no migration background","1851","0.158720862662742","0.152003292236959","0.165438433088525","10"
"2 on Scale 1 to 10","2006","Not Employed","direct migration background","17","","","","2"
"2 on Scale 1 to 10","2006","Not Employed","indirect migration background","","","","","2"
"2 on Scale 1 to 10","2006","Employed","no migration background","137","0.0147730768174238","0.0125552441571948","0.0169909094776528","2"
"2 on Scale 1 to 10","2006","Employed","direct migration background","14","","","","2"
"2 on Scale 1 to 10","2006","Employed","indirect migration background","7","","","","2"
"2 on Scale 1 to 10","2006","Not Employed","no migration background","98","0.0173013705392416","0.0142794379863389","0.0203233030921442","2"
"3 on Scale 1 to 10","2006","Not Employed","indirect migration background","9","","","","3"
"3 on Scale 1 to 10","2006","Employed","no migration background","206","0.0234768183863782","0.0206933514946919","0.0262602852780645","3"
"3 on Scale 1 to 10","2006","Not Employed","direct migration background","17","","","","3"
"3 on Scale 1 to 10","2006","Employed","indirect migration background","12","","","","3"
"3 on Scale 1 to 10","2006","Not Employed","no migration background","137","0.0249693541393704","0.0213531984049966","0.0285855098737442","3"
"3 on Scale 1 to 10","2006","Employed","direct migration background","26","","","","3"
"4 on Scale 1 to 10","2006","Employed","direct migration background","30","0.0308827315888672","0.0216713565904374","0.0400941065872969","4"
"4 on Scale 1 to 10","2006","Not Employed","no migration background","161","0.0269621217696919","0.023208277563372","0.0307159659760117","4"
"4 on Scale 1 to 10","2006","Not Employed","direct migration background","24","","","","4"
"4 on Scale 1 to 10","2006","Not Employed","indirect migration background","7","","","","4"
"4 on Scale 1 to 10","2006","Employed","no migration background","288","0.0305301195336649","0.0273674299091781","0.0336928091581517","4"
"4 on Scale 1 to 10","2006","Employed","indirect migration background","13","","","","4"
"5 on Scale 1 to 10","2006","Not Employed","direct migration background","84","0.0940517271122617","0.0761205297683073","0.111982924456216","5"
"5 on Scale 1 to 10","2006","Not Employed","indirect migration background","23","","","","5"
"5 on Scale 1 to 10","2006","Employed","no migration background","880","0.0860934625974008","0.0809368899507564","0.0912500352440452","5"
"5 on Scale 1 to 10","2006","Employed","indirect migration background","50","0.110709861365204","0.084628780426115","0.136790942304293","5"
