"plh0180","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","2006","1-pers.-HH","92","0.033444053273623","0.0271413544309584","0.0397467521162876","0"
"0 Completely dissatisfied","2006","(Married) couple without C. ","10","","","","0"
"0 Completely dissatisfied","2006","Single parent ","5","","","","0"
"0 Completely dissatisfied","2006","Couple + C. LE 16 ","6","","","","0"
"0 Completely dissatisfied","2006","Couple + C. GT 16 ","9","","","","0"
"0 Completely dissatisfied","2006","Couple + C. LE and GT 16","1","","","","0"
"1 on Scale 1 to 10","2006","(Married) couple without C. ","20","","","","1"
"1 on Scale 1 to 10","2006","Couple + C. GT 16 ","13","","","","1"
"1 on Scale 1 to 10","2006","Single parent ","17","","","","1"
"1 on Scale 1 to 10","2006","Couple + C. LE 16 ","8","","","","1"
"1 on Scale 1 to 10","2006","1-pers.-HH","51","0.0183245427026281","0.0136228510514041","0.0230262343538522","1"
"1 on Scale 1 to 10","2006","Couple + C. LE and GT 16","5","","","","1"
"10 Completely satisfied","2006","Single parent ","119","0.116518182696114","0.0980307302169771","0.135005635175251","10"
"10 Completely satisfied","2006","(Married) couple without C. ","1886","0.239939277772039","0.230486984610871","0.249391570933207","10"
"10 Completely satisfied","2006","Couple + C. GT 16 ","569","0.159811834430977","0.147883306991774","0.171740361870179","10"
"10 Completely satisfied","2006","Couple + C. LE and GT 16","247","0.160065586471649","0.141403973067196","0.178727199876103","10"
"10 Completely satisfied","2006","1-pers.-HH","346","0.113820628348216","0.102687302713808","0.124953953982624","10"
"10 Completely satisfied","2006","Couple + C. LE 16 ","730","0.198071490967076","0.185600018022595","0.210542963911556","10"
"2 on Scale 1 to 10","2006","(Married) couple without C. ","48","0.0073576758064028","0.00546607677722876","0.00924927483557683","2"
"2 on Scale 1 to 10","2006","Single parent ","33","0.0253488167765856","0.0162918064092299","0.0344058271439413","2"
"2 on Scale 1 to 10","2006","Couple + C. LE 16 ","29","","","","2"
"2 on Scale 1 to 10","2006","Couple + C. GT 16 ","29","","","","2"
"2 on Scale 1 to 10","2006","Couple + C. LE and GT 16","11","","","","2"
"2 on Scale 1 to 10","2006","1-pers.-HH","113","0.0370840899975251","0.030459765498881","0.0437084144961692","2"
"3 on Scale 1 to 10","2006","Single parent ","55","0.0418013910633774","0.0302693933718609","0.0533333887548939","3"
"3 on Scale 1 to 10","2006","Couple + C. LE 16 ","54","0.0162197920879011","0.0122669394977631","0.020172644678039","3"
"3 on Scale 1 to 10","2006","(Married) couple without C. ","74","0.0167540248663457","0.0139131439422215","0.0195949057904698","3"
"3 on Scale 1 to 10","2006","Couple + C. LE and GT 16","19","","","","3"
"3 on Scale 1 to 10","2006","1-pers.-HH","146","0.0482394824697304","0.0407281191939089","0.0557508457455519","3"
"3 on Scale 1 to 10","2006","Couple + C. GT 16 ","42","0.0148472273100175","0.010910198830691","0.0187842557893441","3"
"4 on Scale 1 to 10","2006","Couple + C. GT 16 ","87","0.0277074654132821","0.0223643942186303","0.0330505366079339","4"
"4 on Scale 1 to 10","2006","1-pers.-HH","152","0.0454259510042574","0.0381261599376989","0.0527257420708159","4"
"4 on Scale 1 to 10","2006","(Married) couple without C. ","104","0.0145929958019728","0.0119387422005586","0.017247249403387","4"
"4 on Scale 1 to 10","2006","Single parent ","61","0.0642848058227722","0.0501526824364215","0.0784169292091228","4"
"4 on Scale 1 to 10","2006","Couple + C. LE 16 ","72","0.022118318823277","0.0175161965930684","0.0267204410534855","4"
"4 on Scale 1 to 10","2006","Couple + C. LE and GT 16","32","0.0370963036292093","0.0274772075818528","0.0467153996765658","4"
"5 on Scale 1 to 10","2006","(Married) couple without C. ","393","0.0517959033415323","0.0468906551805228","0.0567011515025418","5"
"5 on Scale 1 to 10","2006","Single parent ","158","0.144799326949547","0.124522560443598","0.165076093455496","5"
"5 on Scale 1 to 10","2006","Couple + C. LE 16 ","209","0.0567008678844324","0.0494638689680838","0.0639378668007811","5"
"5 on Scale 1 to 10","2006","Couple + C. LE and GT 16","100","0.0701245792676704","0.0571281204814368","0.083121038053904","5"
"5 on Scale 1 to 10","2006","1-pers.-HH","485","0.1544055536545","0.141738776688462","0.167072330620537","5"
"5 on Scale 1 to 10","2006","Couple + C. GT 16 ","283","0.0770327504189129","0.0683526463282376","0.0857128545095882","5"
"6 on Scale 1 to 10","2006","Single parent ","118","0.0904252851014186","0.0739001299990898","0.106950440203747","6"
"6 on Scale 1 to 10","2006","Couple + C. LE 16 ","240","0.0595781611925439","0.0521711357321517","0.0669851866529362","6"
"6 on Scale 1 to 10","2006","Couple + C. GT 16 ","254","0.0663741975337916","0.0582705573341152","0.074477837733468","6"
"6 on Scale 1 to 10","2006","Couple + C. LE and GT 16","129","0.0833103049132273","0.0692453594627491","0.0973752503637056","6"
"6 on Scale 1 to 10","2006","1-pers.-HH","321","0.101009141873851","0.0904455507579296","0.111572732989773","6"
"6 on Scale 1 to 10","2006","(Married) couple without C. ","391","0.0496505860464144","0.0448425666699221","0.0544586054229067","6"
"7 on Scale 1 to 10","2006","(Married) couple without C. ","912","0.117355439539643","0.110231718559093","0.124479160520194","7"
"7 on Scale 1 to 10","2006","1-pers.-HH","463","0.150721637765537","0.138179648170451","0.163263627360623","7"
"7 on Scale 1 to 10","2006","Couple + C. LE 16 ","527","0.130761664927464","0.120211758846507","0.141311571008422","7"
"7 on Scale 1 to 10","2006","Couple + C. GT 16 ","567","0.156422643805655","0.144597502111743","0.168247785499567","7"
"7 on Scale 1 to 10","2006","Couple + C. LE and GT 16","215","0.154718228462348","0.136312669578933","0.173123787345763","7"
"7 on Scale 1 to 10","2006","Single parent ","172","0.141281390791599","0.121211300348817","0.161351481234382","7"
"8 on Scale 1 to 10","2006","Single parent ","268","0.22735077383997","0.203200569102285","0.251500978577654","8"
"8 on Scale 1 to 10","2006","Couple + C. LE 16 ","1063","0.252618973415702","0.239021977905792","0.266215968925611","8"
"8 on Scale 1 to 10","2006","Couple + C. GT 16 ","1026","0.282695722169371","0.26803668606994","0.297354758268803","8"
"8 on Scale 1 to 10","2006","(Married) couple without C. ","2220","0.274146237625161","0.264272579738291","0.28401989551203","8"
"8 on Scale 1 to 10","2006","Couple + C. LE and GT 16","421","0.286736846547318","0.263720087965507","0.30975360512913","8"
"8 on Scale 1 to 10","2006","1-pers.-HH","651","0.204543591590969","0.190403418184785","0.218683764997153","8"
"9 on Scale 1 to 10","2006","1-pers.-HH","306","0.0929813273191629","0.0828010504645253","0.103161604173801","9"
"9 on Scale 1 to 10","2006","(Married) couple without C. ","1783","0.223322077809233","0.214103823733197","0.232540331885269","9"
"9 on Scale 1 to 10","2006","Single parent ","151","0.128119026933849","0.108860776612733","0.147377277254964","9"
"9 on Scale 1 to 10","2006","Couple + C. LE 16 ","985","0.249780490620857","0.236234450081627","0.263326531160087","9"
"9 on Scale 1 to 10","2006","Couple + C. GT 16 ","746","0.201295216547207","0.188242408372117","0.214348024722297","9"
"9 on Scale 1 to 10","2006","Couple + C. LE and GT 16","303","0.179704146578669","0.160163369839609","0.199244923317728","9"
"0 Completely dissatisfied","2007","Single parent ","12","","","","0"
"0 Completely dissatisfied","2007","Couple + C. LE 16 ","6","","","","0"
"0 Completely dissatisfied","2007","Couple + C. GT 16 ","8","","","","0"
"0 Completely dissatisfied","2007","Couple + C. LE and GT 16","7","","","","0"
"0 Completely dissatisfied","2007","(Married) couple without C. ","12","","","","0"
"0 Completely dissatisfied","2007","1-pers.-HH","89","0.0320566330722103","0.0257247255470638","0.0383885405973568","0"
"1 on Scale 1 to 10","2007","Couple + C. GT 16 ","6","","","","1"
"1 on Scale 1 to 10","2007","(Married) couple without C. ","19","","","","1"
"1 on Scale 1 to 10","2007","Single parent ","8","","","","1"
"1 on Scale 1 to 10","2007","Couple + C. LE 16 ","13","","","","1"
"1 on Scale 1 to 10","2007","Couple + C. LE and GT 16","4","","","","1"
"1 on Scale 1 to 10","2007","1-pers.-HH","55","0.0202130733401771","0.0151544466339738","0.0252717000463804","1"
