"plh0180","year","hgtyp1hh","migback","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","2006","1-pers.-HH","no migration background","74","0.0263375696277981","0.0204071750323412","0.032267964223255","0"
"0 Completely dissatisfied","2006","1-pers.-HH","direct migration background","12","","","","0"
"0 Completely dissatisfied","2006","1-pers.-HH","indirect migration background","6","","","","0"
"0 Completely dissatisfied","2006","(Married) couple without C. ","no migration background","7","","","","0"
"0 Completely dissatisfied","2006","(Married) couple without C. ","direct migration background","3","","","","0"
"0 Completely dissatisfied","2006","(Married) couple without C. ","indirect migration background","","","","","0"
"0 Completely dissatisfied","2006","Single parent ","no migration background","2","","","","0"
"0 Completely dissatisfied","2006","Single parent ","direct migration background","3","","","","0"
"0 Completely dissatisfied","2006","Single parent ","indirect migration background","","","","","0"
"0 Completely dissatisfied","2006","Couple + C. LE 16 ","no migration background","6","","","","0"
"0 Completely dissatisfied","2006","Couple + C. LE 16 ","direct migration background","","","","","0"
"0 Completely dissatisfied","2006","Couple + C. LE 16 ","indirect migration background","","","","","0"
"0 Completely dissatisfied","2006","Couple + C. GT 16 ","no migration background","8","","","","0"
"0 Completely dissatisfied","2006","Couple + C. GT 16 ","direct migration background","","","","","0"
"0 Completely dissatisfied","2006","Couple + C. GT 16 ","indirect migration background","1","","","","0"
"0 Completely dissatisfied","2006","Couple + C. LE and GT 16","no migration background","1","","","","0"
"0 Completely dissatisfied","2006","Couple + C. LE and GT 16","direct migration background","","","","","0"
"0 Completely dissatisfied","2006","Couple + C. LE and GT 16","indirect migration background","","","","","0"
"1 on Scale 1 to 10","2006","1-pers.-HH","no migration background","45","0.0190354087697382","0.0139748402913134","0.0240959772481629","1"
"1 on Scale 1 to 10","2006","1-pers.-HH","direct migration background","4","","","","1"
"1 on Scale 1 to 10","2006","1-pers.-HH","indirect migration background","2","","","","1"
"1 on Scale 1 to 10","2006","Single parent ","direct migration background","4","","","","1"
"1 on Scale 1 to 10","2006","(Married) couple without C. ","no migration background","20","","","","1"
"1 on Scale 1 to 10","2006","(Married) couple without C. ","indirect migration background","","","","","1"
"1 on Scale 1 to 10","2006","Single parent ","no migration background","13","","","","1"
"1 on Scale 1 to 10","2006","(Married) couple without C. ","direct migration background","","","","","1"
"1 on Scale 1 to 10","2006","Single parent ","indirect migration background","","","","","1"
"1 on Scale 1 to 10","2006","Couple + C. LE 16 ","no migration background","5","","","","1"
"1 on Scale 1 to 10","2006","Couple + C. LE 16 ","direct migration background","2","","","","1"
"1 on Scale 1 to 10","2006","Couple + C. LE 16 ","indirect migration background","1","","","","1"
"1 on Scale 1 to 10","2006","Couple + C. GT 16 ","no migration background","11","","","","1"
"1 on Scale 1 to 10","2006","Couple + C. GT 16 ","direct migration background","1","","","","1"
"1 on Scale 1 to 10","2006","Couple + C. LE and GT 16","no migration background","4","","","","1"
"1 on Scale 1 to 10","2006","Couple + C. GT 16 ","indirect migration background","1","","","","1"
"1 on Scale 1 to 10","2006","Couple + C. LE and GT 16","direct migration background","1","","","","1"
"1 on Scale 1 to 10","2006","Couple + C. LE and GT 16","indirect migration background","","","","","1"
"10 Completely satisfied","2006","Single parent ","direct migration background","15","","","","10"
"10 Completely satisfied","2006","1-pers.-HH","no migration background","320","0.117336003221933","0.105417961861887","0.12925404458198","10"
"10 Completely satisfied","2006","(Married) couple without C. ","direct migration background","155","0.232312180366424","0.201926115973797","0.262698244759051","10"
"10 Completely satisfied","2006","1-pers.-HH","direct migration background","16","","","","10"
"10 Completely satisfied","2006","Single parent ","indirect migration background","6","","","","10"
"10 Completely satisfied","2006","Couple + C. LE 16 ","no migration background","546","0.181746532059201","0.168362165410781","0.195130898707621","10"
"10 Completely satisfied","2006","1-pers.-HH","indirect migration background","10","","","","10"
"10 Completely satisfied","2006","(Married) couple without C. ","indirect migration background","21","","","","10"
"10 Completely satisfied","2006","(Married) couple without C. ","no migration background","1710","0.242044305965367","0.231989587961754","0.25209902396898","10"
"10 Completely satisfied","2006","Couple + C. LE 16 ","direct migration background","132","0.256733302342399","0.220125987983642","0.293340616701157","10"
"10 Completely satisfied","2006","Couple + C. LE 16 ","indirect migration background","52","0.237596663491214","0.176595256693763","0.298598070288666","10"
"10 Completely satisfied","2006","Single parent ","no migration background","98","0.125016512807432","0.103895912474917","0.146137113139946","10"
"10 Completely satisfied","2006","Couple + C. GT 16 ","no migration background","470","0.155548220077616","0.142754958513844","0.168341481641387","10"
"10 Completely satisfied","2006","Couple + C. GT 16 ","direct migration background","62","0.170423788512068","0.13158281618314","0.209264760840995","10"
"10 Completely satisfied","2006","Couple + C. GT 16 ","indirect migration background","37","0.191609320995502","0.13443100484584","0.248787637145165","10"
"10 Completely satisfied","2006","Couple + C. LE and GT 16","no migration background","189","0.183191699807616","0.160577672995023","0.205805726620208","10"
"10 Completely satisfied","2006","Couple + C. LE and GT 16","direct migration background","40","0.102417950367215","0.0654212188832599","0.13941468185117","10"
"10 Completely satisfied","2006","Couple + C. LE and GT 16","indirect migration background","18","","","","10"
"2 on Scale 1 to 10","2006","1-pers.-HH","no migration background","95","0.0353413483421389","0.0285034927335821","0.0421792039506956","2"
"2 on Scale 1 to 10","2006","1-pers.-HH","direct migration background","14","","","","2"
