"plh0180","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","2006","16-34 y.","in school","2","","","","0"
"0 Completely dissatisfied","2006","16-34 y.","inadequately","1","","","","0"
"0 Completely dissatisfied","2006","16-34 y.","general elemantary","4","","","","0"
"0 Completely dissatisfied","2006","16-34 y.","middle vocational","12","","","","0"
"0 Completely dissatisfied","2006","16-34 y.","vocational + Abi","2","","","","0"
"0 Completely dissatisfied","2006","16-34 y.","higher vocational","","","","","0"
"0 Completely dissatisfied","2006","16-34 y.","higher education","2","","","","0"
"0 Completely dissatisfied","2006","35-65 y.","in school","","","","","0"
"0 Completely dissatisfied","2006","35-65 y.","inadequately","2","","","","0"
"0 Completely dissatisfied","2006","35-65 y.","general elemantary","7","","","","0"
"0 Completely dissatisfied","2006","35-65 y.","middle vocational","30","0.00711182935838982","0.00503863588492254","0.0091850228318571","0"
"0 Completely dissatisfied","2006","35-65 y.","vocational + Abi","3","","","","0"
"0 Completely dissatisfied","2006","35-65 y.","higher vocational","5","","","","0"
"0 Completely dissatisfied","2006","35-65 y.","higher education","16","","","","0"
"0 Completely dissatisfied","2006","66 and older","in school","","","","","0"
"0 Completely dissatisfied","2006","66 and older","inadequately","","","","","0"
"0 Completely dissatisfied","2006","66 and older","general elemantary","11","","","","0"
"0 Completely dissatisfied","2006","66 and older","middle vocational","21","","","","0"
"0 Completely dissatisfied","2006","66 and older","vocational + Abi","1","","","","0"
"0 Completely dissatisfied","2006","66 and older","higher vocational","1","","","","0"
"0 Completely dissatisfied","2006","66 and older","higher education","4","","","","0"
"1 on Scale 1 to 10","2006","16-34 y.","in school","2","","","","1"
"1 on Scale 1 to 10","2006","16-34 y.","higher vocational","","","","","1"
"1 on Scale 1 to 10","2006","16-34 y.","inadequately","1","","","","1"
"1 on Scale 1 to 10","2006","16-34 y.","general elemantary","7","","","","1"
"1 on Scale 1 to 10","2006","16-34 y.","higher education","1","","","","1"
"1 on Scale 1 to 10","2006","16-34 y.","middle vocational","9","","","","1"
"1 on Scale 1 to 10","2006","16-34 y.","vocational + Abi","3","","","","1"
"1 on Scale 1 to 10","2006","35-65 y.","in school","","","","","1"
"1 on Scale 1 to 10","2006","35-65 y.","inadequately","1","","","","1"
"1 on Scale 1 to 10","2006","35-65 y.","vocational + Abi","5","","","","1"
"1 on Scale 1 to 10","2006","35-65 y.","higher vocational","2","","","","1"
"1 on Scale 1 to 10","2006","66 and older","middle vocational","7","","","","1"
"1 on Scale 1 to 10","2006","66 and older","vocational + Abi","1","","","","1"
"1 on Scale 1 to 10","2006","66 and older","higher vocational","1","","","","1"
"1 on Scale 1 to 10","2006","66 and older","higher education","2","","","","1"
"1 on Scale 1 to 10","2006","35-65 y.","general elemantary","3","","","","1"
"1 on Scale 1 to 10","2006","35-65 y.","middle vocational","42","0.009118862207199","0.00677366100451846","0.0114640634098796","1"
"1 on Scale 1 to 10","2006","35-65 y.","higher education","19","","","","1"
"1 on Scale 1 to 10","2006","66 and older","in school","","","","","1"
"1 on Scale 1 to 10","2006","66 and older","inadequately","1","","","","1"
"1 on Scale 1 to 10","2006","66 and older","general elemantary","6","","","","1"
"10 Completely satisfied","2006","35-65 y.","general elemantary","143","0.168052556136432","0.142974742949637","0.193130369323228","10"
"10 Completely satisfied","2006","16-34 y.","higher education","89","0.171141912724283","0.140113600293017","0.20217022515555","10"
"10 Completely satisfied","2006","35-65 y.","higher education","481","0.130596727728657","0.118877887668567","0.142315567788747","10"
"10 Completely satisfied","2006","16-34 y.","higher vocational","29","","","","10"
"10 Completely satisfied","2006","16-34 y.","general elemantary","144","0.174953162726741","0.148170204440813","0.201736121012669","10"
"10 Completely satisfied","2006","16-34 y.","vocational + Abi","83","0.202753118276863","0.165440059914791","0.240066176638935","10"
"10 Completely satisfied","2006","35-65 y.","in school","1","","","","10"
"10 Completely satisfied","2006","35-65 y.","inadequately","14","","","","10"
"10 Completely satisfied","2006","35-65 y.","middle vocational","1100","0.178947942752023","0.169491066573977","0.18840481893007","10"
"10 Completely satisfied","2006","35-65 y.","higher vocational","152","0.116671692364924","0.0980444274233819","0.135298957306467","10"
"10 Completely satisfied","2006","16-34 y.","inadequately","12","","","","10"
"10 Completely satisfied","2006","16-34 y.","middle vocational","452","0.180382987138231","0.164820466620094","0.195945507656368","10"
"10 Completely satisfied","2006","16-34 y.","in school","71","0.183206114176651","0.144414073158499","0.221998155194803","10"
"10 Completely satisfied","2006","35-65 y.","vocational + Abi","104","0.160939066479834","0.132667281313823","0.189210851645846","10"
"10 Completely satisfied","2006","66 and older","in school","","","","","10"
"10 Completely satisfied","2006","66 and older","inadequately","16","","","","10"
"10 Completely satisfied","2006","66 and older","general elemantary","152","0.186486544292251","0.159875967115471","0.21309712146903","10"
"10 Completely satisfied","2006","66 and older","middle vocational","551","0.236791535929296","0.219345766646649","0.254237305211943","10"
"10 Completely satisfied","2006","66 and older","vocational + Abi","31","0.243414932951076","0.162479498044699","0.324350367857452","10"
"10 Completely satisfied","2006","66 and older","higher vocational","76","0.252121491848444","0.203547995660239","0.300694988036649","10"
"10 Completely satisfied","2006","66 and older","higher education","222","0.256848510513528","0.22630534679669","0.287391674230366","10"
"2 on Scale 1 to 10","2006","16-34 y.","higher vocational","3","","","","2"
"2 on Scale 1 to 10","2006","66 and older","middle vocational","38","0.0210719078403659","0.015177871987847","0.0269659436928848","2"
"2 on Scale 1 to 10","2006","66 and older","inadequately","","","","","2"
"2 on Scale 1 to 10","2006","66 and older","general elemantary","15","","","","2"
"2 on Scale 1 to 10","2006","66 and older","in school","1","","","","2"
"2 on Scale 1 to 10","2006","35-65 y.","in school","","","","","2"
"2 on Scale 1 to 10","2006","35-65 y.","higher education","34","0.0145918644204237","0.0104215259073319","0.0187622029335155","2"
"2 on Scale 1 to 10","2006","16-34 y.","higher education","6","","","","2"
"2 on Scale 1 to 10","2006","66 and older","higher education","6","","","","2"
"2 on Scale 1 to 10","2006","66 and older","vocational + Abi","3","","","","2"
"2 on Scale 1 to 10","2006","16-34 y.","in school","3","","","","2"
"2 on Scale 1 to 10","2006","16-34 y.","vocational + Abi","8","","","","2"
"2 on Scale 1 to 10","2006","16-34 y.","inadequately","2","","","","2"
"2 on Scale 1 to 10","2006","16-34 y.","middle vocational","23","","","","2"
"2 on Scale 1 to 10","2006","35-65 y.","general elemantary","13","","","","2"
"2 on Scale 1 to 10","2006","16-34 y.","general elemantary","11","","","","2"
"2 on Scale 1 to 10","2006","35-65 y.","inadequately","3","","","","2"
"2 on Scale 1 to 10","2006","35-65 y.","higher vocational","25","","","","2"
"2 on Scale 1 to 10","2006","66 and older","higher vocational","2","","","","2"
"2 on Scale 1 to 10","2006","35-65 y.","middle vocational","66","0.0118868364263955","0.00921299599105623","0.0145606768617347","2"
"2 on Scale 1 to 10","2006","35-65 y.","vocational + Abi","10","","","","2"
"3 on Scale 1 to 10","2006","16-34 y.","in school","6","","","","3"
"3 on Scale 1 to 10","2006","16-34 y.","inadequately","2","","","","3"
"3 on Scale 1 to 10","2006","16-34 y.","general elemantary","14","","","","3"
"3 on Scale 1 to 10","2006","16-34 y.","middle vocational","34","0.0223836264314415","0.0163963939019528","0.0283708589609303","3"
"3 on Scale 1 to 10","2006","16-34 y.","vocational + Abi","4","","","","3"
"3 on Scale 1 to 10","2006","16-34 y.","higher vocational","1","","","","3"
"3 on Scale 1 to 10","2006","16-34 y.","higher education","12","","","","3"
"3 on Scale 1 to 10","2006","35-65 y.","in school","","","","","3"
"3 on Scale 1 to 10","2006","35-65 y.","higher vocational","19","","","","3"
"3 on Scale 1 to 10","2006","35-65 y.","higher education","71","0.0328947500016656","0.0266916610399067","0.0390978389634246","3"
"3 on Scale 1 to 10","2006","66 and older","in school","","","","","3"
"3 on Scale 1 to 10","2006","66 and older","inadequately","3","","","","3"
"3 on Scale 1 to 10","2006","66 and older","general elemantary","25","","","","3"
"3 on Scale 1 to 10","2006","66 and older","middle vocational","45","0.025503393160445","0.0190338353640526","0.0319729509568374","3"
"3 on Scale 1 to 10","2006","66 and older","vocational + Abi","1","","","","3"
"3 on Scale 1 to 10","2006","66 and older","higher vocational","5","","","","3"
"3 on Scale 1 to 10","2006","66 and older","higher education","9","","","","3"
"3 on Scale 1 to 10","2006","35-65 y.","inadequately","5","","","","3"
"3 on Scale 1 to 10","2006","35-65 y.","general elemantary","15","","","","3"
"3 on Scale 1 to 10","2006","35-65 y.","middle vocational","114","0.024511204640826","0.0206962228309817","0.0283261864506704","3"
"3 on Scale 1 to 10","2006","35-65 y.","vocational + Abi","15","","","","3"
"4 on Scale 1 to 10","2006","16-34 y.","general elemantary","20","","","","4"
"4 on Scale 1 to 10","2006","16-34 y.","inadequately","","","","","4"
"4 on Scale 1 to 10","2006","16-34 y.","higher education","18","","","","4"
"4 on Scale 1 to 10","2006","16-34 y.","higher vocational","5","","","","4"
"4 on Scale 1 to 10","2006","35-65 y.","vocational + Abi","9","","","","4"
"4 on Scale 1 to 10","2006","35-65 y.","higher vocational","28","","","","4"
"4 on Scale 1 to 10","2006","16-34 y.","in school","7","","","","4"
"4 on Scale 1 to 10","2006","16-34 y.","middle vocational","60","0.034998680406128","0.0275605043068602","0.0424368565053958","4"
"4 on Scale 1 to 10","2006","35-65 y.","higher education","86","0.0310645842566653","0.0250308242497203","0.0370983442636103","4"
"4 on Scale 1 to 10","2006","16-34 y.","vocational + Abi","7","","","","4"
"4 on Scale 1 to 10","2006","35-65 y.","in school","","","","","4"
"4 on Scale 1 to 10","2006","35-65 y.","inadequately","2","","","","4"
"4 on Scale 1 to 10","2006","35-65 y.","general elemantary","18","","","","4"
"4 on Scale 1 to 10","2006","35-65 y.","middle vocational","168","0.0317971412795583","0.0274682545763073","0.0361260279828093","4"
"4 on Scale 1 to 10","2006","66 and older","in school","","","","","4"
"4 on Scale 1 to 10","2006","66 and older","inadequately","2","","","","4"
"4 on Scale 1 to 10","2006","66 and older","general elemantary","23","","","","4"
"4 on Scale 1 to 10","2006","66 and older","middle vocational","41","0.0226243159139699","0.016521869962133","0.0287267618658068","4"
"4 on Scale 1 to 10","2006","66 and older","vocational + Abi","1","","","","4"
