"plh0180","year","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","2006","in school","2","","","","0"
"0 Completely dissatisfied","2006","inadequately","3","","","","0"
"0 Completely dissatisfied","2006","general elemantary","22","","","","0"
"0 Completely dissatisfied","2006","middle vocational","63","0.00917844958303163","0.00739121577853083","0.0109656833875324","0"
"0 Completely dissatisfied","2006","vocational + Abi","6","","","","0"
"0 Completely dissatisfied","2006","higher vocational","6","","","","0"
"0 Completely dissatisfied","2006","higher education","22","","","","0"
"1 on Scale 1 to 10","2006","in school","2","","","","1"
"1 on Scale 1 to 10","2006","inadequately","3","","","","1"
"1 on Scale 1 to 10","2006","general elemantary","16","","","","1"
"1 on Scale 1 to 10","2006","middle vocational","58","0.00699752647255077","0.0054352912503979","0.00855976169470364","1"
"1 on Scale 1 to 10","2006","higher education","22","","","","1"
"1 on Scale 1 to 10","2006","vocational + Abi","9","","","","1"
"1 on Scale 1 to 10","2006","higher vocational","3","","","","1"
"10 Completely satisfied","2006","inadequately","42","0.188471935250351","0.138681143220174","0.238262727280528","10"
"10 Completely satisfied","2006","general elemantary","439","0.176852155199708","0.161744079580435","0.191960230818982","10"
"10 Completely satisfied","2006","vocational + Abi","218","0.185870138988327","0.163888152765628","0.207852125211026","10"
"10 Completely satisfied","2006","higher vocational","257","0.148512602342978","0.131275669922816","0.165749534763141","10"
"10 Completely satisfied","2006","higher education","792","0.161275765075152","0.150563309512307","0.171988220637996","10"
"10 Completely satisfied","2006","middle vocational","2103","0.192485758622065","0.185096967632272","0.199874549611859","10"
"10 Completely satisfied","2006","in school","72","0.180380623051704","0.142219878690244","0.218541367413164","10"
"2 on Scale 1 to 10","2006","vocational + Abi","21","","","","2"
"2 on Scale 1 to 10","2006","higher vocational","30","0.0263593385448705","0.0185940818291335","0.0341245952606074","2"
"2 on Scale 1 to 10","2006","in school","4","","","","2"
"2 on Scale 1 to 10","2006","inadequately","5","","","","2"
"2 on Scale 1 to 10","2006","general elemantary","39","0.0176007350602187","0.0123938922600441","0.0228075778603933","2"
"2 on Scale 1 to 10","2006","higher education","46","0.0124011066567546","0.00917769775751207","0.0156245155559972","2"
"2 on Scale 1 to 10","2006","middle vocational","127","0.0140202341643058","0.0118167465189666","0.016223721809645","2"
"3 on Scale 1 to 10","2006","inadequately","10","","","","3"
"3 on Scale 1 to 10","2006","in school","6","","","","3"
"3 on Scale 1 to 10","2006","general elemantary","54","0.0316545710210412","0.0247219346953076","0.0385872073467749","3"
"3 on Scale 1 to 10","2006","middle vocational","193","0.0242856199839363","0.0214006922731189","0.0271705476947537","3"
