"plh0180","year","migback","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","2006","direct migration background","19","","","","0"
"0 Completely dissatisfied","2006","indirect migration background","8","","","","0"
"0 Completely dissatisfied","2006","no migration background","101","0.00812460295229363","0.0068316909791751","0.00941751492541216","0"
"1 on Scale 1 to 10","2006","direct migration background","12","","","","1"
"1 on Scale 1 to 10","2006","indirect migration background","4","","","","1"
"1 on Scale 1 to 10","2006","no migration background","100","0.00802383279914713","0.00673889862623299","0.00930876697206126","1"
"10 Completely satisfied","2006","indirect migration background","150","0.158850719245171","0.133646482961357","0.184054955528986","10"
"10 Completely satisfied","2006","direct migration background","435","0.186522369283235","0.170849897697157","0.202194840869312","10"
"10 Completely satisfied","2006","no migration background","3393","0.18059633612336","0.175055915418775","0.186136756827946","10"
"2 on Scale 1 to 10","2006","indirect migration background","7","","","","2"
"2 on Scale 1 to 10","2006","no migration background","235","0.0158036791282893","0.0140074600889295","0.0175998981676491","2"
"2 on Scale 1 to 10","2006","direct migration background","31","0.0181768550663021","0.0128018951860293","0.0235518149465748","2"
"3 on Scale 1 to 10","2006","no migration background","343","0.0240852171585656","0.0218771079105288","0.0262933264066024","3"
"3 on Scale 1 to 10","2006","indirect migration background","21","","","","3"
"3 on Scale 1 to 10","2006","direct migration background","43","0.0296539655081458","0.0228289455039615","0.03647898551233","3"
"4 on Scale 1 to 10","2006","no migration background","449","0.0290757051557066","0.0266558067276818","0.0314956035837313","4"
"4 on Scale 1 to 10","2006","indirect migration background","20","","","","4"
"4 on Scale 1 to 10","2006","direct migration background","54","0.028942494192551","0.022197374291738","0.035687614093364","4"
"5 on Scale 1 to 10","2006","indirect migration background","73","0.103593158567126","0.0825814905999133","0.124604826534338","5"
"5 on Scale 1 to 10","2006","no migration background","1421","0.0847497238048038","0.0807384860414694","0.0887609615681381","5"
"5 on Scale 1 to 10","2006","direct migration background","185","0.088639412878562","0.0772038438749514","0.100074981882173","5"
"6 on Scale 1 to 10","2006","direct migration background","170","0.0730936747077272","0.0626210137741958","0.0835663356412587","6"
"6 on Scale 1 to 10","2006","no migration background","1259","0.0695447277136289","0.0658810338147717","0.0732084216124861","6"
"6 on Scale 1 to 10","2006","indirect migration background","65","0.0794530965210096","0.060805589249672","0.0981006037923473","6"
"7 on Scale 1 to 10","2006","indirect migration background","129","0.161857567225761","0.136461420411932","0.187253714039589","7"
"7 on Scale 1 to 10","2006","direct migration background","338","0.134966624018712","0.121218962003741","0.148714286033683","7"
"7 on Scale 1 to 10","2006","no migration background","2487","0.13570655450649","0.130774017559368","0.140639091453613","7"
"8 on Scale 1 to 10","2006","indirect migration background","195","0.227105508491841","0.19821758329915","0.255993433684531","8"
"8 on Scale 1 to 10","2006","no migration background","4951","0.255029069288087","0.248751321965956","0.261306816610218","8"
"8 on Scale 1 to 10","2006","direct migration background","646","0.251859006676449","0.234393962399971","0.269324050952926","8"
"9 on Scale 1 to 10","2006","no migration background","3780","0.189260551369627","0.183618850854286","0.194902251884968","9"
"9 on Scale 1 to 10","2006","indirect migration background","136","0.177857453678177","0.151490982566888","0.204223924789465","9"
"9 on Scale 1 to 10","2006","direct migration background","440","0.171057357602793","0.155906670049851","0.186208045155736","9"
"0 Completely dissatisfied","2007","direct migration background","15","","","","0"
"0 Completely dissatisfied","2007","no migration background","120","0.0101319235238396","0.00864339251589244","0.0116204545317868","0"
"0 Completely dissatisfied","2007","indirect migration background","3","","","","0"
"1 on Scale 1 to 10","2007","direct migration background","18","","","","1"
"1 on Scale 1 to 10","2007","no migration background","82","0.0065571374432323","0.00535749488113991","0.00775678000532468","1"
"1 on Scale 1 to 10","2007","indirect migration background","7","","","","1"
"10 Completely satisfied","2007","indirect migration background","130","0.178870508469703","0.151871189685594","0.205869827253813","10"
"10 Completely satisfied","2007","direct migration background","389","0.198996715224347","0.181933197926353","0.21606023252234","10"
"10 Completely satisfied","2007","no migration background","2959","0.16874148878554","0.163174731758095","0.174308245812985","10"
"2 on Scale 1 to 10","2007","indirect migration background","10","","","","2"
"2 on Scale 1 to 10","2007","no migration background","216","0.0169874885435948","0.0150667538259731","0.0189082232612165","2"
"2 on Scale 1 to 10","2007","direct migration background","18","","","","2"
"3 on Scale 1 to 10","2007","indirect migration background","11","","","","3"
"3 on Scale 1 to 10","2007","no migration background","343","0.0240747557690915","0.0217964474482416","0.0263530640899413","3"
"3 on Scale 1 to 10","2007","direct migration background","41","0.0218754840280135","0.015623694301976","0.028127273754051","3"
"4 on Scale 1 to 10","2007","indirect migration background","11","","","","4"
"4 on Scale 1 to 10","2007","no migration background","423","0.0290413914969476","0.0265454618237427","0.0315373211701526","4"
"4 on Scale 1 to 10","2007","direct migration background","43","0.0273558615085991","0.0203842907467169","0.0343274322704813","4"
"5 on Scale 1 to 10","2007","direct migration background","165","0.0913741835301802","0.0790592309067089","0.103689136153652","5"
"5 on Scale 1 to 10","2007","indirect migration background","76","0.0811484004122993","0.0619112703936793","0.100385530430919","5"
"5 on Scale 1 to 10","2007","no migration background","1283","0.0815638884706718","0.0774957407735531","0.0856320361677906","5"
"6 on Scale 1 to 10","2007","direct migration background","151","0.0764587413032359","0.0651015699633427","0.0878159126431292","6"
"6 on Scale 1 to 10","2007","indirect migration background","61","0.100651472433938","0.079455580776934","0.121847364090942","6"
"6 on Scale 1 to 10","2007","no migration background","1170","0.0694810901174412","0.0657017220553407","0.0732604581795417","6"
"7 on Scale 1 to 10","2007","indirect migration background","104","0.15734493226929","0.1316924787673","0.18299738577128","7"
"7 on Scale 1 to 10","2007","direct migration background","313","0.138096467472633","0.123351321723337","0.15284161322193","7"
"7 on Scale 1 to 10","2007","no migration background","2460","0.142644080398553","0.137446146798208","0.147842013998898","7"
"8 on Scale 1 to 10","2007","indirect migration background","205","0.236240568055311","0.206315638062829","0.266165498047793","8"
"8 on Scale 1 to 10","2007","direct migration background","560","0.26262671226496","0.243818756118913","0.281434668411006","8"
"8 on Scale 1 to 10","2007","no migration background","4876","0.269340352418263","0.262746616510309","0.275934088326216","8"
"9 on Scale 1 to 10","2007","indirect migration background","156","0.175084376492274","0.148310819557622","0.201857933426926","9"
"9 on Scale 1 to 10","2007","no migration background","3456","0.181436403032825","0.175708288376468","0.187164517689183","9"
"9 on Scale 1 to 10","2007","direct migration background","390","0.15595654245547","0.140450082648685","0.171463002262255","9"
"0 Completely dissatisfied","2008","indirect migration background","8","","","","0"
"0 Completely dissatisfied","2008","direct migration background","17","","","","0"
"0 Completely dissatisfied","2008","no migration background","117","0.00858345848915101","0.007179980474364","0.00998693650393801","0"
"1 on Scale 1 to 10","2008","indirect migration background","4","","","","1"
"1 on Scale 1 to 10","2008","no migration background","94","0.00737263197573482","0.00607111217926103","0.00867415177220861","1"
"1 on Scale 1 to 10","2008","direct migration background","18","","","","1"
"10 Completely satisfied","2008","indirect migration background","171","0.234019960823654","0.204134766827065","0.263905154820243","10"
"10 Completely satisfied","2008","direct migration background","406","0.223799755683996","0.205093389305134","0.242506122062857","10"
"10 Completely satisfied","2008","no migration background","3243","0.19090528299427","0.184925918418881","0.196884647569659","10"
"2 on Scale 1 to 10","2008","indirect migration background","7","","","","2"
"2 on Scale 1 to 10","2008","no migration background","197","0.014027910882162","0.0122386437362564","0.0158171780280676","2"
"2 on Scale 1 to 10","2008","direct migration background","22","","","","2"
"3 on Scale 1 to 10","2008","indirect migration background","19","","","","3"
"3 on Scale 1 to 10","2008","direct migration background","27","","","","3"
"3 on Scale 1 to 10","2008","no migration background","319","0.0244086063106977","0.0220608563091405","0.0267563563122549","3"
"4 on Scale 1 to 10","2008","indirect migration background","19","","","","4"
"4 on Scale 1 to 10","2008","direct migration background","47","0.0234247534949527","0.0166364208580283","0.0302130861318771","4"
"4 on Scale 1 to 10","2008","no migration background","359","0.0269926343024563","0.0245270090046801","0.0294582596002325","4"
"5 on Scale 1 to 10","2008","direct migration background","138","0.0814923939716966","0.0692131207998556","0.0937716671435377","5"
"5 on Scale 1 to 10","2008","indirect migration background","47","0.0757206031113757","0.0570469378132982","0.0943942684094532","5"
"5 on Scale 1 to 10","2008","no migration background","1119","0.0796544829046707","0.0755351495359153","0.0837738162734261","5"
"6 on Scale 1 to 10","2008","indirect migration background","44","0.0504671689905113","0.0350153231606858","0.0659190148203367","6"
"6 on Scale 1 to 10","2008","direct migration background","114","0.0665195769533101","0.0553355014336149","0.0777036524730052","6"
"6 on Scale 1 to 10","2008","no migration background","984","0.0623180923966178","0.0586403507174965","0.0659958340757391","6"
"7 on Scale 1 to 10","2008","indirect migration background","110","0.126947847022487","0.10344861519471","0.150447078850264","7"
"7 on Scale 1 to 10","2008","direct migration background","253","0.121221992096468","0.106573158597877","0.13587082559506","7"
"7 on Scale 1 to 10","2008","no migration background","2283","0.142593154249521","0.137273429163722","0.147912879335319","7"
"8 on Scale 1 to 10","2008","indirect migration background","179","0.215549776784931","0.186524432076071","0.24457512149379","8"
"8 on Scale 1 to 10","2008","no migration background","4315","0.249339689364502","0.242757599428619","0.255921779300385","8"
"8 on Scale 1 to 10","2008","direct migration background","470","0.230289181307353","0.211393032174448","0.249185330440258","8"
"9 on Scale 1 to 10","2008","indirect migration background","163","0.191077319354898","0.163326297584659","0.218828341125138","9"
"9 on Scale 1 to 10","2008","no migration background","3566","0.193804056130217","0.187790268140145","0.199817844120288","9"
"9 on Scale 1 to 10","2008","direct migration background","395","0.197340268097333","0.179477599567279","0.215202936627387","9"
"0 Completely dissatisfied","2009","indirect migration background","3","","","","0"
"0 Completely dissatisfied","2009","direct migration background","7","","","","0"
"0 Completely dissatisfied","2009","no migration background","108","0.010078810448388","0.00851277590015306","0.011644844996623","0"
"1 on Scale 1 to 10","2009","indirect migration background","1","","","","1"
"1 on Scale 1 to 10","2009","no migration background","82","0.00710429967993553","0.00578753296117307","0.008421066398698","1"
"1 on Scale 1 to 10","2009","direct migration background","16","","","","1"
"10 Completely satisfied","2009","direct migration background","345","0.229201497116536","0.20895134694449","0.249451647288582","10"
"10 Completely satisfied","2009","indirect migration background","133","0.176910444103708","0.148861690167724","0.204959198039693","10"
"10 Completely satisfied","2009","no migration background","2995","0.18846386542924","0.182332398814171","0.194595332044308","10"
"2 on Scale 1 to 10","2009","direct migration background","22","","","","2"
"2 on Scale 1 to 10","2009","indirect migration background","8","","","","2"
"2 on Scale 1 to 10","2009","no migration background","179","0.015623432049459","0.0136791232360559","0.0175677408628622","2"
"3 on Scale 1 to 10","2009","direct migration background","37","0.0258281924834547","0.0181860720487663","0.0334703129181431","3"
"3 on Scale 1 to 10","2009","indirect migration background","13","","","","3"
"3 on Scale 1 to 10","2009","no migration background","306","0.0219226906189408","0.0196269125169535","0.0242184687209281","3"
"4 on Scale 1 to 10","2009","no migration background","360","0.0292665844171974","0.0266239785196111","0.0319091903147836","4"
"4 on Scale 1 to 10","2009","indirect migration background","22","","","","4"
"4 on Scale 1 to 10","2009","direct migration background","35","0.0276888063968136","0.0197837703968995","0.0355938423967277","4"
"5 on Scale 1 to 10","2009","direct migration background","126","0.0875881326227746","0.073968443700415","0.101207821545134","5"
"5 on Scale 1 to 10","2009","no migration background","1095","0.0786631129990121","0.0744423478894332","0.082883878108591","5"
"5 on Scale 1 to 10","2009","indirect migration background","54","0.0894459887156953","0.0684688340098198","0.110423143421571","5"
"6 on Scale 1 to 10","2009","direct migration background","100","0.0711330664662245","0.0587490474875227","0.0835170854449264","6"
"6 on Scale 1 to 10","2009","indirect migration background","46","0.0475207675185089","0.0318827112491944","0.0631588237878234","6"
"6 on Scale 1 to 10","2009","no migration background","960","0.0658354481436663","0.0619473431903678","0.0697235530969648","6"
"7 on Scale 1 to 10","2009","direct migration background","196","0.128561679055911","0.112435807852293","0.14468755025953","7"
"7 on Scale 1 to 10","2009","indirect migration background","106","0.152363884515615","0.125948372374431","0.178779396656798","7"
"7 on Scale 1 to 10","2009","no migration background","2032","0.134849527455082","0.129494435547608","0.140204619362555","7"
"8 on Scale 1 to 10","2009","no migration background","4038","0.243354088715539","0.236626459339076","0.250081718092003","8"
"8 on Scale 1 to 10","2009","direct migration background","431","0.220186332817826","0.20022269453427","0.240149971101382","8"
"8 on Scale 1 to 10","2009","indirect migration background","172","0.222625300515731","0.19204683055995","0.253203770471513","8"
"9 on Scale 1 to 10","2009","direct migration background","340","0.18543911567373","0.166714559117275","0.204163672230186","9"
"9 on Scale 1 to 10","2009","indirect migration background","153","0.221018063088984","0.190518693085478","0.251517433092491","9"
"9 on Scale 1 to 10","2009","no migration background","3473","0.20483814004354","0.198510677658843","0.211165602428238","9"
"0 Completely dissatisfied","2010","direct migration background","13","","","","0"
"0 Completely dissatisfied","2010","indirect migration background","7","","","","0"
"0 Completely dissatisfied","2010","no migration background","91","0.00677195306995081","0.00563168028516257","0.00791222585473906","0"
"1 on Scale 1 to 10","2010","direct migration background","12","","","","1"
"1 on Scale 1 to 10","2010","no migration background","112","0.00841870689710104","0.00714838390397946","0.00968902989022263","1"
