"plh0180","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","2006","in school","Male","1","","","","0"
"0 Completely dissatisfied","2006","in school","Female","1","","","","0"
"0 Completely dissatisfied","2006","inadequately","Male","2","","","","0"
"0 Completely dissatisfied","2006","inadequately","Female","1","","","","0"
"0 Completely dissatisfied","2006","general elemantary","Male","5","","","","0"
"0 Completely dissatisfied","2006","general elemantary","Female","17","","","","0"
"0 Completely dissatisfied","2006","middle vocational","Male","34","0.0102006448212608","0.0074672021308672","0.0129340875116544","0"
"0 Completely dissatisfied","2006","middle vocational","Female","29","","","","0"
"0 Completely dissatisfied","2006","vocational + Abi","Male","4","","","","0"
"0 Completely dissatisfied","2006","vocational + Abi","Female","2","","","","0"
"0 Completely dissatisfied","2006","higher vocational","Male","3","","","","0"
"0 Completely dissatisfied","2006","higher vocational","Female","3","","","","0"
"0 Completely dissatisfied","2006","higher education","Male","17","","","","0"
"0 Completely dissatisfied","2006","higher education","Female","5","","","","0"
"1 on Scale 1 to 10","2006","inadequately","Male","1","","","","1"
"1 on Scale 1 to 10","2006","inadequately","Female","2","","","","1"
"1 on Scale 1 to 10","2006","general elemantary","Male","6","","","","1"
"1 on Scale 1 to 10","2006","higher vocational","Male","2","","","","1"
"1 on Scale 1 to 10","2006","in school","Male","1","","","","1"
"1 on Scale 1 to 10","2006","in school","Female","1","","","","1"
"1 on Scale 1 to 10","2006","higher vocational","Female","1","","","","1"
"1 on Scale 1 to 10","2006","higher education","Male","6","","","","1"
"1 on Scale 1 to 10","2006","higher education","Female","16","","","","1"
"1 on Scale 1 to 10","2006","general elemantary","Female","10","","","","1"
"1 on Scale 1 to 10","2006","middle vocational","Male","31","0.00892185215580982","0.00636383155341082","0.0114798727582088","1"
"1 on Scale 1 to 10","2006","middle vocational","Female","27","","","","1"
"1 on Scale 1 to 10","2006","vocational + Abi","Male","2","","","","1"
"1 on Scale 1 to 10","2006","vocational + Abi","Female","7","","","","1"
"10 Completely satisfied","2006","in school","Male","40","0.214428568851066","0.156374636740226","0.272482500961906","10"
"10 Completely satisfied","2006","in school","Female","32","0.144633353645395","0.095641273451056","0.193625433839733","10"
"10 Completely satisfied","2006","inadequately","Male","16","","","","10"
"10 Completely satisfied","2006","inadequately","Female","26","","","","10"
"10 Completely satisfied","2006","general elemantary","Male","132","0.166395738710422","0.139882391987081","0.192909085433762","10"
"10 Completely satisfied","2006","general elemantary","Female","307","0.18162744405585","0.163257231736506","0.199997656375194","10"
"10 Completely satisfied","2006","middle vocational","Male","964","0.183967243381065","0.17342709746769","0.194507389294439","10"
"10 Completely satisfied","2006","middle vocational","Female","1139","0.200689265969644","0.190333429709132","0.211045102230157","10"
"10 Completely satisfied","2006","vocational + Abi","Male","78","0.170968715968746","0.13725364183609","0.204683790101402","10"
"10 Completely satisfied","2006","vocational + Abi","Female","140","0.19729375733937","0.168306054536413","0.226281460142326","10"
"10 Completely satisfied","2006","higher vocational","Male","155","0.155199639943413","0.131940392960126","0.1784588869267","10"
"10 Completely satisfied","2006","higher vocational","Female","102","0.13902295574179","0.113466489275269","0.16457942220831","10"
"10 Completely satisfied","2006","higher education","Male","443","0.152569661528545","0.138539083572913","0.166600239484177","10"
"10 Completely satisfied","2006","higher education","Female","349","0.172847207470036","0.156296561214157","0.189397853725915","10"
"2 on Scale 1 to 10","2006","in school","Female","2","","","","2"
"2 on Scale 1 to 10","2006","inadequately","Male","3","","","","2"
"2 on Scale 1 to 10","2006","general elemantary","Male","13","","","","2"
"2 on Scale 1 to 10","2006","inadequately","Female","2","","","","2"
"2 on Scale 1 to 10","2006","in school","Male","2","","","","2"
"2 on Scale 1 to 10","2006","general elemantary","Female","26","","","","2"
"2 on Scale 1 to 10","2006","middle vocational","Male","54","0.0152104855539512","0.0118810867172223","0.0185398843906802","2"
"2 on Scale 1 to 10","2006","middle vocational","Female","73","0.0128739973208914","0.00995920052481884","0.0157887941169639","2"
"2 on Scale 1 to 10","2006","vocational + Abi","Male","12","","","","2"
"2 on Scale 1 to 10","2006","vocational + Abi","Female","9","","","","2"
