"plh0180","year","age_gr","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","2006","16-34 y.","1-pers.-HH","17","","","","0"
"0 Completely dissatisfied","2006","16-34 y.","(Married) couple without C. ","1","","","","0"
"0 Completely dissatisfied","2006","16-34 y.","Single parent ","","","","","0"
"0 Completely dissatisfied","2006","16-34 y.","Couple + C. LE 16 ","2","","","","0"
"0 Completely dissatisfied","2006","16-34 y.","Couple + C. GT 16 ","5","","","","0"
"0 Completely dissatisfied","2006","16-34 y.","Couple + C. LE and GT 16","1","","","","0"
"0 Completely dissatisfied","2006","35-65 y.","1-pers.-HH","44","0.0422042506964434","0.0310361848718804","0.0533723165210064","0"
"0 Completely dissatisfied","2006","35-65 y.","(Married) couple without C. ","5","","","","0"
"0 Completely dissatisfied","2006","35-65 y.","Single parent ","4","","","","0"
"0 Completely dissatisfied","2006","35-65 y.","Couple + C. LE 16 ","4","","","","0"
"0 Completely dissatisfied","2006","35-65 y.","Couple + C. GT 16 ","4","","","","0"
"0 Completely dissatisfied","2006","35-65 y.","Couple + C. LE and GT 16","","","","","0"
"0 Completely dissatisfied","2006","66 and older","1-pers.-HH","31","0.0271662068834645","0.0179413062858758","0.0363911074810532","0"
"0 Completely dissatisfied","2006","66 and older","(Married) couple without C. ","4","","","","0"
"0 Completely dissatisfied","2006","66 and older","Single parent ","1","","","","0"
"0 Completely dissatisfied","2006","66 and older","Couple + C. LE 16 ","","","","","0"
"0 Completely dissatisfied","2006","66 and older","Couple + C. GT 16 ","","","","","0"
"0 Completely dissatisfied","2006","66 and older","Couple + C. LE and GT 16","","","","","0"
"1 on Scale 1 to 10","2006","16-34 y.","1-pers.-HH","7","","","","1"
"1 on Scale 1 to 10","2006","16-34 y.","(Married) couple without C. ","3","","","","1"
"1 on Scale 1 to 10","2006","16-34 y.","Single parent ","3","","","","1"
"1 on Scale 1 to 10","2006","35-65 y.","(Married) couple without C. ","16","","","","1"
"1 on Scale 1 to 10","2006","16-34 y.","Couple + C. LE 16 ","3","","","","1"
"1 on Scale 1 to 10","2006","16-34 y.","Couple + C. LE and GT 16","3","","","","1"
"1 on Scale 1 to 10","2006","35-65 y.","1-pers.-HH","28","","","","1"
"1 on Scale 1 to 10","2006","16-34 y.","Couple + C. GT 16 ","5","","","","1"
"1 on Scale 1 to 10","2006","35-65 y.","Single parent ","14","","","","1"
"1 on Scale 1 to 10","2006","35-65 y.","Couple + C. LE 16 ","5","","","","1"
"1 on Scale 1 to 10","2006","35-65 y.","Couple + C. GT 16 ","8","","","","1"
"1 on Scale 1 to 10","2006","35-65 y.","Couple + C. LE and GT 16","2","","","","1"
"1 on Scale 1 to 10","2006","66 and older","1-pers.-HH","16","","","","1"
"1 on Scale 1 to 10","2006","66 and older","(Married) couple without C. ","1","","","","1"
"1 on Scale 1 to 10","2006","66 and older","Couple + C. LE 16 ","","","","","1"
"1 on Scale 1 to 10","2006","66 and older","Single parent ","","","","","1"
"1 on Scale 1 to 10","2006","66 and older","Couple + C. GT 16 ","","","","","1"
"1 on Scale 1 to 10","2006","66 and older","Couple + C. LE and GT 16","","","","","1"
"10 Completely satisfied","2006","35-65 y.","(Married) couple without C. ","862","0.207043286886573","0.194616451621207","0.21947012215194","10"
"10 Completely satisfied","2006","16-34 y.","1-pers.-HH","87","0.128548857230342","0.103539098397391","0.153558616063294","10"
"10 Completely satisfied","2006","16-34 y.","Couple + C. GT 16 ","204","0.171330467671867","0.150341274015346","0.192319661328388","10"
"10 Completely satisfied","2006","16-34 y.","(Married) couple without C. ","203","0.207362991583343","0.181376653560155","0.233349329606531","10"
"10 Completely satisfied","2006","35-65 y.","Single parent ","56","0.102130446974518","0.0787969307493792","0.125463963199657","10"
"10 Completely satisfied","2006","35-65 y.","Couple + C. LE 16 ","467","0.180980139533881","0.166740066548779","0.195220212518982","10"
