"plh0180","year","e11102","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","2006","Not Employed","in school","2","","","","0"
"0 Completely dissatisfied","2006","Not Employed","inadequately","1","","","","0"
"0 Completely dissatisfied","2006","Not Employed","general elemantary","19","","","","0"
"0 Completely dissatisfied","2006","Not Employed","middle vocational","30","0.00931602013835085","0.00648192316661646","0.0121501171100852","0"
"0 Completely dissatisfied","2006","Not Employed","vocational + Abi","2","","","","0"
"0 Completely dissatisfied","2006","Not Employed","higher vocational","2","","","","0"
"0 Completely dissatisfied","2006","Not Employed","higher education","6","","","","0"
"0 Completely dissatisfied","2006","Employed","in school","","","","","0"
"0 Completely dissatisfied","2006","Employed","inadequately","2","","","","0"
"0 Completely dissatisfied","2006","Employed","general elemantary","3","","","","0"
"0 Completely dissatisfied","2006","Employed","middle vocational","33","0.00908312496830629","0.0067808316205865","0.0113854183160261","0"
"0 Completely dissatisfied","2006","Employed","vocational + Abi","4","","","","0"
"0 Completely dissatisfied","2006","Employed","higher vocational","4","","","","0"
"0 Completely dissatisfied","2006","Employed","higher education","16","","","","0"
"1 on Scale 1 to 10","2006","Not Employed","general elemantary","12","","","","1"
"1 on Scale 1 to 10","2006","Not Employed","middle vocational","22","","","","1"
"1 on Scale 1 to 10","2006","Not Employed","vocational + Abi","1","","","","1"
"1 on Scale 1 to 10","2006","Employed","middle vocational","36","0.0071462771915287","0.00510215447360838","0.00919039990944903","1"
"1 on Scale 1 to 10","2006","Not Employed","in school","","","","","1"
"1 on Scale 1 to 10","2006","Not Employed","inadequately","1","","","","1"
"1 on Scale 1 to 10","2006","Employed","vocational + Abi","8","","","","1"
"1 on Scale 1 to 10","2006","Employed","higher vocational","1","","","","1"
"1 on Scale 1 to 10","2006","Employed","higher education","16","","","","1"
"1 on Scale 1 to 10","2006","Not Employed","higher vocational","2","","","","1"
"1 on Scale 1 to 10","2006","Not Employed","higher education","6","","","","1"
"1 on Scale 1 to 10","2006","Employed","in school","2","","","","1"
"1 on Scale 1 to 10","2006","Employed","inadequately","2","","","","1"
"1 on Scale 1 to 10","2006","Employed","general elemantary","4","","","","1"
"10 Completely satisfied","2006","Not Employed","in school","56","0.15283341198022","0.11371331034595","0.19195351361449","10"
"10 Completely satisfied","2006","Not Employed","inadequately","29","","","","10"
"10 Completely satisfied","2006","Not Employed","general elemantary","252","0.179631872035902","0.159845779669066","0.199417964402738","10"
"10 Completely satisfied","2006","Not Employed","middle vocational","956","0.21478180555401","0.202666737775756","0.226896873332263","10"
"10 Completely satisfied","2006","Not Employed","vocational + Abi","66","0.235168414425743","0.18660751926801","0.283729309583477","10"
"10 Completely satisfied","2006","Not Employed","higher vocational","112","0.223671055593893","0.187470354393192","0.259871756794595","10"
"10 Completely satisfied","2006","Not Employed","higher education","279","0.223185637390728","0.199099403909394","0.247271870872061","10"
"10 Completely satisfied","2006","Employed","in school","16","","","","10"
"10 Completely satisfied","2006","Employed","inadequately","13","","","","10"
"10 Completely satisfied","2006","Employed","general elemantary","187","0.172737936264914","0.149355128863371","0.196120743666457","10"
"10 Completely satisfied","2006","Employed","middle vocational","1147","0.177036507299688","0.167773625904887","0.186299388694489","10"
"10 Completely satisfied","2006","Employed","vocational + Abi","152","0.168859477628885","0.144519098193871","0.193199857063899","10"
"10 Completely satisfied","2006","Employed","higher vocational","145","0.112520290042787","0.0940627621399887","0.130977817945585","10"
"10 Completely satisfied","2006","Employed","higher education","513","0.136944367891143","0.12535442691481","0.148534308867476","10"
"2 on Scale 1 to 10","2006","Not Employed","inadequately","3","","","","2"
"2 on Scale 1 to 10","2006","Not Employed","general elemantary","24","","","","2"
"2 on Scale 1 to 10","2006","Not Employed","vocational + Abi","7","","","","2"
"2 on Scale 1 to 10","2006","Not Employed","middle vocational","64","0.0186169039690162","0.0146293649803669","0.0226044429576656","2"
"2 on Scale 1 to 10","2006","Not Employed","in school","2","","","","2"
"2 on Scale 1 to 10","2006","Not Employed","higher vocational","7","","","","2"
"2 on Scale 1 to 10","2006","Not Employed","higher education","7","","","","2"
"2 on Scale 1 to 10","2006","Employed","in school","2","","","","2"
"2 on Scale 1 to 10","2006","Employed","inadequately","2","","","","2"
"2 on Scale 1 to 10","2006","Employed","general elemantary","15","","","","2"
"2 on Scale 1 to 10","2006","Employed","middle vocational","63","0.0108351356006134","0.00832281003380991","0.0133474611674169","2"
"2 on Scale 1 to 10","2006","Employed","vocational + Abi","14","","","","2"
"2 on Scale 1 to 10","2006","Employed","higher vocational","23","","","","2"
"2 on Scale 1 to 10","2006","Employed","higher education","39","0.0143873661726488","0.0103728471491136","0.0184018851961841","2"
"3 on Scale 1 to 10","2006","Not Employed","in school","5","","","","3"
"3 on Scale 1 to 10","2006","Not Employed","inadequately","8","","","","3"
"3 on Scale 1 to 10","2006","Not Employed","general elemantary","36","0.0337794682689585","0.024467778897618","0.043091157640299","3"
"3 on Scale 1 to 10","2006","Not Employed","middle vocational","82","0.0256480523313346","0.0209844978900792","0.0303116067725899","3"
"3 on Scale 1 to 10","2006","Not Employed","vocational + Abi","5","","","","3"
"3 on Scale 1 to 10","2006","Not Employed","higher vocational","8","","","","3"
"3 on Scale 1 to 10","2006","Not Employed","higher education","17","","","","3"
"3 on Scale 1 to 10","2006","Employed","in school","1","","","","3"
"3 on Scale 1 to 10","2006","Employed","inadequately","2","","","","3"
