"year","age_gr","regtyp","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1990","16-34 y.","Rural Area","1.39","1","728","1","1","2","2","4","1.34","1.44","1","5","1","1"
"1990","16-34 y.","Urban Area","1.42","1","2910","1","1","2","2","4","1.39","1.45","1","5","1","1"
"1990","35-65 y.","Rural Area","1.34","1","936","1","1","1","2","5","1.29","1.39","1","5","1","1"
"1990","35-65 y.","Urban Area","1.31","1","3840","1","1","1","2","4","1.29","1.33","1","5","1","1"
"1990","66 and older","Rural Area","1.2","1","246","1","1","1","2","4","1.12","1.28","1","5","1","1"
"1990","66 and older","Urban Area","1.22","1","811","1","1","1","2","5","1.17","1.27","1","5","1","1"
"1991","16-34 y.","Rural Area","","","","","","","","","","","","","",""
"1991","16-34 y.","Urban Area","","","","","","","","","","","","","",""
"1991","35-65 y.","Rural Area","","","","","","","","","","","","","",""
"1991","35-65 y.","Urban Area","","","","","","","","","","","","","",""
"1991","66 and older","Rural Area","","","","","","","","","","","","","",""
"1991","66 and older","Urban Area","","","","","","","","","","","","","",""
"1992","16-34 y.","Rural Area","","","","","","","","","","","","","",""
"1992","16-34 y.","Urban Area","","","","","","","","","","","","","",""
"1992","35-65 y.","Rural Area","","","","","","","","","","","","","",""
"1992","35-65 y.","Urban Area","","","","","","","","","","","","","",""
"1992","66 and older","Rural Area","","","","","","","","","","","","","",""
"1992","66 and older","Urban Area","","","","","","","","","","","","","",""
"1993","16-34 y.","Rural Area","","","","","","","","","","","","","",""
"1993","16-34 y.","Urban Area","","","","","","","","","","","","","",""
"1993","35-65 y.","Rural Area","","","","","","","","","","","","","",""
"1993","35-65 y.","Urban Area","","","","","","","","","","","","","",""
"1993","66 and older","Rural Area","","","","","","","","","","","","","",""
"1993","66 and older","Urban Area","","","","","","","","","","","","","",""
"1994","16-34 y.","Rural Area","","","","","","","","","","","","","",""
"1994","16-34 y.","Urban Area","","","","","","","","","","","","","",""
"1994","35-65 y.","Rural Area","","","","","","","","","","","","","",""
"1994","35-65 y.","Urban Area","","","","","","","","","","","","","",""
"1994","66 and older","Rural Area","","","","","","","","","","","","","",""
"1994","66 and older","Urban Area","","","","","","","","","","","","","",""
"1995","16-34 y.","Rural Area","1.3","1","1615","1","1","1","2","4","1.27","1.33","1","5","1","1"
"1995","16-34 y.","Urban Area","1.35","1","3314","1","1","1","2","5","1.33","1.37","1","5","1","1"
"1995","35-65 y.","Rural Area","1.28","1","2339","1","1","1","2","5","1.25","1.31","1","5","1","1"
"1995","35-65 y.","Urban Area","1.26","1","4482","1","1","1","2","5","1.24","1.28","1","5","1","1"
"1995","66 and older","Rural Area","1.16","1","501","1","1","1","1","5","1.1","1.22","1","5","1","1"
"1995","66 and older","Urban Area","1.14","1","1043","1","1","1","1","5","1.1","1.18","1","5","1","1"
"1996","16-34 y.","Rural Area","","","","","","","","","","","","","",""
"1996","16-34 y.","Urban Area","","","","","","","","","","","","","",""
"1996","35-65 y.","Rural Area","","","","","","","","","","","","","",""
"1996","35-65 y.","Urban Area","","","","","","","","","","","","","",""
"1996","66 and older","Rural Area","","","","","","","","","","","","","",""
"1996","66 and older","Urban Area","","","","","","","","","","","","","",""
"1997","16-34 y.","Rural Area","","","","","","","","","","","","","",""
"1997","16-34 y.","Urban Area","","","","","","","","","","","","","",""
"1997","35-65 y.","Rural Area","","","","","","","","","","","","","",""
"1997","35-65 y.","Urban Area","","","","","","","","","","","","","",""
"1997","66 and older","Rural Area","","","","","","","","","","","","","",""
"1997","66 and older","Urban Area","","","","","","","","","","","","","",""
"1998","16-34 y.","Rural Area","1.3","1","1601","1","1","1","2","4","1.27","1.33","1","5","1","1"
"1998","16-34 y.","Urban Area","1.31","1","3265","1","1","1","2","5","1.29","1.33","1","5","1","1"
"1998","35-65 y.","Rural Area","1.28","1","2655","1","1","1","2","5","1.25","1.31","1","5","1","1"
"1998","35-65 y.","Urban Area","1.26","1","4849","1","1","1","2","4","1.24","1.28","1","5","1","1"
"1998","66 and older","Rural Area","1.06","1","605","1","1","1","1","4","1.03","1.09","1","5","1","1"
"1998","66 and older","Urban Area","1.15","1","1269","1","1","1","1","5","1.11","1.19","1","5","1","1"
"1999","16-34 y.","Rural Area","","","","","","","","","","","","","",""
"1999","16-34 y.","Urban Area","","","","","","","","","","","","","",""
"1999","35-65 y.","Rural Area","","","","","","","","","","","","","",""
"1999","35-65 y.","Urban Area","","","","","","","","","","","","","",""
"1999","66 and older","Rural Area","","","","","","","","","","","","","",""
"1999","66 and older","Urban Area","","","","","","","","","","","","","",""
"2000","16-34 y.","Rural Area","","","","","","","","","","","","","",""
"2000","16-34 y.","Urban Area","","","","","","","","","","","","","",""
"2000","35-65 y.","Rural Area","","","","","","","","","","","","","",""
"2000","35-65 y.","Urban Area","","","","","","","","","","","","","",""
"2000","66 and older","Rural Area","","","","","","","","","","","","","",""
"2000","66 and older","Urban Area","","","","","","","","","","","","","",""
"2001","16-34 y.","Rural Area","","","","","","","","","","","","","",""
"2001","16-34 y.","Urban Area","","","","","","","","","","","","","",""
"2001","35-65 y.","Rural Area","","","","","","","","","","","","","",""
"2001","35-65 y.","Urban Area","","","","","","","","","","","","","",""
"2001","66 and older","Rural Area","","","","","","","","","","","","","",""
"2001","66 and older","Urban Area","","","","","","","","","","","","","",""
"2002","16-34 y.","Rural Area","","","","","","","","","","","","","",""
"2002","16-34 y.","Urban Area","","","","","","","","","","","","","",""
"2002","35-65 y.","Rural Area","","","","","","","","","","","","","",""
"2002","35-65 y.","Urban Area","","","","","","","","","","","","","",""
"2002","66 and older","Rural Area","","","","","","","","","","","","","",""
"2002","66 and older","Urban Area","","","","","","","","","","","","","",""
"2003","16-34 y.","Rural Area","1.27","1","1947","1","1","1","2","4","1.24","1.3","1","5","1","1"
"2003","16-34 y.","Urban Area","1.3","1","3924","1","1","1","2","5","1.28","1.32","1","5","1","1"
"2003","35-65 y.","Rural Area","1.22","1","4132","1","1","1","2","5","1.2","1.24","1","5","1","1"
"2003","35-65 y.","Urban Area","1.23","1","8530","1","1","1","2","5","1.22","1.24","1","5","1","1"
"2003","66 and older","Rural Area","1.14","1","1244","1","1","1","1","5","1.11","1.17","1","5","1","1"
"2003","66 and older","Urban Area","1.13","1","2440","1","1","1","1","5","1.11","1.15","1","5","1","1"
"2004","16-34 y.","Rural Area","","","","","","","","","","","","","",""
"2004","16-34 y.","Urban Area","","","","","","","","","","","","","",""
"2004","35-65 y.","Rural Area","","","","","","","","","","","","","",""
"2004","35-65 y.","Urban Area","","","","","","","","","","","","","",""
"2004","66 and older","Rural Area","","","","","","","","","","","","","",""
"2004","66 and older","Urban Area","","","","","","","","","","","","","",""
"2005","16-34 y.","Rural Area","","","","","","","","","","","","","",""
"2005","16-34 y.","Urban Area","","","","","","","","","","","","","",""
"2005","35-65 y.","Rural Area","","","","","","","","","","","","","",""
"2005","35-65 y.","Urban Area","","","","","","","","","","","","","",""
"2005","66 and older","Rural Area","","","","","","","","","","","","","",""
"2005","66 and older","Urban Area","","","","","","","","","","","","","",""
"2006","16-34 y.","Rural Area","","","","","","","","","","","","","",""
"2006","16-34 y.","Urban Area","","","","","","","","","","","","","",""
"2006","35-65 y.","Rural Area","","","","","","","","","","","","","",""
"2006","35-65 y.","Urban Area","","","","","","","","","","","","","",""
"2006","66 and older","Rural Area","","","","","","","","","","","","","",""
"2006","66 and older","Urban Area","","","","","","","","","","","","","",""
"2007","16-34 y.","Rural Area","","","","","","","","","","","","","",""
"2007","16-34 y.","Urban Area","","","","","","","","","","","","","",""
