"year","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1990","1.33","1","9471","1","1","1","2","5","1.31","1.35","1","5","1","1"
"1991","","","","","","","","","","","","","",""
"1992","","","","","","","","","","","","","",""
"1993","","","","","","","","","","","","","",""
"1994","","","","","","","","","","","","","",""
"1995","1.26","1","13294","1","1","1","2","5","1.25","1.27","1","5","1","1"
"1996","","","","","","","","","","","","","",""
"1997","","","","","","","","","","","","","",""
"1998","1.25","1","14244","1","1","1","2","5","1.24","1.26","1","5","1","1"
"1999","","","","","","","","","","","","","",""
"2000","","","","","","","","","","","","","",""
"2001","","","","","","","","","","","","","",""
"2002","","","","","","","","","","","","","",""
"2003","1.22","1","22217","1","1","1","2","5","1.21","1.23","1","5","1","1"
"2004","","","","","","","","","","","","","",""
"2005","","","","","","","","","","","","","",""
"2006","","","","","","","","","","","","","",""
"2007","","","","","","","","","","","","","",""
"2008","1.27","1","19370","1","1","1","2","5","1.26","1.28","1","5","1","1"
"2009","","","","","","","","","","","","","",""
"2010","","","","","","","","","","","","","",""
"2011","","","","","","","","","","","","","",""
"2012","","","","","","","","","","","","","",""
"2013","1.32","1","25576","1","1","1","2","5","1.31","1.33","1","5","1","1"
"2014","","","","","","","","","","","","","",""
"2015","","","","","","","","","","","","","",""
"2016","","","","","","","","","","","","","",""
"2017","","","","","","","","","","","","","",""
"2018","","","","","","","","","","","","","",""
"2019","1.36","1","25856","1","1","1","2","5","1.35","1.37","1","5","1","1"
