"year","pgisced97","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1990","general elemantary","East Germany","","","","","","","","","","","","","",""
"1990","general elemantary","West Germany","1.31","1","2471","1","1","1","2","5","1.28","1.34","1","5","1","1"
"1990","higher education","East Germany","","","","","","","","","","","","","",""
"1990","higher education","West Germany","1.56","1","695","1","1","2","3","5","1.48","1.64","1","5","1","1"
"1990","higher vocational","East Germany","","","","","","","","","","","","","",""
"1990","higher vocational","West Germany","1.36","1","514","1","1","1","2","5","1.29","1.43","1","5","1","1"
"1990","in school","East Germany","","","","","","","","","","","","","",""
"1990","in school","West Germany","1.37","1","161","1","1","2","2","4","1.27","1.47","1","4","1","1"
"1990","inadequately","East Germany","","","","","","","","","","","","","",""
"1990","inadequately","West Germany","1.37","1","633","1","1","1","2","5","1.3","1.44","1","5","1","1"
"1990","middle vocational","East Germany","","","","","","","","","","","","","",""
"1990","middle vocational","West Germany","1.29","1","4548","1","1","1","2","4","1.27","1.31","1","5","1","1"
"1990","vocational + Abi","East Germany","","","","","","","","","","","","","",""
"1990","vocational + Abi","West Germany","1.51","1","294","1","1","2","2","5","1.41","1.61","1","5","1","1"
"1991","general elemantary","East Germany","","","","","","","","","","","","","",""
"1991","general elemantary","West Germany","","","","","","","","","","","","","",""
"1991","higher education","East Germany","","","","","","","","","","","","","",""
"1991","higher education","West Germany","","","","","","","","","","","","","",""
"1991","higher vocational","East Germany","","","","","","","","","","","","","",""
"1991","higher vocational","West Germany","","","","","","","","","","","","","",""
"1991","in school","East Germany","","","","","","","","","","","","","",""
"1991","in school","West Germany","","","","","","","","","","","","","",""
"1991","inadequately","East Germany","","","","","","","","","","","","","",""
"1991","inadequately","West Germany","","","","","","","","","","","","","",""
"1991","middle vocational","East Germany","","","","","","","","","","","","","",""
"1991","middle vocational","West Germany","","","","","","","","","","","","","",""
"1991","vocational + Abi","East Germany","","","","","","","","","","","","","",""
"1991","vocational + Abi","West Germany","","","","","","","","","","","","","",""
"1992","general elemantary","East Germany","","","","","","","","","","","","","",""
"1992","general elemantary","West Germany","","","","","","","","","","","","","",""
"1992","higher education","East Germany","","","","","","","","","","","","","",""
"1992","higher education","West Germany","","","","","","","","","","","","","",""
"1992","higher vocational","East Germany","","","","","","","","","","","","","",""
"1992","higher vocational","West Germany","","","","","","","","","","","","","",""
"1992","in school","East Germany","","","","","","","","","","","","","",""
"1992","in school","West Germany","","","","","","","","","","","","","",""
"1992","inadequately","East Germany","","","","","","","","","","","","","",""
"1992","inadequately","West Germany","","","","","","","","","","","","","",""
"1992","middle vocational","East Germany","","","","","","","","","","","","","",""
"1992","middle vocational","West Germany","","","","","","","","","","","","","",""
"1992","vocational + Abi","East Germany","","","","","","","","","","","","","",""
"1992","vocational + Abi","West Germany","","","","","","","","","","","","","",""
"1993","general elemantary","East Germany","","","","","","","","","","","","","",""
"1993","general elemantary","West Germany","","","","","","","","","","","","","",""
"1993","higher education","East Germany","","","","","","","","","","","","","",""
"1993","higher education","West Germany","","","","","","","","","","","","","",""
"1993","higher vocational","East Germany","","","","","","","","","","","","","",""
"1993","higher vocational","West Germany","","","","","","","","","","","","","",""
"1993","in school","East Germany","","","","","","","","","","","","","",""
"1993","in school","West Germany","","","","","","","","","","","","","",""
"1993","inadequately","East Germany","","","","","","","","","","","","","",""
"1993","inadequately","West Germany","","","","","","","","","","","","","",""
"1993","middle vocational","East Germany","","","","","","","","","","","","","",""
"1993","middle vocational","West Germany","","","","","","","","","","","","","",""
"1993","vocational + Abi","East Germany","","","","","","","","","","","","","",""
"1993","vocational + Abi","West Germany","","","","","","","","","","","","","",""
"1994","general elemantary","East Germany","","","","","","","","","","","","","",""
"1994","general elemantary","West Germany","","","","","","","","","","","","","",""
"1994","higher education","East Germany","","","","","","","","","","","","","",""
"1994","higher education","West Germany","","","","","","","","","","","","","",""
"1994","higher vocational","East Germany","","","","","","","","","","","","","",""
"1994","higher vocational","West Germany","","","","","","","","","","","","","",""
"1994","in school","East Germany","","","","","","","","","","","","","",""
"1994","in school","West Germany","","","","","","","","","","","","","",""
"1994","inadequately","East Germany","","","","","","","","","","","","","",""
"1994","inadequately","West Germany","","","","","","","","","","","","","",""
