"plh0033","year","e11103","migback","n","percent","lower_confidence","upper_confidence","value"
"Big worries","1984","Full Time","direct migration background","506","0.263321453142084","0.243533046341681","0.283109859942487","1"
"Big worries","1984","Full Time","indirect migration background","11","","","","1"
"Big worries","1984","Full Time","no migration background","591","0.165852070117842","0.153802001088124","0.17790213914756","1"
"Big worries","1984","Not Working","direct migration background","328","0.273841291110817","0.246063626127761","0.301618956093872","1"
"Big worries","1984","Not Working","indirect migration background","16","","","","1"
"Big worries","1984","Not Working","no migration background","627","0.170738682943603","0.158352096486723","0.183125269400483","1"
"Big worries","1984","Part Time","direct migration background","157","0.258144055381916","0.219076572846856","0.297211537916976","1"
"Big worries","1984","Part Time","indirect migration background","3","","","","1"
"Big worries","1984","Part Time","no migration background","289","0.216009834804367","0.194202775127447","0.237816894481288","1"
"No worries","1984","Part Time","direct migration background","128","0.28317681695809","0.242955207845681","0.323398426070499","3"
"No worries","1984","Not Working","indirect migration background","17","","","","3"
"No worries","1984","Not Working","no migration background","1539","0.454927429807937","0.438535193857696","0.471319665758178","3"
"No worries","1984","Part Time","indirect migration background","4","","","","3"
"No worries","1984","Not Working","direct migration background","245","0.299682257594406","0.271145240578499","0.328219274610313","3"
"No worries","1984","Full Time","no migration background","1394","0.381277644372125","0.365542304661744","0.397012984082505","3"
"No worries","1984","Full Time","indirect migration background","14","","","","3"
"No worries","1984","Full Time","direct migration background","551","0.279006700352329","0.258855467206804","0.299157933497854","3"
"No worries","1984","Part Time","no migration background","428","0.316924238788989","0.292268546137794","0.341579931440185","3"
"Some worries","1984","Part Time","no migration background","651","0.467065926406643","0.440627787552325","0.493504065260962","2"
"Some worries","1984","Part Time","indirect migration background","11","","","","2"
"Some worries","1984","Part Time","direct migration background","197","0.458679127659994","0.414194859782193","0.503163395537795","2"
"Some worries","1984","Not Working","no migration background","1379","0.37433388724846","0.35840296712681","0.39026480737011","2"
"Some worries","1984","Not Working","indirect migration background","24","","","","2"
"Some worries","1984","Not Working","direct migration background","417","0.426476451294777","0.39566915050215","0.457283752087404","2"
"Some worries","1984","Full Time","no migration background","1675","0.452870285510033","0.436743804398973","0.468996766621093","2"
"Some worries","1984","Full Time","indirect migration background","25","","","","2"
"Some worries","1984","Full Time","direct migration background","846","0.457671846505587","0.435287889091315","0.480055803919858","2"
"Big worries","1985","Full Time","direct migration background","349","0.221541172943054","0.200946607838762","0.242135738047345","1"
"Big worries","1985","Full Time","indirect migration background","9","","","","1"
"Big worries","1985","Full Time","no migration background","528","0.159025552639546","0.146580400444368","0.171470704834725","1"
"Big worries","1985","Not Working","direct migration background","301","0.307696832060192","0.277010295484219","0.338383368636165","1"
"Big worries","1985","Not Working","indirect migration background","17","","","","1"
