"plh0033","year","e11103","n","percent","lower_confidence","upper_confidence"
"Big worries","1984","Full Time","1108","0.177147560702719","0.167159546789762","0.187135574615675"
"Big worries","1984","Not Working","971","0.178548177494455","0.167471336773172","0.189625018215738"
"Big worries","1984","Part Time","449","0.221275499445027","0.202451225285495","0.240099773604558"
"No worries","1984","Full Time","1959","0.36884045641905","0.356218129564655","0.381462783273445"
"No worries","1984","Not Working","1801","0.442926421321801","0.428559317653351","0.457293524990251"
"No worries","1984","Part Time","560","0.313220275348416","0.292187657973654","0.334252892723179"
"Some worries","1984","Full Time","2546","0.454011982878231","0.440987041321305","0.467036924435157"
"Some worries","1984","Not Working","1820","0.378525401183745","0.364497058803625","0.392553743563864"
"Some worries","1984","Part Time","859","0.465504225206557","0.442884172791901","0.488124277621213"
"Big worries","1985","Full Time","886","0.166037163714828","0.155648858910709","0.176425468518947"
"Big worries","1985","Not Working","929","0.195461608026028","0.183384939005442","0.207538277046615"
"Big worries","1985","Part Time","430","0.21649745392516","0.197709527734558","0.235285380115761"
"No worries","1985","Full Time","1682","0.359334353775085","0.345939629751602","0.372729077798568"
"No worries","1985","Not Working","1563","0.419957720095769","0.404927143058686","0.434988297132852"
"No worries","1985","Part Time","533","0.310223330441252","0.28912132546173","0.331325335420774"
"Some worries","1985","Full Time","2361","0.474628482510087","0.460687966728135","0.488568998292039"
"Some worries","1985","Not Working","1650","0.384580671878203","0.369764966384115","0.399396377372291"
"Some worries","1985","Part Time","883","0.473279215633588","0.45050301987205","0.496055411395127"
"Big worries","1986","Full Time","807","0.147369977331072","0.137342024300212","0.157397930361932"
"Big worries","1986","Not Working","698","0.149730203470116","0.138472656044315","0.160987750895917"
"Big worries","1986","Part Time","370","0.190024395373517","0.171950596187669","0.208098194559365"
"No worries","1986","Full Time","1830","0.40858799966232","0.394681579648906","0.422494419675733"
"No worries","1986","Not Working","1723","0.501859350712211","0.486084047945298","0.517634653479125"
"No worries","1986","Part Time","630","0.367587414027085","0.345375326696203","0.389799501357967"
"Some worries","1986","Full Time","2163","0.444042023006608","0.429986063685849","0.458097982327367"
"Some worries","1986","Not Working","1438","0.348410445817672","0.333377525964361","0.363443365670984"
"Some worries","1986","Part Time","810","0.442388190599398","0.419507109121952","0.465269272076843"
"Big worries","1987","Full Time","773","0.146580725188995","0.136620579741582","0.156540870636409"
"Big worries","1987","Not Working","648","0.142295841350441","0.13105126519514","0.153540417505741"
"Big worries","1987","Part Time","368","0.193977171077703","0.175659487298664","0.212294854856742"
"No worries","1987","Full Time","1695","0.368004263862632","0.354423333472194","0.381585194253069"
"No worries","1987","Not Working","1582","0.487986482340773","0.471897712545593","0.504075252135953"
"No worries","1987","Part Time","518","0.295550125175291","0.274412207726635","0.316688042623946"
"Some worries","1987","Full Time","2376","0.485415010948373","0.471340569081679","0.499489452815067"
"Some worries","1987","Not Working","1478","0.369717676308787","0.354180184974516","0.385255167643057"
"Some worries","1987","Part Time","904","0.510472703747006","0.487314957314709","0.533630450179303"
"Big worries","1988","Full Time","737","0.141209585003196","0.131099923530686","0.151319246475706"
"Big worries","1988","Not Working","648","0.15729791141191","0.14524470502386","0.16935111779996"
"Big worries","1988","Part Time","391","0.177142122721049","0.159611504069788","0.194672741372309"
"No worries","1988","Full Time","1506","0.367335145630844","0.35333994829583","0.381330342965859"
"No worries","1988","Not Working","1479","0.476993130380681","0.460457763370587","0.493528497390775"
"No worries","1988","Part Time","541","0.313201404247926","0.291905285771493","0.334497522724359"
"Some worries","1988","Full Time","2315","0.49145526936596","0.476941924740532","0.505968613991388"
"Some worries","1988","Not Working","1378","0.365708958207409","0.349764264972274","0.381653651442543"
"Some worries","1988","Part Time","890","0.509656473031026","0.486702233978541","0.53261071208351"
"Big worries","1989","Full Time","642","0.11917471363248","0.109710548898593","0.128638878366368"
"Big worries","1989","Not Working","561","0.128537339798153","0.117229110601029","0.139845568995278"
"Big worries","1989","Part Time","267","0.136974407047289","0.120582243037695","0.153366571056883"
"No worries","1989","Full Time","1733","0.42455454011713","0.410116302849614","0.438992777384646"
"No worries","1989","Not Working","1502","0.503014538171296","0.486121114741761","0.51990796160083"
"No worries","1989","Part Time","596","0.370346666132627","0.347323782836489","0.393369549428765"
"Some worries","1989","Full Time","2127","0.45627074625039","0.441721248291485","0.470820244209294"
"Some worries","1989","Not Working","1302","0.368448122030551","0.352149599175306","0.384746644885797"
"Some worries","1989","Part Time","827","0.492678926820084","0.468843211856415","0.516514641783753"
"Big worries","1990","Full Time","614","0.11503316063451","0.105601367341657","0.124464953927363"
"Big worries","1990","Not Working","515","0.121701690782138","0.110528287255546","0.132875094308731"
"Big worries","1990","Part Time","316","0.161491239383754","0.144019281192243","0.178963197575265"
"No worries","1990","Full Time","1757","0.438362966975251","0.423695198499042","0.45303073545146"
"No worries","1990","Not Working","1538","0.522814045098279","0.505744041855901","0.539884048340658"
"No worries","1990","Part Time","602","0.377801852492214","0.354781620596117","0.400822084388311"
"Some worries","1990","Full Time","2025","0.446603872390239","0.431907892491432","0.461299852289046"
"Some worries","1990","Not Working","1236","0.355484264119582","0.339125778093536","0.371842750145628"
"Some worries","1990","Part Time","786","0.460706908124032","0.437040187366564","0.4843736288815"
"Big worries","1991","Full Time","502","0.0972096322930248","0.0884543815775729","0.105964883008477"
"Big worries","1991","Not Working","463","0.114392910335442","0.103387333119646","0.125398487551238"
"Big worries","1991","Part Time","235","0.11899649167224","0.10384382065918","0.134149162685299"
"No worries","1991","Full Time","1807","0.446566430587777","0.431873911477727","0.461258949697828"
"No worries","1991","Not Working","1507","0.521448153025817","0.504175351078106","0.538720954973528"
"No worries","1991","Part Time","663","0.397752283316081","0.374847445642907","0.420657120989255"
"Some worries","1991","Full Time","2089","0.456223937119198","0.441503539010727","0.470944335227669"
"Some worries","1991","Not Working","1243","0.364158936638741","0.347520500650643","0.380797372626839"
"Some worries","1991","Part Time","856","0.483251225011679","0.459865033265691","0.506637416757668"
"Big worries","1992","Full Time","1345","0.166897331642507","0.157871869299518","0.175922793985496"
"Big worries","1992","Not Working","820","0.157965960554649","0.146959659602619","0.168972261506678"
"Big worries","1992","Part Time","574","0.194730340894237","0.17915778940972","0.210302892378755"
"No worries","1992","Full Time","1761","0.311301855682692","0.300094560509653","0.322509150855731"
"No worries","1992","Not Working","1514","0.412982484557383","0.398123602016","0.427841367098766"
"No worries","1992","Part Time","580","0.271741548840973","0.254247389210577","0.289235708471369"
"Some worries","1992","Full Time","3451","0.521800812674801","0.509710089115708","0.533891536233894"
"Some worries","1992","Not Working","1884","0.429051554887968","0.414115084208051","0.443988025567885"
"Some worries","1992","Part Time","1330","0.53352811026479","0.513909705652666","0.553146514876913"
"Big worries","1993","Full Time","1227","0.166597828592075","0.157345922893307","0.175849734290842"
"Big worries","1993","Not Working","910","0.166969063881657","0.155943083320825","0.177995044442489"
"Big worries","1993","Part Time","551","0.189617833657362","0.174098932635357","0.205136734679368"
"No worries","1993","Full Time","1600","0.294913901918397","0.283591517031583","0.306236286805211"
"No worries","1993","Not Working","1451","0.383894041533089","0.369515923599373","0.398272159466806"
"No worries","1993","Part Time","597","0.2840978991839","0.266243827877198","0.301951970490603"
"Some worries","1993","Full Time","3404","0.538488269489528","0.526110319861543","0.550866219117513"
