"plh0033","year","e11102","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Big worries","1984","Not Employed","West Germany","971","0.178548177494455","0.167471336773172","0.189625018215738","1"
"Big worries","1984","Not Employed","East Germany","","","","","1"
"Big worries","1984","Employed","West Germany","1557","0.189036643556904","0.180164227933241","0.197909059180568","1"
"Big worries","1984","Employed","East Germany","","","","","1"
"No worries","1984","Not Employed","West Germany","1801","0.442926421321801","0.428559317653351","0.457293524990251","3"
"No worries","1984","Not Employed","East Germany","","","","","3"
"No worries","1984","Employed","West Germany","2519","0.353855098843769","0.343019673769218","0.36469052391832","3"
"No worries","1984","Employed","East Germany","","","","","3"
"Some worries","1984","Not Employed","West Germany","1820","0.378525401183745","0.364497058803625","0.392553743563864","2"
"Some worries","1984","Not Employed","East Germany","","","","","2"
"Some worries","1984","Employed","West Germany","3405","0.457108257599326","0.445819804965718","0.468396710232934","2"
"Some worries","1984","Employed","East Germany","","","","","2"
"Big worries","1985","Not Employed","West Germany","929","0.195461608026028","0.183384939005442","0.207538277046615","1"
"Big worries","1985","Not Employed","East Germany","","","","","1"
"Big worries","1985","Employed","West Germany","1316","0.180560984386712","0.171401654160927","0.189720314612496","1"
"Big worries","1985","Employed","East Germany","","","","","1"
"No worries","1985","Not Employed","West Germany","1563","0.419957720095769","0.404927143058686","0.434988297132852","3"
"No worries","1985","Not Employed","East Germany","","","","","3"
"No worries","1985","Employed","West Germany","2215","0.345198888185407","0.333877939041495","0.35651983732932","3"
"No worries","1985","Employed","East Germany","","","","","3"
"Some worries","1985","Not Employed","West Germany","1650","0.384580671878203","0.369764966384115","0.399396377372291","2"
"Some worries","1985","Not Employed","East Germany","","","","","2"
"Some worries","1985","Employed","West Germany","3244","0.474240127427881","0.462350005481208","0.486130249374554","2"
"Some worries","1985","Employed","East Germany","","","","","2"
"Big worries","1986","Not Employed","West Germany","698","0.149730203470116","0.138472656044315","0.160987750895917","1"
"Big worries","1986","Not Employed","East Germany","","","","","1"
"Big worries","1986","Employed","West Germany","1177","0.159567449645255","0.150739274403891","0.168395624886619","1"
"Big worries","1986","Employed","East Germany","","","","","1"
"No worries","1986","Not Employed","West Germany","1723","0.501859350712211","0.486084047945298","0.517634653479125","3"
"No worries","1986","Employed","West Germany","2460","0.39686345784221","0.385069060947006","0.408657854737415","3"
"No worries","1986","Not Employed","East Germany","","","","","3"
"No worries","1986","Employed","East Germany","","","","","3"
"Some worries","1986","Not Employed","West Germany","1438","0.348410445817672","0.333377525964361","0.363443365670984","2"
"Some worries","1986","Not Employed","East Germany","","","","","2"
"Some worries","1986","Employed","West Germany","2973","0.443569092512534","0.43159249037425","0.455545694650819","2"
"Some worries","1986","Employed","East Germany","","","","","2"
"Big worries","1987","Not Employed","West Germany","648","0.142295841350441","0.13105126519514","0.153540417505741","1"
"Big worries","1987","Not Employed","East Germany","","","","","1"
"Big worries","1987","Employed","West Germany","1141","0.159997910672495","0.151176100745793","0.168819720599198","1"
"Big worries","1987","Employed","East Germany","","","","","1"
"No worries","1987","Not Employed","West Germany","1582","0.487986482340773","0.471897712545593","0.504075252135953","3"
"No worries","1987","Employed","West Germany","2213","0.347493641186451","0.336035183574877","0.358952098798026","3"
"No worries","1987","Not Employed","East Germany","","","","","3"
"No worries","1987","Employed","East Germany","","","","","3"
"Some worries","1987","Not Employed","West Germany","1478","0.369717676308787","0.354180184974516","0.385255167643057","2"
"Some worries","1987","Not Employed","East Germany","","","","","2"
"Some worries","1987","Employed","West Germany","3280","0.492508448141053","0.480478005462336","0.50453889081977","2"
"Some worries","1987","Employed","East Germany","","","","","2"
"Big worries","1988","Not Employed","West Germany","648","0.15729791141191","0.14524470502386","0.16935111779996","1"
"Big worries","1988","Not Employed","East Germany","","","","","1"
"Big worries","1988","Employed","West Germany","1128","0.151780049769049","0.142975658416735","0.160584441121362","1"
"Big worries","1988","Employed","East Germany","","","","","1"
"No worries","1988","Not Employed","West Germany","1479","0.476993130380681","0.460457763370587","0.493528497390775","3"
"No worries","1988","Not Employed","East Germany","","","","","3"
"No worries","1988","Employed","West Germany","2047","0.35141033646693","0.339695667276248","0.363125005657612","3"
"No worries","1988","Employed","East Germany","","","","","3"
"Some worries","1988","Not Employed","West Germany","1378","0.365708958207409","0.349764264972274","0.381653651442543","2"
"Some worries","1988","Not Employed","East Germany","","","","","2"
"Some worries","1988","Employed","West Germany","3205","0.496809613764021","0.484540903373543","0.509078324154499","2"
"Some worries","1988","Employed","East Germany","","","","","2"
