"plh0033","year","bula_h","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Big worries","1984","Schleswig-Holstein","(0) in school","","","",""
"Big worries","1984","Schleswig-Holstein","(1a) inadequately completed","","","",""
"Big worries","1984","Schleswig-Holstein","(1b) general elementary school","","","",""
"Big worries","1984","Schleswig-Holstein","(1c) basic vocational qualification","","","",""
"Big worries","1984","Schleswig-Holstein","(2b) intermediate general qualification","","","",""
"Big worries","1984","Schleswig-Holstein","(2a) intermediate vocational","","","",""
"Big worries","1984","Schleswig-Holstein","(2c_gen) general maturity certificate","","","",""
"Big worries","1984","Schleswig-Holstein","(2c_voc) vocational maturity certificate","","","",""
"Big worries","1984","Schleswig-Holstein","(3a) lower tertiary education","","","",""
"Big worries","1984","Schleswig-Holstein","(3b) higher tertiary education","","","",""
"Big worries","1984","Hamburg","(0) in school","","","",""
"Big worries","1984","Hamburg","(1a) inadequately completed","","","",""
"Big worries","1984","Hamburg","(1b) general elementary school","","","",""
"Big worries","1984","Hamburg","(1c) basic vocational qualification","","","",""
"Big worries","1984","Hamburg","(2b) intermediate general qualification","","","",""
"Big worries","1984","Hamburg","(2a) intermediate vocational","","","",""
"Big worries","1984","Hamburg","(2c_gen) general maturity certificate","","","",""
"Big worries","1984","Hamburg","(2c_voc) vocational maturity certificate","","","",""
"Big worries","1984","Hamburg","(3a) lower tertiary education","","","",""
"Big worries","1984","Hamburg","(3b) higher tertiary education","","","",""
"Big worries","1984","Lower Saxony","(0) in school","","","",""
"Big worries","1984","Lower Saxony","(1a) inadequately completed","","","",""
"Big worries","1984","Lower Saxony","(1b) general elementary school","75","0.215906120629001","0.169654409113284","0.262157832144719"
"Big worries","1984","Lower Saxony","(1c) basic vocational qualification","97","0.217596383378954","0.178551807833989","0.25664095892392"
"Big worries","1984","Lower Saxony","(2b) intermediate general qualification","","","",""
"Big worries","1984","Lower Saxony","(2a) intermediate vocational","","","",""
"Big worries","1984","Lower Saxony","(2c_gen) general maturity certificate","","","",""
"Big worries","1984","Lower Saxony","(2c_voc) vocational maturity certificate","","","",""
"Big worries","1984","Lower Saxony","(3a) lower tertiary education","","","",""
"Big worries","1984","Lower Saxony","(3b) higher tertiary education","","","",""
"Big worries","1984","Bremen","(0) in school","","","",""
"Big worries","1984","Bremen","(1a) inadequately completed","","","",""
"Big worries","1984","Bremen","(1b) general elementary school","","","",""
"Big worries","1984","Bremen","(1c) basic vocational qualification","33","0.522203525408785","0.394746594879016","0.649660455938554"
"Big worries","1984","Bremen","(2b) intermediate general qualification","","","",""
"Big worries","1984","Bremen","(2a) intermediate vocational","","","",""
"Big worries","1984","Bremen","(2c_gen) general maturity certificate","","","",""
"Big worries","1984","Bremen","(2c_voc) vocational maturity certificate","","","",""
"Big worries","1984","Bremen","(3a) lower tertiary education","","","",""
"Big worries","1984","Bremen","(3b) higher tertiary education","","","",""
"Big worries","1984","North Rhine-Westphalia","(0) in school","","","",""
"Big worries","1984","North Rhine-Westphalia","(1a) inadequately completed","123","0.375158765075532","0.323389637984381","0.426927892166682"
"Big worries","1984","North Rhine-Westphalia","(1b) general elementary school","191","0.226991876652975","0.196749805301899","0.257233948004051"
"Big worries","1984","North Rhine-Westphalia","(1c) basic vocational qualification","255","0.214565063362893","0.190533617735374","0.238596508990411"
"Big worries","1984","North Rhine-Westphalia","(2b) intermediate general qualification","","","",""
"Big worries","1984","North Rhine-Westphalia","(2a) intermediate vocational","54","0.185464384983667","0.143529406735763","0.227399363231571"
"Big worries","1984","North Rhine-Westphalia","(2c_gen) general maturity certificate","36","0.256571733622498","0.182066794431906","0.331076672813091"
"Big worries","1984","North Rhine-Westphalia","(2c_voc) vocational maturity certificate","","","",""
"Big worries","1984","North Rhine-Westphalia","(3a) lower tertiary education","","","",""
"Big worries","1984","North Rhine-Westphalia","(3b) higher tertiary education","","","",""
"Big worries","1984","Hesse","(0) in school","","","",""
"Big worries","1984","Hesse","(1a) inadequately completed","34","0.356783003586605","0.274434208434624","0.439131798738587"
"Big worries","1984","Hesse","(1b) general elementary school","83","0.23474107138695","0.187936145915812","0.281545996858089"
