"plh0033","year","education","sex","n","percent","lower_confidence","upper_confidence"
"Big worries","1984","college entrance qualification","Female","77","0.163632843878403","0.130537934484233","0.196727753272573"
"Big worries","1984","college entrance qualification","Male","103","0.130123416435435","0.106765963682605","0.153480869188264"
"Big worries","1984","lower secondary degree","Female","638","0.186822326872076","0.173403464861459","0.200241188882693"
"Big worries","1984","lower secondary degree","Male","626","0.215132919725684","0.199912712412765","0.230353127038604"
"Big worries","1984","no degree/no degree yet","Female","210","0.252914959462779","0.220667711375615","0.285162207549944"
"Big worries","1984","no degree/no degree yet","Male","167","0.261434298592259","0.22582642762154","0.297042169562978"
"Big worries","1984","Other degree","Female","161","0.258631448646023","0.222809443599548","0.294453453692499"
"Big worries","1984","Other degree","Male","262","0.319021066526638","0.287995832790143","0.350046300263133"
"Big worries","1984","secondary school degree","Female","154","0.137383201357375","0.117158771811464","0.157607630903287"
"Big worries","1984","secondary school degree","Male","96","0.118565220995588","0.0965723060991663","0.14055813589201"
"No worries","1984","college entrance qualification","Female","214","0.46310977627418","0.418501833510962","0.507717719037398"
"No worries","1984","college entrance qualification","Male","399","0.506296663612451","0.471586673166081","0.54100665405882"
"No worries","1984","lower secondary degree","Female","1187","0.392894659582164","0.376080364494084","0.409708954670244"
"No worries","1984","lower secondary degree","Male","914","0.343010817781669","0.325427448662198","0.36059418690114"
"No worries","1984","no degree/no degree yet","Female","207","0.328247510248922","0.293411713945921","0.363083306551924"
"No worries","1984","no degree/no degree yet","Male","176","0.289746480983495","0.252985597520785","0.326507364446205"
"No worries","1984","Other degree","Female","160","0.333202294937855","0.294641748020849","0.37176284185486"
"No worries","1984","Other degree","Male","217","0.231220425470655","0.203156232471221","0.259284618470089"
"No worries","1984","secondary school degree","Female","476","0.444527313590725","0.415334154855673","0.473720472325776"
"No worries","1984","secondary school degree","Male","351","0.432663922072012","0.398958126126159","0.466369718017866"
"Some worries","1984","college entrance qualification","Female","189","0.373257379847417","0.329988436627012","0.416526323067822"
"Some worries","1984","college entrance qualification","Male","295","0.363579919952115","0.33018419987835","0.396975640025879"
"Some worries","1984","lower secondary degree","Female","1416","0.42028301354576","0.403289330756542","0.437276696334978"
"Some worries","1984","lower secondary degree","Male","1260","0.441856262492647","0.42346199021279","0.460250534772503"
"Some worries","1984","no degree/no degree yet","Female","281","0.418837530288298","0.382236614237952","0.455438446338644"
"Some worries","1984","no degree/no degree yet","Male","242","0.448819220424246","0.408514778332887","0.489123662515606"
"Some worries","1984","Other degree","Female","253","0.408166256416122","0.3679584337878","0.448374079044444"
"Some worries","1984","Other degree","Male","388","0.449758508002707","0.416645021934956","0.482871994070459"
"Some worries","1984","secondary school degree","Female","483","0.4180894850519","0.389111830296413","0.447067139807387"
"Some worries","1984","secondary school degree","Male","383","0.448770856932399","0.414934199612481","0.482607514252318"
"Big worries","1985","college entrance qualification","Female","69","0.149237359692635","0.116780942347929","0.181693777037341"
"Big worries","1985","college entrance qualification","Male","109","0.138242452435601","0.113719710642615","0.162765194228586"
"Big worries","1985","lower secondary degree","Female","551","0.187728129652752","0.173456648984926","0.201999610320578"
"Big worries","1985","lower secondary degree","Male","584","0.220058486307516","0.203912158868461","0.236204813746572"
"Big worries","1985","no degree/no degree yet","Female","138","0.212474805782455","0.178775122124301","0.246174489440609"
"Big worries","1985","no degree/no degree yet","Male","138","0.268446432910981","0.229910301013897","0.306982564808065"
