"plh0033","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence"
"Big worries","1985","general elemantary","Rural Area","160","0.212190913950398","0.182010345398557","0.242371482502239"
"Big worries","1985","general elemantary","Urban Area","536","0.210544264084231","0.193947364185784","0.227141163982677"
"Big worries","1985","higher education","Rural Area","10","","",""
"Big worries","1985","higher education","Urban Area","71","0.110888447056951","0.0864663751402584","0.135310518973644"
"Big worries","1985","higher vocational","Rural Area","27","","",""
"Big worries","1985","higher vocational","Urban Area","55","0.109397703775895","0.0816753808029783","0.137120026748811"
"Big worries","1985","in school","Rural Area","10","","",""
"Big worries","1985","in school","Urban Area","20","","",""
"Big worries","1985","inadequately","Rural Area","32","0.335824652895056","0.244171867482685","0.427477438307426"
"Big worries","1985","inadequately","Urban Area","202","0.304989484677364","0.271429862472281","0.338549106882446"
"Big worries","1985","middle vocational","Rural Area","222","0.19698154476604","0.173478329345531","0.220484760186549"
"Big worries","1985","middle vocational","Urban Area","814","0.187039288993778","0.175001606280572","0.199076971706985"
"Big worries","1985","vocational + Abi","Rural Area","13","","",""
"Big worries","1985","vocational + Abi","Urban Area","51","0.15710041506651","0.110574947525954","0.203625882607067"
"No worries","1985","general elemantary","Rural Area","208","0.332071965582106","0.297307586656456","0.366836344507756"
"No worries","1985","general elemantary","Urban Area","734","0.362980132452112","0.343404793472978","0.382555471431246"
"No worries","1985","higher education","Rural Area","69","0.624979628645649","0.536496691286015","0.713462566005283"
"No worries","1985","higher education","Urban Area","338","0.566189917064534","0.527642781172849","0.604737052956219"
"No worries","1985","higher vocational","Rural Area","49","0.397317626989863","0.312874093629733","0.481761160349992"
"No worries","1985","higher vocational","Urban Area","216","0.446256903110839","0.402106950002689","0.490406856218989"
"No worries","1985","in school","Rural Area","15","","",""
"No worries","1985","in school","Urban Area","55","0.394442103217761","0.316230366368459","0.472653840067063"
"No worries","1985","inadequately","Rural Area","32","0.242966132677956","0.159736394181516","0.326195871174395"
"No worries","1985","inadequately","Urban Area","201","0.270781592438139","0.238391116996089","0.303172067880189"
"No worries","1985","middle vocational","Rural Area","341","0.332862610359337","0.305014745903723","0.360710474814951"
"No worries","1985","middle vocational","Urban Area","1381","0.364872251890182","0.350011435992377","0.379733067787988"
"No worries","1985","vocational + Abi","Rural Area","12","","",""
"No worries","1985","vocational + Abi","Urban Area","89","0.411203591675784","0.348292794899988","0.47411438845158"
"Some worries","1985","general elemantary","Rural Area","337","0.455737120467496","0.418973769355164","0.492500471579828"
"Some worries","1985","general elemantary","Urban Area","1048","0.426475603463657","0.406342328736371","0.446608878190943"
"Some worries","1985","higher education","Rural Area","36","0.295421089591459","0.21203670296029","0.378805476222627"
"Some worries","1985","higher education","Urban Area","226","0.322921635878515","0.286552811020878","0.359290460736152"
"Some worries","1985","higher vocational","Rural Area","53","0.398691952287157","0.314199001249182","0.483184903325132"
"Some worries","1985","higher vocational","Urban Area","216","0.444345393113266","0.400214124599174","0.488476661627358"
"Some worries","1985","in school","Rural Area","10","","",""
"Some worries","1985","in school","Urban Area","75","0.473712830402351","0.393808295762153","0.553617365042548"
"Some worries","1985","inadequately","Rural Area","38","0.421209214426989","0.325388867037594","0.517029561816383"
"Some worries","1985","inadequately","Urban Area","320","0.424228922884497","0.388203921841986","0.460253923927009"
"Some worries","1985","middle vocational","Rural Area","537","0.470155844874623","0.440660957502015","0.49965073224723"
"Some worries","1985","middle vocational","Urban Area","1836","0.44808845911604","0.43273669428484","0.463440223947239"
"Some worries","1985","vocational + Abi","Rural Area","19","","",""
"Some worries","1985","vocational + Abi","Urban Area","95","0.431695993257706","0.368368320580985","0.495023665934427"
"Big worries","1986","general elemantary","Rural Area","132","0.187114138281144","0.157427609849514","0.216800666712774"
"Big worries","1986","general elemantary","Urban Area","445","0.168304786844251","0.152674447577573","0.18393512611093"
"Big worries","1986","higher education","Rural Area","7","","",""
"Big worries","1986","higher education","Urban Area","64","0.0944855962910913","0.0715720974557331","0.117399095126449"
"Big worries","1986","higher vocational","Rural Area","21","","",""
"Big worries","1986","higher vocational","Urban Area","50","0.110825011534151","0.0818534214592826","0.13979660160902"
"Big worries","1986","in school","Rural Area","2","","",""
"Big worries","1986","in school","Urban Area","24","","",""
