"plh0033","year","age_gr","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Big worries","1984","16-34 y.","1-pers.-HH","77","0.216572199659101","0.17360257289229","0.259541826425911"
"Big worries","1984","16-34 y.","(Married) couple without C. ","94","0.11619895802044","0.0913712587955658","0.141026657245314"
"Big worries","1984","16-34 y.","Single parent ","106","0.337234865136604","0.282347583539022","0.392122146734185"
"Big worries","1984","16-34 y.","Couple + C. LE 16 ","342","0.201420708749782","0.181056570410413","0.221784847089151"
"Big worries","1984","16-34 y.","Couple + C. GT 16 ","164","0.214780138861604","0.185885988544645","0.243674289178564"
"Big worries","1984","16-34 y.","Couple + C. LE and GT 16","187","0.234826752442184","0.203380126518848","0.266273378365521"
"Big worries","1984","35-65 y.","1-pers.-HH","102","0.204429229718275","0.169531247755517","0.239327211681033"
"Big worries","1984","35-65 y.","(Married) couple without C. ","260","0.169631663515178","0.15041977947788","0.188843547552476"
"Big worries","1984","35-65 y.","Single parent ","92","0.339642400909654","0.282297080136079","0.39698772168323"
"Big worries","1984","35-65 y.","Couple + C. LE 16 ","323","0.178433262234857","0.159384727931674","0.197481796538041"
"Big worries","1984","35-65 y.","Couple + C. GT 16 ","235","0.198622157406609","0.175339848140309","0.221904466672909"
"Big worries","1984","35-65 y.","Couple + C. LE and GT 16","229","0.189090323008823","0.164880815565622","0.213299830452024"
"Big worries","1984","66 and older","1-pers.-HH","51","0.106871781262167","0.0785771667376659","0.135166395786668"
"Big worries","1984","66 and older","(Married) couple without C. ","55","0.100738483312154","0.0759644184796466","0.125512548144661"
"Big worries","1984","66 and older","Single parent ","4","","",""
"Big worries","1984","66 and older","Couple + C. LE 16 ","","","",""
"Big worries","1984","66 and older","Couple + C. GT 16 ","7","","",""
"Big worries","1984","66 and older","Couple + C. LE and GT 16","","","",""
"Some worries","1984","16-34 y.","1-pers.-HH","142","0.401439031812767","0.350303269660771","0.452574793964762"
"Some worries","1984","16-34 y.","(Married) couple without C. ","314","0.516418670447567","0.477702371542171","0.555134969352963"
"Some worries","1984","16-34 y.","Single parent ","123","0.438165450020439","0.380561940048118","0.49576895999276"
"Some worries","1984","16-34 y.","Couple + C. LE 16 ","723","0.493200034963734","0.467814589179176","0.518585480748292"
"Some worries","1984","16-34 y.","Couple + C. GT 16 ","369","0.467348870662571","0.432244656514468","0.502453084810674"
"Some worries","1984","16-34 y.","Couple + C. LE and GT 16","330","0.489181133565432","0.452096952425395","0.526265314705469"
"Some worries","1984","35-65 y.","1-pers.-HH","185","0.358890297522684","0.317381854632714","0.400398740412654"
"Some worries","1984","35-65 y.","(Married) couple without C. ","562","0.380826455098825","0.355969332344139","0.405683577853512"
"Some worries","1984","35-65 y.","Single parent ","104","0.393458979619829","0.33430591293076","0.452612046308899"
"Some worries","1984","35-65 y.","Couple + C. LE 16 ","717","0.475892938466974","0.451046344187622","0.500739532746325"
"Some worries","1984","35-65 y.","Couple + C. GT 16 ","516","0.450633168992857","0.421597199197447","0.479669138788266"
"Some worries","1984","35-65 y.","Couple + C. LE and GT 16","465","0.488111966371497","0.457208138505003","0.519015794237992"
"Some worries","1984","66 and older","1-pers.-HH","132","0.285571232631138","0.244204421172309","0.326938044089968"
"Some worries","1984","66 and older","(Married) couple without C. ","177","0.318284667133116","0.279943445046382","0.356625889219849"
"Some worries","1984","66 and older","Single parent ","10","","",""
"Some worries","1984","66 and older","Couple + C. LE 16 ","","","",""
"Some worries","1984","66 and older","Couple + C. GT 16 ","13","","",""
"Some worries","1984","66 and older","Couple + C. LE and GT 16","","","",""
"No worries","1984","16-34 y.","1-pers.-HH","134","0.381988768528133","0.331303212037062","0.432674325019203"
"No worries","1984","16-34 y.","(Married) couple without C. ","232","0.367382371531994","0.330032603786778","0.40473213927721"
"No worries","1984","16-34 y.","Single parent ","56","0.224599684842958","0.176149747597108","0.273049622088807"
"No worries","1984","16-34 y.","Couple + C. LE 16 ","425","0.305379256286484","0.28199365194145","0.328764860631517"
"No worries","1984","16-34 y.","Couple + C. GT 16 ","243","0.317870990475825","0.285108573171332","0.350633407780317"
"No worries","1984","16-34 y.","Couple + C. LE and GT 16","181","0.275992113992384","0.242830140751175","0.309154087233593"
"No worries","1984","35-65 y.","1-pers.-HH","226","0.436680472759041","0.393761561408733","0.479599384109349"
"No worries","1984","35-65 y.","(Married) couple without C. ","644","0.449541881385997","0.424077781686957","0.475005981085036"
"No worries","1984","35-65 y.","Single parent ","66","0.266898619470516","0.213337132207157","0.320460106733875"
"No worries","1984","35-65 y.","Couple + C. LE 16 ","512","0.345673799298169","0.322012825236802","0.369334773359536"
"No worries","1984","35-65 y.","Couple + C. GT 16 ","377","0.350744673600534","0.322896491889492","0.378592855311576"
"No worries","1984","35-65 y.","Couple + C. LE and GT 16","311","0.32279771061968","0.293891611209532","0.351703810029827"
"No worries","1984","66 and older","1-pers.-HH","275","0.607556986106695","0.562837463084877","0.652276509128512"
"No worries","1984","66 and older","(Married) couple without C. ","335","0.580976849554731","0.540364792833447","0.621588906276014"
"No worries","1984","66 and older","Single parent ","14","","",""
"No worries","1984","66 and older","Couple + C. LE 16 ","3","","",""
"No worries","1984","66 and older","Couple + C. GT 16 ","27","","",""
"No worries","1984","66 and older","Couple + C. LE and GT 16","","","",""
"Big worries","1985","16-34 y.","1-pers.-HH","54","0.161975843496994","0.121608841534472","0.202342845459515"
"Big worries","1985","16-34 y.","(Married) couple without C. ","89","0.136733004436018","0.108939821411213","0.164526187460822"
"Big worries","1985","16-34 y.","Single parent ","61","0.204100961828715","0.156551559156363","0.251650364501067"
"Big worries","1985","16-34 y.","Couple + C. LE 16 ","292","0.222062373221583","0.198900529954168","0.245224216488998"
"Big worries","1985","16-34 y.","Couple + C. GT 16 ","190","0.209163872998517","0.181461338120017","0.236866407877016"
"Big worries","1985","16-34 y.","Couple + C. LE and GT 16","142","0.220855621373116","0.188150403007959","0.253560839738273"
"Big worries","1985","35-65 y.","1-pers.-HH","89","0.204145104370064","0.16656799341205","0.241722215328077"
"Big worries","1985","35-65 y.","(Married) couple without C. ","238","0.174509362250874","0.154072905824294","0.194945818677455"
"Big worries","1985","35-65 y.","Single parent ","75","0.311266028672859","0.251941844150198","0.370590213195519"
"Big worries","1985","35-65 y.","Couple + C. LE 16 ","282","0.172356503567346","0.152691290467138","0.192021716667553"
"Big worries","1985","35-65 y.","Couple + C. GT 16 ","254","0.208898795722855","0.185101408590285","0.232696182855424"
"Big worries","1985","35-65 y.","Couple + C. LE and GT 16","177","0.202742925867753","0.1757784985335","0.229707353202006"
"Big worries","1985","66 and older","1-pers.-HH","56","0.141337791430491","0.106718863449383","0.1759567194116"
"Big worries","1985","66 and older","(Married) couple without C. ","54","0.11388961786772","0.0857618006398091","0.142017435095631"
"Big worries","1985","66 and older","Single parent ","5","","",""
"Big worries","1985","66 and older","Couple + C. LE 16 ","","","",""
"Big worries","1985","66 and older","Couple + C. GT 16 ","12","","",""
"Big worries","1985","66 and older","Couple + C. LE and GT 16","","","",""
"Some worries","1985","16-34 y.","1-pers.-HH","145","0.466137878460418","0.411480996395749","0.520794760525087"
"Some worries","1985","16-34 y.","(Married) couple without C. ","302","0.51562760920132","0.475199185147274","0.556056033255367"
"Some worries","1985","16-34 y.","Single parent ","137","0.521988939499988","0.463058026002271","0.580919852997705"
"Some worries","1985","16-34 y.","Couple + C. LE 16 ","610","0.500054426448753","0.472191082050959","0.527917770846547"
"Some worries","1985","16-34 y.","Couple + C. GT 16 ","394","0.48731038885157","0.453264630187434","0.521356147515705"
"Some worries","1985","16-34 y.","Couple + C. LE and GT 16","305","0.494530432212607","0.45511213394185","0.533948730483364"
"Some worries","1985","35-65 y.","1-pers.-HH","176","0.374406103097751","0.329287601546588","0.419524604648914"
"Some worries","1985","35-65 y.","(Married) couple without C. ","543","0.413440211677052","0.386924538810674","0.43995588454343"
"Some worries","1985","35-65 y.","Single parent ","98","0.422177349036715","0.358894662525985","0.485460035547446"
"Some worries","1985","35-65 y.","Couple + C. LE 16 ","692","0.485869095102147","0.459845957452409","0.511892232751884"
"Some worries","1985","35-65 y.","Couple + C. GT 16 ","474","0.424972128557877","0.396034032330447","0.453910224785307"
"Some worries","1985","35-65 y.","Couple + C. LE and GT 16","432","0.490561424131533","0.457033106165162","0.524089742097904"
"Some worries","1985","66 and older","1-pers.-HH","130","0.338147102233699","0.291135304091861","0.385158900375537"
"Some worries","1985","66 and older","(Married) couple without C. ","153","0.312395640935882","0.271358996223588","0.353432285648177"
"Some worries","1985","66 and older","Single parent ","7","","",""
"Some worries","1985","66 and older","Couple + C. LE 16 ","","","",""
"Some worries","1985","66 and older","Couple + C. GT 16 ","12","","",""
"Some worries","1985","66 and older","Couple + C. LE and GT 16","","","",""
"No worries","1985","16-34 y.","1-pers.-HH","121","0.371886278042588","0.318932455043456","0.424840101041721"
"No worries","1985","16-34 y.","(Married) couple without C. ","196","0.347639386362662","0.309114852372038","0.386163920353286"
