"plh0033","year","hgtyp1hh","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Big worries","1984","1-pers.-HH","(0) in school","","","",""
"Big worries","1984","1-pers.-HH","(1a) inadequately completed","17","","",""
"Big worries","1984","1-pers.-HH","(1b) general elementary school","69","0.174427532759709","0.135063543711743","0.213791521807675"
"Big worries","1984","1-pers.-HH","(1c) basic vocational qualification","74","0.168993566834914","0.132496508765503","0.205490624904326"
"Big worries","1984","1-pers.-HH","(2b) intermediate general qualification","5","","",""
"Big worries","1984","1-pers.-HH","(2a) intermediate vocational","30","0.153984558854134","0.103837059177318","0.20413205853095"
"Big worries","1984","1-pers.-HH","(2c_gen) general maturity certificate","9","","",""
"Big worries","1984","1-pers.-HH","(2c_voc) vocational maturity certificate","13","","",""
"Big worries","1984","1-pers.-HH","(3a) lower tertiary education","2","","",""
"Big worries","1984","1-pers.-HH","(3b) higher tertiary education","9","","",""
"Big worries","1984","(Married) couple without C. ","(0) in school","1","","",""
"Big worries","1984","(Married) couple without C. ","(1a) inadequately completed","32","0.247711140264153","0.176958091762689","0.318464188765617"
"Big worries","1984","(Married) couple without C. ","(1b) general elementary school","130","0.172032176684326","0.142973745751121","0.201090607617531"
"Big worries","1984","(Married) couple without C. ","(1c) basic vocational qualification","183","0.161323217130273","0.139526796649516","0.18311963761103"
"Big worries","1984","(Married) couple without C. ","(2b) intermediate general qualification","4","","",""
"Big worries","1984","(Married) couple without C. ","(2a) intermediate vocational","24","","",""
"Big worries","1984","(Married) couple without C. ","(2c_gen) general maturity certificate","7","","",""
"Big worries","1984","(Married) couple without C. ","(2c_voc) vocational maturity certificate","17","","",""
"Big worries","1984","(Married) couple without C. ","(3a) lower tertiary education","3","","",""
"Big worries","1984","(Married) couple without C. ","(3b) higher tertiary education","5","","",""
"Big worries","1984","Single parent ","(0) in school","2","","",""
"Big worries","1984","Single parent ","(1a) inadequately completed","23","","",""
"Big worries","1984","Single parent ","(1b) general elementary school","56","0.319101186672717","0.247977932817683","0.390224440527751"
"Big worries","1984","Single parent ","(1c) basic vocational qualification","72","0.373353105815536","0.304026710744406","0.442679500886667"
"Big worries","1984","Single parent ","(2b) intermediate general qualification","16","","",""
"Big worries","1984","Single parent ","(2a) intermediate vocational","11","","",""
"Big worries","1984","Single parent ","(2c_gen) general maturity certificate","10","","",""
"Big worries","1984","Single parent ","(2c_voc) vocational maturity certificate","5","","",""
"Big worries","1984","Single parent ","(3a) lower tertiary education","2","","",""
"Big worries","1984","Single parent ","(3b) higher tertiary education","4","","",""
"Big worries","1984","Couple + C. LE 16 ","(0) in school","","","",""
"Big worries","1984","Couple + C. LE 16 ","(1a) inadequately completed","112","0.362095137780056","0.311887930827467","0.412302344732645"
"Big worries","1984","Couple + C. LE 16 ","(1b) general elementary school","173","0.288360430185194","0.252788949421393","0.323931910948995"
"Big worries","1984","Couple + C. LE 16 ","(1c) basic vocational qualification","235","0.186156940691918","0.163728898721857","0.208584982661979"
"Big worries","1984","Couple + C. LE 16 ","(2b) intermediate general qualification","7","","",""
"Big worries","1984","Couple + C. LE 16 ","(2a) intermediate vocational","44","0.112185063182305","0.0808231872432454","0.143546939121364"
"Big worries","1984","Couple + C. LE 16 ","(2c_gen) general maturity certificate","20","","",""
"Big worries","1984","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","26","","",""
"Big worries","1984","Couple + C. LE 16 ","(3a) lower tertiary education","10","","",""
"Big worries","1984","Couple + C. LE 16 ","(3b) higher tertiary education","21","","",""
"Big worries","1984","Couple + C. GT 16 ","(0) in school","15","","",""
"Big worries","1984","Couple + C. GT 16 ","(1a) inadequately completed","39","0.174631835935034","0.114863961840474","0.234399710029594"
"Big worries","1984","Couple + C. GT 16 ","(1b) general elementary school","99","0.218855904700211","0.180222190380256","0.257489619020166"
"Big worries","1984","Couple + C. GT 16 ","(1c) basic vocational qualification","144","0.224587079495177","0.192530550425244","0.256643608565109"
"Big worries","1984","Couple + C. GT 16 ","(2b) intermediate general qualification","23","","",""
"Big worries","1984","Couple + C. GT 16 ","(2a) intermediate vocational","31","0.144356363766968","0.0975954861579812","0.191117241375954"
"Big worries","1984","Couple + C. GT 16 ","(2c_gen) general maturity certificate","23","","",""
"Big worries","1984","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","11","","",""
"Big worries","1984","Couple + C. GT 16 ","(3a) lower tertiary education","9","","",""
"Big worries","1984","Couple + C. GT 16 ","(3b) higher tertiary education","9","","",""
"Big worries","1984","Couple + C. LE and GT 16","(0) in school","12","","",""
"Big worries","1984","Couple + C. LE and GT 16","(1a) inadequately completed","84","0.37742589448065","0.315050188842637","0.439801600118663"
"Big worries","1984","Couple + C. LE and GT 16","(1b) general elementary school","139","0.265099915402717","0.225238145242171","0.304961685563263"
"Big worries","1984","Couple + C. LE and GT 16","(1c) basic vocational qualification","114","0.214644083384338","0.179080474010257","0.250207692758418"
"Big worries","1984","Couple + C. LE and GT 16","(2b) intermediate general qualification","16","","",""
"Big worries","1984","Couple + C. LE and GT 16","(2a) intermediate vocational","19","","",""
"Big worries","1984","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","18","","",""
"Big worries","1984","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","3","","",""
"Big worries","1984","Couple + C. LE and GT 16","(3a) lower tertiary education","1","","",""
