"plh0033","year","bula_h","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Big worries","1984","Schleswig-Holstein","1-pers.-HH","11","","","","1"
"Big worries","1984","Schleswig-Holstein","(Married) couple without C. ","7","","","","1"
"Big worries","1984","Schleswig-Holstein","Single parent ","6","","","","1"
"Big worries","1984","Schleswig-Holstein","Couple + C. LE 16 ","14","","","","1"
"Big worries","1984","Schleswig-Holstein","Couple + C. GT 16 ","11","","","","1"
"Big worries","1984","Schleswig-Holstein","Couple + C. LE and GT 16","7","","","","1"
"Big worries","1984","Hamburg","1-pers.-HH","9","","","","1"
"Big worries","1984","Hamburg","(Married) couple without C. ","9","","","","1"
"Big worries","1984","Hamburg","Single parent ","5","","","","1"
"Big worries","1984","Hamburg","Couple + C. LE 16 ","23","","","","1"
"Big worries","1984","Hamburg","Couple + C. GT 16 ","9","","","","1"
"Big worries","1984","Hamburg","Couple + C. LE and GT 16","9","","","","1"
"Big worries","1984","Lower Saxony","1-pers.-HH","21","","","","1"
"Big worries","1984","Lower Saxony","(Married) couple without C. ","43","0.142121077579932","0.100926904000955","0.183315251158908","1"
"Big worries","1984","Lower Saxony","Single parent ","18","","","","1"
"Big worries","1984","Lower Saxony","Couple + C. LE 16 ","64","0.194910310586754","0.148757897575152","0.241062723598357","1"
"Big worries","1984","Lower Saxony","Couple + C. GT 16 ","47","0.220979035565347","0.16538972166569","0.276568349465004","1"
"Big worries","1984","Lower Saxony","Couple + C. LE and GT 16","28","","","","1"
"Big worries","1984","Bremen","1-pers.-HH","7","","","","1"
"Big worries","1984","Bremen","(Married) couple without C. ","15","","","","1"
"Big worries","1984","Bremen","Single parent ","3","","","","1"
"Big worries","1984","Bremen","Couple + C. LE 16 ","15","","","","1"
"Big worries","1984","Bremen","Couple + C. GT 16 ","7","","","","1"
"Big worries","1984","Bremen","Couple + C. LE and GT 16","7","","","","1"
"Big worries","1984","North Rhine-Westphalia","1-pers.-HH","79","0.192742886762106","0.15276614361585","0.232719629908363","1"
"Big worries","1984","North Rhine-Westphalia","(Married) couple without C. ","138","0.186977497122771","0.158176487282195","0.215778506963346","1"
"Big worries","1984","North Rhine-Westphalia","Single parent ","61","0.358834913139801","0.281558045141375","0.436111781138226","1"
"Big worries","1984","North Rhine-Westphalia","Couple + C. LE 16 ","206","0.201000881916467","0.173964473449578","0.228037290383356","1"
"Big worries","1984","North Rhine-Westphalia","Couple + C. GT 16 ","123","0.252468620211088","0.214389973435156","0.290547266987021","1"
"Big worries","1984","North Rhine-Westphalia","Couple + C. LE and GT 16","123","0.211167438796895","0.174881710263842","0.247453167329948","1"
"Big worries","1984","Hesse","1-pers.-HH","20","","","","1"
"Big worries","1984","Hesse","(Married) couple without C. ","48","0.149648491659698","0.10816031620084","0.191136667118556","1"
"Big worries","1984","Hesse","Single parent ","14","","","","1"
"Big worries","1984","Hesse","Couple + C. LE 16 ","65","0.225185874757291","0.177520125914389","0.272851623600193","1"
"Big worries","1984","Hesse","Couple + C. GT 16 ","47","0.202736075771198","0.149969096391443","0.255503055150954","1"
