"plh0033","year","e11103","education","n","percent","lower_confidence","upper_confidence"
"Big worries","1984","Full Time","college entrance qualification","47","0.0825855464574401","0.0599091162403542","0.105261976674526"
"Big worries","1984","Full Time","lower secondary degree","523","0.205071967218916","0.189370208925776","0.220773725512056"
"Big worries","1984","Full Time","no degree/no degree yet","160","0.270103625614226","0.234123227196324","0.306084024032128"
"Big worries","1984","Full Time","Other degree","247","0.277580514131868","0.248877235995554","0.306283792268182"
"Big worries","1984","Full Time","secondary school degree","116","0.128767180429803","0.107400758490402","0.150133602369204"
"Big worries","1984","Not Working","college entrance qualification","86","0.200327778367857","0.162095195763899","0.238560360971816"
"Big worries","1984","Not Working","lower secondary degree","510","0.180188916437988","0.165386959426424","0.194990873449551"
"Big worries","1984","Not Working","no degree/no degree yet","170","0.23863021424815","0.203607282924557","0.273653145571742"
"Big worries","1984","Not Working","Other degree","112","0.327186701143392","0.275699669478228","0.378673732808555"
"Big worries","1984","Not Working","secondary school degree","79","0.120067021210506","0.0952126905570039","0.144921351864008"
"Big worries","1984","Part Time","college entrance qualification","47","0.171922695348035","0.128496564292097","0.215348826403974"
"Big worries","1984","Part Time","lower secondary degree","231","0.249695432534941","0.221588529412532","0.277802335657351"
"Big worries","1984","Part Time","no degree/no degree yet","47","0.344732471796967","0.262715514034929","0.426749429559005"
"Big worries","1984","Part Time","Other degree","64","0.331097593572879","0.263646859720563","0.398548327425195"
"Big worries","1984","Part Time","secondary school degree","55","0.153848915268255","0.115609942682437","0.192087887854073"
"No worries","1984","Full Time","college entrance qualification","321","0.568522411105991","0.527719345686023","0.609325476525958"
"No worries","1984","Full Time","lower secondary degree","782","0.313864244552397","0.295817154711279","0.331911334393514"
"No worries","1984","Full Time","no degree/no degree yet","194","0.332067446849822","0.293903822301332","0.370231071398311"
"No worries","1984","Full Time","Other degree","254","0.267343080819196","0.238975187337113","0.295710974301279"
"No worries","1984","Full Time","secondary school degree","397","0.419745420144392","0.388263271475387","0.451227568813397"
"No worries","1984","Not Working","college entrance qualification","172","0.43600194424729","0.388633397655226","0.483370490839353"
"No worries","1984","Not Working","lower secondary degree","1073","0.443937073114055","0.424802407073384","0.463071739154725"
"No worries","1984","Not Working","no degree/no degree yet","156","0.314537945818793","0.276385692767695","0.352690198869892"
"No worries","1984","Not Working","Other degree","75","0.285900884318032","0.236317091246126","0.335484677389938"
"No worries","1984","Not Working","secondary school degree","317","0.506755108499625","0.468525859023661","0.544984357975589"
"No worries","1984","Part Time","college entrance qualification","120","0.41895177555116","0.362166308916815","0.475737242185506"
"No worries","1984","Part Time","lower secondary degree","246","0.277633811221396","0.248553182946412","0.30671443949638"
"No worries","1984","Part Time","no degree/no degree yet","33","0.208218941080843","0.1381515565053","0.278286325656387"
"No worries","1984","Part Time","Other degree","48","0.249820299033796","0.187772868155431","0.31186772991216"
"No worries","1984","Part Time","secondary school degree","113","0.343474013462632","0.293146214092938","0.393801812832327"
"Some worries","1984","Full Time","college entrance qualification","198","0.348892042436569","0.309626472185505","0.388157612687633"
"Some worries","1984","Full Time","lower secondary degree","1235","0.481063788228687","0.46163303864715","0.500494537810224"
"Some worries","1984","Full Time","no degree/no degree yet","231","0.397828927535952","0.358166592220972","0.437491262850933"
"Some worries","1984","Full Time","Other degree","434","0.455076405048936","0.423157186419445","0.486995623678427"
"Some worries","1984","Full Time","secondary school degree","431","0.451487399425805","0.419742188626464","0.483232610225146"
"Some worries","1984","Not Working","college entrance qualification","163","0.363670277384853","0.317718527783675","0.409622026986031"
"Some worries","1984","Not Working","lower secondary degree","1007","0.375874010447958","0.357220718322673","0.394527302573242"
"Some worries","1984","Not Working","no degree/no degree yet","243","0.446831839933057","0.405981789116175","0.487681890749938"
"Some worries","1984","Not Working","Other degree","132","0.386912414538576","0.333465782527829","0.440359046549324"
"Some worries","1984","Not Working","secondary school degree","261","0.37317787028987","0.336195434872965","0.410160305706775"
"Some worries","1984","Part Time","college entrance qualification","123","0.409125529100804","0.352537444353584","0.465713613848024"
"Some worries","1984","Part Time","lower secondary degree","434","0.472670756243663","0.4402510408778","0.505090471609525"
"Some worries","1984","Part Time","no degree/no degree yet","49","0.44704858712219","0.361251195413714","0.532845978830666"
"Some worries","1984","Part Time","Other degree","75","0.419082107393325","0.348363414665005","0.489800800121646"
"Some worries","1984","Part Time","secondary school degree","174","0.502677071269112","0.449686473665796","0.555667668872429"
"Big worries","1985","Full Time","college entrance qualification","50","0.0849712411668397","0.0618973939119182","0.108045088421761"
"Big worries","1985","Full Time","lower secondary degree","442","0.19543512048431","0.178910276394315","0.211959964574305"
"Big worries","1985","Full Time","no degree/no degree yet","84","0.220267357844184","0.181675635911502","0.258859079776866"
"Big worries","1985","Full Time","Other degree","192","0.24899879996275","0.218670957423521","0.279326642501979"
"Big worries","1985","Full Time","secondary school degree","108","0.122247621140992","0.100617131386487","0.143878110895497"
"Big worries","1985","Not Working","college entrance qualification","74","0.190639659096951","0.151554686253315","0.229724631940586"
"Big worries","1985","Not Working","lower secondary degree","485","0.200530644781647","0.184088346712711","0.216972942850582"
"Big worries","1985","Not Working","no degree/no degree yet","155","0.244514478257135","0.20750196516912","0.28152699134515"
"Big worries","1985","Not Working","Other degree","105","0.410675814112939","0.351332359672755","0.470019268553124"
"Big worries","1985","Not Working","secondary school degree","94","0.140292015823699","0.113194756399278","0.16738927524812"
"Big worries","1985","Part Time","college entrance qualification","54","0.191984788152893","0.14543422685028","0.238535349455506"
"Big worries","1985","Part Time","lower secondary degree","208","0.224141818728465","0.197121519026783","0.251162118430147"
"Big worries","1985","Part Time","no degree/no degree yet","37","0.288775198310045","0.205216385476096","0.372334011143994"
"Big worries","1985","Part Time","Other degree","53","0.320880697044193","0.250291493180388","0.391469900907998"
"Big worries","1985","Part Time","secondary school degree","72","0.197520889226331","0.155631238644598","0.239410539808063"
"No worries","1985","Full Time","college entrance qualification","314","0.563008045094115","0.521963005252132","0.604053084936099"
"No worries","1985","Full Time","lower secondary degree","677","0.308231298480828","0.288988228819357","0.327474368142298"
"No worries","1985","Full Time","no degree/no degree yet","143","0.317797068064487","0.274438197416364","0.361155938712609"
"No worries","1985","Full Time","Other degree","197","0.244884976424395","0.2147264442362","0.27504350861259"
"No worries","1985","Full Time","secondary school degree","336","0.381952694848271","0.349869634762938","0.414035754933604"
"No worries","1985","Not Working","college entrance qualification","157","0.445199534417341","0.395748203176612","0.494650865658071"
"No worries","1985","Not Working","lower secondary degree","900","0.420844096788009","0.400570556489193","0.441117637086825"
"No worries","1985","Not Working","no degree/no degree yet","155","0.343058825600666","0.302176955807058","0.383940695394274"
