"plh0033","year","bula_h","n","percent","lower_confidence","upper_confidence"
"Big worries","1984","Schleswig-Holstein","60","0.151763379664589","0.115924062219467","0.187602697109712"
"Big worries","1984","Hamburg","73","0.191516436665905","0.147571245642187","0.235461627689623"
"Big worries","1984","Lower Saxony","241","0.181262081558094","0.159591793647624","0.202932369468565"
"Big worries","1984","Bremen","56","0.374183092499405","0.291631234673904","0.456734950324905"
"Big worries","1984","North Rhine-Westphalia","767","0.211686008072727","0.197582939019915","0.225789077125538"
"Big worries","1984","Hesse","258","0.184325822529299","0.162743971246488","0.205907673812111"
"Big worries","1984","Rhineland-Palatinate,Saarland","190","0.219749310794633","0.191846770061349","0.247651851527916"
"Big worries","1984","Baden-Württemberg","404","0.145053831838677","0.130499664923779","0.159607998753574"
"Big worries","1984","Bavaria","381","0.156453305739287","0.140799685931616","0.172106925546959"
"Big worries","1984","Berlin","98","0.186511803925089","0.148669316482454","0.224354291367723"
"Big worries","1984","Brandenburg","","","",""
"Big worries","1984","Mecklenburg-Western Pomerania","","","",""
"Big worries","1984","Saxony","","","",""
"Big worries","1984","Saxony-Anhalt","","","",""
"Big worries","1984","Thuringia","","","",""
"Some worries","1984","Schleswig-Holstein","155","0.374505102535973","0.32615933254737","0.422850872524576"
"Some worries","1984","Hamburg","120","0.398163703039553","0.343494498532906","0.4528329075462"
"Some worries","1984","Lower Saxony","552","0.447627085491805","0.4196557556979","0.47559841528571"
"Some worries","1984","Bremen","37","0.289978794960176","0.212571853911442","0.367385736008911"
"Some worries","1984","North Rhine-Westphalia","1390","0.417863134584394","0.400835766723164","0.434890502445623"
"Some worries","1984","Hesse","515","0.388580074955294","0.361450230361105","0.415709919549483"
"Some worries","1984","Rhineland-Palatinate,Saarland","399","0.464437869315979","0.430830721834453","0.498045016797506"
"Some worries","1984","Baden-Württemberg","979","0.438724368409679","0.418215706030145","0.459233030789212"
"Some worries","1984","Bavaria","913","0.434551189857741","0.413191990727234","0.455910388988248"
"Some worries","1984","Berlin","165","0.365409380573885","0.318626435662012","0.412192325485759"
"Some worries","1984","Brandenburg","","","",""
"Some worries","1984","Mecklenburg-Western Pomerania","","","",""
"Some worries","1984","Saxony","","","",""
"Some worries","1984","Saxony-Anhalt","","","",""
"Some worries","1984","Thuringia","","","",""
"No worries","1984","Schleswig-Holstein","170","0.473731517799438","0.423855985156628","0.523607050442248"
"No worries","1984","Hamburg","115","0.410319860294542","0.355385730106508","0.465253990482576"
"No worries","1984","Lower Saxony","421","0.371110832950101","0.343935328124828","0.398286337775374"
"No worries","1984","Bremen","39","0.335838112540419","0.25527001833557","0.416406206745268"
"No worries","1984","North Rhine-Westphalia","1066","0.37045085734288","0.353778459739939","0.38712325494582"
"No worries","1984","Hesse","467","0.427094102515407","0.399561917320712","0.454626287710101"
"No worries","1984","Rhineland-Palatinate,Saarland","257","0.315812819889388","0.28448968264112","0.347135957137655"
"No worries","1984","Baden-Württemberg","866","0.416221799751645","0.395849516243529","0.436594083259761"
"No worries","1984","Bavaria","775","0.408995504402971","0.387810795289898","0.430180213516045"
"No worries","1984","Berlin","144","0.448078815501026","0.399765524224757","0.496392106777295"
"No worries","1984","Brandenburg","","","",""
"No worries","1984","Mecklenburg-Western Pomerania","","","",""
"No worries","1984","Saxony","","","",""
"No worries","1984","Saxony-Anhalt","","","",""
"No worries","1984","Thuringia","","","",""
"Big worries","1985","Schleswig-Holstein","65","0.167512263950207","0.128221037983624","0.206803489916789"
"Big worries","1985","Hamburg","61","0.15616398437243","0.113102773614179","0.199225195130682"
"Big worries","1985","Lower Saxony","244","0.206324217529205","0.182344939796091","0.230303495262318"
"Big worries","1985","Bremen","51","0.394189760151965","0.303687368995261","0.484692151308669"
"Big worries","1985","North Rhine-Westphalia","643","0.201657409474376","0.187114170239687","0.216200648709064"
"Big worries","1985","Hesse","214","0.156087636137766","0.134916993239744","0.177258279035787"
"Big worries","1985","Rhineland-Palatinate,Saarland","194","0.247054336123383","0.21651133101108","0.277597341235686"
"Big worries","1985","Baden-Württemberg","354","0.147089844409137","0.131697116102931","0.162482572715344"
"Big worries","1985","Bavaria","340","0.17547759021851","0.158265098797505","0.192690081639515"
"Big worries","1985","Berlin","79","0.167640897725396","0.129160534638099","0.206121260812694"
"Big worries","1985","Brandenburg","","","",""
"Big worries","1985","Mecklenburg-Western Pomerania","","","",""
"Big worries","1985","Saxony","","","",""
"Big worries","1985","Saxony-Anhalt","","","",""
"Big worries","1985","Thuringia","","","",""
"Some worries","1985","Schleswig-Holstein","168","0.466113850213431","0.413626616446639","0.518601083980222"
"Some worries","1985","Hamburg","114","0.428347970884749","0.369648930805872","0.487047010963627"
"Some worries","1985","Lower Saxony","516","0.467019428401311","0.43745546927804","0.496583387524582"
"Some worries","1985","Bremen","32","0.276442692334098","0.193614515173849","0.359270869494346"
"Some worries","1985","North Rhine-Westphalia","1295","0.425390634062394","0.407470563351741","0.443310704773047"
"Some worries","1985","Hesse","512","0.431896020714424","0.403002222395489","0.46078981903336"
"Some worries","1985","Rhineland-Palatinate,Saarland","355","0.449506704799281","0.414279530347301","0.484733879251261"
"Some worries","1985","Baden-Württemberg","894","0.431779563164194","0.410253625273104","0.453305501055284"
"Some worries","1985","Bavaria","848","0.433188967778813","0.410766184718085","0.45561175083954"
"Some worries","1985","Berlin","160","0.428767892529874","0.377786553384527","0.479749231675222"
"Some worries","1985","Brandenburg","","","",""
"Some worries","1985","Mecklenburg-Western Pomerania","","","",""
"Some worries","1985","Saxony","","","",""
"Some worries","1985","Saxony-Anhalt","","","",""
"Some worries","1985","Thuringia","","","",""
"No worries","1985","Schleswig-Holstein","114","0.366373885836362","0.315679234208971","0.417068537463754"
"No worries","1985","Hamburg","98","0.41548804474282","0.357030208998705","0.473945880486935"
"No worries","1985","Lower Saxony","334","0.326656354069484","0.298865405638146","0.354447302500822"
"No worries","1985","Bremen","29","","",""
"No worries","1985","North Rhine-Westphalia","986","0.37295195646323","0.355423799230404","0.390480113696057"
"No worries","1985","Hesse","403","0.41201634314781","0.383305829051858","0.440726857243762"
"No worries","1985","Rhineland-Palatinate,Saarland","217","0.303438959077336","0.270881615221411","0.335996302933261"
"No worries","1985","Baden-Württemberg","786","0.421130592426668","0.399673478281417","0.442587706571919"
"No worries","1985","Bavaria","688","0.391333442002677","0.369248570543908","0.413418313461446"
"No worries","1985","Berlin","123","0.40359120974473","0.35305104270487","0.454131376784589"
"No worries","1985","Brandenburg","","","",""
"No worries","1985","Mecklenburg-Western Pomerania","","","",""
"No worries","1985","Saxony","","","",""
"No worries","1985","Saxony-Anhalt","","","",""
"No worries","1985","Thuringia","","","",""
"Big worries","1986","Schleswig-Holstein","57","0.165126925445056","0.124253820091338","0.206000030798773"
"Big worries","1986","Hamburg","38","0.128497562074271","0.0871804871378899","0.169814637010651"
"Big worries","1986","Lower Saxony","191","0.157681913958257","0.136086156843883","0.179277671072631"
"Big worries","1986","Bremen","34","0.253011568821726","0.170251225034715","0.335771912608737"
"Big worries","1986","North Rhine-Westphalia","574","0.172710477883791","0.1587814848187","0.186639470948881"
"Big worries","1986","Hesse","155","0.117643216434143","0.0980527003676317","0.137233732500654"
"Big worries","1986","Rhineland-Palatinate,Saarland","160","0.20393010916425","0.175378298934063","0.232481919394437"
"Big worries","1986","Baden-Württemberg","330","0.1371040520721","0.121976702987847","0.152231401156354"
"Big worries","1986","Bavaria","262","0.139717417667414","0.123380471440143","0.156054363894686"
"Big worries","1986","Berlin","74","0.142827146707395","0.106222677203407","0.179431616211383"
"Big worries","1986","Brandenburg","","","",""
"Big worries","1986","Mecklenburg-Western Pomerania","","","",""
"Big worries","1986","Saxony","","","",""
"Big worries","1986","Saxony-Anhalt","","","",""
"Big worries","1986","Thuringia","","","",""
"Some worries","1986","Schleswig-Holstein","138","0.421901577282974","0.367535884498808","0.47626727006714"
"Some worries","1986","Hamburg","102","0.361682218575522","0.302358294426999","0.421006142724045"
