"plh0033","year","e11102","pgisced97","n","percent","lower_confidence","upper_confidence"
"Big worries","1984","Not Employed","in school","31","0.173955141283438","0.117631085803331","0.230279196763545"
"Big worries","1984","Not Employed","inadequately","131","0.318197218673446","0.271242443547886","0.365151993799007"
"Big worries","1984","Not Employed","general elemantary","373","0.188068083882314","0.169717859787579","0.206418307977049"
"Big worries","1984","Not Employed","middle vocational","350","0.166095316775277","0.149177461860628","0.183013171689926"
"Big worries","1984","Not Employed","vocational + Abi","15","","",""
"Big worries","1984","Not Employed","higher vocational","32","0.169532527929061","0.115019509581863","0.224045546276259"
"Big worries","1984","Not Employed","higher education","27","","",""
"Big worries","1984","Employed","in school","2","","",""
"Big worries","1984","Employed","inadequately","185","0.296242952961092","0.260474816248991","0.332011089673192"
"Big worries","1984","Employed","general elemantary","425","0.237541882130031","0.217257845778623","0.25782591848144"
"Big worries","1984","Employed","middle vocational","742","0.18745929424602","0.175035700222819","0.19988288826922"
"Big worries","1984","Employed","vocational + Abi","45","0.128966182784002","0.0856510545943995","0.172281310973604"
"Big worries","1984","Employed","higher vocational","82","0.186670682228706","0.151293242174535","0.222048122282877"
"Big worries","1984","Employed","higher education","59","0.0902307979702536","0.067857972704794","0.112603623235713"
"Some worries","1984","Not Employed","in school","89","0.507521800578061","0.433237964481871","0.58180563667425"
"Some worries","1984","Not Employed","inadequately","147","0.376311469249955","0.327473252560472","0.425149685939437"
"Some worries","1984","Not Employed","general elemantary","709","0.388065890676328","0.365182041204483","0.410949740148172"
"Some worries","1984","Not Employed","middle vocational","736","0.377761527111047","0.355722334074917","0.399800720147177"
"Some worries","1984","Not Employed","vocational + Abi","31","0.366764525973093","0.260494490594613","0.473034561351573"
"Some worries","1984","Not Employed","higher vocational","63","0.3269730270296","0.258820086933865","0.395125967125336"
"Some worries","1984","Not Employed","higher education","36","0.238218059593513","0.170496184449185","0.305939934737842"
"Some worries","1984","Employed","in school","4","","",""
"Some worries","1984","Employed","inadequately","238","0.401187695122812","0.362792216602768","0.439583173642856"
"Some worries","1984","Employed","general elemantary","795","0.47186892370548","0.448075450770881","0.495662396640078"
"Some worries","1984","Employed","middle vocational","1818","0.47591367243795","0.460015884315334","0.491811460560567"
"Some worries","1984","Employed","vocational + Abi","110","0.498716331416902","0.434098445375075","0.56333421745873"
"Some worries","1984","Employed","higher vocational","212","0.44482816857869","0.399708595214793","0.489947741942587"
"Some worries","1984","Employed","higher education","216","0.335139976649476","0.298279916117845","0.372000037181106"
"No worries","1984","Not Employed","in school","54","0.318523058138501","0.249297018269016","0.387749098007986"
"No worries","1984","Not Employed","inadequately","100","0.305491312076599","0.259056845120402","0.351925779032796"
"No worries","1984","Not Employed","general elemantary","660","0.423866025441358","0.400660037481181","0.447072013401535"
"No worries","1984","Not Employed","middle vocational","773","0.456143156113676","0.433501860412243","0.478784451815109"
"No worries","1984","Not Employed","vocational + Abi","33","0.472136169067957","0.362050918837247","0.582221419298667"
"No worries","1984","Not Employed","higher vocational","87","0.503494445041338","0.430855120914101","0.576133769168575"
"No worries","1984","Not Employed","higher education","89","0.620365949307209","0.543216496060816","0.697515402553601"
"No worries","1984","Employed","in school","3","","",""
"No worries","1984","Employed","inadequately","203","0.302569351916096","0.266584153136805","0.338554550695388"
"No worries","1984","Employed","general elemantary","471","0.290589194164489","0.268948812439292","0.312229575889686"
"No worries","1984","Employed","middle vocational","1231","0.33662703331603","0.321584375433741","0.351669691198319"
"No worries","1984","Employed","vocational + Abi","75","0.372317485799096","0.309841818311162","0.434793153287029"
"No worries","1984","Employed","higher vocational","172","0.368501149192604","0.324702487722331","0.412299810662877"
"No worries","1984","Employed","higher education","355","0.574629225380271","0.536023164121601","0.61323528663894"
"Big worries","1985","Not Employed","in school","28","","",""
"Big worries","1985","Not Employed","inadequately","121","0.390671971639354","0.337790209345159","0.443553733933549"
"Big worries","1985","Not Employed","general elemantary","330","0.197217831959462","0.177088484633451","0.217347179285473"
"Big worries","1985","Not Employed","middle vocational","369","0.193570108533904","0.174777732094738","0.21236248497307"
"Big worries","1985","Not Employed","vocational + Abi","20","","",""
"Big worries","1985","Not Employed","higher vocational","28","","",""
"Big worries","1985","Not Employed","higher education","23","","",""
"Big worries","1985","Employed","in school","2","","",""
"Big worries","1985","Employed","inadequately","113","0.238072437942554","0.200666132022898","0.27547874386221"
"Big worries","1985","Employed","general elemantary","366","0.231385537340338","0.210198845692322","0.252572228988355"
"Big worries","1985","Employed","middle vocational","667","0.186730828163604","0.173695068167205","0.199766588160002"
"Big worries","1985","Employed","vocational + Abi","44","0.140621210027792","0.092562977649802","0.188679442405782"
"Big worries","1985","Employed","higher vocational","54","0.12035665161939","0.0902267687038705","0.150486534534909"
"Big worries","1985","Employed","higher education","58","0.0944050496979908","0.0711061714245412","0.11770392797144"
"Some worries","1985","Not Employed","in school","83","0.444538298168642","0.371538822396336","0.517537773940949"
"Some worries","1985","Not Employed","inadequately","121","0.371106493579775","0.318744997502224","0.423467989657327"
"Some worries","1985","Not Employed","general elemantary","637","0.405749069202783","0.380907933555764","0.430590204849801"
"Some worries","1985","Not Employed","middle vocational","666","0.381090858340396","0.357991125221971","0.404190591458822"
"Some worries","1985","Not Employed","vocational + Abi","30","0.364656951057712","0.25783827784683","0.471475624268593"
"Some worries","1985","Not Employed","higher vocational","56","0.333778508524269","0.26247154319599","0.405085473852548"
"Some worries","1985","Not Employed","higher education","40","0.240073189120275","0.17055126165042","0.309595116590129"
"Some worries","1985","Employed","in school","2","","",""
"Some worries","1985","Employed","inadequately","237","0.472221399237855","0.428375181096982","0.516067617378729"
"Some worries","1985","Employed","general elemantary","748","0.476948521380875","0.451855743906743","0.502041298855007"
"Some worries","1985","Employed","middle vocational","1707","0.497647279094328","0.480921883998262","0.514372674190393"
"Some worries","1985","Employed","vocational + Abi","84","0.463999710978611","0.395056512258475","0.532942909698747"
"Some worries","1985","Employed","higher vocational","213","0.479457736630387","0.433197031576579","0.525718441684195"
"Some worries","1985","Employed","higher education","222","0.340459531307287","0.302700236359291","0.378218826255282"
"No worries","1985","Not Employed","in school","67","0.398131515137052","0.326219382267035","0.470043648007068"
"No worries","1985","Not Employed","inadequately","85","0.238221534780871","0.192049494108651","0.284393575453091"
"No worries","1985","Not Employed","general elemantary","534","0.397033098837755","0.3722806690041","0.42178552867141"
"No worries","1985","Not Employed","middle vocational","663","0.4253390331257","0.401823614343344","0.448854451908056"
"No worries","1985","Not Employed","vocational + Abi","28","","",""
"No worries","1985","Not Employed","higher vocational","84","0.514002681291671","0.438425084349102","0.58958027823424"
"No worries","1985","Not Employed","higher education","82","0.614766802227536","0.535556595558328","0.693977008896744"
"No worries","1985","Employed","in school","3","","",""
"No worries","1985","Employed","inadequately","148","0.289706162819591","0.249865063808416","0.329547261830766"
"No worries","1985","Employed","general elemantary","408","0.291665941278787","0.268830853462156","0.314501029095417"
"No worries","1985","Employed","middle vocational","1059","0.315621892742069","0.300075028600733","0.331168756883404"
"No worries","1985","Employed","vocational + Abi","73","0.395379078993597","0.327786582019476","0.462971575967719"
"No worries","1985","Employed","higher vocational","181","0.400185611750223","0.35481775545009","0.445553468050356"
"No worries","1985","Employed","higher education","325","0.565135418994723","0.525633000523592","0.604637837465853"
"Big worries","1986","Not Employed","in school","24","","",""
"Big worries","1986","Not Employed","inadequately","96","0.232432960278561","0.186081890201187","0.278784030355935"
"Big worries","1986","Not Employed","general elemantary","252","0.159670627997915","0.140072746754864","0.179268509240967"
"Big worries","1986","Not Employed","middle vocational","267","0.146836556466826","0.129536867952774","0.164136244980877"
"Big worries","1986","Not Employed","vocational + Abi","13","","",""
"Big worries","1986","Not Employed","higher vocational","20","","",""
"Big worries","1986","Not Employed","higher education","17","","",""
"Big worries","1986","Employed","in school","2","","",""
"Big worries","1986","Employed","inadequately","106","0.24954110228919","0.210037915850567","0.289044288727814"
"Big worries","1986","Employed","general elemantary","325","0.191739596681685","0.171962054421616","0.211517138941754"
"Big worries","1986","Employed","middle vocational","589","0.16583565751571","0.153199320463957","0.178471994567462"
"Big worries","1986","Employed","vocational + Abi","32","0.0946918512773241","0.0546120389857818","0.134771663568866"
"Big worries","1986","Employed","higher vocational","51","0.124683606685839","0.0927061903008715","0.156661023070806"
"Big worries","1986","Employed","higher education","54","0.0828588377346103","0.0608560886457316","0.104861586823489"
"Some worries","1986","Not Employed","in school","72","0.385605077386579","0.314498951177274","0.456711203595884"
"Some worries","1986","Not Employed","inadequately","129","0.416934937722122","0.36282894079984","0.471040934644404"
"Some worries","1986","Not Employed","general elemantary","509","0.358394047944483","0.332738197256408","0.384049898632557"
"Some worries","1986","Not Employed","middle vocational","586","0.340446289673009","0.317285441724505","0.363607137621513"
"Some worries","1986","Not Employed","vocational + Abi","30","0.403214408694131","0.289906811793138","0.516522005595125"
"Some worries","1986","Not Employed","higher vocational","51","0.312719347821476","0.240659396604152","0.3847792990388"
"Some worries","1986","Not Employed","higher education","43","0.259180566707267","0.187109438673841","0.331251694740693"
"Some worries","1986","Employed","in school","","","",""
"Some worries","1986","Employed","inadequately","228","0.492774981179063","0.447137434853058","0.538412527505068"
"Some worries","1986","Employed","general elemantary","732","0.489834503010852","0.464720207917125","0.514948798104579"
"Some worries","1986","Employed","middle vocational","1502","0.446624531493662","0.429734219556684","0.463514843430641"
"Some worries","1986","Employed","vocational + Abi","95","0.45777460571854","0.389574203536107","0.525975007900972"
"Some worries","1986","Employed","higher vocational","170","0.418595277071284","0.370843163111431","0.466347391031137"
"Some worries","1986","Employed","higher education","213","0.341148785628356","0.303308446043951","0.378989125212761"
"No worries","1986","Not Employed","in school","84","0.480081805466454","0.407096241215291","0.553067369717617"
"No worries","1986","Not Employed","inadequately","94","0.350632101999317","0.298269165378028","0.402995038620605"
"No worries","1986","Not Employed","general elemantary","581","0.481935324057602","0.455201677410053","0.508668970705151"
"No worries","1986","Not Employed","middle vocational","755","0.512717153860165","0.488286530167714","0.537147777552616"
"No worries","1986","Not Employed","vocational + Abi","29","","",""
"No worries","1986","Not Employed","higher vocational","88","0.56143542845334","0.484306693401069","0.63856416350561"
"No worries","1986","Not Employed","higher education","82","0.633554083601121","0.554303821124565","0.712804346077676"
"No worries","1986","Employed","in school","3","","",""
"No worries","1986","Employed","inadequately","127","0.257683916531747","0.217759762742026","0.297608070321467"
"No worries","1986","Employed","general elemantary","465","0.318425900307463","0.295021285560931","0.341830515053995"
"No worries","1986","Employed","middle vocational","1237","0.387539810990628","0.370987694818539","0.404091927162717"
"No worries","1986","Employed","vocational + Abi","78","0.447533543004136","0.379466495367835","0.515600590640437"
"No worries","1986","Employed","higher vocational","189","0.456721116242878","0.408504900584762","0.504937331900994"
"No worries","1986","Employed","higher education","336","0.575992376637034","0.536548041947088","0.615436711326979"
"Big worries","1987","Not Employed","in school","25","","",""
"Big worries","1987","Not Employed","inadequately","92","0.339740805641422","0.284560264112081","0.394921347170762"
"Big worries","1987","Not Employed","general elemantary","218","0.143649781877189","0.124495390752375","0.162804173002003"
"Big worries","1987","Not Employed","middle vocational","259","0.142688383228207","0.125343505643037","0.160033260813377"
"Big worries","1987","Not Employed","vocational + Abi","14","","",""
"Big worries","1987","Not Employed","higher vocational","13","","",""
