"plh0033","year","bula_h","migback","n","percent","lower_confidence","upper_confidence","value"
"Big worries","1984","Schleswig-Holstein","no migration background","51","0.148263790171311","0.110491028632232","0.186036551710389","1"
"Big worries","1984","Schleswig-Holstein","direct migration background","9","","","","1"
"Big worries","1984","Schleswig-Holstein","indirect migration background","","","","","1"
"Big worries","1984","Hamburg","no migration background","40","0.169321936358975","0.119423009204421","0.21922086351353","1"
"Big worries","1984","Hamburg","direct migration background","33","0.409918479360788","0.308309616300034","0.511527342421541","1"
"Big worries","1984","Hamburg","indirect migration background","","","","","1"
"Big worries","1984","Lower Saxony","no migration background","177","0.172875392742461","0.149566342723583","0.196184442761338","1"
"Big worries","1984","Lower Saxony","direct migration background","59","0.30739655703735","0.242963787311331","0.37182932676337","1"
"Big worries","1984","Lower Saxony","indirect migration background","5","","","","1"
"Big worries","1984","Bremen","no migration background","36","0.363760487557514","0.268513086743347","0.459007888371682","1"
"Big worries","1984","Bremen","direct migration background","20","","","","1"
"Big worries","1984","Bremen","indirect migration background","","","","","1"
"Big worries","1984","North Rhine-Westphalia","no migration background","446","0.200485171275463","0.183923875715512","0.217046466835414","1"
"Big worries","1984","North Rhine-Westphalia","direct migration background","315","0.308367903133993","0.278829470404939","0.337906335863047","1"
"Big worries","1984","North Rhine-Westphalia","indirect migration background","6","","","","1"
"Big worries","1984","Hesse","no migration background","130","0.173435454713735","0.146445974460555","0.200424934966915","1"
"Big worries","1984","Hesse","direct migration background","123","0.240324548381934","0.201777581963379","0.278871514800489","1"
"Big worries","1984","Hesse","indirect migration background","5","","","","1"
"Big worries","1984","Rhineland-Palatinate,Saarland","no migration background","150","0.218472263825457","0.187618451584943","0.249326076065972","1"
"Big worries","1984","Rhineland-Palatinate,Saarland","direct migration background","39","0.242485998038306","0.174351829186862","0.310620166889751","1"
"Big worries","1984","Rhineland-Palatinate,Saarland","indirect migration background","1","","","","1"
"Big worries","1984","Baden-Württemberg","no migration background","183","0.134952019838143","0.116630788660371","0.153273251015915","1"
"Big worries","1984","Baden-Württemberg","direct migration background","215","0.212447619237867","0.185498652750873","0.23939658572486","1"
"Big worries","1984","Baden-Württemberg","indirect migration background","6","","","","1"
"Big worries","1984","Bavaria","no migration background","244","0.149973471822703","0.132440171748539","0.167506771896866","1"
"Big worries","1984","Bavaria","direct migration background","130","0.221186985550947","0.182796703260153","0.259577267841741","1"
"Big worries","1984","Bavaria","indirect migration background","7","","","","1"
"Big worries","1984","Berlin","no migration background","50","0.174586515322089","0.130744251077086","0.218428779567092","1"
