"plh0033","year","migback","n","percent","lower_confidence","upper_confidence"
"Big worries","1984","direct migration background","991","0.26602506152924","0.251117277440129","0.280932845618351"
"Big worries","1984","indirect migration background","30","0.25542989386636","0.178979145008141","0.331880642724579"
"Big worries","1984","no migration background","1507","0.175563801203635","0.167510430454506","0.183617171952764"
"No worries","1984","direct migration background","924","0.286697855501137","0.271441170152486","0.301954540849789"
"No worries","1984","indirect migration background","35","0.249693225071872","0.173815221106014","0.325571229037731"
"No worries","1984","no migration background","3361","0.404633858534767","0.394244114322642","0.415023602746893"
"Some worries","1984","direct migration background","1460","0.447277082969623","0.430502440915777","0.464051725023469"
"Some worries","1984","indirect migration background","60","0.494876881061768","0.407229228227944","0.582524533895592"
"Some worries","1984","no migration background","3705","0.419802340261598","0.409355328271038","0.430249352252158"
"Big worries","1985","direct migration background","794","0.259914849347312","0.243921820839072","0.275907877855553"
"Big worries","1985","indirect migration background","27","","",""
"Big worries","1985","no migration background","1424","0.179788040268941","0.171313657268166","0.188262423269715"
"No worries","1985","direct migration background","782","0.308023569669665","0.291188615210349","0.324858524128982"
"No worries","1985","indirect migration background","40","0.281992113098043","0.207455927908913","0.356528298287172"
"No worries","1985","no migration background","2956","0.385650877778437","0.374909266715433","0.39639248884144"
"Some worries","1985","direct migration background","1313","0.432061580983023","0.413998252927175","0.45012490903887"
"Some worries","1985","indirect migration background","73","0.588340848647377","0.506820230961233","0.669861466333522"
"Some worries","1985","no migration background","3508","0.434561081952623","0.42362194893646","0.445500214968785"
"Big worries","1986","direct migration background","688","0.190834305024688","0.176323162003527","0.20534544804585"
"Big worries","1986","indirect migration background","30","0.196230906693048","0.133095111667052","0.259366701719044"
"Big worries","1986","no migration background","1157","0.151121866336307","0.143015918831149","0.159227813841466"
"No worries","1986","direct migration background","871","0.368221077270791","0.350409943881285","0.386032210660296"
"No worries","1986","indirect migration background","52","0.424277896005002","0.345707679071481","0.502848112938523"
"No worries","1986","no migration background","3260","0.450209207487358","0.43894959674107","0.461468818233646"
"Some worries","1986","direct migration background","1258","0.440944617704521","0.422609905094222","0.45927933031482"
"Some worries","1986","indirect migration background","70","0.37949119730195","0.302347380269164","0.456635014334737"
"Some worries","1986","no migration background","3083","0.398668926176335","0.387587887369575","0.409749964983094"
"Big worries","1987","direct migration background","665","0.209990672383958","0.194898896488983","0.225082448278932"
"Big worries","1987","indirect migration background","29","","",""
"Big worries","1987","no migration background","1095","0.145970388228935","0.137909494544474","0.154031281913397"
"No worries","1987","direct migration background","802","0.315253644136699","0.298038163250971","0.332469125022427"
"No worries","1987","indirect migration background","66","0.436603651158574","0.362911003114765","0.510296299202384"
"No worries","1987","no migration background","2927","0.415924269102733","0.404671586771359","0.427176951434108"
"Some worries","1987","direct migration background","1331","0.474755683479343","0.456252774897456","0.493258592061231"
"Some worries","1987","indirect migration background","79","0.408804574767674","0.33575850178924","0.481850647746108"
"Some worries","1987","no migration background","3348","0.438105342668331","0.426777920855767","0.449432764480895"
"Big worries","1988","direct migration background","698","0.223210880566485","0.207377940745809","0.239043820387162"
"Big worries","1988","indirect migration background","46","0.163889681517197","0.115304564093828","0.212474798940567"
"Big worries","1988","no migration background","1032","0.146054022182792","0.137783822786477","0.154324221579106"
"No worries","1988","direct migration background","680","0.311870622870446","0.294255949394362","0.329485296346529"
"No worries","1988","indirect migration background","69","0.381882277756662","0.318115274249822","0.445649281263502"
"No worries","1988","no migration background","2777","0.413665292400546","0.402132317031032","0.425198267770059"
"Some worries","1988","direct migration background","1279","0.464918496563069","0.445953590517169","0.483883402608969"
"Some worries","1988","indirect migration background","108","0.454228040726141","0.388879147097022","0.519576934355259"
"Some worries","1988","no migration background","3196","0.440280685416663","0.428655658022292","0.451905712811034"
"Big worries","1989","direct migration background","652","0.221315414509707","0.205237492328161","0.237393336691253"
"Big worries","1989","indirect migration background","56","0.172193394057639","0.12594455926763","0.218442228847649"
"Big worries","1989","no migration background","762","0.113802737255113","0.106221157657019","0.121384316853208"
"No worries","1989","direct migration background","726","0.347057819460341","0.328621187707517","0.365494451213164"
"No worries","1989","indirect migration background","87","0.411710974763233","0.351424525786299","0.471997423740167"
"No worries","1989","no migration background","3018","0.460375849266215","0.448476585311445","0.472275113220984"
"Some worries","1989","direct migration background","1183","0.431626766029952","0.412443864616509","0.450809667443395"
"Some worries","1989","indirect migration background","113","0.416095631179128","0.355715291947464","0.476475970410792"
"Some worries","1989","no migration background","2960","0.425821413478672","0.41401670171691","0.437626125240434"
"Big worries","1990","direct migration background","670","0.224252811234431","0.208384647063778","0.240120975405085"
"Big worries","1990","indirect migration background","47","0.171757392578745","0.128644126026069","0.214870659131421"
"Big worries","1990","no migration background","2045","0.149377194987513","0.142677976339003","0.156076413636023"
"No worries","1990","direct migration background","749","0.329286972480128","0.311407558618697","0.34716638634156"
"No worries","1990","indirect migration background","101","0.37940143894652","0.323935126365202","0.434867751527838"
"No worries","1990","no migration background","3586","0.405069612228216","0.395843655786848","0.414295568669584"
"Some worries","1990","direct migration background","1235","0.446460216285441","0.427547085128523","0.465373347442358"
"Some worries","1990","indirect migration background","146","0.448841168474735","0.3919874135175","0.50569492343197"
"Some worries","1990","no migration background","5245","0.445553192784271","0.436212196160911","0.454894189407631"
"Big worries","1991","direct migration background","584","0.198868144230021","0.183569714517316","0.214166573942726"
"Big worries","1991","indirect migration background","60","0.181369826481325","0.141001526392584","0.221738126570067"
"Big worries","1991","no migration background","2174","0.159222274814713","0.152251087965666","0.166193461663761"
"No worries","1991","direct migration background","771","0.336677410638057","0.318564775977395","0.354790045298719"
"No worries","1991","indirect migration background","133","0.339508978324965","0.289898529064899","0.389119427585031"
"No worries","1991","no migration background","3483","0.401421654518196","0.392082122582387","0.410761186454005"
"Some worries","1991","direct migration background","1260","0.464454445131922","0.445339105632507","0.483569784631336"
"Some worries","1991","indirect migration background","157","0.47912119519371","0.426784643661597","0.531457746725823"
"Some worries","1991","no migration background","4925","0.43935607066709","0.429899882835709","0.448812258498471"
"Big worries","1992","direct migration background","686","0.252239922501071","0.235337011066691","0.269142833935452"
"Big worries","1992","indirect migration background","87","0.206298255825712","0.166986057343172","0.245610454308252"
"Big worries","1992","no migration background","1966","0.157510033501959","0.150480461155497","0.164539605848421"
"No worries","1992","direct migration background","635","0.284192035259424","0.266637971123631","0.301746099395218"
"No worries","1992","indirect migration background","140","0.302559954566386","0.257931684808209","0.347188224324562"
"No worries","1992","no migration background","3080","0.350797138536564","0.341588177020873","0.360006100052254"
"Some worries","1992","direct migration background","1215","0.463568042239504","0.444159740648911","0.482976343830098"
"Some worries","1992","indirect migration background","180","0.491141789607902","0.442573509598248","0.539710069617557"
"Some worries","1992","no migration background","5270","0.491692827961477","0.482045601357491","0.501340054565464"
"Big worries","1993","direct migration background","746","0.264637464250289","0.247236874838601","0.282038053661977"
"Big worries","1993","indirect migration background","99","0.188102522779912","0.152809769222801","0.223395276337023"
"Big worries","1993","no migration background","1843","0.158084978354238","0.150983107033781","0.165186849674695"
"No worries","1993","direct migration background","505","0.248920752434616","0.231865388937481","0.26597611593175"
"No worries","1993","indirect migration background","128","0.260107573052299","0.220489036712495","0.299726109392103"
"No worries","1993","no migration background","3015","0.339562029822663","0.33034334546459","0.348780714180735"
"Some worries","1993","direct migration background","1218","0.486441783315096","0.466726736027696","0.506156830602495"
"Some worries","1993","indirect migration background","244","0.551789904167789","0.506877600690653","0.596702207644924"
"Some worries","1993","no migration background","5279","0.5023529918231","0.492619726479781","0.512086257166418"
"Big worries","1994","direct migration background","736","0.295275994668616","0.276864044370413","0.313687944966818"
"Big worries","1994","indirect migration background","139","0.263736895411891","0.224759814679526","0.302713976144255"
"Big worries","1994","no migration background","1937","0.172932005358516","0.165525939827022","0.18033807089001"
"No worries","1994","direct migration background","488","0.251571645587392","0.234057774359889","0.269085516814895"
"No worries","1994","indirect migration background","121","0.237068081737055","0.199450854548191","0.274685308925919"
"No worries","1994","no migration background","2630","0.30800076619988","0.298959943353918","0.317041589045842"
"Some worries","1994","direct migration background","1134","0.453152359743992","0.433059975045517","0.473244744442468"
"Some worries","1994","indirect migration background","231","0.499195022851054","0.454969111968541","0.543420933733567"
"Some worries","1994","no migration background","5450","0.519067228441604","0.509282849930897","0.528851606952311"
"Big worries","1995","direct migration background","795","0.273818923381732","0.257227991113678","0.290409855649787"
"Big worries","1995","indirect migration background","132","0.240511866250571","0.20352750189109","0.277496230610051"
"Big worries","1995","no migration background","1789","0.157025681798746","0.149879462273239","0.164171901324254"
"No worries","1995","direct migration background","616","0.269080416305526","0.252580093454647","0.285580739156405"
"No worries","1995","indirect migration background","127","0.293218391310694","0.253824613425174","0.332612169196213"
"No worries","1995","no migration background","2968","0.345379674415793","0.336040102550396","0.354719246281191"
"Some worries","1995","direct migration background","1364","0.457100660312741","0.438566104676262","0.475635215949221"
"Some worries","1995","indirect migration background","254","0.466269742438735","0.423101045718142","0.509438439159329"
"Some worries","1995","no migration background","5200","0.497594643785461","0.487773799699664","0.507415487871257"
"Big worries","1996","direct migration background","722","0.233461382359058","0.2171945472804","0.249728217437717"
"Big worries","1996","indirect migration background","131","0.253353725945127","0.216938843634779","0.289768608255475"
"Big worries","1996","no migration background","1741","0.15474269812995","0.147627575634182","0.161857820625718"
"No worries","1996","direct migration background","523","0.25186562860752","0.235173843922778","0.268557413292261"
"No worries","1996","indirect migration background","124","0.219575487970315","0.184916554786565","0.254234421154064"
"No worries","1996","no migration background","2759","0.318981104328324","0.309811620414017","0.328150588242631"
"Some worries","1996","direct migration background","1353","0.514672989033422","0.495454845300321","0.533891132766523"
"Some worries","1996","indirect migration background","293","0.527070786084559","0.485269431492378","0.56887214067674"
"Some worries","1996","no migration background","5425","0.526276197541726","0.516453013050925","0.536099382032527"
"Big worries","1997","direct migration background","807","0.29780289449531","0.279808854409302","0.315796934581318"
"Big worries","1997","indirect migration background","145","0.247121126884867","0.211741965858305","0.28250028791143"
"Big worries","1997","no migration background","1924","0.180982911084959","0.17336541116932","0.188600411000598"
"No worries","1997","direct migration background","445","0.210324184617268","0.194287900777195","0.226360468457341"
"No worries","1997","indirect migration background","114","0.211963792335288","0.178441480353945","0.245486104316631"
"No worries","1997","no migration background","2203","0.267847362029955","0.259085595147211","0.276609128912699"
"Some worries","1997","direct migration background","1229","0.491872920887422","0.472200974331878","0.511544867442966"
"Some worries","1997","indirect migration background","312","0.540915080779844","0.500041649754584","0.581788511805104"
"Some worries","1997","no migration background","5686","0.551169726885086","0.541328914762596","0.561010539007576"
"Big worries","1998","direct migration background","803","0.313369003271775","0.294807092201256","0.331930914342295"
"Big worries","1998","indirect migration background","189","0.288363835900545","0.25214702070325","0.324580651097839"
"Big worries","1998","no migration background","2611","0.2168624241033","0.209247532704924","0.224477315501675"
"No worries","1998","direct migration background","402","0.212126198723783","0.195767134722786","0.22848526272478"
"No worries","1998","indirect migration background","107","0.18836341025294","0.157103340984602","0.219623479521278"
"No worries","1998","no migration background","2777","0.274975482508649","0.266725066231593","0.283225898785705"
"Some worries","1998","direct migration background","1194","0.474504798004442","0.454522858091863","0.494486737917021"
"Some worries","1998","indirect migration background","305","0.523272753846516","0.483341779915421","0.563203727777611"
"Some worries","1998","no migration background","5863","0.508162093388051","0.498924376245052","0.517399810531051"
"Big worries","1999","direct migration background","625","0.253305292810882","0.235181495423509","0.271429090198256"
"Big worries","1999","indirect migration background","165","0.241576909850048","0.207553347330552","0.275600472369545"
"Big worries","1999","no migration background","1823","0.155512177742556","0.148706784329099","0.162317571156014"
"No worries","1999","direct migration background","452","0.254135910087554","0.235992521716504","0.272279298458603"
"No worries","1999","indirect migration background","155","0.26999086571347","0.23470222059658","0.305279510830359"
